Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Stubhub Holdings Inc,Communication Services,Internet Content & Information,USA,Mid,-,-,-5.58,29.97%,348.98M,30.33%,3.58B,14.57,0.65,-0.24%,261.81M,38.26%,4.01B,-,0.10,48.62%,7.61%,7.07%,-1.92B,2.00,108.01%,1.00%,4.24,-35.84%,1.79B,2.28,30.43%,-34.61%,19.92M,-29.49%,4.18,2.35,-,-108.67%,27.89 -65.79%,-,4.07,10.80,-88.10% -17.13%,-52.24%,5.74 66.20%,-,-,-,18.96% 117.76%,80.79%,10.65%,6.77%,-,-,2.23,-5709.72%,-69.82%,0.62,-,-,1.10,-0.80%,-107.27%,76.19,2.00,- -,1.10,189.24%,23.14%,-,13.27,-,0.74,12.18%,32.74%,1.49,9.33,900,0.74,May 13 AMC,-22.19%,4.70M,9.54,"Sep 17, 2025",Yes / Yes,376.19% 4.94%,"

","6,979,028",2.25%,STUB
State Street Corp,Financial,Asset Management,USA,Large,S&P 500,15.30,9.86,0.45%,276.92M,0.29%,41.76B,10.93,13.80,-5.92%,275.52M,0.47%,-,0.72,3.14,94.67%,1.30%,16.35%,2.83B,1.93,20.43%,-1.84%,1.69,29.13%,21.62B,1.73,11.07%,0.80%,3.58M,16.95%,87.33,-,15.12%,11.25%,156.18 -3.39%,53.52%,-,-,9.36% 8.26%,5.78%,94.19 60.19%,121.88%,3.48 (2.30%),-,19.16% 14.10%,-,1.93%,2.09%,79.43%,3.28 (2.17%),-,10.86%,18.04%,3.25,148.48%,"Apr 01, 2026",-,1.43%,13.06%,57.11,1.89,10.06% 9.00%,4.45,22.20%,-0.28%,1.46,163.18,34.04%,1.09,0.63%,8.56%,0.90,153.74,51503,0.91,Apr 17 BMO,20.39%,2.11M,150.88,"Mar 17, 1980",Yes / Yes,7.70% 3.56%,"

","1,896,286",-1.86%,STT
Sterling Infrastructure Inc,Industrials,Engineering & Construction,USA,Large,RUT,65.11,11.19,2.30%,30.68M,-14.45%,22.35B,31.34,23.24,-13.89%,29.98M,54.01%,22.18B,0.81,4.98,93.12%,7.98%,77.36%,346.64M,7.75,71.96%,-8.47%,4.23,115.05%,2.88B,18.78,24.20%,14.39%,2.39M,137.82%,38.77,43.66,38.51%,34.75%,893.13 -18.46%,291.60%,16.68,50.76,47.24% 44.26%,23.10%,176.15 313.45%,1557.46%,-,37.75,12.06% 11.77%,22.43%,7.08%,6.33%,3185.02%,-,7.69,31.00%,17.41%,53.86,15562.15%,-,1.10,36.96%,12.02%,56.07,1.11,- -,1.10,141.86%,6.59%,1.69,925.67,0.00%,0.29,91.59%,37.44%,1.45,770.76,4400,0.26,May 04 AMC,86.23%,565.13K,728.29,"Jul 12, 1991",Yes / Yes,57.75% 36.80%,"

","821,979",-5.51%,STRL
Strategy Inc - VR PRF PERPETUAL USD 100 - Ser A,Technology,Software - Application,USA,Large,-,-,-,-,-,-0.04%,58.62B,-,-,-,-,0.63%,-,-,-,-,-,2.40%,-,-,-,-,0.78,7.15%,-,-,-,-,2.46M,5.07%,-,-,-,-,99.33 -0.34%,-,-,-,- -,-,80.35 23.20%,-,-,-,- -,-,0.33%,0.18%,-,-,-,-,-,0.21,-,"May 15, 2026",-,-,-,59.45,-,- -,-,-,0.15%,-,-,-,-,-,0.69%,0.63,98.61,-,-,-,5.25%,3.17M,98.99,"Jul 25, 2025",Yes / Yes,- -,"

","2,008,734",0.39%,STRC
Strategic Education Inc,Consumer Defensive,Education & Training Services,USA,Small,RUT,14.13,5.66,3.75%,22.61M,1.92%,1.81B,9.89,8.09,-6.93%,21.76M,-3.80%,1.75B,0.61,1.80,98.11%,4.85%,4.53%,129.68M,1.42,16.29%,-2.66%,3.23,0.00%,1.27B,1.11,12.62%,6.25%,1.06M,-0.20%,72.28,10.80,16.25%,7.91%,93.45 -14.35%,-11.64%,7.41,10.41,40.64% 7.47%,7.50%,69.70 14.84%,2.59%,2.46 (3.07%),7.13,5.98% 4.30%,49.35%,2.46%,3.34%,5.12%,2.40 (3.00%),1.38,20.69%,15.55%,2.48,76.11%,"May 22, 2026",1.13,3.02%,10.21%,51.91,1.67,0.00% 0.00%,1.13,19.72%,2.21%,0.53,87.00,44.36%,0.07,0.77%,-0.40%,0.83,80.99,6134,0.06,Apr 23 BMO,-0.71%,326.54K,80.04,"Jul 25, 1996",Yes / Yes,-4.91% -1.24%,"

","271,762",-1.17%,STRA
Stoke Therapeutics Inc,Healthcare,Biotechnology,USA,Small,RUT,-,-2.84,20.99%,62.24M,-7.79%,1.87B,-,-3.12,-1.43%,49.21M,-17.83%,1.53B,-,-0.77,107.09%,26.47%,-3.29%,-169.77M,58.17,-2584.72%,1.45%,17.85,13.01%,32.08M,4.72,3.24%,-39.94%,13.03M,-5.61%,6.34,5.43,-,-45.58%,40.22 -25.51%,204.78%,5.52,-,64.49% 40.50%,-42.88%,9.09 229.59%,167.02%,-,-,145.89% -,87.07%,5.80%,5.05%,-14.72%,-,47.56,-439.48%,-577.46%,1.77,-,-,8.99,-83.20%,-529.20%,35.30,1.00,- -,8.99,-141.72%,-8.31%,1.19,45.10,-,0.01,-96.07%,-10.89%,0.97,29.03,170,0.00,May 07 AMC,1.99%,729.58K,29.96,"Jun 19, 2019",Yes / Yes,2.17% -3.92%,"

","704,431",3.20%,STOK
Scorpio Tankers Inc,Energy,Oil & Gas Midstream,Monaco,Mid,RUT,7.91,10.18,13.29%,51.76M,-3.64%,4.17B,12.11,6.64,0.00%,44.88M,4.66%,3.76B,2.76,5.59,68.07%,3.96%,13.75%,502.34M,4.02,130.39%,-1.62%,1.43,30.11%,1.04B,1.22,-47.66%,12.48%,1.78M,58.31%,65.88,4.23,4.39%,15.87%,87.39 -7.92%,93.67%,19.02,8.90,-9.67% 34.68%,12.65%,37.96 111.99%,60.91%,1.84 (2.29%),6.49,-15.64% 0.48%,51.77%,3.26%,3.62%,279.22%,1.67 (2.08%),3.63,1.00%,38.85%,2.99,48.47%,"May 29, 2026",13.87,-2.77%,48.44%,50.18,1.17,59.40% 32.28%,13.98,254.46%,-1.70%,-0.24,100.08,21.91%,0.17,46.21%,5.06%,0.59,81.87,24,0.16,May 05 BMO,27.97%,1.24M,80.47,"Mar 31, 2010",Yes / Yes,8.08% 5.65%,"

","729,037",-1.71%,STNG
StoneCo Ltd,Technology,Software - Infrastructure,Brazil,Mid,RUT,4.12,2.50,11.83%,229.18M,-0.87%,2.50B,4.25,2.42,0.05%,214.48M,-19.12%,3.59B,0.39,0.47,74.29%,8.21%,-24.28%,652.65M,4.21,7.62%,-13.53%,2.67,-25.73%,594.59M,1.07,17.36%,6.46%,17.61M,-15.78%,9.64,1.28,10.91%,31.09%,16.48 -37.56%,-7.18%,8.04,4.82,- 22.14%,17.72%,9.45 8.86%,-6.77%,0.29 (2.84%),-,-10.62% 15.31%,-15.03%,6.11%,4.34%,-78.86%,-,6.04,437.49%,-106.05%,0.52,-,"Apr 24, 2026",1.33,-33.91%,109.76%,40.46,1.88,- -,1.33,316.62%,-5.88%,1.71,17.80,0.00%,1.29,-30.72%,-9.96%,1.29,10.21,16367,0.57,May 14 AMC,-21.13%,6.59M,10.29,"Oct 25, 2018",Yes / Yes,-3.63% 0.02%,"

","8,488,308",0.78%,STNE
Stantec Inc,Industrials,Engineering & Construction,Canada,Mid,-,24.72,3.11,0.33%,114.07M,-7.71%,8.77B,15.38,5.00,0.00%,113.69M,-16.37%,10.37B,1.04,1.16,66.08%,1.36%,-12.76%,354.82M,1.46,16.60%,6.53%,4.20,-27.40%,6.00B,3.63,10.73%,6.70%,1.54M,-18.51%,21.20,34.22,14.73%,15.66%,114.51 -32.86%,-24.23%,2.25,17.86,20.71% 21.34%,8.88%,72.46 6.11%,30.79%,0.71 (0.93%),12.51,10.15% 10.57%,38.99%,6.18%,3.25%,72.40%,0.67 (0.87%),1.73,27.93%,9.38%,2.95,211.93%,"Jun 30, 2026",1.35,8.31%,5.92%,31.89,1.25,5.18% 6.83%,1.35,15.78%,-10.95%,1.04,109.06,21.41%,0.77,12.44%,-12.25%,1.24,77.29,34000,0.65,May 13 AMC,-22.15%,367.65K,76.89,"Aug 05, 2005",Yes / Yes,2.73% -1.32%,"

","456,158",-0.52%,STN
ST Microelectronics,Technology,Semiconductors,Switzerland,Large,-,398.11,0.15,0.00%,888.79M,5.70%,54.42B,26.07,2.35,-,888.79M,37.72%,52.82B,0.31,0.25,12.17%,1.23%,81.31%,144.84M,4.39,126.90%,2.87%,1.09,162.34%,12.41B,3.06,95.29%,0.58%,10.91M,136.04%,19.99,11.90,84.87%,0.82%,65.31 -6.25%,137.05%,5.14,338.86,-66.00% -31.59%,0.72%,21.11 190.05%,35.95%,0.36 (0.59%),22.71,-9.81% 2.85%,33.84%,4.94%,4.26%,71.08%,0.36 (0.59%),4.26,-86.68%,3.54%,2.80,989.50%,"Mar 24, 2026",2.34,0.79%,1.17%,69.25,2.03,15.73% 17.23%,3.31,-32.33%,8.98%,1.90,58.82,164.16%,0.14,23.20%,39.00%,1.05,60.96,49157,0.13,Apr 23 BMO,93.74%,10.03M,61.23,"Dec 08, 1994",Yes / Yes,-25.16% 1.22%,"

","10,528,316",0.44%,STM
