Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4897.21B,4913.41B,122.58B,451.44B,7.26,4.66,1.08 (0.32%),1.05 (0.31%),"May 11, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",40.34,34.41,2.63,10.85,45.93,71.48,37.91,30.71,10.88,1.02,1.07,0.80,0.70,Yes / Yes,8.27,9.69,2.01,17.43%,10.62%,13.08%,6.89% 17.91%,1.81% 8.71%,28.91%,12.76%,22.04%,16.60%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.21%,66.04%,0.00%,34.91%,141.47%,67.76%,47.86%,32.64%,27.15%,2.80%,7.80%,20.09%,"

",14.69B,14.67B,1.00%,2.62,146.55M,344.57 -3.23%,201.50 65.47%,2.30%,2.39%,8.06,61.66,1.04,1.34,55.89M,"74,817,792",3.66%,15.23%,23.41%,30.02%,22.65%,59.50%,70.27%,128.60%,1179.84%,1.98,325.41,338.19,333.43,-1.41%,AAPL
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",4719.97B,4652.21B,159.61B,253.49B,8.07,3.33,0.65 (0.33%),0.28 (0.14%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",29.87,15.29,0.32,18.62,24.17,58.58,39.64,28.11,18.35,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.75,2.08,88.70%,41.68%,47.26%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,May 20 AMC,6.52% 3.43%,3.85%,-0.31%,69.28%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,-3.92%,-5.58%,1.03%,"

",24.22B,23.27B,1.39%,2.10,324.05M,236.54 -17.54%,164.07 18.88%,4.02%,3.63%,7.51,43.08,2.23,0.84,154.16M,"129,010,151",-6.57%,-2.52%,-6.79%,1.84%,4.58%,8.80%,317.20%,900.26%,13563.05%,1.23,314.29,190.01,195.04,2.65%,NVDA
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4087.23B,3980.13B,244.12B,446.31B,50.90,19.80,0.80 (0.24%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",16.76,22.25,1.25,9.16,6.56,16.86,76.72,22.44,8.92,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.99,3.02,87.41%,-25.99%,17.82%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.03%,-0.04%,27.01%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-3.82%,-6.60%,2.69%,"

",5.53B,5.13B,1.08%,2.47,55.65M,404.47 -17.50%,188.70 76.83%,2.46%,2.67%,11.16,42.71,1.24,0.77,22.57M,"17,309,468",4.82%,-5.56%,-3.92%,-0.77%,6.34%,69.00%,150.87%,146.77%,768.07%,1.31,427.59,335.76,333.68,-0.62%,GOOG
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4075.46B,3968.36B,244.12B,446.31B,50.90,19.85,0.80 (0.24%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",16.76,22.24,1.24,9.13,6.56,16.81,76.50,22.37,8.89,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.01,3.02,87.48%,-25.96%,17.90%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.19%,-0.04%,38.47%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-4.19%,-7.15%,2.44%,"

",5.87B,5.85B,1.35%,2.39,78.67M,408.61 -18.34%,187.82 77.65%,2.54%,2.67%,11.29,42.10,1.25,0.92,32.95M,"30,168,000",5.03%,-6.63%,-4.65%,-0.70%,6.60%,69.78%,151.67%,147.66%,743.28%,1.30,427.90,336.71,333.66,-0.91%,GOOGL
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3350.97B,3402.94B,133.75B,331.84B,59.56,10.34,3.98 (0.88%),3.56 (0.79%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",25.14,19.42,1.13,10.10,7.57,43.61,50.02,17.13,10.25,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.23,4.71,13.34%,18.60%,17.19%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.54%,-0.03%,74.85%,-1.84%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,14.74%,13.21%,3.98%,"

",7.43B,7.31B,1.26%,2.36,92.37M,555.45 -18.79%,349.20 29.18%,3.08%,2.78%,15.90,71.81,1.11,2.81,39.22M,"110,160,704",18.22%,20.93%,6.28%,-6.34%,-6.72%,-12.11%,33.32%,58.33%,695.87%,1.23,558.71,390.54,451.10,15.51%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2533.30B,2614.18B,90.80B,742.78B,41.09,13.57,-,-,-,- -,0.00%,1576000,"May 15, 1997",28.14,23.34,1.04,3.41,5.73,17.36,-,16.27,3.52,1.01,1.18,0.51,0.47,Yes / Yes,8.37,10.09,1.93,23.69%,13.79%,22.48%,- 27.96%,11.73% 13.18%,35.55%,14.22%,75.33%,16.61%,Jul 30 AMC,215.36% 1.81%,8.95%,-0.03%,66.68%,0.00%,11.64%,24.28%,13.93%,50.60%,12.14%,12.22%,-2.85%,-4.42%,0.32%,"

",10.75B,9.79B,1.09%,2.21,106.57M,278.56 -15.46%,196.00 20.15%,2.52%,2.59%,7.34,44.41,1.47,2.11,48.17M,"101,839,774",0.79%,-1.19%,-10.47%,-3.09%,2.03%,2.31%,78.13%,41.54%,520.71%,1.22,317.02,226.65,235.50,3.90%,AMZN
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1845.18B,1890.46B,29.32B,75.47B,18.43,4.13,2.62 (0.68%),2.54 (0.65%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",64.56,19.84,0.35,24.45,21.04,94.01,56.32,44.94,25.05,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.55,3.21,69.94%,68.65%,56.55%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.91%,-1.96%,78.76%,-0.43%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,1.19%,-2.00%,6.03%,"

",4.76B,4.67B,1.47%,2.65,68.64M,495.00 -21.65%,281.61 37.72%,3.69%,3.55%,16.29,50.89,1.47,0.91,25.92M,"23,639,844",-1.18%,2.67%,-4.34%,16.38%,12.06%,28.16%,331.03%,699.01%,2294.37%,1.31,529.43,370.32,387.84,4.73%,AVGO
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2091.76B,2013.48B,71.86B,142.82B,35.53,21.29,4.12 (1.02%),3.50 (0.87%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",29.11,18.62,0.50,14.65,11.35,18.94,52.42,19.75,14.10,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.66,4.36,58.29%,30.38%,37.51%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.09%,-3.59%,15.15%,9.60%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,-3.20%,-5.13%,13.04%,"

",5.19B,5.18B,0.64%,2.34,33.35M,479.00 -15.80%,223.70 80.29%,4.28%,3.72%,18.77,45.89,1.43,1.22,14.27M,"17,474,339",-2.95%,-15.55%,2.41%,17.82%,32.72%,66.03%,299.87%,245.77%,1351.80%,1.20,537.70,374.67,403.31,7.64%,TSM
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1488.57B,1502.48B,-,-,2.64,1.79,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,42.48,62.70,-,-,-,1.11,1.22,0.74,0.69,Yes / Yes,-,-,-0.23,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,- -,95.13%,-0.00%,0.30%,80.87%,-,-,-,-,-,-,-14.67%,-23.28%,-23.28%,"

",7.38B,646.00M,25.55%,1.39,165.05M,225.64 -50.27%,107.01 4.85%,6.90%,6.44%,10.79,34.40,-,0.47,118.93M,"56,007,950",-5.11%,-34.33%,-,-,-25.20%,-,-,-,-,1.65,236.72,112.55,112.20,-0.31%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1368.29B,1389.64B,68.10B,228.25B,96.01,35.83,1.93 (0.36%),2.10 (0.39%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",20.30,15.62,0.81,5.99,5.61,15.04,33.39,12.40,6.09,2.35,2.23,0.43,0.42,Yes / Yes,26.55,34.51,6.87,37.31%,7.00%,19.34%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.38%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.71%,-0.06%,67.48%,-0.09%,18.29%,29.85%,18.35%,81.75%,39.14%,29.84%,-13.35%,-10.62%,-15.15%,"

",2.54B,2.19B,1.73%,2.07,37.85M,796.25 -32.30%,520.26 3.61%,2.81%,3.69%,25.63,32.11,1.23,2.32,18.24M,"42,271,465",-11.07%,-4.31%,-19.44%,-19.39%,-18.34%,-22.47%,65.61%,51.29%,334.91%,1.28,773.75,585.61,539.03,-7.95%,META
