Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,3.82%,2.06B,91.57,0.30,-4.26%,70.08M,17.40%,1.85B,-,-0.30,96.56%,6.37%,15.93%,-81.13M,19.44,209.81%,-4.67%,6.73,53.12%,105.97M,7.77,-74.47%,-20.04%,4.46M,5.32%,3.57,9.01,-,-26.72%,28.49 -2.67%,153.47%,3.08,-,- 21.35%,-28.64%,10.69 159.40%,179.25%,-,-,-36.43% 22.16%,89.81%,4.44%,3.89%,-8.12%,-,17.46,33.39%,-87.34%,1.12,-,-,5.88,38.87%,-76.56%,66.52,1.00,- -,5.88,-73.76%,9.72%,1.21,40.08,-,0.07,-91.90%,14.50%,1.19,26.98,264,0.06,Mar 02 BMO,37.53%,662.44K,27.73,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","789,892",2.78%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,40.84,1.16,11.57%,166.98M,-0.46%,7.94B,26.03,1.82,-3.61%,148.16M,4.87%,8.19B,2.68,0.36,89.69%,3.42%,2.66%,198.00M,4.68,9.17%,-3.62%,5.04,3.22%,1.70B,4.94,9.72%,7.22%,5.06M,1.94%,9.60,26.42,9.72%,12.06%,53.17 -10.87%,60.92%,1.79,25.08,46.13% -2.00%,9.25%,29.26 61.93%,130.16%,0.44 (0.93%),21.72,9.78% -2.36%,41.64%,2.84%,2.67%,91.07%,0.40 (0.84%),4.83,25.84%,17.01%,1.38,342.34%,"Feb 20, 2026",2.07,8.26%,11.68%,52.57,2.25,23.86% 3.50%,3.13,17.38%,3.33%,1.11,53.78,32.87%,0.35,9.85%,-1.54%,0.93,49.35,2600,0.34,Apr 21 AMC,3.15%,1.00M,47.39,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","936,358",-3.97%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,20.05,6.02,0.20%,424.93M,0.84%,50.98B,15.92,7.58,-2.31%,421.27M,2.21%,57.96B,1.84,1.62,99.47%,3.59%,-3.10%,2.67B,5.38,9.63%,-1.35%,3.56,-15.11%,9.47B,15.41,7.91%,18.00%,15.12M,-4.02%,7.84,22.05,8.66%,65.99%,172.23 -29.88%,-19.07%,5.48,22.33,10.25% 11.96%,21.26%,113.29 6.59%,-30.84%,2.17 (1.80%),14.19,5.42% 7.24%,70.49%,2.55%,2.50%,-27.01%,2.03 (1.68%),6.12,10.11%,38.00%,3.08,151.01%,"Apr 20, 2026",1.94,2.28%,28.23%,53.55,1.83,14.57% 19.02%,3.03,6.74%,2.72%,0.94,149.06,33.71%,2.79,3.02%,-1.08%,0.52,121.11,14500,2.78,May 07 BMO,-10.25%,4.24M,120.76,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","2,209,937",-0.29%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.22,1.55,0.00%,557.07M,2.12%,13.97B,11.57,2.17,-,557.07M,5.42%,12.05B,0.87,0.45,11.06%,2.76%,14.63%,1.26B,2.04,18.11%,1.38%,7.63,35.57%,6.84B,2.20,11.83%,9.85%,15.37M,20.06%,11.39,3.80,13.27%,14.05%,26.20 -4.27%,33.76%,6.59,-,7.85% 14.68%,13.23%,16.68 50.36%,-11.72%,0.78 (3.11%),6.65,9.14% 13.33%,25.00%,1.36%,2.67%,-11.39%,0.69 (2.75%),1.76,4.25%,19.63%,0.66,-,"Apr 08, 2026",1.45,11.11%,18.50%,56.81,1.41,- -,1.49,13.14%,1.18%,-0.21,29.17,43.04%,0.17,13.88%,3.07%,0.89,24.94,-,0.01,Mar 17 AMC,19.77%,2.02M,25.08,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","1,787,320",0.56%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,-4.96%,21.07B,28.64,4.57,-0.07%,103.41M,-14.76%,19.42B,1.49,1.01,54.24%,7.92%,-39.58%,-67.63M,7.02,22.18%,4.20%,2.78,-58.15%,3.00B,9.58,14.13%,-1.15%,8.19M,-41.75%,13.68,6.00,19.27%,-3.56%,336.99 -61.12%,-35.98%,21.85,24.13,54.06% 21.31%,-1.69%,114.62 14.29%,24.24%,-,1127.57,34.81% 44.03%,76.28%,6.74%,5.33%,-33.13%,-,6.47,-326.25%,-4.54%,8.23,-,-,1.82,23.91%,-2.25%,41.18,1.43,- -,1.82,-327.24%,-4.96%,1.00,229.15,-,0.85,25.91%,-14.28%,1.31,122.68,7923,0.82,Feb 26 AMC,-46.26%,2.94M,131.01,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","3,842,926",6.79%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,14.33,6.21,9.99%,266.81M,6.97%,26.23B,14.47,6.15,-2.82%,265.23M,18.77%,18.46B,4.36,1.42,69.70%,2.13%,7.02%,1.90B,5.39,-0.74%,1.21%,1.30,12.45%,4.87B,2.68,4.70%,16.56%,5.65M,3.18%,33.19,3.35,3.32%,20.28%,97.58 -8.76%,22.97%,26.56,13.63,162.73% 22.38%,19.31%,69.15 28.75%,28.10%,-,14.70,3.49% 12.92%,77.02%,5.69%,3.73%,-73.21%,-,3.79,93.43%,23.08%,3.45,-,-,4.28,4.36%,39.03%,65.57,2.12,- -,4.28,91.72%,10.71%,0.89,97.42,0.00%,0.01,5.31%,8.19%,1.40,82.40,7438,0.00,Feb 25 AMC,8.59%,4.34M,89.03,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","6,057,582",8.05%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,112.67M,8.70%,2.62B,-,-1.23,-14.00%,110.75M,21.98%,2.05B,-,-0.48,23.87%,4.82%,24.20%,-176.02M,5.68,-10.19%,-9.96%,7.49,-25.55%,461.41M,3.60,30.18%,-14.93%,5.33M,31.80%,6.47,3.32,19.87%,-22.62%,44.34 -47.56%,-23.47%,7.01,-,29.68% 14.26%,-24.15%,15.96 45.68%,-39.64%,-,-,29.03% 56.57%,58.47%,3.54%,3.66%,-85.79%,-,4.45,38.12%,-49.86%,0.88,-,-,2.27,15.59%,-38.15%,73.49,1.28,- -,2.45,42.77%,18.42%,0.84,33.27,-,0.31,17.92%,20.86%,1.97,21.96,1784,0.02,Feb 26 BMO,-8.44%,711.99K,23.25,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","1,401,875",5.87%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.30,6.01,1.49%,147.65M,1.39%,9.15B,9.29,6.66,-2.37%,145.68M,15.52%,-,1.64,1.42,81.11%,3.43%,5.69%,884.00M,1.85,4.50%,0.77%,2.61,14.88%,4.94B,1.28,5.98%,1.00%,4.99M,5.65%,48.18,-,5.68%,13.35%,66.18 -6.54%,41.24%,-,9.32,1.24% 14.71%,9.97%,39.42 56.89%,106.51%,1.82 (2.95%),-,14.19% 10.90%,-,2.08%,2.35%,10.82%,1.78 (2.88%),-,21.18%,23.77%,1.55,142.17%,"Feb 12, 2026",-,-1.00%,17.88%,66.48,2.57,3.66% 5.29%,0.36,31.00%,6.67%,0.81,65.60,29.30%,0.67,-0.08%,5.10%,0.86,61.69,9195,0.23,Apr 20 AMC,9.51%,1.92M,61.85,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,655,544",0.26%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.71,3.98,1.22%,120.47M,0.95%,3.22B,-,-3.98,0.00%,119.00M,-0.07%,7.17B,-,-0.15,48.37%,3.20%,23.78%,479.20M,0.47,-152.45%,9.35%,1.17,109.91%,6.90B,0.80,-90.46%,4.28%,3.81M,25.77%,33.38,1.80,-,11.89%,29.97 -10.91%,92.92%,14.83,1.89,-53.07% -1.60%,5.56%,12.33 116.55%,28.21%,0.02 (0.07%),3.36,-18.09% 11.58%,16.76%,1.28%,1.99%,-1.31%,1.99 (7.45%),1.04,-77.70%,12.28%,0.61,-,"Mar 20, 2026",1.15,-18.07%,6.94%,53.16,3.60,-46.24% -,1.23,-93.22%,1.29%,1.24,22.90,107.58%,1.43,-31.50%,1.59%,0.32,26.39,6785,1.14,Mar 09 BMO,38.91%,3.24M,26.70,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,037,994",1.17%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,26.92,0.43,75.38%,268.31M,4.07%,4.87B,18.74,0.61,0.00%,66.05M,16.16%,5.75B,1.10,-,23.09%,5.59%,6.48%,111.78M,2.25,4.61%,0.40%,4.75,31.28%,2.17B,2.55,30.80%,3.57%,3.69M,12.20%,4.51,14.01,16.96%,10.35%,11.93 -3.56%,67.88%,0.82,16.55,23.45% -,5.34%,6.76 70.24%,-11.67%,0.15 (1.27%),12.46,11.30% -,55.64%,5.06%,4.10%,15.52%,0.14 (1.23%),2.65,29.96%,8.54%,0.48,-,"Jul 07, 2025",0.91,2.91%,5.16%,62.29,1.92,- -,1.59,-54950.00%,9.54%,0.78,11.99,-,0.95,-,8.16%,0.71,11.54,7437,0.73,Mar 20 BMO,17.36%,776.99K,11.50,"Dec 20, 2021",Yes / Yes,44.68% -2.50%,"

","552,022",-0.35%,ZGN
