Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,484.13,0.09,81.68%,46.23M,4.96%,10.44B,15.08,2.89,-0.11%,43.95M,3.19%,9.60B,0.47,0.46,17.57%,6.55%,-35.66%,23.00M,4.04,34.35%,-3.00%,2.44,-34.87%,2.58B,2.15,31.30%,0.40%,2.88M,-36.07%,20.31,8.03,32.11%,0.47%,90.22 -51.65%,-30.83%,5.43,44.44,- -,0.46%,39.14 11.45%,-2.37%,-,36.78,9.67% -5.01%,74.14%,4.54%,4.79%,-69.55%,-,3.72,119.94%,-1.24%,2.17,90.07%,-,3.13,15.52%,0.89%,52.18,2.06,- -,3.13,105.41%,3.48%,2.07,73.65,0.00%,0.09,18.05%,-2.73%,0.43,41.00,7068,0.02,Feb 10 AMC,-34.11%,1.18M,43.62,"Jul 20, 2011",Yes / Yes,-3.27% 0.54%,"

","511,082",6.39%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.15,12.74%,221.18M,10.50%,4.24B,14.62,1.19,-0.04%,213.01M,-3.02%,4.14B,0.50,0.11,73.80%,11.91%,-26.12%,-31.51M,3.25,29.41%,0.95%,3.04,-8.05%,1.30B,5.29,25.76%,-2.37%,25.36M,-14.64%,3.29,13.26,28.98%,-4.25%,24.90 -30.24%,44.99%,1.31,22.91,58.59% 17.79%,-3.11%,10.69 62.49%,70.29%,-,41.04,30.21% 28.80%,55.11%,6.55%,5.94%,-,-,3.17,63.53%,2.21%,1.02,-,-,1.60,29.72%,-2.42%,56.89,1.40,- -,1.60,-56.98%,8.28%,1.24,28.92,-,0.27,25.41%,3.79%,0.90,16.20,3300,0.26,Feb 24 AMC,-4.76%,8.34M,17.37,"Jun 10, 2021",Yes / Yes,21.21% 4.06%,"

","7,484,883",7.22%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,42.40,1.11,5.89%,38.38M,7.86%,1.78B,6.69,7.01,0.00%,35.61M,11.58%,2.06B,3.43,1.00,116.45%,12.02%,29.36%,47.35M,1.22,-0.12%,-0.95%,3.99,30.64%,1.45B,1.03,5.84%,1.29%,4.28M,33.49%,45.69,2.92,1.95%,2.66%,50.55 -7.18%,49.43%,16.04,6.17,-5.27% -18.45%,1.90%,22.45 109.00%,-39.04%,-,4.94,1.42% 4.60%,70.01%,3.91%,4.28%,-57.88%,-,1.42,-22.24%,12.97%,2.05,-13.38%,"May 17, 2019",1.27,3.54%,3.26%,71.80,2.25,- -,1.27,-99.32%,8.38%,1.17,43.43,0.00%,0.51,-1.48%,23.40%,0.54,45.62,3900,0.42,Feb 23 AMC,30.60%,1.07M,46.92,"Jul 23, 1999",Yes / Yes,-5.13% -2.39%,"

","576,212",2.85%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,28.13,8.16,0.95%,49.59M,3.84%,11.30B,11.56,19.87,0.22%,48.72M,12.59%,13.87B,1.04,4.26,96.08%,4.43%,-12.16%,419.00M,2.08,12.79%,-2.93%,2.76,-18.56%,5.43B,3.17,11.21%,5.09%,2.16M,-5.43%,72.35,90.37,11.15%,11.68%,352.66 -34.88%,0.67%,2.54,13.59,-2.43% -2.63%,6.86%,199.05 15.37%,-24.23%,-,13.54,-1.54% 4.06%,46.33%,2.76%,3.39%,-54.78%,-,2.55,-19.74%,15.44%,8.16,256.75%,-,0.58,9.36%,7.71%,62.18,1.81,- -,0.97,-55.92%,8.40%,1.67,331.50,0.00%,0.75,12.28%,1.71%,1.03,226.70,10700,0.70,Feb 12 BMO,-15.54%,781.14K,229.64,"Aug 15, 1991",Yes / Yes,0.01% 0.58%,"

","805,649",1.30%,ZBRA
Zenas Biopharma Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-8.44,56.05%,54.49M,0.91%,1.21B,-,-4.61,1.53%,25.21M,-9.38%,944.23M,-,-1.47,43.01%,37.14%,-2.41%,-377.74M,120.75,42.83%,12.57%,11.52,-20.69%,10.00M,4.74,4.53%,-100.25%,9.36M,-42.03%,4.44,3.52,22.85%,-136.22%,44.60 -52.80%,141.40%,5.98,-,-39.47% -,-117.68%,8.09 160.20%,-,-,-,- -,99.44%,5.11%,7.78%,-,-,94.42,-116.54%,-2113.85%,1.66,-,-,5.61,100.00%,-3777.37%,45.63,1.25,- -,5.61,-310.86%,-0.54%,-0.35,42.00,-,0.33,-100.00%,-9.52%,0.78,21.34,167,0.33,Mar 16 BMO,-11.15%,812.63K,21.05,"Sep 13, 2024",Yes / Yes,-353.37% -100.00%,"

","631,087",-1.36%,ZBIO
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,26.56,3.55,0.15%,195.50M,1.28%,18.43B,10.45,9.02,-1.23%,195.36M,0.96%,25.60B,1.86,1.87,102.54%,5.12%,6.63%,705.00M,2.24,2.47%,2.86%,4.60,-0.94%,8.23B,1.45,7.31%,3.17%,10.00M,4.76%,64.95,31.14,5.62%,5.60%,108.29 -13.01%,-3.16%,3.03,15.72,47.75% -,3.56%,84.59 11.36%,-28.84%,0.91 (0.97%),10.59,5.85% 3.22%,60.94%,2.71%,2.38%,-43.47%,0.96 (1.02%),3.11,-20.10%,16.07%,2.27,-14.85%,"Mar 31, 2026",1.10,7.20%,8.56%,56.71,2.61,0.00% 0.00%,1.98,-41.28%,3.81%,0.61,102.24,27.05%,0.61,10.90%,1.09%,1.00,96.52,17000,0.56,Apr 28 BMO,-0.99%,2.18M,94.20,"Jul 25, 2001",Yes / Yes,0.92% 0.90%,"

","2,168,431",-2.40%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,482.80,0.09,29.80%,187.99M,5.00%,10.44B,15.09,2.88,-0.30%,168.43M,2.69%,9.60B,0.47,0.45,72.53%,8.73%,-36.81%,23.00M,4.04,33.80%,-2.99%,3.22,-37.64%,2.58B,2.14,31.33%,0.40%,14.71M,-36.24%,20.31,8.03,31.85%,0.47%,93.88 -53.66%,-32.13%,5.42,44.44,- -,0.46%,39.05 11.40%,-4.71%,-,36.78,9.67% -5.01%,74.14%,4.41%,4.99%,-69.24%,-,3.72,119.94%,-1.24%,2.24,99.08%,-,3.13,15.52%,0.89%,51.59,2.09,- -,3.13,105.41%,3.04%,2.10,73.48,0.00%,0.09,18.05%,-3.20%,0.62,40.89,7068,0.02,May 06 AMC,-35.98%,4.57M,43.50,"Aug 03, 2015",Yes / Yes,-2.91% 0.55%,"

","2,835,621",6.38%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,19.76,2.50,3.95%,354.00M,-0.90%,17.34B,15.35,3.22,-1.18%,337.34M,-8.69%,19.03B,1.28,0.85,74.06%,1.38%,2.51%,929.00M,1.47,14.88%,-2.47%,2.70,14.38%,11.80B,3.25,11.34%,8.48%,4.67M,3.44%,15.19,12.53,12.01%,16.73%,58.39 -15.43%,10.82%,3.94,20.36,34.03% 4.49%,12.81%,41.00 20.44%,-21.59%,1.08 (2.18%),9.75,7.23% 7.38%,17.35%,1.59%,2.19%,-17.42%,1.01 (2.05%),1.61,7.35%,12.71%,1.16,-,"Mar 04, 2026",0.85,4.37%,7.87%,42.48,1.31,25.99% 31.95%,1.05,28.84%,-1.50%,0.14,61.82,38.34%,0.44,8.79%,-6.18%,0.60,49.47,290000,0.35,Feb 04 BMO,3.55%,1.73M,49.38,"Oct 17, 2016",Yes / Yes,30.15% 3.90%,"

","1,041,893",-0.18%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,29.17,5.55,0.16%,277.00M,0.94%,44.77B,21.67,7.47,-10.92%,275.98M,0.10%,56.95B,1.86,1.37,87.84%,2.60%,3.57%,1.56B,5.45,10.36%,2.47%,3.78,15.28%,8.21B,-,11.95%,20.89%,7.18M,7.05%,-26.44,49.68,11.63%,-,169.39 -4.40%,11.92%,3.26,27.31,6.69% 13.51%,27.25%,137.33 17.92%,20.06%,3.04 (1.88%),20.75,6.28% 7.76%,46.17%,1.26%,1.94%,37.69%,2.88 (1.78%),6.93,5.99%,30.90%,3.07,175.19%,"Feb 20, 2026",1.35,8.80%,18.98%,58.24,2.27,7.60% 8.60%,1.35,27.83%,2.46%,0.63,172.83,51.19%,-,6.44%,1.12%,0.66,161.57,49000,-,Apr 29 BMO,6.88%,1.90M,161.94,"Sep 12, 1997",Yes / Yes,-1.86% 2.62%,"

","1,259,281",0.23%,YUM
York Space Systems Inc,Industrials,Aerospace & Defense,USA,NYSE,RUT,-,-,34.77%,127.61M,41.97%,5.04B,70.69,0.56,1.74%,82.80M,100.20%,5.19B,-,-0.11,0.03%,6.86%,-,-,-,92.21%,40.60%,2.68,-,-,5.83,910.06%,-,5.68M,18.06%,6.80,30.98,-,-,38.47 3.15%,-,1.28,-,-57.67% -,-,16.93 134.38%,-,-,-,27.36% -,-,17.63%,12.99%,-,-,-,-,-,3.38,-,-,1.48,-,-,74.73,1.60,- -,1.57,-,51.84%,-,35.80,-,0.17,-,57.63%,1.88,34.46,710,0.17,Mar 19 AMC,55.16%,2.12M,39.68,"Jan 29, 2026",Yes / Yes,-28.88% 2.58%,"

","3,979,843",15.15%,YSS
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,-,-1.98,0.04%,393.26M,-4.46%,16.34B,6.98,5.95,-9.31%,393.12M,10.92%,26.52B,-,0.98,8.59%,1.88%,19.26%,-765.36M,0.88,306.40%,-1.53%,3.34,50.24%,18.53B,1.49,36.65%,-2.60%,7.41M,14.88%,27.93,13.68,-,-6.82%,48.96 -15.15%,30.46%,3.04,-,- 2.51%,-3.97%,22.82 82.03%,233.65%,-,5.06,-0.90% 14.65%,27.47%,2.90%,4.65%,981.77%,-,1.43,-132.96%,10.50%,1.86,121.66%,"Jul 09, 2019",0.66,-4.12%,-4.13%,48.20,1.50,- -,0.87,-96.02%,-3.95%,1.26,51.46,-,1.03,-5.33%,4.43%,0.91,42.11,-,0.79,Feb 27 BMO,21.07%,2.22M,41.54,"Jun 29, 1993",Yes / Yes,-348.51% 4.33%,"

","2,023,088",-1.35%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,45.82,1.12,8.79%,97.99M,1.37%,6.81B,19.94,2.56,-15.45%,90.57M,9.30%,6.25B,0.65,0.32,94.95%,11.87%,51.08%,109.17M,7.56,29.76%,-2.64%,5.94,68.16%,900.78M,28.27,76.32%,8.60%,10.75M,46.30%,1.81,9.73,30.86%,58.05%,56.51 -9.57%,88.75%,5.25,19.86,- -,38.37%,23.66 116.00%,106.89%,0.70 (1.37%),28.27,27.22% 31.30%,60.58%,5.76%,5.73%,-,0.52 (1.02%),6.94,-36.34%,20.70%,2.78,-,"Mar 10, 2026",1.01,16.91%,12.12%,57.22,2.12,- -,1.01,-72.10%,1.83%,1.06,53.43,44.73%,0.63,16.72%,16.39%,0.58,48.39,3301,0.60,Feb 25 BMO,41.37%,1.81M,51.10,"Jun 30, 2021",Yes / Yes,5.08% 2.13%,"

","1,049,414",5.60%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,14.95,0.58,6.22%,939.30M,3.12%,8.08B,10.42,0.83,0.00%,880.85M,-2.38%,5.80B,0.89,0.13,72.41%,2.12%,-14.77%,612.46M,4.65,0.44%,1.95%,2.64,-30.48%,1.74B,1.63,23.70%,10.21%,18.64M,-19.85%,5.27,3.28,11.66%,11.24%,14.07 -38.88%,-16.67%,2.62,-,118.73% -,10.69%,8.04 6.97%,17.49%,0.29 (3.42%),10.58,20.22% 35.97%,63.57%,3.12%,2.91%,-,0.18 (2.09%),3.34,43.31%,32.73%,0.27,-,"Apr 08, 2026",6.26,11.30%,35.23%,52.24,1.60,- -,8.09,78.31%,3.99%,0.28,12.41,-,0.00,1.98%,-3.94%,1.39,8.39,-,0.00,Mar 12 BMO,-23.05%,7.06M,8.60,"Jun 22, 2021",Yes / Yes,-2.52% 8.69%,"

","9,833,275",2.50%,YMM
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,18.91,2.04,0.97%,74.99M,2.58%,2.92B,11.84,3.26,-1.31%,74.96M,4.67%,2.96B,0.93,0.18,122.53%,11.46%,-21.79%,165.39M,1.56,13.62%,-2.49%,6.07,19.81%,1.87B,4.45,15.66%,12.52%,8.59M,-12.66%,8.67,15.51,12.74%,23.79%,51.29 -24.78%,36.61%,2.49,13.77,25.37% 2.71%,19.26%,26.61 44.98%,-2.53%,0.22 (0.58%),11.05,5.41% 11.35%,57.41%,4.14%,3.85%,-54.34%,-,1.58,-0.40%,11.43%,1.60,-,-,1.11,2.11%,8.85%,51.80,1.94,- -,1.98,18.88%,4.76%,1.74,50.13,0.00%,0.35,6.80%,-5.99%,2.02,39.19,1390,0.32,Feb 19 BMO,-0.91%,1.42M,38.58,"Oct 25, 2018",Yes / Yes,4.14% 0.30%,"

","2,855,145",-1.56%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,11.94,2.26,4.00%,59.95M,6.07%,1.60B,10.52,2.56,-18.74%,57.14M,13.87%,1.30B,1.44,0.26,103.64%,13.19%,-8.37%,145.60M,1.09,-7.52%,-2.53%,5.16,-20.40%,1.46B,2.27,23.53%,14.99%,7.54M,-11.39%,11.86,4.94,7.29%,20.02%,41.22 -34.67%,-20.51%,5.45,4.96,65.31% -,19.99%,19.60 37.40%,-12.25%,-,5.20,7.07% 10.91%,86.85%,2.68%,3.01%,-33.31%,-,0.89,16.49%,12.97%,0.78,28.12%,-,2.99,3.75%,9.94%,70.91,2.92,- -,2.99,-1.87%,7.32%,0.50,25.62,0.00%,0.04,-0.54%,12.86%,0.57,26.19,5168,0.02,Feb 12 AMC,-8.82%,1.46M,26.93,"Mar 02, 2012",Yes / Yes,13.64% 0.20%,"

","832,737",2.83%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.27,0.84,-,133.34M,6.30%,922.71M,7.52,0.92,-,131.47M,7.79%,161.29M,-,-,16.21%,1.04%,1.02%,149.83M,2.70,4.82%,2.95%,4.69,-4.16%,341.93M,1.39,5.75%,17.65%,1.36M,-0.29%,4.97,1.22,-,19.79%,9.29 -25.51%,13.44%,5.66,-,16.90% -,18.47%,5.88 17.69%,75.19%,-,-,4.04% 20.44%,67.27%,2.79%,3.41%,-68.53%,-,0.47,13.68%,35.74%,0.22,-,-,8.87,0.66%,43.82%,63.64,1.00,- -,9.02,11.98%,8.01%,0.53,9.40,0.00%,0.00,-7.67%,2.72%,1.23,6.85,-,0.00,Mar 09 AMC,-4.02%,290.50K,6.92,"Sep 30, 2020",Yes / Yes,- -1.56%,"

","358,536",1.02%,YALA
Exzeo Group Inc,Financial,Insurance - Diversified,USA,NYSE,RUT,-,-,86.30%,90.91M,6.06%,1.53B,14.47,1.16,0.21%,12.46M,7.01%,1.23B,-,0.21,8.67%,4.43%,-22.52%,-,-,-2.36%,14.65%,2.87,-,-,6.01,20.00%,-,0.55M,-30.76%,2.80,5.00,-,-,24.60 -31.75%,-,3.36,-,- -,-,12.91 30.00%,-,-,-,68.16% 59.02%,-,4.80%,5.13%,-,-,-,-,-,0.84,-,-,3.86,-,-,61.62,1.00,- -,3.86,490.77%,12.69%,-,26.00,0.00%,0.03,92.89%,7.73%,0.97,16.18,354,0.02,Feb 25 AMC,-6.57%,192.49K,16.79,"Nov 05, 2025",No / Yes,44.26% 15.75%,"

","186,122",3.77%,XZO
