Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",4755.54B,4687.78B,159.61B,253.49B,8.07,3.33,0.65 (0.33%),0.28 (0.14%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",30.09,15.41,0.33,18.76,24.35,59.02,39.94,28.32,18.49,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.75,2.08,88.70%,41.68%,47.26%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,May 20 AMC,6.52% 3.43%,3.85%,-0.31%,69.29%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,-3.45%,-5.79%,1.84%,"

",24.22B,23.27B,1.39%,2.09,324.05M,236.54 -16.92%,164.07 19.77%,3.91%,3.57%,7.69,42.45,2.22,1.00,155.05M,"154,353,698",-3.33%,0.39%,-5.65%,4.71%,5.37%,13.26%,328.13%,923.06%,13921.41%,1.23,314.29,206.84,196.51,-4.99%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4948.32B,4964.52B,122.58B,451.44B,7.26,4.66,1.08 (0.32%),1.05 (0.31%),"May 11, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",40.76,34.77,2.66,10.96,46.40,72.23,38.31,31.03,11.00,1.02,1.07,0.80,0.70,Yes / Yes,8.27,9.69,1.89,17.43%,10.61%,13.08%,6.89% 17.91%,1.81% 8.71%,28.91%,12.76%,22.04%,16.60%,Jul 30 AMC,3.30% 1.58%,0.12%,-2.21%,66.05%,0.00%,34.91%,141.47%,67.76%,47.86%,32.64%,27.15%,6.27%,9.75%,21.90%,"

",14.69B,14.67B,1.00%,2.66,146.55M,334.99 0.57%,201.50 67.20%,2.18%,2.62%,8.14,67.28,1.07,0.90,55.15M,"49,604,297",3.16%,22.45%,24.29%,35.83%,23.93%,57.52%,74.37%,129.55%,1209.02%,1.98,325.41,333.02,336.91,1.17%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",3990.16B,3883.06B,244.12B,446.31B,50.90,19.84,0.80 (0.25%),0.85 (0.26%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",16.41,21.78,1.22,8.94,6.42,16.46,74.90,21.89,8.70,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.99,3.02,84.53%,-24.85%,17.79%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.09%,-0.04%,38.68%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-7.14%,-10.08%,0.70%,"

",5.87B,5.83B,1.35%,2.38,78.67M,408.61 -20.08%,187.82 73.87%,2.14%,2.79%,11.76,37.15,1.26,0.86,33.05M,"28,471,593",-7.22%,-4.99%,-5.18%,-0.42%,4.33%,69.04%,152.36%,147.58%,757.15%,1.30,428.45,319.74,326.56,2.13%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",3998.41B,3891.31B,244.12B,446.31B,50.90,19.80,0.80 (0.25%),0.85 (0.26%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",16.41,21.80,1.23,8.96,6.42,16.49,75.06,21.94,8.72,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.98,3.02,84.41%,-24.86%,17.70%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.15%,-0.03%,27.15%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-6.68%,-9.51%,0.93%,"

",5.53B,5.09B,1.09%,2.47,55.65M,404.47 -19.26%,188.70 73.06%,2.10%,2.70%,11.63,37.91,1.25,0.95,22.49M,"21,419,627",-7.06%,-4.56%,-4.60%,-0.57%,4.07%,68.27%,151.46%,138.73%,780.52%,1.31,428.15,319.09,326.57,2.34%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",2890.40B,2937.56B,125.22B,318.27B,55.78,10.54,3.68 (0.95%),3.56 (0.91%),"Aug 20, 2026",10.21% 10.23%,24.34%,228000,"Mar 13, 1986",23.17,19.99,1.07,9.08,6.98,36.93,39.64,15.25,9.23,1.27,1.28,0.30,0.26,Yes / Yes,16.79,19.47,4.24,24.67%,14.48%,18.65%,12.24% 18.80%,12.42% 14.52%,29.64%,17.87%,23.32%,18.30%,Jul 29 AMC,5.13% 1.77%,1.54%,-0.03%,74.84%,-1.84%,19.93%,34.01%,24.02%,68.31%,46.80%,39.34%,0.36%,-2.45%,-10.64%,"

",7.43B,7.31B,1.26%,2.36,92.37M,555.45 -29.95%,349.20 11.43%,2.51%,2.87%,11.88,49.29,1.12,0.71,39.09M,"27,856,160",-3.28%,10.28%,-8.37%,-16.49%,-19.54%,-24.26%,17.65%,35.79%,592.47%,1.23,554.77,381.70,389.10,1.94%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2489.09B,2569.97B,90.80B,742.78B,41.09,13.57,-,-,-,- -,0.00%,1576000,"May 15, 1997",27.65,22.98,1.04,3.35,5.63,17.05,-,16.00,3.46,1.01,1.18,0.51,0.47,Yes / Yes,8.37,10.07,1.82,23.24%,13.95%,22.18%,- 27.96%,11.73% 13.18%,35.55%,14.22%,75.33%,16.61%,Jul 30 AMC,70.22% 2.39%,8.95%,-0.03%,66.69%,0.00%,11.64%,24.28%,13.93%,50.60%,12.14%,12.22%,-5.08%,-6.87%,-1.38%,"

",10.75B,9.79B,1.09%,2.19,106.57M,278.56 -16.93%,196.00 18.06%,2.01%,2.74%,7.06,36.95,1.47,0.72,48.74M,"34,999,495",-7.44%,1.93%,-12.35%,-3.25%,0.25%,-0.02%,80.42%,27.61%,528.21%,1.22,316.99,232.11,231.39,-0.31%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2069.87B,1991.60B,71.86B,142.82B,35.53,21.29,4.13 (1.03%),3.50 (0.88%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",28.80,18.45,0.49,14.49,11.23,18.74,51.87,19.54,13.94,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.63,4.36,57.92%,30.52%,37.52%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.09%,-3.61%,15.19%,9.60%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,-6.53%,-6.33%,12.31%,"

",5.19B,5.18B,0.64%,2.38,33.35M,479.00 -16.68%,223.70 78.40%,3.09%,3.81%,17.59,41.06,1.40,1.28,14.00M,"17,932,365",-0.80%,-8.25%,-0.84%,19.18%,31.33%,62.50%,301.70%,251.50%,1320.25%,1.20,537.70,403.41,399.09,-1.07%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1823.20B,1868.48B,29.32B,75.47B,18.43,4.13,2.62 (0.68%),2.54 (0.66%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",63.80,19.65,0.35,24.16,20.79,92.89,55.65,44.42,24.76,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.50,3.21,69.94%,68.26%,56.48%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.91%,-1.96%,78.84%,-0.43%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,0.24%,-3.88%,4.94%,"

",4.76B,4.67B,1.47%,2.65,68.64M,495.00 -22.58%,281.61 36.08%,3.57%,3.47%,16.23,48.36,1.47,0.71,25.90M,"18,502,121",1.34%,1.14%,-9.35%,19.74%,10.73%,32.06%,328.88%,706.17%,2213.29%,1.31,528.60,381.92,383.22,0.34%,AVGO
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1505.82B,1519.73B,-,-,2.64,1.79,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,42.98,63.42,-,-,-,1.11,1.22,0.74,0.69,Yes / Yes,-,-,-0.23,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,- -,95.13%,-0.00%,0.28%,80.87%,-,-,-,-,-,-,-18.38%,-24.08%,-24.08%,"

",7.38B,646.00M,25.55%,1.33,165.05M,225.64 -49.70%,110.85 2.39%,6.78%,6.39%,11.34,33.95,-,0.52,124.33M,"64,540,679",-5.30%,-25.82%,-,-,-24.33%,-,-,-,-,1.65,236.72,115.07,113.50,-1.36%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1507.49B,1512.74B,70.59B,214.96B,96.01,32.11,1.96 (0.33%),2.10 (0.35%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",21.59,16.89,0.84,7.01,6.19,18.49,31.24,13.84,7.04,2.35,2.35,0.36,0.35,Yes / Yes,27.51,35.16,7.19,40.19%,6.76%,20.17%,39.86% 18.41%,19.89% 18.51%,6.07%,26.18%,62.49%,33.08%,Jul 29 AMC,55.89% 1.36%,13.70%,-0.06%,67.46%,-0.09%,20.90%,32.93%,21.52%,81.94%,41.21%,32.84%,-4.70%,-1.94%,-6.84%,"

",2.20B,2.19B,1.73%,2.08,37.85M,796.25 -25.42%,520.26 14.15%,2.91%,3.67%,24.01,43.52,1.23,0.62,18.19M,"11,195,251",-8.05%,9.39%,-12.02%,-9.85%,-10.03%,-16.67%,90.52%,61.46%,381.49%,1.28,822.55,595.19,593.87,-0.22%,META
