Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,-6.33%,1.73B,64.56,0.36,-4.26%,70.08M,2.20%,1.52B,-,-0.30,96.46%,5.90%,-9.98%,-81.13M,16.29,209.81%,-4.53%,5.46,52.93%,105.97M,6.51,-69.66%,-20.04%,4.14M,-11.77%,3.57,7.54,-,-26.72%,28.49 -18.46%,89.17%,3.08,-,- 21.35%,-28.64%,9.03 157.25%,192.94%,-,-,-36.43% 22.16%,89.81%,7.69%,5.04%,-34.19%,-,14.30,33.39%,-87.34%,1.33,-,-,5.88,38.87%,-76.56%,45.95,1.00,- -,5.88,-73.76%,-2.31%,1.25,40.08,-,0.07,-91.90%,-1.98%,0.90,25.14,264,0.06,Mar 02 BMO,24.24%,756.94K,23.23,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","680,652",-7.60%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,39.52,1.16,11.57%,166.98M,-5.33%,7.65B,25.17,1.82,-3.72%,147.50M,-11.35%,7.90B,2.59,0.36,90.17%,3.48%,-0.15%,198.00M,4.51,9.17%,-3.66%,5.31,-0.09%,1.70B,4.78,9.78%,7.22%,5.14M,-1.36%,9.60,25.46,9.72%,12.06%,53.17 -13.75%,39.69%,1.80,24.16,46.13% -2.00%,9.25%,27.74 65.32%,115.20%,0.44 (0.96%),20.95,9.78% -2.36%,41.64%,2.84%,2.63%,77.17%,0.40 (0.87%),4.66,25.84%,17.01%,1.41,363.06%,"Feb 20, 2026",2.07,8.26%,11.68%,27.37,2.25,23.86% 3.50%,3.13,17.38%,-7.79%,1.08,55.33,32.87%,0.35,9.85%,-5.46%,0.75,47.01,2600,0.34,Feb 03 AMC,2.30%,967.92K,45.86,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","729,871",-2.45%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.17,6.02,0.20%,424.93M,-5.54%,48.74B,15.29,7.55,-2.31%,421.27M,-9.89%,55.72B,1.83,1.61,99.87%,4.11%,-0.25%,2.67B,5.15,8.90%,-1.17%,3.50,-22.73%,9.47B,14.73,8.19%,18.00%,17.30M,-8.23%,7.84,21.08,8.35%,65.99%,172.23 -32.96%,-28.59%,5.48,21.35,10.25% 11.96%,21.26%,115.25 0.18%,-28.52%,2.18 (1.89%),13.64,5.42% 7.24%,70.49%,3.08%,3.24%,-24.32%,2.03 (1.76%),5.89,10.11%,38.00%,3.68,175.76%,"Apr 20, 2026",1.94,2.28%,28.23%,29.98,1.91,14.57% 19.02%,3.03,6.74%,-8.00%,0.97,149.73,33.71%,2.79,3.02%,-8.05%,0.79,119.79,14500,2.78,Feb 12 BMO,-17.45%,4.95M,115.46,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","3,912,342",-3.61%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.75,1.49,0.00%,591.63M,4.82%,13.69B,12.71,1.85,-,575.32M,-3.81%,11.96B,1.33,0.45,10.55%,3.60%,12.45%,1.23B,2.08,5.98%,3.93%,9.57,21.77%,6.59B,2.06,12.17%,9.42%,20.71M,12.45%,11.39,3.85,9.52%,13.83%,25.52 -7.95%,22.41%,6.10,-,18.24% 8.45%,13.37%,16.34 43.76%,-7.55%,0.69 (2.93%),6.66,9.28% 13.97%,26.00%,1.84%,2.05%,-26.71%,0.65 (2.77%),1.82,3.12%,20.42%,0.58,-,"Sep 30, 2025",1.34,12.90%,18.61%,49.22,1.32,- -,1.38,7.47%,-2.71%,-0.15,25.08,45.76%,0.19,11.30%,1.90%,0.44,23.60,24471,0.01,Mar 17 AMC,16.82%,2.16M,23.49,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","947,341",-0.47%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,-6.39%,24.38B,33.19,4.57,-0.14%,103.41M,-13.04%,22.73B,1.75,1.01,54.21%,6.92%,-37.61%,-67.63M,8.12,22.04%,4.21%,2.89,-45.62%,3.00B,11.09,14.10%,-1.15%,7.16M,-32.59%,13.68,6.94,19.01%,-3.56%,336.99 -55.01%,-23.35%,21.85,27.92,54.06% 21.31%,-1.69%,140.56 7.86%,43.77%,-,1319.93,34.81% 44.03%,76.28%,5.03%,5.84%,-17.88%,-,7.57,-326.25%,-4.54%,9.53,-,-,1.82,23.91%,-2.25%,38.01,1.41,- -,1.82,-327.24%,-5.09%,1.11,231.29,-,0.85,25.91%,-19.02%,0.93,153.81,7923,0.82,Feb 26 AMC,-42.07%,2.47M,151.61,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","2,294,163",-1.43%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,12.07,6.21,9.99%,266.81M,-3.09%,22.08B,12.18,6.15,-2.66%,265.23M,-21.11%,14.31B,3.67,1.42,70.07%,2.39%,-14.48%,1.90B,4.54,-0.74%,0.97%,1.63,-10.54%,4.87B,2.26,4.70%,16.56%,6.34M,-13.15%,33.19,2.82,3.32%,20.28%,97.58 -23.20%,1.34%,26.56,11.48,162.73% 22.38%,19.31%,64.41 16.35%,11.65%,-,11.39,3.49% 12.92%,77.02%,3.38%,4.65%,-78.37%,-,2.94,93.43%,23.08%,3.70,-,-,4.28,4.36%,39.03%,34.79,2.06,- -,4.28,91.72%,-8.49%,0.95,97.42,0.00%,0.01,5.31%,-12.43%,0.75,76.05,7438,0.00,Feb 25 AMC,-8.48%,3.88M,74.94,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","2,915,500",-1.46%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,-2.23%,2.11B,-,-1.03,-11.64%,110.17M,-3.48%,1.55B,-,-0.47,25.24%,3.45%,0.91%,-176.02M,4.58,-3.34%,-9.48%,4.97,-33.56%,461.41M,2.92,37.45%,-14.93%,3.80M,6.97%,6.47,2.68,22.20%,-22.62%,44.34 -57.44%,-46.74%,7.05,-,29.68% 14.26%,-24.15%,15.96 18.23%,-42.26%,-,-,29.03% 56.57%,58.47%,3.06%,3.65%,-86.87%,-,3.36,38.17%,-49.86%,0.86,-,-,2.27,15.52%,-38.15%,48.89,1.27,- -,2.45,42.77%,-2.56%,0.88,35.01,-,0.31,17.92%,1.64%,0.78,19.07,1784,0.02,Feb 26 BMO,-30.87%,765.38K,18.87,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","596,929",-1.05%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.03,6.01,1.49%,147.65M,-5.64%,8.02B,8.26,6.57,-2.37%,145.68M,-15.36%,-,1.98,1.42,81.16%,3.23%,-3.32%,884.00M,1.62,3.66%,0.74%,2.60,-6.45%,4.94B,1.13,5.44%,1.00%,4.71M,-7.35%,48.18,-,4.17%,13.35%,66.18 -18.04%,13.14%,-,8.18,1.24% 14.71%,9.97%,39.32 37.95%,34.42%,1.82 (3.35%),-,14.19% 10.90%,-,3.29%,3.57%,-8.16%,1.78 (3.28%),-,21.18%,23.77%,2.06,117.57%,"Feb 12, 2026",-,-1.00%,17.88%,32.81,2.62,3.66% 5.29%,0.36,31.00%,-7.63%,0.83,66.59,29.30%,0.67,-0.08%,-9.44%,0.87,54.85,9195,0.23,Jan 20 AMC,-2.22%,1.81M,54.24,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,579,650",-1.11%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.84,3.98,1.22%,120.47M,-4.36%,3.28B,-,-4.11,0.00%,118.99M,31.21%,7.23B,-,-0.15,48.36%,5.35%,36.89%,479.20M,0.47,-166.63%,9.52%,1.51,106.06%,6.90B,0.81,-55.01%,4.28%,6.36M,28.12%,33.38,1.83,-,11.89%,29.97 -9.24%,40.35%,14.83,1.92,-53.07% -1.60%,5.56%,11.03 146.49%,44.50%,0.02 (0.09%),3.39,-18.09% 11.58%,16.76%,3.25%,3.31%,16.82%,4.28 (15.74%),1.05,-77.70%,12.28%,1.04,-,"Mar 20, 2026",1.15,-18.07%,6.94%,53.02,3.60,-46.24% -,1.23,-93.22%,-2.59%,1.45,22.30,107.58%,1.43,-31.50%,11.76%,0.78,28.07,6785,1.14,Mar 09 BMO,50.09%,4.22M,27.20,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","3,299,470",-3.10%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,24.81,0.41,75.38%,254.09M,-5.72%,4.11B,21.89,0.46,0.00%,62.55M,-6.60%,5.14B,1.10,-,24.37%,5.99%,-1.57%,103.34M,1.98,25.82%,0.40%,5.35,13.05%,2.08B,2.46,5.57%,3.34%,3.75M,-1.95%,4.09,15.26,19.88%,10.58%,11.93 -15.72%,35.99%,0.66,22.23,- -,5.45%,6.05 66.12%,-21.11%,0.15 (1.45%),11.51,11.29% -,55.55%,4.59%,4.31%,1.31%,0.14 (1.41%),2.47,-5.94%,8.97%,0.48,-,"Jul 07, 2025",0.79,-1.89%,4.97%,39.70,1.92,15.87% -,1.42,-54950.00%,-8.97%,0.74,11.47,42.68%,1.17,-,-3.90%,1.19,10.55,7395,0.82,Sep 05 BMO,4.68%,700.70K,10.05,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","834,018",-4.74%,ZGN
