Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",4919.38B,4851.62B,159.61B,253.49B,8.07,3.33,0.64 (0.32%),0.28 (0.14%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",31.13,15.96,0.34,19.41,25.19,61.06,41.31,29.31,19.14,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.74,2.08,88.47%,41.68%,47.58%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,May 20 AMC,6.52% 3.43%,3.85%,-0.33%,70.44%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,0.76%,-3.12%,5.61%,"

",24.22B,23.27B,1.33%,1.98,310.13M,236.54 -14.06%,164.07 23.90%,3.54%,3.32%,7.34,48.62,2.22,0.57,156.70M,"88,701,540",-0.12%,-0.67%,0.79%,8.68%,9.00%,17.90%,346.57%,992.20%,14896.68%,1.23,313.74,202.81,203.28,0.23%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4796.74B,4812.95B,122.58B,451.44B,7.26,4.66,1.08 (0.33%),1.05 (0.32%),"May 11, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",39.51,33.76,2.61,10.63,44.98,70.02,37.13,30.09,10.66,1.02,1.07,0.80,0.70,Yes / Yes,8.27,9.67,1.89,17.44%,10.40%,12.92%,6.89% 17.91%,1.81% 8.71%,28.91%,12.76%,22.04%,16.60%,Jul 30 AMC,3.30% 1.58%,0.12%,-2.04%,67.21%,0.00%,34.91%,141.47%,67.76%,47.86%,32.64%,27.15%,6.40%,7.63%,18.94%,"

",14.69B,14.67B,0.96%,2.56,140.53M,334.99 -2.51%,201.50 62.08%,2.46%,2.76%,8.27,63.87,1.07,0.98,54.82M,"53,468,008",2.92%,10.35%,20.86%,26.48%,20.13%,54.65%,69.10%,123.46%,1206.88%,2.04,321.28,333.74,326.59,-2.14%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4281.63B,4249.48B,160.21B,423.17B,39.51,10.43,0.86 (0.25%),0.85 (0.24%),"Jun 08, 2026",- -,7.68%,190820,"Aug 19, 2004",26.85,23.70,1.39,10.12,8.91,33.76,66.45,25.66,10.04,1.92,1.92,0.20,0.19,Yes / Yes,13.11,14.85,2.87,32.51%,3.67%,17.02%,33.35% 29.82%,12.78% 17.18%,46.22%,17.77%,81.96%,22.34%,Jul 22 AMC,90.47% 2.73%,52.09%,-0.04%,39.25%,0.00%,27.17%,38.88%,28.04%,60.43%,33.63%,37.86%,-0.88%,-4.78%,9.25%,"

",12.17B,5.83B,1.47%,2.71,85.86M,408.61 -13.86%,183.71 91.60%,3.65%,3.09%,11.78,45.65,1.24,0.78,31.74M,"24,736,644",-0.15%,-3.24%,3.02%,5.77%,12.46%,90.20%,195.29%,178.89%,829.86%,1.38,437.58,346.77,351.99,1.51%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4282.11B,4249.97B,160.21B,423.17B,39.51,10.41,0.86 (0.25%),0.85 (0.24%),"Jun 08, 2026",- -,7.68%,190820,"Mar 27, 2014",26.80,23.69,1.40,10.12,8.89,33.76,66.46,25.66,10.04,1.92,1.92,0.20,0.19,Yes / Yes,13.11,14.83,2.87,32.48%,3.57%,16.91%,33.35% 29.82%,12.78% 17.18%,46.22%,17.77%,81.96%,22.34%,Jul 22 AMC,90.39% 2.74%,58.15%,-0.03%,27.58%,0.00%,27.17%,38.88%,28.04%,60.43%,33.63%,37.86%,-0.51%,-4.28%,9.29%,"

",5.46B,5.09B,1.15%,2.70,58.49M,404.47 -13.13%,184.73 90.21%,3.69%,3.00%,11.61,46.56,1.24,0.61,21.69M,"13,203,263",0.20%,-2.96%,3.53%,5.47%,11.97%,88.97%,193.96%,168.01%,848.12%,1.38,437.42,346.12,351.37,1.52%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",2988.39B,3035.55B,125.22B,318.27B,55.78,10.54,3.68 (0.92%),3.56 (0.88%),"Aug 20, 2026",10.21% 10.23%,24.34%,228000,"Mar 13, 1986",23.96,20.67,1.11,9.39,7.21,38.18,40.98,15.76,9.54,1.27,1.28,0.30,0.26,Yes / Yes,16.79,19.46,4.24,24.51%,14.58%,18.68%,12.24% 18.80%,12.42% 14.52%,29.64%,17.87%,23.32%,18.30%,Jul 29 AMC,5.18% 1.77%,1.54%,-0.03%,75.96%,-1.37%,19.93%,34.01%,24.02%,68.31%,46.80%,39.34%,5.23%,0.25%,-8.31%,"

",7.43B,7.31B,1.22%,2.26,89.06M,555.45 -27.57%,349.20 15.20%,3.02%,3.04%,12.20,56.15,1.12,0.71,39.36M,"27,915,762",2.89%,6.17%,-4.85%,-11.91%,-16.82%,-21.13%,15.98%,44.02%,619.53%,1.23,556.19,393.82,402.29,2.15%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2689.17B,2770.05B,90.80B,742.78B,41.09,13.57,-,-,-,- -,0.00%,1576000,"May 15, 1997",29.88,24.78,1.12,3.62,6.08,18.42,-,17.24,3.73,1.01,1.18,0.51,0.47,Yes / Yes,8.37,10.09,1.82,23.55%,13.90%,22.10%,- 27.96%,11.73% 13.18%,35.55%,14.22%,75.33%,16.61%,Jul 30 AMC,70.22% 2.39%,8.95%,-0.03%,67.70%,0.00%,11.64%,24.28%,13.93%,50.60%,12.14%,12.22%,3.16%,-0.65%,6.74%,"

",10.75B,9.79B,1.02%,2.04,100.35M,278.56 -10.26%,196.00 27.55%,2.68%,3.09%,7.45,54.04,1.46,0.66,49.30M,"32,406,481",1.08%,5.26%,-0.23%,4.96%,8.31%,10.55%,92.36%,39.93%,570.47%,1.21,317.33,247.23,249.99,1.12%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2086.52B,2008.24B,71.86B,142.82B,35.53,21.29,4.08 (1.01%),3.50 (0.87%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",29.04,18.81,0.51,14.61,11.32,18.89,52.29,19.70,14.06,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.39,4.33,57.28%,29.61%,36.97%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.09%,-3.79%,15.17%,9.73%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,-7.38%,-5.41%,14.17%,"

",5.19B,5.18B,0.54%,1.96,27.73M,479.00 -16.01%,223.70 79.84%,3.54%,3.98%,18.64,40.81,1.40,0.82,14.15M,"11,653,694",-4.57%,-6.91%,8.58%,17.76%,32.38%,67.35%,311.10%,245.62%,1360.25%,1.26,523.90,398.37,402.30,0.99%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1799.13B,1844.41B,29.32B,75.47B,18.43,4.13,2.62 (0.69%),2.54 (0.67%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",62.95,19.45,0.35,23.84,20.52,91.66,54.92,43.85,24.44,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.45,3.21,69.86%,67.86%,56.10%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.91%,-1.96%,79.95%,-0.09%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,-0.53%,-5.93%,3.93%,"

",4.76B,4.67B,1.50%,2.68,70.12M,495.00 -23.60%,273.00 38.52%,3.59%,3.52%,17.03,46.74,1.47,0.55,26.20M,"14,420,450",-1.53%,-3.75%,-6.98%,10.24%,9.26%,33.47%,325.69%,707.02%,2224.71%,1.32,528.00,370.83,378.16,1.98%,AVGO
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1590.07B,1603.98B,-,-,2.64,1.79,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,45.38,66.97,-,-,-,1.11,1.22,0.74,0.69,Yes / Yes,-,-,-0.22,-,-,-,-3.29% -,34.08% -,-,-,-,-,Jun 03,- -,95.13%,-0.00%,0.06%,66.05%,-,-,-,-,-,-,-19.22%,-23.16%,-23.16%,"

",7.38B,646.00M,17.23%,0.82,111.30M,225.64 -46.88%,122.12 -1.86%,5.67%,7.20%,12.86,34.37,-,0.42,135.16M,"57,337,250",-13.86%,-37.52%,-,-,-20.10%,-,-,-,-,1.61,240.65,123.99,119.85,-3.34%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1639.44B,1644.69B,70.59B,214.96B,96.01,32.11,1.97 (0.30%),2.10 (0.33%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",23.48,18.46,0.94,7.63,6.73,20.11,33.98,15.05,7.65,2.35,2.35,0.36,0.35,Yes / Yes,27.51,34.98,7.20,40.17%,6.23%,19.63%,39.86% 18.41%,19.89% 18.51%,6.07%,26.18%,62.49%,33.08%,Jul 29 AMC,55.89% 1.36%,13.70%,-0.06%,68.44%,0.52%,20.90%,32.93%,21.52%,81.94%,41.21%,32.84%,6.11%,6.72%,0.90%,"

",2.20B,2.19B,1.57%,1.90,34.49M,796.25 -18.89%,520.26 24.14%,3.47%,3.61%,25.69,56.76,1.23,0.56,18.16M,"10,225,186",-1.66%,13.79%,-6.20%,4.04%,-2.16%,-8.30%,113.49%,89.03%,429.73%,1.29,819.45,646.01,645.85,-0.02%,META
Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,Mega,NASD,"NDX, S&P 500",1388.00B,1359.51B,3.86B,97.88B,22.40,12.00,-,-,-,- -,0.00%,134785,"Jun 29, 2010",337.63,151.12,5.91,14.18,16.50,30.80,198.29,117.32,13.89,1.62,2.04,0.19,0.16,Yes / Yes,1.09,2.45,0.53,19.60%,23.18%,25.56%,-33.28% 38.32%,5.19% 24.63%,-39.81%,2.25%,16.01%,15.78%,Jul 22 AMC,15.85% 1.30%,30.04%,-0.01%,44.29%,0.15%,2.87%,4.86%,3.96%,19.07%,5.41%,3.95%,-6.75%,-9.69%,-11.30%,"

",3.75B,2.63B,3.01%,1.60,79.11M,498.83 -25.91%,297.82 24.09%,3.09%,4.39%,16.90,39.22,1.82,0.69,49.40M,"33,901,516",-6.38%,-6.76%,-7.75%,-15.73%,-17.82%,12.11%,40.57%,67.86%,2327.55%,2.55,407.48,380.84,369.57,-2.96%,TSLA
