Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,Mega,NASD,"NDX, S&P 500",1297.74B,1270.46B,3.81B,103.62B,21.99,11.15,-,-,-,- -,0.00%,134785,"Jun 29, 2010",305.29,146.38,6.14,12.52,14.94,29.48,225.22,112.94,12.26,1.55,1.94,0.19,0.16,Yes / Yes,1.08,2.24,0.46,1.88%,32.73%,23.85%,-33.28% 38.32%,5.19% 24.63%,-37.64%,11.75%,-5.50%,25.52%,Jul 22 AMC,-38.12% 6.86%,28.56%,-0.01%,41.38%,-0.88%,2.75%,4.64%,3.79%,18.85%,4.61%,3.67%,-4.30%,-13.63%,-19.62%,"

",3.95B,2.82B,2.50%,1.54,70.65M,498.83 -34.13%,297.38 10.49%,3.14%,3.62%,14.82,41.41,1.82,0.86,46.01M,"39,492,345",5.58%,-19.18%,-20.21%,-17.28%,-26.94%,1.96%,30.67%,41.00%,2042.64%,2.45,375.55,319.53,328.58,2.83%,TSLA
Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,Mega,NYSE,S&P 500,1116.18B,1162.13B,26.71B,79.67B,35.98,9.51,7.05 (0.59%),6.46 (0.54%),"Aug 14, 2026",15.24% 15.18%,26.14%,50000,"Jul 09, 1970",40.29,25.57,0.85,14.01,32.95,124.71,61.36,27.87,14.59,1.00,1.35,1.62,1.41,Yes / Yes,29.43,46.37,9.76,50.35%,27.40%,30.06%,49.25% 27.59%,31.69% 21.58%,95.08%,49.58%,26.20%,47.67%,Aug 05 BMO,30.92% 10.33%,9.88%,-0.02%,74.85%,-0.86%,21.96%,102.43%,32.68%,83.40%,49.72%,33.53%,1.24%,2.43%,14.74%,"

",941.50M,848.34M,1.21%,3.36,10.28M,1249.45 -5.10%,623.78 90.08%,4.39%,3.15%,42.27,53.71,0.51,0.95,3.06M,"2,898,685",3.21%,-2.57%,21.62%,16.15%,10.33%,85.02%,161.12%,350.09%,1353.79%,1.61,1328.08,1191.94,1185.71,-0.52%,LLY
Micron Technology Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",991.12B,971.45B,50.47B,90.27B,89.22,23.06,0.58 (0.07%),0.53 (0.06%),"Jul 06, 2026",2.27% -,6.06%,53000,"Jun 01, 1984",19.87,5.67,0.03,10.98,9.84,38.05,37.87,14.21,10.76,2.98,3.42,0.06,0.06,Yes / Yes,44.17,154.67,31.16,783.22%,111.24%,172.04%,-0.66% 26.19%,6.71% 11.76%,701.44%,166.98%,1372.09%,345.72%,Jun 24 AMC,20.36% 15.44%,0.43%,-5.50%,78.10%,-2.34%,47.50%,66.64%,47.38%,72.60%,65.75%,55.91%,-1.20%,-9.62%,64.03%,"

",1.13B,1.12B,3.22%,0.69,36.21M,1255.00 -30.07%,110.79 692.10%,7.29%,7.90%,83.01,47.63,2.21,0.66,52.59M,"34,568,477",6.63%,-11.50%,35.71%,129.20%,207.48%,684.46%,1164.87%,970.21%,5943.87%,1.30,1549.19,881.47,877.57,-0.44%,MU
JPMorgan Chase & Co,Financial,Banks - Diversified,USA,Mega,NYSE,"DJIA, S&P 500",957.98B,-,63.63B,297.51B,133.01,-,6.39 (1.79%),6.00 (1.68%),"Jul 06, 2026",13.19% 10.01%,28.97%,318512,"Mar 05, 1969",15.32,14.25,1.33,3.22,2.69,-,6.23,-,-,-,1.15,3.41,1.33,Yes / Yes,23.34,25.10,5.84,24.01%,1.09%,10.69%,18.32% 17.66%,21.00% 17.27%,19.76%,8.20%,47.08%,18.21%,Jul 14 BMO,37.84% 13.06%,0.45%,-2.95%,75.13%,-0.53%,1.35%,17.71%,7.41%,-,28.36%,21.39%,2.32%,7.36%,14.14%,"

",2.68B,2.67B,1.11%,3.17,29.48M,363.00 -1.51%,279.10 28.10%,1.77%,2.12%,7.17,62.97,0.97,0.49,9.30M,"4,566,218",1.63%,6.57%,16.73%,15.27%,10.96%,24.60%,128.07%,127.00%,439.25%,2.00,375.70,356.30,357.52,0.34%,JPM
Walmart Inc,Consumer Defensive,Discount Stores,USA,Mega,NASD,"DJIA, NDX, S&P 500",890.11B,960.21B,22.74B,725.30B,11.85,1.35,1.00 (0.89%),0.97 (0.86%),"Aug 21, 2026",7.82% 5.48%,34.44%,2100000,"Nov 20, 1972",39.40,34.15,2.99,1.23,9.44,82.96,70.91,21.42,1.32,0.23,0.77,0.79,0.61,Yes / Yes,2.84,3.28,0.74,9.77%,13.02%,11.44%,24.21% 11.53%,5.27% 4.99%,21.68%,5.87%,19.56%,7.33%,Aug 20 BMO,0.18% 1.66%,44.21%,-0.54%,36.38%,-0.50%,8.24%,25.53%,15.01%,24.98%,4.16%,3.13%,-0.13%,-2.41%,-5.30%,"

",7.96B,4.44B,1.68%,3.16,74.40M,135.15 -17.24%,95.42 17.22%,2.43%,2.15%,2.71,46.76,0.60,0.80,23.54M,"18,819,348",0.58%,-0.32%,-14.09%,-11.89%,0.39%,8.47%,109.08%,131.05%,354.92%,1.56,139.84,112.07,111.85,-0.20%,WMT
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",789.07B,780.23B,6.43B,41.30B,41.19,8.04,-,-,-,- -,0.00%,31000,"Oct 15, 1979",124.05,31.90,0.44,19.10,11.73,60.13,93.90,81.99,18.89,1.91,2.61,0.06,0.05,Yes / Yes,3.90,15.15,1.93,82.56%,99.04%,72.90%,46.65% 5.13%,13.64% 28.82%,125.82%,39.54%,158.80%,50.11%,Aug 04 AMC,2.71% 2.00%,0.48%,-7.67%,68.53%,-1.19%,8.12%,10.20%,9.11%,50.37%,15.71%,15.58%,-3.99%,-5.98%,51.86%,"

",1.63B,1.62B,2.45%,1.25,39.77M,584.73 -17.34%,149.22 223.92%,5.80%,6.56%,38.27,46.89,2.48,0.84,31.77M,"26,618,791",1.51%,-11.59%,18.34%,151.10%,125.70%,180.37%,313.80%,338.98%,7212.56%,1.53,599.79,489.28,483.36,-1.21%,AMD
SK Hynix Inc ADR,Technology,Semiconductors,South Korea,Mega,NASD,-,1005.18B,984.00B,109.59B,129.01B,15.14,4.87,0.44 (0.32%),-,-,- -,-,34549,"Jul 10, 2026",18.83,4.25,0.04,7.79,9.11,28.32,34.64,15.44,7.63,2.22,2.62,0.13,0.09,Yes / Yes,7.33,32.42,6.09,502.45%,34.41%,106.75%,159.13% 49.26%,25.56% 20.38%,420.13%,134.05%,1182.30%,232.92%,Jul 29 BMO,89.46% -1.71%,-,-,0.00%,-38.09%,45.38%,64.12%,93.46%,48.18%,67.76%,84.95%,-9.97%,-10.39%,-10.39%,"

",7.29B,-,-,0.30,14.86M,194.80 -29.20%,124.80 10.50%,6.29%,-,16.57,42.79,-,0.70,49.16M,"34,377,430",-4.05%,-,-,-,-18.88%,-,-,-,-,1.21,230.46,143.53,137.91,-3.92%,SKHY
Visa Inc,Financial,Credit Services,USA,Mega,NYSE,"DJIA, S&P 500",676.80B,685.29B,22.40B,44.49B,18.55,8.51,2.72 (0.75%),2.60 (0.72%),"Aug 11, 2026",16.31% 14.48%,23.37%,34100,"Mar 19, 2008",31.11,24.14,1.71,15.21,19.54,42.59,32.21,21.99,15.40,0.99,0.99,0.68,0.59,Yes / Yes,11.65,15.02,3.44,15.23%,13.61%,14.14%,13.82% 16.47%,10.92% 12.86%,14.71%,14.39%,10.41%,14.36%,Jul 28 AMC,2.68% 2.04%,9.10%,-0.08%,80.47%,-1.23%,23.02%,60.67%,39.97%,77.16%,67.04%,50.35%,0.18%,5.29%,9.55%,"

",1.70B,1.70B,1.39%,2.87,23.58M,373.97 -3.07%,293.89 23.35%,2.14%,2.09%,8.07,55.21,0.76,0.62,8.20M,"5,112,557",-0.99%,4.11%,12.83%,10.14%,3.36%,9.16%,50.10%,50.17%,352.33%,1.33,420.14,370.47,362.50,-2.15%,V
ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,Mega,NASD,NDX,671.01B,664.61B,12.41B,41.20B,64.74,22.49,10.70 (0.61%),9.08 (0.52%),"Jul 28, 2026",13.12% 21.86%,26.75%,44209,"Mar 15, 1995",54.20,28.95,0.77,16.29,26.89,77.41,59.24,42.07,16.13,0.80,1.33,0.09,0.09,Yes / Yes,32.12,60.14,11.74,47.69%,37.86%,37.59%,23.38% 23.58%,18.33% 18.27%,23.14%,17.87%,31.87%,24.38%,Jul 15 BMO,9.60% 4.16%,0.04%,0.00%,18.81%,-19.59%,22.54%,54.37%,45.57%,52.73%,35.42%,30.11%,1.52%,-1.11%,23.56%,"

",385.42M,385.25M,0.33%,0.65,1.28M,1999.96 -12.95%,706.61 146.38%,3.22%,3.76%,80.26,51.90,1.79,0.54,1.97M,"1,064,936",6.87%,-3.51%,14.80%,28.95%,62.73%,144.14%,151.07%,122.27%,1488.49%,1.39,2373.23,1704.37,1740.99,2.15%,ASML
ExxonMobil Holdings Corp,Energy,Oil & Gas Integrated,USA,Mega,NYSE,S&P 500,629.29B,667.80B,32.76B,363.39B,63.08,2.57,4.16 (2.72%),4.08 (2.67%),"Aug 17, 2026",4.06% 2.82%,59.70%,58000,"Jan 01, 1920",19.69,14.47,1.00,1.73,2.43,59.43,20.60,9.44,1.84,0.85,1.13,0.16,0.12,Yes / Yes,7.77,10.57,3.48,62.38%,-6.85%,14.43%,-20.34% -,-6.83% 12.70%,9.80%,10.58%,112.81%,43.14%,Jul 31 BMO,-1.00% 5.53%,0.23%,-63.71%,67.63%,-0.15%,7.18%,12.55%,11.23%,20.88%,11.30%,9.01%,0.64%,4.48%,9.16%,"

",4.11B,4.10B,1.04%,2.58,42.69M,176.41 -13.25%,105.53 45.03%,2.39%,2.11%,3.78,55.22,0.17,1.12,16.52M,"18,455,214",-1.54%,11.33%,4.41%,4.76%,27.17%,44.45%,42.76%,164.50%,74.78%,2.31,168.36,154.84,153.04,-1.16%,XOM
Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,Mega,NYSE,"DJIA, S&P 500",624.74B,653.02B,21.04B,97.94B,35.28,8.61,5.38 (2.07%),5.24 (2.02%),"Aug 25, 2026",4.92% 5.25%,46.59%,140800,"Sep 25, 1944",30.05,20.33,2.09,6.38,7.35,30.10,28.09,19.10,6.67,0.81,1.09,0.58,0.44,Yes / Yes,8.63,12.75,2.90,7.40%,10.05%,9.73%,17.88% 14.90%,5.56% 2.67%,-7.21%,8.07%,-0.92%,6.64%,Jul 15 BMO,1.59% 0.99%,0.13%,-9.72%,76.20%,0.45%,10.67%,25.74%,17.20%,68.03%,26.99%,21.48%,1.01%,4.65%,13.68%,"

",2.41B,2.41B,1.14%,3.32,27.43M,274.90 -5.70%,169.92 52.57%,2.22%,2.28%,6.15,55.45,0.23,0.79,8.25M,"6,532,124",1.13%,0.05%,16.51%,9.02%,25.27%,51.13%,49.76%,49.75%,108.66%,1.81,277.81,256.98,259.24,0.88%,JNJ
Mastercard Incorporated,Financial,Credit Services,USA,Mega,NYSE,S&P 500,493.41B,505.95B,16.26B,35.13B,6.39,13.80,3.55 (0.63%),3.37 (0.60%),"Jul 09, 2026",15.58% 13.94%,19.07%,39800,"May 25, 2006",30.97,24.40,1.48,14.04,88.09,40.79,29.92,23.01,14.40,1.06,1.06,4.39,3.95,Yes / Yes,18.18,23.07,5.15,17.18%,15.75%,16.46%,17.34% 20.99%,13.90% 16.50%,22.59%,16.15%,22.05%,13.79%,Jul 30 BMO,5.69% 2.22%,7.91%,-0.13%,81.93%,-,29.80%,241.49%,58.49%,96.60%,59.19%,46.27%,1.68%,7.95%,6.59%,"

",871.00M,807.07M,1.12%,2.49,9.06M,601.77 -6.45%,464.52 21.19%,1.88%,1.95%,12.29,59.29,0.73,0.83,3.64M,"3,018,873",-1.77%,7.60%,12.38%,2.00%,-1.39%,0.31%,41.85%,50.31%,481.08%,1.30,668.57,575.95,562.95,-2.26%,MA
Intel Corp,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",512.72B,548.96B,-11.29B,57.03B,17.36,5.93,0.04 (0.04%),-,"Aug 07, 2024",- -,-,85100,"May 03, 1973",-,49.88,0.54,8.99,5.86,17.15,1490.47,32.37,9.63,1.25,1.60,0.58,0.55,Yes / Yes,-2.12,2.04,0.38,255.35%,36.55%,93.11%,- -,-5.71% -7.46%,55.56%,7.47%,-223.64%,25.42%,Jul 23 AMC,93.28% 11.73%,14.71%,-0.01%,60.88%,1.48%,-5.72%,-12.18%,-8.30%,39.05%,8.03%,-19.79%,4.84%,-8.13%,48.21%,"

",5.04B,4.30B,2.81%,0.96,120.96M,142.35 -28.59%,19.60 418.62%,6.70%,6.92%,8.09,50.14,2.25,0.61,125.78M,"76,760,636",12.69%,-9.68%,-7.27%,110.72%,175.47%,414.16%,188.53%,88.52%,190.59%,2.41,121.72,99.81,101.65,1.84%,INTC
Cisco Systems Inc,Technology,Communication Equipment,USA,Mega,NASD,"DJIA, NDX, S&P 500",478.61B,494.97B,12.23B,60.75B,12.40,4.22,1.66 (1.36%),1.66 (1.37%),"Jul 06, 2026",2.60% 2.67%,63.62%,86200,"Feb 16, 1990",39.59,25.34,2.21,7.88,9.79,28.76,40.60,28.98,8.15,0.81,0.92,0.68,0.42,Yes / Yes,3.07,4.79,1.17,12.23%,12.05%,11.47%,-3.32% -0.69%,3.19% 2.82%,25.97%,9.21%,36.10%,11.96%,Aug 12 AMC,2.43% 1.82%,0.24%,-1.27%,79.93%,0.74%,9.97%,25.80%,17.59%,63.53%,23.94%,20.13%,5.35%,3.01%,33.77%,"

",3.94B,3.93B,1.65%,2.55,64.82M,130.37 -6.85%,65.75 84.68%,2.39%,2.99%,3.58,61.00,1.00,0.63,25.38M,"15,964,621",4.69%,2.64%,31.76%,47.44%,57.64%,73.72%,129.07%,118.44%,291.20%,1.86,133.75,120.88,121.43,0.45%,CSCO
Bank Of America Corp,Financial,Banks - Diversified,USA,Mega,NYSE,S&P 500,441.73B,-,32.26B,195.14B,39.34,-,1.19 (1.89%),1.12 (1.77%),"Sep 04, 2026",7.89% 8.45%,28.33%,213000,"Jun 05, 1979",14.54,12.01,0.77,2.26,1.61,-,5.38,-,-,-,1.03,2.47,1.10,Yes / Yes,4.35,5.26,1.19,21.92%,13.28%,15.61%,6.17% 15.28%,18.12% 15.40%,27.92%,-1.71%,35.31%,0.28%,Jul 14 BMO,7.19% 2.54%,0.29%,-2.96%,78.26%,-1.94%,0.97%,11.25%,5.34%,-,21.32%,16.53%,2.27%,8.19%,17.29%,"

",7.02B,6.97B,1.39%,2.70,96.84M,63.97 -1.25%,44.78 41.07%,1.54%,1.78%,1.09,66.62,1.17,0.63,35.90M,"22,620,528",1.97%,6.62%,19.75%,14.98%,14.85%,40.63%,98.15%,57.33%,319.73%,1.52,68.23,63.00,63.17,0.27%,BAC
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,NYSE,S&P 500,434.78B,499.08B,6.27B,64.39B,-3.36,3.72,6.87 (2.79%),6.83 (2.78%),"Jul 15, 2026",5.21% 6.56%,281.66%,57000,"Dec 10, 2012",69.57,15.01,0.69,6.75,-,66.19,23.88,16.68,7.75,0.69,0.81,-,-,Yes / Yes,3.54,16.40,3.86,40.41%,16.78%,21.81%,-29.11% -2.81%,1.75% 5.95%,68.16%,10.39%,288.03%,10.16%,Jul 31 BMO,1.24% 1.11%,0.14%,-1.84%,76.21%,0.43%,4.60%,15221.82%,11.08%,71.42%,34.18%,9.74%,-2.40%,2.03%,9.30%,"

",1.77B,1.76B,1.28%,3.32,22.63M,267.47 -8.01%,190.75 28.99%,2.92%,2.41%,6.74,47.21,0.27,0.72,6.82M,"4,930,714",-1.95%,-1.55%,21.38%,12.34%,7.68%,23.73%,63.67%,114.98%,269.76%,1.66,276.00,243.87,246.04,0.89%,ABBV
