Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5419.83B,5352.07B,159.61B,253.49B,8.07,3.33,0.65 (0.29%),0.28 (0.13%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",34.30,17.53,0.37,21.38,27.75,67.27,45.52,32.34,21.11,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.78,2.08,88.62%,42.00%,47.55%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,Aug 26 AMC,6.52% 3.43%,3.84%,-0.30%,69.28%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,8.29%,8.68%,15.46%,"

",24.22B,23.27B,1.39%,2.13,324.05M,236.54 -5.32%,164.07 36.50%,3.11%,3.54%,7.64,64.41,2.21,0.69,152.08M,"105,669,440",11.56%,10.44%,5.89%,30.30%,20.09%,23.89%,393.12%,999.68%,15292.44%,1.23,314.29,218.99,223.96,2.27%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4572.79B,4594.74B,128.93B,466.82B,7.36,4.28,1.08 (0.34%),1.05 (0.34%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",35.92,32.85,2.64,9.80,42.57,73.28,33.46,27.36,9.84,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.54,1.99,18.02%,8.32%,12.44%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.22%,66.51%,0.00%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,-3.12%,1.14%,12.14%,"

",14.61B,14.58B,1.01%,2.58,146.55M,344.57 -9.07%,216.58 44.67%,2.33%,2.30%,8.96,47.58,1.08,0.61,56.91M,"34,437,191",1.43%,-0.91%,9.01%,13.56%,15.25%,42.40%,75.19%,114.40%,1066.10%,2.02,328.01,312.41,313.33,0.29%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4326.90B,4219.80B,244.12B,446.31B,50.90,19.85,0.80 (0.23%),0.85 (0.24%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.80,23.61,1.32,9.69,6.96,17.84,81.22,23.79,9.45,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.01,3.02,87.21%,-25.85%,17.90%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.20%,-0.01%,38.51%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,1.59%,-0.62%,7.65%,"

",5.87B,5.85B,1.35%,2.38,78.67M,408.61 -13.29%,194.33 82.32%,3.69%,3.09%,12.86,50.75,1.23,0.60,33.06M,"19,859,905",-0.51%,-1.28%,-10.98%,6.96%,13.19%,80.29%,169.37%,161.02%,778.14%,1.30,428.85,357.75,354.30,-0.96%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4330.45B,4223.34B,244.12B,446.31B,50.90,19.79,0.80 (0.23%),0.85 (0.24%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",17.76,23.57,1.32,9.70,6.94,17.86,81.29,23.81,9.46,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.99,3.02,87.14%,-25.88%,17.82%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.03%,-0.01%,27.01%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,1.60%,-0.35%,7.67%,"

",5.53B,5.13B,1.08%,2.49,55.65M,404.47 -12.61%,195.22 81.06%,3.45%,3.03%,12.47,50.99,1.22,0.65,22.39M,"14,516,684",-0.89%,-0.78%,-10.58%,6.68%,12.64%,79.17%,167.90%,157.94%,803.76%,1.31,428.55,356.62,353.47,-0.88%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3712.70B,3764.67B,133.75B,331.84B,59.56,10.35,3.92 (0.78%),3.56 (0.71%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",27.86,21.33,1.19,11.19,8.39,48.32,55.42,18.95,11.34,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.44,4.72,13.83%,19.19%,17.88%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.56%,-0.04%,74.81%,-2.07%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,17.97%,22.84%,15.45%,"

",7.43B,7.31B,1.26%,2.24,92.37M,553.72 -9.70%,349.20 43.18%,2.86%,2.98%,15.81,78.13,1.11,0.70,41.32M,"28,846,235",7.59%,30.08%,18.83%,27.01%,3.38%,-4.00%,51.46%,72.73%,762.65%,1.24,561.28,499.86,499.99,0.03%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2960.63B,3079.35B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",22.08,26.04,1.08,3.82,5.37,24.02,-,17.74,3.97,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.54,1.96,70.63%,-13.85%,24.08%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.00%,-0.15%,66.56%,0.00%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,9.10%,10.90%,16.04%,"

",10.78B,9.82B,1.09%,2.12,106.57M,287.20 -4.43%,196.00 40.04%,2.67%,2.62%,9.33,64.21,1.45,0.67,50.27M,"33,861,436",1.07%,11.11%,1.22%,23.26%,18.92%,23.01%,93.00%,64.12%,616.68%,1.21,328.64,272.26,274.48,0.82%,AMZN
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",2035.10B,2080.38B,29.32B,75.47B,18.43,4.13,2.62 (0.61%),2.54 (0.59%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",71.21,21.88,0.39,26.97,23.21,103.68,62.12,49.46,27.57,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.55,3.21,69.94%,68.65%,56.49%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.92%,-1.95%,78.87%,-0.64%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,9.16%,8.28%,16.37%,"

",4.76B,4.67B,1.47%,2.64,68.64M,495.00 -13.58%,281.87 51.76%,3.79%,3.63%,16.60,64.82,1.47,0.57,26.00M,"14,698,252",9.88%,6.64%,3.68%,37.76%,23.59%,40.82%,376.85%,781.20%,2414.46%,1.33,529.43,420.57,427.76,1.71%,AVGO
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2178.53B,2100.25B,71.86B,142.82B,35.53,21.29,4.12 (0.98%),3.50 (0.83%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",30.32,19.39,0.52,15.25,11.82,19.73,54.59,20.60,14.71,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.66,4.36,58.30%,30.42%,37.46%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.09%,-3.57%,15.11%,9.06%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,2.63%,-1.37%,16.61%,"

",5.19B,5.18B,0.64%,2.34,33.35M,479.00 -12.31%,223.70 87.77%,2.85%,3.49%,17.10,52.21,1.39,0.64,14.27M,"9,159,596",3.91%,-3.87%,1.42%,27.00%,38.22%,73.13%,335.95%,255.33%,1358.98%,1.20,537.70,418.20,420.04,0.44%,TSM
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1765.74B,1705.23B,-,-,9.66,7.55,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,13.79,17.62,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.14,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,95.08%,-0.00%,0.96%,69.93%,-,-,-,-,-,-,10.16%,-6.13%,-6.13%,"

",7.61B,646.00M,25.55%,1.36,165.05M,225.64 -41.01%,104.83 26.98%,11.19%,7.49%,11.66,52.78,-,2.00,121.02M,"242,130,745",22.83%,-12.52%,-,-,-11.26%,-,-,-,-,1.67,225.84,114.92,133.11,15.83%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1508.38B,1529.73B,68.10B,228.25B,102.52,35.71,1.92 (0.32%),2.10 (0.35%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",22.30,17.39,0.92,6.61,5.78,16.58,36.81,13.95,6.70,2.23,2.23,0.43,0.42,Yes / Yes,26.55,34.05,6.76,35.31%,7.13%,18.98%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.66%,-0.06%,67.21%,-0.25%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,-3.29%,-1.28%,-6.21%,"

",2.21B,2.20B,1.72%,2.09,37.85M,796.25 -25.64%,520.26 13.81%,3.35%,3.18%,23.22,47.67,1.25,0.62,18.11M,"11,250,258",6.36%,-6.24%,-4.01%,-11.65%,-10.30%,-22.28%,87.04%,62.88%,373.11%,1.28,749.20,589.90,592.10,0.37%,META
