Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5448.87B,5381.11B,159.61B,253.49B,8.07,3.33,0.65 (0.29%),0.28 (0.12%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",34.48,17.68,0.37,21.50,27.90,67.63,45.76,32.51,21.23,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.73,2.08,88.68%,41.48%,47.62%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,Aug 26 AMC,6.52% 3.43%,3.85%,-0.30%,69.80%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,7.02%,9.03%,15.51%,"

",24.22B,23.27B,1.26%,1.97,292.67M,236.54 -4.81%,164.07 37.23%,2.26%,3.19%,6.93,63.03,2.22,0.51,148.20M,"75,680,870",0.54%,8.56%,-4.49%,20.45%,20.73%,23.70%,414.62%,1015.32%,14186.80%,1.23,314.29,225.30,225.16,-0.06%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4464.80B,4486.74B,128.93B,466.82B,7.36,4.28,1.08 (0.35%),1.06 (0.35%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",35.07,32.13,2.60,9.56,41.57,71.55,32.67,26.71,9.61,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.52,1.98,18.29%,7.90%,12.35%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.13%,-2.06%,67.14%,0.00%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,-3.93%,-1.05%,9.07%,"

",14.61B,14.58B,0.97%,2.52,141.61M,344.57 -11.21%,223.78 36.71%,1.52%,2.12%,7.86,43.67,1.07,0.50,56.27M,"28,229,375",-2.36%,-8.20%,2.59%,16.89%,12.53%,31.42%,70.47%,105.18%,1031.19%,2.09,330.45,305.26,305.93,0.22%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4217.00B,4109.90B,244.12B,446.31B,50.90,19.89,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.38,22.98,1.27,9.45,6.80,17.39,79.16,23.17,9.21,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.05,3.02,90.21%,-26.80%,18.13%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.20%,-0.01%,38.67%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.15%,-2.26%,4.38%,"

",5.87B,5.85B,1.21%,2.15,70.49M,408.61 -15.35%,196.60 75.95%,1.98%,2.76%,11.01,47.04,1.21,0.54,32.74M,"17,808,598",-2.37%,-2.41%,-13.76%,11.94%,10.51%,70.44%,163.38%,151.15%,757.20%,1.30,426.40,346.36,345.90,-0.13%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4217.70B,4110.59B,244.12B,446.31B,50.90,19.75,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",17.26,22.84,1.27,9.45,6.75,17.39,79.17,23.18,9.21,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.04,3.02,90.19%,-26.85%,18.05%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.00%,-0.01%,27.45%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.55%,-2.49%,3.95%,"

",5.53B,5.14B,0.91%,2.10,46.94M,404.47 -15.06%,197.46 73.98%,1.86%,2.67%,10.61,46.27,1.21,0.49,22.32M,"10,946,825",-2.81%,-2.90%,-13.50%,11.05%,9.48%,68.55%,160.59%,148.21%,777.25%,1.30,426.06,343.94,343.54,-0.12%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3678.62B,3730.59B,133.75B,331.84B,59.56,10.35,3.90 (0.79%),3.56 (0.72%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",27.61,21.08,1.15,11.09,8.32,47.87,54.92,18.78,11.24,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.51,4.71,14.03%,19.29%,18.35%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.57%,-0.04%,74.96%,-2.24%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,10.03%,20.02%,14.55%,"

",7.43B,7.31B,1.11%,2.00,81.31M,553.72 -10.53%,349.20 41.87%,1.68%,2.69%,13.80,70.91,1.11,0.40,40.73M,"16,217,647",-0.92%,23.51%,21.00%,23.28%,2.44%,-5.18%,52.88%,69.17%,755.02%,1.25,564.14,496.88,495.40,-0.30%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2833.03B,2951.75B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",21.13,24.72,1.00,3.65,5.13,22.98,-,17.01,3.81,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.62,1.96,76.20%,-15.91%,24.68%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.01%,-0.15%,67.32%,0.00%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,2.39%,5.84%,10.50%,"

",10.78B,9.81B,1.00%,1.97,98.43M,287.20 -8.55%,196.00 34.01%,2.13%,2.47%,8.18,53.49,1.43,0.55,49.92M,"27,251,660",-4.31%,5.11%,-1.71%,31.59%,13.79%,13.71%,86.85%,59.47%,579.95%,1.23,329.79,265.13,262.65,-0.94%,AMZN
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1869.68B,1914.96B,29.32B,75.47B,18.43,4.13,2.62 (0.67%),2.54 (0.65%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",65.42,20.07,0.35,24.78,21.32,95.26,57.07,45.53,25.38,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.58,3.21,69.94%,68.97%,56.90%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Sep 02 AMC,1.82% 0.26%,1.92%,-1.95%,78.94%,-0.67%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,-1.63%,0.65%,6.44%,"

",4.76B,4.67B,1.31%,2.39,61.20M,495.00 -20.61%,281.87 39.42%,3.72%,3.79%,16.62,46.50,1.47,1.15,25.56M,"29,513,597",-8.13%,4.95%,-10.64%,18.67%,13.55%,26.27%,360.12%,708.36%,2178.60%,1.33,529.43,417.82,392.99,-5.94%,AVGO
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2211.26B,2132.98B,71.86B,142.82B,35.53,21.29,4.11 (0.96%),3.50 (0.82%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",30.77,19.61,0.52,15.48,12.00,20.02,55.41,20.93,14.93,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.74,4.38,58.69%,30.58%,37.80%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.10%,-3.20%,15.08%,9.76%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,3.45%,0.28%,17.29%,"

",5.19B,5.18B,0.64%,2.41,33.19M,479.00 -10.99%,223.70 90.59%,1.66%,3.06%,14.35,54.33,1.40,0.46,13.80M,"6,324,762",1.50%,4.05%,2.07%,15.82%,40.30%,76.91%,358.10%,269.13%,1358.11%,1.20,545.45,430.49,426.35,-0.96%,TSM
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1845.45B,1784.94B,-,-,9.66,7.60,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,14.50,18.41,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.13,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,88.04%,-0.00%,5.68%,76.65%,-,-,-,-,-,-,14.26%,-1.12%,-1.12%,"

",7.61B,1.58B,13.18%,1.65,207.78M,225.64 -37.95%,104.83 33.55%,7.19%,7.95%,11.11,54.71,-,0.77,125.75M,"96,727,761",5.18%,6.78%,-,-,-6.67%,-,-,-,-,1.70,226.26,141.29,140.00,-0.91%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1502.65B,1524.00B,68.10B,228.25B,102.52,35.71,1.92 (0.33%),2.10 (0.36%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",22.22,17.37,0.93,6.58,5.75,16.52,36.67,13.90,6.68,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.96,6.75,35.01%,7.10%,18.72%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.69%,-0.06%,66.98%,-0.32%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,-0.81%,-1.22%,-6.02%,"

",2.21B,2.20B,1.43%,1.74,31.46M,796.25 -25.92%,520.26 13.38%,3.09%,3.11%,21.62,47.62,1.25,0.48,18.09M,"8,757,974",-0.38%,-11.24%,-4.62%,-9.23%,-10.64%,-24.58%,92.64%,62.41%,372.33%,1.28,745.98,594.97,589.85,-0.86%,META
