Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5240.30B,5179.80B,192.88B,302.97B,9.48,4.12,0.71 (0.32%),0.28 (0.13%),"Sep 10, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",27.49,13.95,0.22,17.30,22.93,52.74,41.26,25.74,17.10,3.85,4.59,0.17,0.16,Yes / Yes,7.91,15.59,2.47,94.18%,68.29%,64.04%,204.08% 95.27%,100.05% 66.90%,124.42%,83.38%,128.21%,105.85%,Aug 26 AMC,6.22% 4.28%,3.80%,-0.31%,72.31%,0.40%,83.68%,117.21%,72.42%,74.67%,65.21%,63.66%,-0.73%,4.14%,10.89%,"

",24.15B,23.18B,1.23%,2.04,285.96M,236.54 -8.07%,164.07 32.53%,3.40%,2.55%,7.35,51.87,2.22,0.78,139.99M,"109,756,184",2.06%,5.23%,-2.41%,20.77%,16.59%,24.84%,348.25%,868.94%,13672.92%,1.20,334.76,220.78,217.44,-1.51%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4745.01B,4766.95B,128.93B,466.82B,7.36,4.28,1.08 (0.33%),1.06 (0.33%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",37.27,34.13,2.73,10.16,44.18,76.04,34.72,28.38,10.21,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.53,1.98,18.42%,7.83%,12.50%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.24%,68.91%,0.16%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,4.44%,3.90%,14.86%,"

",14.61B,14.58B,0.80%,2.13,116.33M,344.57 -5.64%,225.95 43.89%,2.59%,2.07%,7.63,61.06,1.09,0.97,54.72M,"53,167,388",4.91%,7.16%,3.15%,23.27%,19.59%,40.06%,71.61%,113.19%,1118.51%,2.11,333.19,316.85,325.13,2.61%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4075.80B,3968.69B,244.12B,446.31B,50.90,19.93,0.80 (0.24%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",16.83,22.19,1.22,9.13,6.58,16.81,76.51,22.38,8.89,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.10,3.02,90.28%,-26.59%,18.16%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.20%,-0.01%,39.84%,2.22%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-3.29%,-3.98%,-0.01%,"

",5.87B,5.85B,1.24%,2.30,72.71M,408.61 -18.01%,206.20 62.48%,1.79%,2.17%,8.39,41.25,1.22,0.74,31.60M,"23,342,665",-3.44%,-10.30%,-7.41%,10.36%,7.04%,57.35%,146.96%,130.71%,746.65%,1.27,426.68,339.35,335.02,-1.28%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4086.87B,3979.77B,244.12B,446.31B,50.90,19.70,0.80 (0.24%),0.85 (0.26%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",16.68,22.00,1.22,9.16,6.52,16.85,76.72,22.44,8.92,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.09,3.02,90.26%,-26.63%,18.08%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.00%,-0.01%,28.68%,2.19%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-3.46%,-4.32%,-0.58%,"

",5.53B,5.14B,0.83%,2.00,42.89M,404.47 -17.91%,206.96 60.43%,1.77%,2.07%,8.08,40.12,1.22,0.76,21.41M,"16,313,387",-3.29%,-10.86%,-7.36%,9.38%,5.81%,55.50%,142.71%,127.66%,763.78%,1.27,426.34,335.41,332.03,-1.01%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3720.35B,3772.32B,133.75B,331.84B,59.56,10.35,3.90 (0.78%),3.64 (0.73%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",27.92,21.34,1.17,11.21,8.41,48.41,55.54,18.99,11.37,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.48,4.71,14.14%,19.04%,18.29%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.58%,-0.04%,76.66%,0.15%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,1.27%,14.94%,16.21%,"

",7.43B,7.31B,0.94%,1.81,68.54M,553.72 -9.52%,349.20 43.48%,2.19%,2.04%,11.63,63.74,1.11,0.55,37.97M,"21,046,892",1.89%,2.74%,13.53%,24.04%,3.60%,-1.12%,52.44%,65.99%,769.98%,1.25,565.88,507.29,501.02,-1.24%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2749.65B,2868.37B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",20.50,24.01,0.98,3.54,4.98,22.31,-,16.52,3.70,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.62,1.96,77.28%,-16.48%,24.47%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.03%,-0.15%,69.40%,0.98%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,-3.64%,0.99%,6.76%,"

",10.78B,9.81B,0.97%,1.94,95.30M,287.20 -11.24%,196.00 30.06%,2.29%,2.20%,7.25,46.33,1.44,0.65,49.02M,"31,700,056",-2.35%,-10.25%,-0.62%,22.13%,10.44%,11.32%,84.56%,46.55%,561.60%,1.21,330.60,259.77,254.92,-1.87%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2147.20B,2071.62B,71.86B,142.82B,38.93,21.29,4.14 (1.00%),3.50 (0.84%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",29.88,18.93,0.50,15.03,10.63,19.44,53.81,20.32,14.51,2.25,2.46,0.17,0.14,Yes / Yes,13.86,21.87,4.38,59.52%,30.66%,38.13%,17.37% 25.67%,17.20% 21.86%,57.78%,34.60%,73.31%,32.92%,Jul 16 BMO,10.78% -1.20%,0.08%,-3.91%,15.07%,-1.02%,26.90%,40.06%,31.23%,63.08%,55.84%,50.31%,-1.31%,-1.76%,11.66%,"

",5.19B,5.18B,0.58%,2.26,30.16M,479.00 -13.57%,225.63 83.49%,2.07%,2.19%,12.06,47.66,1.39,0.60,13.32M,"7,928,492",-0.82%,1.94%,-7.32%,17.24%,36.23%,79.32%,344.25%,243.68%,1329.56%,1.32,543.66,415.32,414.00,-0.32%,TSM
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1930.21B,1869.70B,-,-,9.66,7.38,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,14.73,19.26,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.14,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,85.53%,-0.00%,10.36%,-0.01%,-,-,-,-,-,-,3.94%,4.21%,0.68%,"

",7.61B,1.96B,9.39%,1.60,184.39M,225.64 -36.97%,104.83 35.68%,3.22%,6.37%,7.90,54.99,-,0.47,115.05M,"53,808,127",3.10%,24.19%,-,-,-5.18%,-,-,-,-,1.68,224.99,143.69,142.23,-1.02%,SPCX
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1758.78B,1804.06B,29.32B,75.47B,18.43,4.13,2.62 (0.71%),2.54 (0.69%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",61.54,18.90,0.33,23.31,20.06,89.61,53.68,42.89,23.91,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.56,3.22,70.02%,68.69%,56.98%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Sep 02 AMC,1.82% 0.26%,1.96%,-1.92%,80.80%,0.31%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,-4.61%,-3.94%,0.04%,"

",4.76B,4.66B,1.21%,2.18,56.21M,495.00 -25.32%,287.17 28.73%,2.64%,3.01%,13.13,43.33,1.46,0.75,25.75M,"19,288,937",3.63%,-5.75%,-23.23%,17.79%,6.81%,24.31%,323.69%,649.61%,1987.53%,1.30,534.10,370.34,369.68,-0.18%,AVGO
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1473.83B,1495.19B,68.10B,228.25B,102.52,35.71,1.91 (0.33%),2.10 (0.36%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",21.79,17.08,0.93,6.46,5.64,16.20,35.97,13.63,6.55,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.87,6.75,33.67%,7.86%,18.43%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.64%,-0.04%,69.08%,-0.01%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,0.72%,-2.33%,-7.03%,"

",2.21B,2.20B,1.27%,1.52,28.05M,790.80 -26.84%,520.26 11.20%,3.86%,3.05%,20.00,49.95,1.24,0.86,18.41M,"15,796,898",1.49%,-1.98%,-3.19%,-11.68%,-12.35%,-21.68%,95.20%,51.43%,358.54%,1.29,745.38,572.34,578.54,1.08%,META
