Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
Trevi Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,2.71B,2.54B,-45.61M,0.00M,1.34,1.21,-,-,-,- -,-,34,"May 07, 2019",-,-,-,-,14.23,15.76,-,-,-,24.75,24.75,0.00,0.00,Yes / Yes,-0.32,-0.59,-0.11,-47.34%,-25.23%,-29.80%,11.11% 29.44%,- -,27.89%,-,-3.07%,-,May 05 AMC,-18.89% -,34.77%,0.00%,71.75%,4.20%,-31.83%,-33.59%,-26.44%,-,-,-,5.92%,21.30%,49.55%,"

",128.41M,92.62M,14.98%,6.75,13.87M,20.15 -5.36%,6.55 191.15%,9.97%,6.81%,1.19,60.90,1.03,4.05,2.05M,"8,312,192",6.89%,23.83%,31.16%,66.70%,52.32%,178.80%,762.90%,868.02%,-,1.00,25.27,17.36,19.07,9.85%,TRVI
Green Plains Inc,Basic Materials,Chemicals,USA,Small,NASD,RUT,1.35B,1.73B,-15.43M,1.96B,11.21,2.62,-,-,"May 23, 2019",- -,-,642,"Mar 15, 2006",-,12.24,-,0.69,1.72,7.35,14.92,12.16,0.88,1.27,1.71,0.71,0.55,Yes / Yes,-0.37,1.57,0.55,199.82%,-12.55%,-,7.77% 10.57%,-16.88% 1.75%,83.66%,-20.16%,134.41%,-23.67%,May 07 BMO,1751.90% -16.29%,3.48%,0.26%,104.64%,0.09%,-0.95%,-1.95%,-1.27%,6.91%,2.17%,-0.79%,20.10%,20.91%,44.19%,"

",70.04M,67.59M,19.72%,9.12,13.33M,18.94 1.53%,7.07 171.80%,6.48%,5.05%,0.87,76.45,1.18,3.52,1.46M,"5,147,145",13.85%,29.93%,20.49%,72.00%,96.22%,143.88%,-40.70%,-39.51%,-13.03%,2.00,19.00,17.21,19.23,11.74%,GPRE
SELLAS Life Sciences Group Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,2.45B,2.35B,-29.46M,0.00M,0.59,0.58,-,-,"Mar 24, 2011",- -,-,13,"Mar 12, 2008",-,-,-,-,22.27,22.89,-,-,-,17.22,17.22,0.01,0.00,Yes / Yes,-0.23,-0.12,-0.04,16.00%,40.48%,-,51.28% 34.92%,- -,41.60%,-,26.44%,-,May 12 AMC,16.67% -,1.21%,0.00%,29.25%,9.95%,-39.50%,-43.58%,-27.35%,-,-,-,6.62%,39.53%,167.45%,"

",186.03M,183.79M,34.45%,6.78,63.31M,15.88 -16.92%,1.39 848.92%,10.47%,12.67%,1.37,58.09,2.47,1.21,9.34M,"11,293,041",3.37%,75.17%,167.55%,220.92%,249.87%,594.21%,699.39%,59.11%,-99.89%,1.00,27.50,11.75,13.19,12.26%,SLS
Veradermics Inc,Healthcare,Biotechnology,USA,Mid,NYSE,RUT,4.65B,4.26B,-,-,10.49,9.35,-,-,-,- -,-,21,"Feb 04, 2026",-,-,-,-,10.61,11.90,-,-,-,59.12,59.12,0.00,0.00,Yes / Yes,-,-2.75,-0.65,12.00%,7.85%,18.93%,-117.94% -,- -,-,-,-,-,May 12 BMO,-85.71% -,25.42%,36.58%,52.47%,116.71%,-,-,-,-,-,-,-4.50%,4.30%,36.79%,"

",37.34M,31.16M,12.23%,5.57,3.81M,131.24 -15.18%,32.00 247.87%,12.04%,8.76%,10.10,49.62,-,1.39,684.64K,"951,511",-6.92%,22.40%,50.19%,-,227.41%,-,-,-,-,1.00,161.00,105.83,111.32,5.19%,MANE
Fuelcell Energy Inc,Industrials,Electrical Equipment & Parts,USA,Small,NASD,RUT,1.48B,1.30B,-225.49M,167.88M,11.33,4.88,-,-,-,- -,-,424,"Jun 25, 1992",-,-,-,8.81,1.63,3.79,-,-,7.77,7.20,8.59,0.19,0.17,Yes / Yes,-6.57,-1.25,-0.40,64.14%,52.83%,57.30%,13.39% 9.89%,6.62% 17.42%,11.38%,29.71%,18.77%,-4.86%,Jun 08 BMO,-179.06% -12.05%,0.31%,-1.98%,31.79%,3.93%,-23.56%,-30.70%,-24.48%,-18.20%,-68.95%,-134.32%,-22.93%,-13.02%,61.73%,"

",79.93M,79.68M,12.89%,0.82,10.27M,37.88 -51.17%,3.78 389.29%,14.89%,18.11%,3.80,44.14,2.37,1.02,12.53M,"12,757,095",-12.05%,-6.35%,151.63%,146.93%,153.01%,258.43%,-75.24%,-90.59%,-99.02%,2.67,22.83,17.26,18.50,7.16%,FCEL
Hotel101 Global Holdings Corp,Real Estate,Real Estate Services,Singapore,Small,NASD,-,1.36B,1.36B,-11.26M,16.94M,2.94,0.04,-,-,-,- -,-,60,"Mar 11, 2024",60.53,-,-,80.52,1.96,156.79,-,-,80.08,0.96,0.96,0.06,0.04,No / Yes,0.10,-,-,-,-,-,-647.30% -110.31%,- -,5.91%,-,-308.01%,-,-,- -,94.23%,0.00%,0.03%,-,-12.82%,-28.96%,-59.26%,41.18%,9.77%,-66.52%,7.14%,2.43%,-11.06%,"

",234.15M,13.52M,0.09%,1.94,0.01M,10.43 -44.87%,1.55 270.94%,3.94%,4.53%,0.32,55.48,-1.06,1.25,6.23K,"7,797",8.08%,6.98%,-6.96%,-39.24%,-23.03%,136.63%,-,-,-,-,-,5.33,5.75,7.88%,HBNB
Oruka Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,5.59B,5.21B,-116.25M,0.00M,9.64,6.45,-,-,-,- -,-,68,"Aug 08, 1997",-,-,-,-,9.61,14.38,-,-,-,23.76,23.76,0.00,0.00,Yes / Yes,-2.39,-2.51,-0.51,-14.20%,-19.01%,-21.04%,34.61% 37.79%,- -,54.61%,-,-14.47%,-,May 13 AMC,12.23% -,15.77%,-28.49%,76.65%,-0.58%,-26.37%,-27.31%,-23.83%,-,-,-,7.28%,28.54%,103.88%,"

",60.31M,50.80M,18.03%,5.18,9.16M,97.78 -5.20%,12.84 621.96%,6.89%,6.74%,5.57,63.49,-0.31,1.58,1.77M,"2,804,782",6.81%,36.91%,38.21%,189.69%,205.84%,503.52%,604.09%,395.29%,-73.13%,1.07,143.62,83.04,92.70,11.63%,ORKA
Travelers Companies Inc,Financial,Insurance - Property & Casualty,USA,Large,NYSE,"DJIA, S&P 500",78.46B,-,7.55B,48.94B,150.45,-,4.90 (1.33%),4.55 (1.23%),"Jun 10, 2026",5.83% 5.24%,15.86%,34000,"Nov 17, 1975",10.98,12.72,5.78,1.60,2.45,-,6.86,-,-,-,0.36,0.29,0.28,Yes / Yes,33.61,29.00,6.47,8.22%,-2.86%,2.20%,32.56% 21.13%,9.80% 8.83%,83.05%,4.12%,357.23%,0.97%,Jul 17 BMO,85.74% 2.41%,0.51%,-15.72%,87.71%,-3.35%,5.88%,25.27%,18.57%,-,20.21%,15.42%,10.93%,17.82%,24.99%,"

",212.60M,211.55M,3.76%,4.65,7.95M,349.35 5.62%,251.30 46.83%,3.56%,2.48%,9.31,75.49,0.48,2.52,1.71M,"4,309,208",8.87%,19.99%,23.47%,35.29%,27.21%,40.93%,118.86%,135.94%,211.01%,2.79,336.12,337.82,368.98,9.22%,TRV
Biohaven Ltd,Healthcare,Biotechnology,USA,Mid,NYSE,RUT,2.32B,2.26B,-647.68M,0.00M,0.86,2.32,-,-,-,- -,-,274,"May 04, 2017",-,-,-,-,17.94,6.65,-,-,-,7.41,7.41,2.21,2.16,Yes / Yes,-5.67,-2.36,-0.75,56.70%,20.51%,33.39%,6.37% -30.08%,- -,39.46%,-,59.33%,-,May 04 AMC,-5.86% -100.00%,16.68%,0.00%,86.21%,-2.59%,-139.99%,-333.00%,-158.06%,-,-,-,0.69%,25.11%,32.56%,"

",150.51M,125.45M,16.32%,7.19,20.47M,18.57 -16.84%,7.48 106.42%,6.17%,7.16%,1.07,57.53,3.15,1.23,2.85M,"3,506,288",-0.71%,27.71%,54.25%,31.97%,36.76%,2.18%,-41.54%,-,-,1.59,22.40,14.17,15.44,8.96%,BHVN
Enhanced Group Inc,Consumer Defensive,Packaged Foods,USA,Small,NYSE,-,1.17B,1.17B,0.52M,0.00M,0.92,0.00,-,-,-,- -,0.00%,1,"Aug 27, 2025",157.67,28.38,-,-,3.23,23496.59,-,-,-,0.99,0.99,0.00,0.00,No / Yes,0.02,0.10,-,90.08%,140.38%,-,- -,- -,3880.00%,-,3450.00%,-,Jun 03,0.00% -48.28%,43.52%,0.00%,15.85%,18.64%,3.93%,4.11%,2.05%,-,-,-,-0.07%,-24.87%,-65.15%,"

",135.40M,76.47M,2.98%,2.24,2.28M,14.00 -78.71%,2.35 26.81%,11.76%,13.83%,0.47,45.42,-,1.24,1.02M,"1,260,809",2.76%,-18.58%,-70.98%,-70.26%,-70.35%,-,-,-,-,1.00,10.50,2.52,2.98,18.25%,ENHA
