Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
MBX Biosciences Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,2.99B,2.56B,-86.61M,0.00M,9.20,9.24,-,-,-,- -,-,63,"Sep 13, 2024",-,-,-,-,6.84,6.81,-,-,-,30.79,30.79,0.00,0.00,Yes / Yes,-2.21,-3.88,-0.64,-17.89%,-38.37%,-20.76%,-44.91% -,- -,-0.43%,-,29.35%,-,May 07 BMO,12.78% -,38.15%,-0.29%,89.72%,15.35%,-24.79%,-25.73%,-19.77%,-,-,-,12.97%,48.16%,92.69%,"

",47.57M,29.44M,20.02%,7.10,5.90M,66.55 -5.45%,9.63 553.37%,10.29%,8.13%,4.40,67.61,0.16,1.08,830.59K,"898,469",3.06%,56.95%,89.40%,46.36%,99.49%,415.95%,-,-,-,1.42,69.00,58.32,62.92,7.89%,MBX
Fastly Inc,Technology,Software - Application,USA,Mid,NASD,RUT,3.24B,3.31B,-103.05M,652.57M,6.25,2.11,-,-,-,- -,-,1140,"May 17, 2019",-,52.35,0.94,4.97,3.32,9.81,104.30,-,5.07,3.00,3.00,0.41,0.38,Yes / Yes,-0.69,0.40,0.07,150.85%,21.38%,55.47%,19.15% 2.21%,12.98% 16.49%,36.83%,17.66%,51.10%,19.76%,Aug 05 AMC,48.91% 0.72%,7.17%,-18.19%,88.87%,17.88%,-6.96%,-10.66%,-7.65%,56.85%,-15.98%,-15.79%,11.11%,10.90%,28.56%,"

",156.37M,145.28M,17.45%,3.22,25.35M,34.82 -40.49%,6.29 229.41%,8.96%,7.17%,1.52,59.18,0.36,1.62,7.89M,"12,776,370",5.77%,19.22%,-16.72%,125.10%,103.54%,202.48%,15.18%,-58.55%,-,2.23,24.40,20.32,20.72,1.97%,FSLY
BJ's Restaurant Inc,Consumer Cyclical,Restaurants,USA,Small,NASD,RUT,1.42B,1.86B,44.35M,1.41B,17.70,1.08,-,-,"Nov 07, 2019",- -,0.00%,22000,"Oct 09, 1996",34.04,25.57,3.30,1.01,3.81,62.57,17.70,14.68,1.32,0.25,0.31,1.24,1.12,Yes / Yes,1.98,2.64,0.85,-1.30%,18.32%,7.76%,132.22% -,2.91% 12.44%,110.25%,3.02%,-28.77%,2.92%,May 05 AMC,-4.76% 0.32%,9.26%,-3.15%,97.43%,-8.95%,4.39%,11.92%,5.61%,9.70%,3.23%,3.15%,13.55%,32.72%,64.78%,"

",21.05M,19.07M,8.47%,3.73,1.61M,63.91 5.60%,28.46 137.14%,4.39%,4.23%,2.46,77.69,1.33,2.60,432.98K,"1,127,574",8.40%,30.34%,80.94%,49.25%,71.29%,73.50%,96.53%,57.03%,53.07%,2.20,50.00,62.47,67.49,8.04%,BJRI
Kodiak Sciences Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,2.67B,2.65B,-230.66M,0.00M,1.80,2.71,-,-,-,- -,-,124,"Oct 04, 2018",-,-,-,-,23.64,15.74,-,-,-,3.54,3.54,1.39,1.29,Yes / Yes,-4.17,-3.12,-0.96,13.38%,16.69%,41.69%,12.22% -8.23%,- -,-15.28%,-,13.70%,-,May 07 AMC,1.62% -,7.49%,-1.26%,96.30%,6.72%,-76.39%,-208.80%,-89.95%,-,-,-,9.85%,14.82%,47.06%,"

",62.16M,57.89M,18.36%,14.49,10.63M,47.84 -10.87%,4.60 827.14%,8.07%,8.49%,3.10,61.76,2.21,0.67,733.67K,"491,665",3.22%,29.45%,5.52%,48.73%,52.50%,721.58%,556.00%,-51.41%,-,1.00,62.67,41.25,42.64,3.37%,KOD
Eton Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,Small,NASD,RUT,1.16B,1.17B,-1.48M,86.93M,1.12,0.72,-,-,-,- -,-,44,"Nov 13, 2018",-,20.92,0.20,13.34,37.82,58.96,75.13,181.24,13.47,0.88,1.21,1.02,0.63,Yes / Yes,-0.07,2.02,0.16,145.00%,135.97%,106.23%,21.89% 33.66%,55.53% 359.57%,68.13%,79.89%,184.27%,40.41%,May 14 AMC,23.57% 8.76%,4.48%,-25.72%,65.21%,3.88%,-1.62%,-5.36%,-2.95%,54.77%,2.65%,-1.70%,16.11%,27.63%,88.69%,"

",27.36M,26.16M,5.54%,3.56,1.45M,39.48 7.19%,13.78 207.11%,7.57%,5.30%,2.01,73.46,0.89,3.14,407.41K,"1,279,032",15.60%,30.82%,73.23%,170.07%,150.27%,203.37%,1315.38%,677.94%,-,1.00,46.70,37.19,42.32,13.79%,ETON
Iovance Biotherapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,2.23B,1.97B,-353.86M,285.55M,1.65,0.70,-,-,-,- -,-,975,"Sep 01, 2009",-,-,-,7.82,3.04,7.12,-,-,6.89,3.15,3.60,0.07,0.06,Yes / Yes,-0.95,-0.31,-0.13,49.70%,43.19%,-,23.93% 10.23%,- -,23.00%,34.26%,47.50%,44.82%,May 07 BMO,-23.70% -8.23%,13.13%,0.00%,54.51%,1.34%,-37.40%,-47.51%,-46.22%,25.04%,-125.41%,-123.92%,16.88%,23.93%,57.99%,"

",438.11M,387.87M,25.92%,6.72,100.53M,5.63 -11.19%,1.76 184.09%,12.36%,9.13%,0.39,64.93,0.70,1.57,14.97M,"23,478,578",18.20%,30.89%,31.58%,110.08%,83.15%,113.68%,-37.66%,-77.77%,-39.02%,1.50,8.80,4.66,5.00,7.30%,IOVA
Tango Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,4.65B,4.30B,-107.23M,56.99M,2.72,2.33,-,-,-,- -,-,137,"Sep 03, 2020",-,-,-,81.59,10.52,12.24,-,-,75.50,27.38,27.38,0.08,0.08,Yes / Yes,-0.82,-1.49,-0.32,-47.92%,-15.72%,-24.36%,10.79% 11.68%,35.89% 52.13%,32.40%,39.04%,12.31%,-100.00%,May 13 AMC,-2.01% -100.00%,26.72%,-0.67%,89.11%,1.28%,-30.20%,-38.42%,-25.44%,96.28%,-206.22%,-188.15%,-3.89%,7.72%,73.27%,"

",144.16M,119.32M,35.21%,10.04,42.01M,34.39 -16.95%,5.77 394.97%,7.38%,6.99%,2.15,49.17,1.16,0.55,4.19M,"2,289,891",-8.05%,-11.19%,14.06%,130.51%,222.35%,316.33%,704.51%,166.17%,-,1.15,44.33,27.64,28.56,3.33%,TNGX
Alpha Tau Medical Ltd,Healthcare,Biotechnology,Israel,Small,NASD,-,1.19B,1.13B,-56.88M,0.00M,0.77,0.91,-,-,-,- -,-,112,"Mar 08, 2021",-,-,-,-,17.62,14.86,-,-,-,7.79,7.79,0.21,0.19,Yes / Yes,-0.66,-0.52,-0.14,-24.38%,21.65%,49.52%,0.15% -19.21%,- -,-42.64%,-,-107.21%,-,May 18 AMC,-110.36% -100.00%,20.81%,-0.61%,4.87%,9.67%,-59.96%,-90.51%,-68.95%,-,-,-,13.58%,27.26%,90.74%,"

",90.18M,69.69M,3.17%,2.49,2.21M,14.11 -3.97%,2.87 372.13%,8.18%,7.57%,0.93,65.02,1.18,1.24,887.23K,"1,103,041",6.61%,44.92%,70.01%,80.67%,173.74%,342.81%,224.94%,38.41%,-,1.60,14.20,11.88,13.55,14.06%,DRTS
Eos Energy Enterprises Inc,Industrials,Electrical Equipment & Parts,USA,Small,NASD,RUT,1.46B,2.23B,-552.13M,160.71M,-2.56,1.28,-,-,-,- -,-,787,"Jun 03, 2020",-,-,-,9.08,-,3.24,-,-,13.90,4.14,4.71,-,-,Yes / Yes,-6.68,-0.14,-0.17,95.95%,48.70%,-,-22.04% -35.89%,85.39% 249.50%,20.97%,725.76%,157.75%,444.74%,May 13 BMO,154.89% 4.87%,1.98%,-2.60%,59.02%,3.26%,-103.08%,-,-154.22%,-101.88%,-176.94%,-343.56%,-22.58%,-38.33%,-60.15%,"

",353.20M,346.21M,30.33%,3.94,105.00M,19.86 -79.20%,3.90 5.90%,12.20%,11.04%,0.59,30.36,2.73,1.06,26.68M,"28,230,975",-6.14%,-39.35%,-41.91%,-76.13%,-63.96%,-22.08%,15.36%,-75.93%,-,2.27,9.11,3.96,4.13,4.29%,EOSE
Avalyn Pharma Inc,Healthcare,Biotechnology,USA,Small,NASD,RUT,1.25B,1.52B,-,-,-5.96,2.78,-,-,-,- -,-,50,"Apr 30, 2026",-,-,-,-,-,10.19,-,-,-,10.80,10.80,0.15,0.15,No / Yes,-,-2.31,-0.74,28.45%,14.18%,9.19%,- -,- -,-,-,-,-,Jun 03 BMO,-265.25% -,40.23%,8.44%,5.70%,54.07%,-,-,-,-,-,-,-4.04%,-1.44%,-1.50%,"

",44.33M,26.50M,8.17%,4.14,2.17M,33.32 -15.07%,24.15 17.18%,10.31%,9.17%,2.60,48.46,-,0.70,522.52K,"364,051",0.86%,0.82%,-,-,8.85%,-,-,-,-,1.00,59.00,25.68,28.30,10.20%,AVLN
Spyre Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,8.70B,8.12B,-168.74M,0.00M,6.53,8.54,-,-,-,- -,-,102,"Apr 07, 2016",-,-,-,-,15.34,11.74,-,-,-,8.97,8.97,0.00,0.00,Yes / Yes,-2.36,-3.21,-0.76,-52.11%,-6.56%,-23.61%,57.01% 44.61%,- -,22.31%,-,-46.71%,-,May 05 BMO,-11.18% -,10.82%,-34.87%,82.73%,-3.65%,-25.30%,-29.26%,-25.15%,-,-,-,7.37%,21.64%,107.67%,"

",78.84M,77.45M,17.61%,9.92,13.64M,105.09 -4.62%,14.51 591.00%,8.67%,6.55%,6.42,60.72,3.04,0.79,1.38M,"1,091,487",2.55%,20.17%,43.80%,202.26%,205.95%,493.43%,568.20%,-40.78%,-11.30%,1.06,103.93,94.12,100.23,6.49%,SYRE
AST SpaceMobile Inc,Technology,Communication Equipment,USA,Large,NASD,-,22.43B,22.98B,-487.25M,84.94M,6.97,7.81,-,-,-,- -,-,1126,"Nov 01, 2019",-,-,-,264.11,8.30,7.40,-,-,270.50,18.37,18.47,1.44,1.43,Yes / Yes,-1.78,-0.81,-0.32,-73.95%,47.42%,-,-31.97% -23.49%,72.46% 64.06%,11.19%,1732.08%,-221.95%,1952.23%,May 11 AMC,-101.06% -62.23%,13.18%,-5.99%,41.64%,-0.05%,-13.13%,-36.80%,-9.63%,-224.29%,-440.53%,-573.67%,-21.42%,-32.44%,-30.55%,"

",298.45M,259.38M,24.95%,2.83,64.72M,133.86 -56.82%,36.08 60.20%,10.30%,9.32%,7.94,34.73,2.73,1.33,22.84M,"30,377,042",-21.17%,-29.73%,-36.44%,-39.30%,-20.42%,0.61%,1334.24%,424.98%,-,2.79,86.82,55.01,57.80,5.07%,ASTS
Dianthus Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,5.77B,4.66B,-173.66M,1.34M,22.01,20.33,-,-,-,- -,-,92,"Jun 21, 2018",-,-,-,4308.03,4.80,5.19,-,-,3479.75,29.25,29.25,0.00,0.00,Yes / Yes,-4.14,-4.48,-0.85,10.74%,-19.44%,-4.99%,49.46% 31.21%,-31.80% -,-43.40%,-79.52%,-3.10%,-60.19%,May 05 AMC,20.70% 14.72%,16.09%,-4.76%,109.56%,40.73%,-21.77%,-22.70%,-14.44%,72.23%,-14318.04%,-12998.50%,11.25%,18.72%,67.11%,"

",54.58M,45.87M,20.78%,10.11,9.53M,102.37 3.16%,18.08 484.07%,7.46%,6.30%,6.07,64.68,1.24,1.09,942.50K,"1,025,194",8.20%,33.87%,13.67%,128.13%,156.25%,418.92%,725.52%,-25.34%,-,1.06,128.69,95.35,105.60,10.75%,DNTH
Bandwidth Inc,Technology,Software - Infrastructure,USA,Mid,NASD,RUT,2.30B,2.67B,-5.05M,788.36M,12.67,1.58,-,-,-,- -,-,1100,"Nov 10, 2017",-,31.83,1.20,2.92,5.67,45.56,33.19,55.93,3.39,0.92,0.92,1.04,0.91,Yes / Yes,-0.38,2.26,0.36,25.87%,25.33%,26.43%,3.70% 25.10%,9.56% 17.05%,-534.80%,4.88%,39.38%,19.82%,Jul 29 BMO,28.38% 3.57%,9.24%,-11.93%,72.70%,2.36%,-0.52%,-1.35%,-0.65%,35.00%,-1.81%,-0.64%,12.21%,18.29%,160.99%,"

",30.06M,29.06M,12.06%,2.61,3.50M,79.08 -9.19%,12.50 474.48%,7.35%,8.32%,5.49,59.09,2.93,1.03,1.34M,"1,389,398",-4.86%,38.68%,251.67%,429.96%,364.79%,353.35%,401.47%,-44.22%,-,1.40,63.25,68.88,71.81,4.25%,BAND
ERock Inc,Industrials,Specialty Industrial Machinery,USA,Mid,NYSE,-,2.37B,2.21B,-,-,-0.59,1.37,-,-,-,- -,-,-,"Jun 10, 2026",-,-,-,-,-,7.89,-,-,-,0.81,0.92,-,-,Yes / Yes,-,-,-0.24,-,-,-,- -,- -,-,-,-,-,Jun 03,- -,86.89%,0.00%,-,-,-,-,-,-,-,-,-22.44%,-25.86%,-25.86%,"

",48.17M,28.77M,22.09%,2.24,6.36M,20.70 -47.78%,10.07 7.30%,10.88%,9.97%,1.42,27.80,-,0.81,2.83M,"2,286,541",-19.03%,-29.35%,-,-,-46.22%,-,-,-,-,1.12,22.62,10.15,10.81,6.50%,EROC
Edgewise Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,4.28B,3.78B,-176.01M,0.00M,4.59,4.64,-,-,-,- -,-,146,"Mar 26, 2021",-,-,-,-,8.66,8.56,-,-,-,22.61,22.61,0.01,0.01,Yes / Yes,-1.66,-1.66,-0.47,-21.93%,16.30%,-1.23%,-8.91% -36.19%,- -,-7.28%,-,-6.69%,-,May 07 BMO,5.08% -,26.04%,-1.54%,86.14%,-3.54%,-36.18%,-38.14%,-35.49%,-,-,-,-3.13%,7.15%,39.53%,"

",107.48M,79.58M,13.19%,7.12,10.49M,48.40 -17.85%,12.30 223.25%,7.67%,6.81%,2.83,50.11,0.30,0.51,1.47M,"744,698",-12.44%,17.11%,20.05%,41.14%,60.23%,189.58%,446.91%,101.21%,-,1.31,49.92,38.19,39.76,4.11%,EWTX
AnaptysBio Inc,Healthcare,Biotechnology,USA,Small,NASD,RUT,1.72B,1.71B,-26.79M,232.39M,0.44,9.67,-,-,-,- -,-,104,"Jan 26, 2017",-,29.66,-,7.39,132.09,6.00,389.41,39.51,7.35,7.58,7.58,21.75,21.59,Yes / Yes,-1.08,1.96,-0.13,-395.84%,228.64%,-,53.48% 8.82%,183.58% 25.62%,82.33%,107.73%,-43.62%,-7.98%,May 12 AMC,-185.89% 35.48%,6.26%,-2.54%,98.87%,2.34%,-7.13%,-114.55%,-9.30%,98.96%,17.56%,-11.53%,-7.11%,-3.26%,42.77%,"

",29.03M,27.75M,18.55%,7.60,5.15M,72.36 -19.85%,11.40 408.66%,9.76%,6.99%,4.39,45.78,0.86,1.08,677.48K,"732,652",-12.64%,0.68%,30.06%,73.13%,79.48%,226.14%,363.57%,233.77%,-,1.12,81.50,54.15,58.00,7.11%,ANAB
Alumis Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,3.65B,3.17B,-237.41M,8.40M,4.46,4.10,-,-,-,- -,-,224,"Jun 28, 2024",-,-,-,434.99,6.43,6.99,-,-,376.97,7.51,7.51,0.06,0.06,Yes / Yes,-1.92,-2.73,-0.72,0.13%,4.28%,12.06%,-9.85% -,- -,69.60%,-51.68%,59.19%,-89.99%,May 14 AMC,2.61% -15.41%,32.20%,-0.01%,66.46%,28.97%,-50.90%,-64.57%,-39.69%,58.06%,-5139.07%,-2825.70%,5.72%,19.16%,52.59%,"

",123.17M,86.44M,16.54%,10.57,14.29M,31.35 -8.58%,3.24 783.20%,7.20%,6.98%,1.84,59.17,-0.68,0.74,1.35M,"1,001,234",1.24%,28.41%,14.64%,17.75%,193.65%,716.52%,-,-,-,1.27,40.10,27.23,28.66,5.25%,ALMS
Sonos Inc,Technology,Consumer Electronics,USA,Small,NASD,RUT,1.80B,1.61B,23.68M,1.46B,3.13,2.09,-,-,-,- -,-,1404,"Aug 02, 2018",88.83,29.06,-,1.23,4.83,7.23,15.42,14.68,1.10,1.11,1.58,0.15,0.13,Yes / Yes,0.17,0.52,0.04,176.47%,33.33%,-,- -22.55%,-6.26% 1.70%,133.80%,-0.22%,58.92%,8.38%,Jul 29 AMC,2.04% 5.16%,1.75%,150.64%,101.43%,2.74%,2.90%,6.17%,5.43%,44.74%,3.71%,1.62%,7.08%,2.22%,-3.49%,"

",122.82M,117.05M,11.82%,7.39,13.83M,19.82 -23.76%,10.11 49.44%,7.26%,4.99%,0.74,56.34,1.96,2.04,1.87M,"3,809,486",4.21%,1.82%,6.86%,-6.73%,-13.95%,41.61%,-12.56%,-53.36%,-,1.40,20.00,14.27,15.11,5.89%,SONO
