Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,-0.55%,2.02B,89.82,0.30,-4.26%,70.08M,13.14%,1.81B,-,-0.30,96.56%,6.37%,10.48%,-81.13M,19.07,209.81%,-4.67%,6.79,49.20%,105.97M,7.62,-74.47%,-20.04%,4.46M,3.30%,3.57,8.83,-,-26.72%,28.49 -4.53%,141.78%,3.08,-,- 21.35%,-28.64%,10.69 154.44%,173.92%,-,-,-36.43% 22.16%,89.81%,3.90%,3.85%,-10.47%,-,17.08,33.39%,-87.34%,1.09,-,-,5.88,38.87%,-76.56%,61.96,1.00,- -,5.88,-73.76%,6.83%,1.22,40.08,-,0.07,-91.90%,11.96%,0.51,27.73,264,0.06,Mar 02 BMO,34.41%,656.88K,27.20,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","335,950",-1.91%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,40.08,1.16,11.57%,166.98M,-3.33%,7.79B,25.55,1.82,-3.61%,148.16M,2.83%,8.05B,2.63,0.36,89.61%,3.42%,-0.09%,198.00M,4.59,9.17%,-3.62%,5.04,0.30%,1.70B,4.84,9.72%,7.22%,5.06M,0.04%,9.60,25.93,9.72%,12.06%,53.17 -12.53%,57.13%,1.79,24.61,46.13% -2.00%,9.25%,29.39 58.25%,125.89%,0.44 (0.95%),21.33,9.78% -2.36%,41.64%,3.13%,2.70%,87.18%,0.40 (0.86%),4.74,25.84%,17.01%,1.41,334.13%,"Feb 20, 2026",2.07,8.26%,11.68%,48.26,2.25,23.86% 3.50%,3.13,17.38%,1.17%,1.08,53.78,32.87%,0.35,9.85%,-3.35%,1.28,47.39,2600,0.34,Apr 21 AMC,1.13%,1.00M,46.51,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","1,288,460",-1.86%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.77,6.02,0.20%,424.93M,-0.79%,50.25B,15.70,7.58,-2.31%,421.27M,-2.17%,57.24B,1.81,1.62,99.30%,3.59%,-5.40%,2.67B,5.31,9.63%,-1.35%,3.59,-17.02%,9.47B,15.19,7.91%,18.00%,15.12M,-5.39%,7.84,21.73,8.66%,65.99%,172.23 -30.88%,-18.89%,5.48,22.01,10.25% 11.96%,21.26%,113.29 5.08%,-31.82%,2.17 (1.82%),14.01,5.42% 7.24%,70.49%,2.53%,2.47%,-28.99%,2.03 (1.71%),6.05,10.11%,38.00%,3.07,147.43%,"Apr 20, 2026",1.94,2.28%,28.23%,49.14,1.83,14.57% 19.02%,3.03,6.74%,1.18%,0.93,149.06,33.71%,2.79,3.02%,-2.44%,0.71,120.76,14500,2.78,May 07 BMO,-11.41%,4.21M,119.04,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","2,986,036",-1.42%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.36,1.55,0.00%,557.07M,3.39%,14.09B,11.67,2.17,-,557.07M,6.62%,12.17B,0.88,0.45,11.06%,2.76%,12.44%,1.26B,2.06,18.14%,1.38%,7.66,35.88%,6.84B,2.22,11.83%,9.85%,15.37M,21.11%,11.39,3.84,13.28%,14.05%,26.20 -3.44%,34.86%,6.59,-,7.85% 14.68%,13.23%,16.68 51.68%,-10.95%,0.78 (3.08%),6.72,9.14% 13.33%,25.00%,1.53%,2.63%,-12.46%,0.69 (2.73%),1.78,4.25%,19.63%,0.66,-,"Apr 08, 2026",1.45,11.11%,18.50%,59.04,1.41,- -,1.49,13.14%,2.11%,-0.21,29.22,43.04%,0.17,13.88%,3.74%,1.27,25.08,-,0.01,Mar 17 AMC,20.60%,2.01M,25.30,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","2,553,946",0.88%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,9.90%,21.60B,29.37,4.57,-0.07%,103.41M,-13.89%,19.95B,1.52,1.01,54.18%,7.92%,-37.31%,-67.63M,7.20,22.18%,4.20%,2.75,-55.49%,3.00B,9.82,14.13%,-1.15%,8.19M,-40.28%,13.68,6.15,19.27%,-3.56%,336.99 -60.14%,-33.79%,21.85,24.74,54.06% 21.31%,-1.69%,114.62 17.19%,27.39%,-,1158.57,34.81% 44.03%,76.28%,5.42%,5.33%,-30.21%,-,6.65,-326.25%,-4.54%,8.14,-,-,1.82,23.91%,-2.25%,44.37,1.43,- -,1.82,-327.24%,-1.78%,1.02,227.93,-,0.85,25.91%,-11.48%,1.00,131.01,7923,0.82,Feb 26 AMC,-44.69%,2.98M,134.33,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","2,964,597",2.53%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,13.96,6.21,9.99%,266.81M,3.15%,25.54B,14.09,6.15,-2.71%,265.23M,14.07%,17.77B,4.24,1.42,69.70%,2.13%,4.74%,1.90B,5.25,-0.74%,1.21%,1.28,9.28%,4.87B,2.61,4.70%,16.56%,5.65M,0.45%,33.19,3.26,3.32%,20.28%,97.58 -11.17%,21.74%,26.56,13.27,162.73% 22.38%,19.31%,69.15 25.35%,24.72%,-,14.14,3.49% 12.92%,77.02%,6.09%,3.83%,-73.73%,-,3.65,93.43%,23.08%,3.52,-,-,4.28,4.36%,39.03%,59.87,2.12,- -,4.28,91.72%,7.10%,0.93,97.42,0.00%,0.01,5.31%,5.38%,1.15,89.03,7438,0.00,Feb 25 AMC,5.67%,4.40M,86.68,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","5,056,513",-2.64%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,112.67M,13.31%,2.65B,-,-1.23,-14.00%,110.75M,23.55%,2.08B,-,-0.48,23.87%,4.82%,19.84%,-176.02M,5.74,-10.19%,-9.96%,7.42,-20.07%,461.41M,3.63,30.18%,-14.93%,5.33M,33.22%,6.47,3.35,19.87%,-22.62%,44.34 -47.00%,-18.78%,7.01,-,29.68% 14.26%,-24.15%,15.96 47.24%,-38.99%,-,-,29.03% 56.57%,58.47%,3.35%,3.72%,-85.70%,-,4.51,38.12%,-49.86%,0.87,-,-,2.27,15.59%,-38.15%,74.41,1.28,- -,2.45,42.77%,18.28%,0.88,33.27,-,0.31,17.92%,21.27%,1.86,23.25,1784,0.02,Feb 26 BMO,-7.25%,718.69K,23.50,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","1,335,933",1.08%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.24,6.01,1.49%,147.65M,-0.37%,9.10B,9.25,6.66,-2.37%,145.68M,13.92%,-,1.63,1.42,81.09%,3.43%,4.68%,884.00M,1.84,4.50%,0.77%,2.60,11.34%,4.94B,1.28,5.98%,1.00%,4.99M,5.12%,48.18,-,5.68%,13.35%,66.18 -7.00%,41.93%,-,9.28,1.24% 14.71%,9.97%,39.42 56.11%,105.48%,1.82 (2.96%),-,14.19% 10.90%,-,1.78%,2.31%,9.66%,1.78 (2.89%),-,21.18%,23.77%,1.49,140.96%,"Feb 12, 2026",-,-1.00%,17.88%,64.38,2.57,3.66% 5.29%,0.36,31.00%,5.42%,0.81,65.60,29.30%,0.67,-0.08%,4.61%,0.47,61.85,9195,0.23,Apr 20 AMC,8.87%,1.92M,61.54,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","896,057",-0.50%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.78,3.98,1.22%,120.47M,2.08%,3.25B,-,-3.98,0.00%,119.00M,-1.68%,7.20B,-,-0.15,48.38%,3.20%,18.57%,479.20M,0.47,-152.45%,9.35%,1.19,100.67%,6.90B,0.81,-90.46%,4.28%,3.81M,26.94%,33.38,1.82,-,11.89%,29.97 -10.08%,99.93%,14.83,1.90,-53.07% -1.60%,5.56%,12.33 118.57%,29.41%,0.02 (0.06%),3.38,-18.09% 11.58%,16.76%,1.17%,1.89%,-8.30%,1.99 (7.38%),1.04,-77.70%,12.28%,0.59,-,"Mar 20, 2026",1.15,-18.07%,6.94%,56.00,3.60,-46.24% -,1.23,-93.22%,2.28%,1.24,22.90,107.58%,1.43,-31.50%,2.13%,0.51,26.70,6785,1.14,Mar 09 BMO,39.82%,3.19M,26.95,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,624,250",0.94%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,27.04,0.43,75.38%,268.31M,0.00%,4.89B,18.82,0.61,0.00%,66.05M,18.46%,5.77B,1.11,-,23.09%,5.59%,6.45%,111.78M,2.26,4.75%,0.40%,4.74,20.94%,2.17B,2.56,30.80%,3.57%,3.69M,12.68%,4.51,14.07,17.01%,10.35%,11.93 -3.14%,68.37%,0.82,16.63,23.45% -,5.34%,6.80 69.98%,-11.29%,0.15 (1.26%),12.50,11.30% -,55.64%,2.08%,3.99%,16.08%,0.14 (1.23%),2.66,29.96%,8.54%,0.46,-,"Jul 07, 2025",0.91,2.91%,5.16%,62.88,1.92,- -,1.59,-54950.00%,8.96%,0.78,11.99,-,0.95,-,8.17%,0.51,11.50,7437,0.73,Mar 20 BMO,17.69%,778.32K,11.55,"Dec 20, 2021",Yes / Yes,44.68% -2.50%,"

","396,427",0.43%,ZGN
