Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,489.46,0.09,81.68%,46.23M,8.49%,10.56B,15.24,2.89,-0.11%,43.95M,-2.11%,9.71B,0.47,0.46,17.57%,6.55%,-33.97%,23.00M,4.09,34.35%,-3.00%,2.45,-36.56%,2.58B,2.17,31.30%,0.40%,2.88M,-35.37%,20.31,8.12,32.11%,0.47%,90.22 -51.12%,-28.20%,5.43,44.92,- -,0.46%,39.14 12.67%,-1.30%,-,37.22,9.67% -5.01%,74.14%,4.25%,4.62%,-67.61%,-,3.76,119.94%,-1.24%,2.10,92.16%,-,3.13,15.52%,0.89%,53.75,2.06,- -,3.13,105.41%,4.82%,2.09,73.65,0.00%,0.09,18.05%,-1.01%,0.54,43.62,7068,0.02,Feb 10 AMC,-33.26%,1.18M,44.10,"Jul 20, 2011",Yes / Yes,-3.27% 0.54%,"

","633,342",1.10%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.15,12.74%,221.18M,13.71%,4.25B,14.66,1.19,-0.04%,213.01M,-3.38%,4.15B,0.51,0.11,73.75%,11.91%,-21.85%,-31.51M,3.26,29.41%,0.95%,3.05,-9.32%,1.30B,5.30,25.76%,-2.37%,25.36M,-14.40%,3.29,13.30,28.98%,-4.25%,24.90 -30.04%,53.48%,1.31,22.98,58.59% 17.79%,-3.11%,10.69 62.96%,70.78%,-,41.16,30.21% 28.80%,55.11%,6.05%,5.97%,-,-,3.18,63.53%,2.21%,1.00,-,-,1.60,29.72%,-2.42%,57.20,1.40,- -,1.60,-56.98%,8.53%,1.27,28.92,-,0.27,25.41%,4.13%,0.74,17.37,3300,0.26,Apr 30 AMC,-4.54%,8.32M,17.42,"Jun 10, 2021",Yes / Yes,21.21% 4.06%,"

","6,132,053",0.29%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,42.13,1.11,5.89%,38.38M,5.26%,1.76B,6.65,7.01,0.00%,35.61M,10.13%,2.05B,3.41,1.00,116.45%,12.02%,28.49%,47.35M,1.22,-0.12%,-0.95%,3.99,25.79%,1.45B,1.02,5.84%,1.29%,4.28M,32.66%,45.69,2.91,1.95%,2.66%,50.55 -7.75%,50.08%,16.04,6.13,-5.27% -18.45%,1.90%,22.45 107.71%,-39.42%,-,4.91,1.42% 4.60%,70.01%,3.50%,4.18%,-58.08%,-,1.41,-22.24%,12.97%,1.97,-13.92%,"May 17, 2019",1.27,3.54%,3.26%,69.94,2.25,- -,1.27,-99.32%,7.18%,1.18,43.43,0.00%,0.51,-1.48%,21.88%,0.45,46.92,3900,0.42,Feb 23 AMC,29.50%,1.07M,46.63,"Jul 23, 1999",Yes / Yes,-5.13% -2.39%,"

","481,681",-0.62%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,28.54,8.16,0.95%,49.59M,4.47%,11.46B,11.73,19.87,0.22%,48.72M,11.47%,14.04B,1.05,4.26,96.07%,4.43%,-11.23%,419.00M,2.11,12.79%,-2.93%,2.76,-19.36%,5.43B,3.22,11.21%,5.09%,2.16M,-4.03%,72.35,91.71,11.15%,11.68%,352.66 -33.92%,3.68%,2.54,13.79,-2.43% -2.63%,6.86%,199.05 17.08%,-23.11%,-,13.71,-1.54% 4.06%,46.33%,2.74%,3.37%,-54.62%,-,2.58,-19.74%,15.44%,7.94,262.03%,-,0.58,9.36%,7.71%,64.68,1.81,- -,0.97,-55.92%,9.34%,1.67,331.50,0.00%,0.75,12.28%,3.22%,1.26,229.64,10700,0.70,Feb 12 BMO,-14.17%,781.89K,233.04,"Aug 15, 1991",Yes / Yes,0.01% 0.58%,"

","981,844",1.48%,ZBRA
Zenas Biopharma Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-8.44,56.05%,54.49M,2.26%,1.25B,-,-4.61,1.53%,25.21M,-7.33%,984.95M,-,-1.47,43.01%,37.14%,-3.55%,-377.74M,124.82,42.83%,12.57%,11.74,-15.82%,10.00M,4.90,4.53%,-100.25%,9.36M,-40.07%,4.44,3.64,22.85%,-136.22%,44.60 -51.21%,161.22%,5.98,-,-39.47% -,-117.68%,8.09 168.97%,-,-,-,- -,99.44%,5.63%,7.84%,-,-,98.49,-116.54%,-2113.85%,1.65,-,-,5.61,100.00%,-3777.37%,49.24,1.25,- -,5.61,-310.86%,3.12%,-0.37,42.00,-,0.33,-100.00%,-6.63%,0.39,21.05,167,0.33,Mar 16 BMO,-8.38%,797.18K,21.76,"Sep 13, 2024",Yes / Yes,-353.37% -100.00%,"

","313,618",3.37%,ZBIO
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,26.72,3.55,0.15%,195.50M,1.88%,18.35B,10.51,9.02,-1.24%,195.36M,2.44%,25.51B,1.87,1.87,102.53%,5.12%,6.21%,705.00M,2.23,2.47%,2.86%,4.63,-3.65%,8.23B,1.46,7.31%,3.17%,10.00M,5.40%,64.95,31.00,5.62%,5.60%,108.29 -12.48%,-2.23%,3.06,15.65,47.75% -,3.56%,84.59 12.05%,-28.40%,0.91 (0.96%),10.56,5.85% 3.22%,60.94%,2.47%,2.27%,-43.16%,0.96 (1.01%),3.10,-20.10%,16.07%,2.20,-14.32%,"Mar 31, 2026",1.10,7.20%,8.56%,58.44,2.61,0.00% 0.00%,1.98,-41.28%,4.12%,0.59,102.24,27.05%,0.61,10.90%,1.52%,0.63,94.20,17000,0.56,Apr 28 BMO,-0.40%,2.16M,94.78,"Jul 25, 2001",Yes / Yes,0.92% 0.90%,"

","1,362,502",0.62%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,489.23,0.09,29.80%,187.99M,8.49%,10.58B,15.30,2.88,-0.30%,168.43M,-2.54%,9.74B,0.48,0.45,72.73%,8.73%,-34.74%,23.00M,4.10,33.80%,-2.99%,3.21,-39.04%,2.58B,2.17,31.33%,0.40%,14.71M,-35.39%,20.31,8.14,31.85%,0.47%,93.88 -53.05%,-29.44%,5.42,45.03,- -,0.46%,39.05 12.88%,-3.44%,-,37.31,9.67% -5.01%,74.14%,4.35%,4.82%,-67.25%,-,3.77,119.94%,-1.24%,2.17,101.74%,-,3.13,15.52%,0.89%,53.49,2.09,- -,3.13,105.41%,4.69%,2.12,73.48,0.00%,0.09,18.05%,-1.26%,0.44,43.50,7068,0.02,May 06 AMC,-35.00%,4.59M,44.08,"Aug 03, 2015",Yes / Yes,-2.91% 0.55%,"

","2,031,972",1.33%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,19.42,2.50,3.95%,354.00M,-3.23%,17.05B,15.09,3.22,-1.18%,337.34M,-10.11%,18.73B,1.26,0.85,74.04%,1.38%,2.80%,929.00M,1.45,14.88%,-2.47%,2.71,12.70%,11.80B,3.19,11.34%,8.48%,4.67M,1.68%,15.19,12.32,12.01%,16.73%,58.39 -16.87%,10.47%,3.94,20.02,34.03% 4.49%,12.81%,41.00 18.39%,-22.93%,1.08 (2.22%),9.60,7.23% 7.38%,17.35%,1.80%,2.25%,-19.23%,1.01 (2.08%),1.59,7.35%,12.71%,1.18,-,"Mar 04, 2026",0.85,4.37%,7.87%,38.32,1.31,25.99% 31.95%,1.05,28.84%,-2.77%,0.14,61.82,38.34%,0.44,8.79%,-7.70%,0.67,49.38,290000,0.35,Apr 29 BMO,1.75%,1.73M,48.54,"Oct 17, 2016",Yes / Yes,30.15% 3.90%,"

","1,153,349",-1.70%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.73,5.55,0.16%,277.00M,-0.79%,44.10B,21.33,7.48,-10.92%,275.98M,-2.55%,56.28B,1.83,1.37,87.83%,2.60%,1.52%,1.56B,5.37,10.41%,2.47%,3.81,10.79%,8.21B,-,11.94%,20.89%,7.18M,5.45%,-26.44,48.94,11.65%,-,169.39 -5.83%,11.89%,3.26,26.90,6.69% 13.51%,27.25%,137.33 16.16%,18.27%,3.04 (1.91%),20.51,6.28% 7.76%,46.17%,1.54%,1.97%,35.12%,2.88 (1.81%),6.85,5.99%,30.90%,3.16,171.07%,"Feb 20, 2026",1.35,8.80%,18.98%,50.98,2.27,7.60% 8.60%,1.35,27.83%,0.91%,0.63,172.83,51.19%,-,6.44%,-0.40%,0.86,161.94,49000,-,Apr 29 BMO,5.24%,1.89M,159.52,"Sep 12, 1997",Yes / Yes,-1.86% 2.62%,"

","1,614,319",-1.49%,YUM
York Space Systems Inc,Industrials,Aerospace & Defense,USA,NYSE,RUT,-,-,34.77%,127.61M,6.39%,4.86B,68.25,0.56,1.74%,82.80M,105.09%,5.02B,-,-0.11,0.03%,6.86%,-,-,-,92.21%,40.60%,2.64,-,-,5.63,910.06%,-,5.68M,13.98%,6.80,29.91,-,-,40.05 -4.34%,-,1.28,-,-57.67% -,-,16.93 126.28%,-,-,-,27.36% -,-,13.86%,13.18%,-,-,-,-,-,3.46,-,-,1.48,-,-,70.69,1.60,- -,1.57,-,41.16%,-,35.80,-,0.17,-,50.78%,1.47,39.68,710,0.17,Mar 19 AMC,48.43%,2.15M,38.31,"Jan 29, 2026",Yes / Yes,-28.88% 2.58%,"

","3,166,278",-3.45%,YSS
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,-,-1.98,0.04%,393.26M,-1.92%,16.47B,7.52,5.57,-9.31%,393.12M,9.87%,26.65B,-,0.98,8.62%,1.88%,21.19%,-765.36M,0.89,298.06%,-1.53%,3.32,60.73%,18.53B,1.50,33.21%,-2.60%,7.41M,15.79%,27.93,13.79,-,-6.82%,48.96 -14.47%,28.87%,3.04,-,- 2.51%,-3.97%,22.82 83.48%,236.31%,-,5.08,-0.90% 14.65%,27.47%,2.47%,4.56%,957.32%,-,1.44,-132.96%,10.50%,1.77,123.43%,"Jul 09, 2019",0.66,-4.12%,-4.13%,49.76,1.50,- -,0.87,-96.02%,-3.46%,1.23,51.62,-,1.03,-5.33%,5.10%,0.56,41.54,-,0.79,Feb 27 BMO,21.85%,2.23M,41.87,"Jun 29, 1993",Yes / Yes,-348.51% 4.33%,"

","1,239,294",0.79%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,46.67,1.12,8.79%,97.99M,6.25%,6.94B,20.31,2.56,-15.45%,90.57M,8.21%,6.38B,0.66,0.32,94.95%,11.87%,54.89%,109.17M,7.70,29.76%,-2.64%,5.93,67.93%,900.78M,28.80,76.32%,8.60%,10.75M,49.02%,1.81,9.91,30.86%,58.05%,56.51 -7.89%,99.07%,5.25,20.22,- -,38.37%,23.66 120.02%,110.74%,0.70 (1.34%),28.85,27.22% 31.30%,60.58%,5.17%,5.62%,-,0.52 (1.00%),7.08,-36.34%,20.70%,2.73,-,"Mar 10, 2026",1.01,16.91%,12.12%,59.15,2.12,- -,1.01,-72.10%,3.36%,1.08,53.43,44.73%,0.63,16.72%,17.46%,0.77,51.10,3301,0.60,Feb 25 BMO,43.51%,1.81M,52.05,"Jun 30, 2021",Yes / Yes,5.08% 2.13%,"

","1,388,566",1.86%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,15.32,0.58,6.22%,931.89M,7.44%,8.21B,10.67,0.83,0.00%,873.90M,0.92%,5.93B,0.91,0.13,72.88%,2.13%,-10.83%,612.46M,4.72,0.47%,1.95%,2.67,-26.95%,1.74B,1.67,23.70%,10.21%,18.64M,-17.89%,5.27,3.34,11.67%,11.24%,14.07 -37.38%,-12.08%,2.64,-,118.73% -,10.69%,8.04 9.58%,20.36%,0.29 (3.34%),10.82,20.22% 35.97%,63.57%,3.27%,2.79%,-,0.18 (2.04%),3.41,43.31%,32.73%,0.27,-,"Apr 08, 2026",6.26,11.30%,35.23%,57.96,1.60,- -,8.09,78.31%,6.11%,0.29,12.41,-,0.00,1.98%,-1.33%,1.00,8.60,-,0.00,Mar 12 BMO,-21.07%,6.98M,8.81,"Jun 22, 2021",Yes / Yes,-2.52% 8.69%,"

","7,003,342",2.44%,YMM
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,18.82,2.04,0.97%,74.99M,2.87%,2.91B,11.81,3.25,-1.31%,74.96M,2.32%,2.95B,0.93,0.18,122.61%,11.46%,-21.44%,165.39M,1.56,13.36%,-2.49%,5.94,13.01%,1.87B,4.43,15.59%,12.52%,8.59M,-13.09%,8.67,15.43,12.74%,23.79%,51.29 -25.15%,42.50%,2.49,13.70,25.37% 2.71%,19.26%,26.61 44.27%,-3.01%,0.22 (0.58%),11.00,5.41% 11.35%,57.41%,4.09%,3.86%,-55.78%,-,1.58,-0.40%,11.43%,1.56,-,-,1.11,2.11%,8.85%,50.88,1.94,- -,1.98,18.88%,3.95%,1.72,50.00,0.00%,0.35,6.80%,-6.07%,1.13,38.58,1390,0.32,Feb 19 BMO,-1.48%,1.45M,38.39,"Oct 25, 2018",Yes / Yes,4.14% 0.30%,"

","1,640,628",-0.49%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,12.16,2.26,4.00%,59.95M,7.24%,1.63B,10.72,2.56,-18.46%,57.14M,12.70%,1.33B,1.47,0.26,102.57%,13.19%,-6.13%,145.60M,1.11,-7.52%,-2.53%,5.16,-18.64%,1.46B,2.31,23.53%,14.99%,7.54M,-9.77%,11.86,5.03,7.29%,20.02%,41.22 -33.48%,-18.27%,5.45,5.05,65.31% -,19.99%,19.60 39.90%,-10.65%,-,5.32,7.07% 10.91%,86.85%,2.52%,2.91%,-32.06%,-,0.91,16.49%,12.97%,0.77,30.45%,-,2.99,3.75%,9.94%,73.75,2.92,- -,2.99,-1.87%,8.60%,0.51,25.62,0.00%,0.04,-0.54%,14.69%,0.45,26.93,5168,0.02,Feb 12 AMC,-7.05%,1.46M,27.42,"Mar 02, 2012",Yes / Yes,13.64% 0.20%,"

","660,487",1.82%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.32,0.84,-,133.34M,5.61%,928.05M,7.91,0.88,-,131.47M,10.30%,166.63M,-,-,16.21%,1.04%,2.20%,149.83M,2.71,6.02%,2.95%,4.69,-1.14%,341.93M,1.40,0.00%,17.65%,1.36M,0.29%,4.97,1.23,-,19.79%,9.29 -25.08%,11.18%,5.66,-,16.90% -,18.47%,5.88 18.37%,76.20%,-,-,4.04% 20.44%,67.27%,2.41%,3.34%,-69.53%,-,0.49,13.68%,35.74%,0.22,-,-,8.87,0.66%,43.82%,64.74,1.67,- -,9.02,11.98%,8.07%,0.54,8.80,0.00%,0.00,-7.67%,3.28%,0.53,6.92,-,0.00,Mar 09 AMC,-3.48%,290.31K,6.96,"Sep 30, 2020",Yes / Yes,- -1.56%,"

","154,021",0.58%,YALA
Exzeo Group Inc,Financial,Insurance - Diversified,USA,NYSE,RUT,-,-,86.30%,90.91M,5.53%,1.49B,14.16,1.16,0.22%,12.46M,3.34%,1.19B,-,0.21,8.67%,4.43%,-24.16%,-,-,-2.36%,14.65%,2.84,-,-,5.87,20.00%,-,0.55M,-32.29%,2.80,4.89,-,-,24.60 -33.25%,-,3.36,-,- -,-,12.91 27.14%,-,-,-,68.16% 59.02%,-,4.93%,5.16%,-,-,-,-,-,0.83,-,-,3.86,-,-,58.09,1.00,- -,3.86,490.77%,9.74%,-,26.00,0.00%,0.03,92.89%,5.64%,0.55,16.79,354,0.02,Feb 25 AMC,-8.56%,194.38K,16.42,"Nov 05, 2025",No / Yes,44.26% 15.75%,"

","107,183",-2.20%,XZO
