Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4994.88B,5011.08B,122.58B,451.44B,7.26,4.66,1.08 (0.32%),1.05 (0.31%),"May 11, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",41.14,35.10,2.68,11.06,46.84,72.91,38.67,31.32,11.10,1.02,1.07,0.80,0.70,Yes / Yes,8.27,9.69,1.89,17.43%,10.62%,13.08%,6.89% 17.91%,1.81% 8.71%,28.91%,12.76%,22.04%,16.60%,Jul 30 AMC,3.30% 1.58%,0.12%,-2.21%,66.11%,0.00%,34.91%,141.47%,67.76%,47.86%,32.64%,27.15%,6.29%,10.48%,22.86%,"

",14.69B,14.67B,1.00%,2.65,146.55M,339.57 0.15%,201.50 68.77%,2.16%,2.52%,8.08,68.90,1.06,0.94,55.28M,"51,859,042",3.77%,19.84%,27.08%,33.15%,25.09%,58.88%,73.66%,134.57%,1203.74%,1.98,325.41,336.91,340.08,0.94%,AAPL
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",4767.64B,4699.88B,159.61B,253.49B,8.07,3.33,0.65 (0.33%),0.28 (0.14%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",30.17,15.45,0.33,18.81,24.41,59.17,40.04,28.40,18.54,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.75,2.08,88.70%,41.68%,47.26%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,May 20 AMC,6.52% 3.43%,3.85%,-0.31%,69.34%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,-3.25%,-5.20%,2.08%,"

",24.22B,23.27B,1.39%,2.10,324.05M,236.54 -16.71%,164.07 20.08%,4.07%,3.60%,7.56,42.95,2.22,0.87,154.52M,"134,111,494",-4.96%,2.33%,-9.05%,5.65%,5.64%,11.46%,321.41%,910.15%,13927.06%,1.23,314.29,196.51,197.01,0.25%,NVDA
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4081.33B,3974.23B,244.12B,446.31B,50.90,19.83,0.80 (0.24%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",16.76,22.26,1.25,9.14,6.56,16.83,76.61,22.41,8.90,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.99,3.02,84.43%,-24.82%,17.81%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.19%,-0.04%,38.54%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-4.83%,-7.77%,2.76%,"

",5.87B,5.85B,1.35%,2.38,78.67M,408.61 -18.33%,187.82 77.68%,2.60%,2.72%,11.73,41.72,1.25,0.89,33.05M,"29,511,940",-3.87%,-1.09%,-4.75%,0.14%,6.62%,73.28%,151.70%,145.21%,771.49%,1.30,428.45,326.56,333.71,2.19%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4067.63B,3960.53B,244.12B,446.31B,50.90,19.83,0.80 (0.24%),0.85 (0.26%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",16.71,22.21,1.25,9.11,6.53,16.78,76.35,22.33,8.87,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.98,3.02,84.31%,-24.83%,17.73%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.03%,-0.03%,27.06%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-4.70%,-7.51%,2.65%,"

",5.53B,5.13B,1.08%,2.47,55.65M,404.47 -17.77%,188.70 76.26%,2.48%,2.71%,11.56,41.77,1.25,0.93,22.56M,"20,986,949",-3.93%,-0.62%,-4.57%,-0.30%,5.99%,71.96%,150.06%,143.87%,791.80%,1.31,428.15,326.57,332.60,1.85%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",2921.97B,2969.13B,125.22B,318.27B,55.78,10.54,3.68 (0.94%),3.56 (0.91%),"Aug 20, 2026",10.21% 10.23%,24.34%,228000,"Mar 13, 1986",23.43,20.22,1.08,9.18,7.05,37.33,40.07,15.42,9.33,1.27,1.28,0.30,0.26,Yes / Yes,16.79,19.46,4.24,24.66%,14.43%,18.65%,12.24% 18.80%,12.42% 14.52%,29.64%,17.87%,23.32%,18.30%,Jul 29 AMC,5.13% 1.77%,1.54%,-0.03%,74.89%,-1.84%,19.93%,34.01%,24.02%,68.31%,46.80%,39.34%,1.13%,-1.30%,-9.53%,"

",7.43B,7.31B,1.26%,2.37,92.37M,555.45 -29.18%,349.20 12.64%,2.71%,2.70%,11.83,51.74,1.12,0.83,39.04M,"32,367,546",-1.11%,5.46%,-7.41%,-16.36%,-18.67%,-23.25%,16.25%,37.43%,599.79%,1.23,553.34,389.10,393.35,1.09%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2483.39B,2564.27B,90.80B,742.78B,41.09,13.57,-,-,-,- -,0.00%,1576000,"May 15, 1997",27.59,22.87,1.02,3.34,5.62,17.01,-,15.96,3.45,1.01,1.18,0.51,0.47,Yes / Yes,8.37,10.09,1.82,23.61%,13.88%,22.48%,- 27.96%,11.73% 13.18%,35.55%,14.22%,75.33%,16.61%,Jul 30 AMC,70.22% 2.39%,8.95%,-0.03%,66.74%,0.00%,11.64%,24.28%,13.93%,50.60%,12.14%,12.22%,-5.12%,-6.81%,-1.62%,"

",10.75B,9.79B,1.09%,2.19,106.57M,278.56 -17.12%,196.00 17.79%,2.21%,2.68%,6.91,36.54,1.47,0.92,48.58M,"44,521,597",-6.74%,-0.79%,-11.59%,-3.17%,0.02%,-0.83%,74.62%,27.18%,513.49%,1.22,317.02,231.39,230.86,-0.23%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2034.71B,1956.43B,71.86B,142.82B,35.53,21.29,4.13 (1.05%),3.50 (0.89%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",28.31,18.14,0.48,14.25,11.04,18.42,50.99,19.19,13.70,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.63,4.36,57.95%,30.52%,37.52%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.09%,-3.61%,15.20%,9.60%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,-7.44%,-7.81%,10.26%,"

",5.19B,5.18B,0.64%,2.38,33.35M,479.00 -18.10%,223.70 75.37%,3.25%,3.79%,17.61,38.99,1.40,1.30,14.02M,"18,276,373",-7.61%,-9.26%,-3.13%,17.91%,29.10%,61.61%,288.96%,240.93%,1294.14%,1.20,537.70,399.09,392.31,-1.70%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1812.21B,1857.49B,29.32B,75.47B,18.43,4.13,2.62 (0.69%),2.54 (0.67%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",63.41,19.49,0.35,24.01,20.67,92.33,55.31,44.16,24.61,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.55,3.21,69.96%,68.63%,56.48%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.91%,-1.96%,78.87%,-0.43%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,-0.48%,-4.17%,4.26%,"

",4.76B,4.67B,1.47%,2.65,68.64M,495.00 -23.05%,281.61 35.26%,3.74%,3.52%,16.09,47.43,1.47,0.78,25.92M,"20,328,406",-1.45%,4.35%,-8.92%,17.26%,10.06%,29.43%,323.33%,697.47%,2219.37%,1.31,528.60,383.22,380.91,-0.60%,AVGO
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1506.33B,1511.57B,70.59B,214.96B,96.01,32.11,1.96 (0.33%),2.10 (0.35%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",21.57,16.89,0.84,7.01,6.18,18.48,31.22,13.83,7.03,2.35,2.35,0.36,0.35,Yes / Yes,27.51,35.13,7.19,40.19%,6.69%,20.07%,39.86% 18.41%,19.89% 18.51%,6.07%,26.18%,62.49%,33.08%,Jul 29 AMC,55.89% 1.36%,13.70%,-0.06%,67.49%,-0.09%,20.90%,32.93%,21.52%,81.94%,41.21%,32.84%,-5.01%,-1.93%,-6.82%,"

",2.20B,2.19B,1.73%,2.08,37.85M,796.25 -25.47%,520.26 14.06%,3.00%,3.64%,23.30,43.40,1.23,0.66,18.17M,"12,009,255",-7.83%,7.84%,-12.56%,-11.74%,-10.10%,-17.31%,82.32%,58.97%,374.73%,1.28,822.55,593.87,593.41,-0.08%,META
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1544.43B,1558.34B,-,-,2.64,1.79,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,44.08,65.05,-,-,-,1.11,1.22,0.74,0.69,Yes / Yes,-,-,-0.23,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,- -,95.13%,-0.00%,0.29%,80.87%,-,-,-,-,-,-,-14.83%,-21.57%,-21.57%,"

",7.38B,646.00M,25.55%,1.35,165.05M,225.64 -48.41%,108.66 7.13%,7.28%,6.57%,11.33,36.36,-,0.67,122.34M,"81,714,250",-5.77%,-24.03%,-,-,-22.39%,-,-,-,-,1.65,236.72,113.50,116.41,2.56%,SPCX
