Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,-6.72%,1.74B,65.17,0.36,-4.26%,70.08M,1.65%,1.53B,-,-0.30,96.46%,5.90%,-9.70%,-81.13M,16.44,209.81%,-4.68%,5.42,48.04%,105.97M,6.57,-69.66%,-20.04%,4.14M,-10.94%,3.57,7.62,-,-26.72%,28.49 -17.69%,90.03%,3.08,-,- 21.35%,-28.64%,9.03 159.69%,180.50%,-,-,-36.43% 22.16%,89.81%,4.78%,5.06%,-26.37%,-,14.46,33.39%,-87.34%,1.25,-,-,5.88,38.87%,-76.56%,47.83,1.00,- -,5.88,-73.76%,-1.85%,1.26,40.08,-,0.07,-91.90%,-0.13%,0.92,24.04,264,0.06,Mar 02 BMO,23.80%,762.68K,23.45,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","699,821",-2.45%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,38.21,1.16,11.57%,166.98M,-5.68%,7.40B,24.34,1.82,-3.63%,147.50M,-13.26%,7.65B,2.50,0.36,90.17%,3.48%,-6.50%,198.00M,4.36,9.17%,-3.61%,5.34,-6.22%,1.70B,4.62,9.78%,7.22%,5.14M,-4.62%,9.60,24.61,9.72%,12.06%,53.17 -16.61%,32.75%,1.80,23.36,46.13% -2.00%,9.25%,27.74 59.84%,115.98%,0.44 (1.00%),20.28,9.78% -2.36%,41.64%,2.72%,2.67%,77.90%,0.40 (0.90%),4.51,25.84%,17.01%,1.38,336.34%,"Feb 20, 2026",2.07,8.26%,11.68%,22.04,2.25,23.86% 3.50%,3.13,17.38%,-8.60%,1.09,55.33,32.87%,0.35,9.85%,-8.33%,1.21,45.23,2600,0.34,Feb 03 AMC,-1.48%,962.24K,44.34,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","1,162,009",-1.97%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.49,6.02,0.20%,424.93M,-2.04%,49.54B,15.56,7.54,-2.31%,421.27M,-6.54%,56.52B,1.86,1.62,99.80%,4.11%,-3.00%,2.67B,5.23,9.33%,-0.87%,3.79,-20.42%,9.47B,14.97,7.65%,18.00%,17.30M,-6.73%,7.84,21.43,8.36%,65.99%,172.23 -31.86%,-28.63%,5.48,21.70,10.25% 11.96%,21.26%,114.47 2.52%,-28.65%,2.19 (1.87%),13.84,5.42% 7.24%,70.49%,3.31%,2.87%,-23.01%,2.03 (1.73%),5.97,10.11%,38.00%,3.73,187.20%,"Apr 20, 2026",1.94,2.28%,28.23%,39.31,1.91,14.57% 19.02%,3.03,6.74%,-5.20%,0.96,149.73,33.71%,2.79,3.02%,-6.03%,1.12,121.68,14500,2.78,Feb 12 BMO,-15.51%,4.57M,117.35,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","5,123,853",-3.56%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,17.10,1.49,0.00%,591.63M,8.09%,14.21B,11.99,2.13,-,557.07M,1.35%,12.48B,0.90,0.47,11.03%,3.72%,21.19%,1.23B,2.16,17.07%,2.54%,9.88,31.49%,6.59B,2.24,11.62%,9.42%,20.71M,22.12%,11.39,4.00,13.34%,13.83%,25.52 -0.04%,19.77%,6.38,-,18.24% 8.45%,13.37%,16.34 56.12%,-9.16%,0.72 (2.82%),6.95,9.28% 13.97%,26.00%,2.64%,2.13%,-10.71%,0.65 (2.55%),1.90,3.12%,20.42%,0.73,-,"Sep 30, 2025",1.34,12.90%,18.61%,66.56,1.29,- -,1.38,7.47%,6.21%,-0.15,27.76,45.76%,0.19,11.30%,9.53%,2.12,23.73,24471,0.01,Mar 17 AMC,26.01%,2.10M,25.51,"Oct 27, 2016",Yes / Yes,6.30% 1.90%,"

","4,440,151",7.50%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,1.42%,25.08B,34.15,4.57,-0.08%,103.41M,-9.62%,23.43B,1.80,1.01,54.20%,6.92%,-32.27%,-67.63M,8.36,22.04%,4.16%,2.87,-44.68%,3.00B,11.41,14.10%,-1.15%,7.16M,-30.65%,13.68,7.14,19.01%,-3.56%,336.99 -53.71%,-22.62%,21.85,28.73,54.06% 21.31%,-1.69%,140.56 10.98%,47.87%,-,1360.82,34.81% 44.03%,76.28%,3.62%,5.44%,-12.47%,-,7.81,-326.25%,-4.54%,8.39,-,-,1.82,23.91%,-2.25%,42.12,1.41,- -,1.82,-327.24%,-0.04%,1.10,231.29,-,0.85,25.91%,-14.15%,0.61,156.00,7923,0.82,Feb 26 AMC,-39.92%,2.49M,155.99,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","1,515,218",-0.01%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,12.31,6.21,9.99%,266.81M,0.50%,22.52B,12.42,6.15,-2.66%,265.23M,-13.78%,14.75B,3.74,1.42,70.07%,2.39%,-11.68%,1.90B,4.63,-0.74%,1.00%,1.63,-10.29%,4.87B,2.30,4.70%,16.56%,6.34M,-11.43%,33.19,2.88,3.32%,20.28%,97.58 -21.67%,1.30%,26.56,11.70,162.73% 22.38%,19.31%,64.41 18.66%,10.46%,-,11.74,3.49% 12.92%,77.02%,2.78%,4.13%,-75.84%,-,3.03,93.43%,23.08%,3.27,-,-,4.28,4.36%,39.03%,40.32,2.09,- -,4.28,91.72%,-2.93%,0.95,97.42,0.00%,0.01,5.31%,-9.82%,0.69,75.99,7438,0.00,Feb 25 AMC,-6.56%,3.89M,76.43,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","2,670,549",0.58%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,-1.26%,2.11B,-,-1.10,-12.37%,110.17M,-6.04%,1.54B,-,-0.47,25.23%,3.45%,8.59%,-176.02M,4.57,-6.56%,-9.72%,5.17,-41.70%,461.41M,2.91,35.50%,-14.93%,3.80M,6.75%,6.47,2.67,22.19%,-22.62%,44.34 -57.53%,-50.34%,7.05,-,29.68% 14.26%,-24.15%,15.96 17.98%,-44.37%,-,-,29.03% 56.57%,58.47%,3.20%,3.65%,-85.79%,-,3.35,38.17%,-49.86%,0.80,-,-,2.27,15.52%,-38.15%,48.84,1.27,- -,2.45,42.77%,-1.81%,0.87,34.51,-,0.31,17.92%,0.92%,0.80,19.02,1784,0.02,Feb 26 BMO,-30.42%,734.73K,18.83,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","591,373",-1.00%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,8.93,6.01,1.49%,147.65M,-2.24%,7.93B,8.16,6.57,-2.37%,145.68M,-12.86%,-,1.96,1.42,81.17%,3.23%,-9.34%,884.00M,1.60,3.66%,0.76%,2.62,-5.10%,4.94B,1.11,5.44%,1.00%,4.71M,-8.40%,48.18,-,4.17%,13.35%,66.18 -18.97%,11.18%,-,8.08,1.24% 14.71%,9.97%,39.32 36.37%,79.09%,1.82 (3.39%),-,14.19% 10.90%,-,2.25%,3.13%,-6.42%,1.78 (3.32%),-,21.18%,23.77%,1.85,112.69%,"Feb 12, 2026",-,-1.00%,17.88%,33.83,2.62,3.66% 5.29%,0.36,31.00%,-6.23%,0.83,66.59,29.30%,0.67,-0.08%,-9.79%,1.04,54.02,9195,0.23,Jan 20 AMC,-3.55%,1.80M,53.62,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,875,117",-0.74%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.83,3.98,1.22%,120.47M,-3.31%,3.27B,-,-3.78,0.00%,119.00M,-2.55%,7.23B,-,-0.15,48.35%,5.35%,33.04%,479.20M,0.47,-152.59%,9.51%,1.57,86.91%,6.90B,0.81,-80.67%,4.28%,6.36M,27.84%,33.38,1.83,-,11.89%,29.97 -9.44%,44.82%,14.83,1.92,-53.07% -1.60%,5.56%,11.03 145.94%,17.66%,0.02 (0.09%),3.39,-18.09% 11.58%,16.76%,2.94%,2.67%,10.48%,4.28 (15.77%),1.05,-77.70%,12.28%,0.97,-,"Mar 20, 2026",1.15,-18.07%,6.94%,52.37,3.60,-46.24% -,1.23,-93.22%,-4.18%,1.46,22.82,107.58%,1.43,-31.50%,9.43%,0.44,27.41,6785,1.14,Mar 09 BMO,48.16%,4.06M,27.14,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,770,345",-0.99%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,23.48,0.41,75.38%,254.09M,-9.86%,3.89B,20.72,0.46,0.00%,62.55M,-19.68%,4.91B,1.04,-,24.37%,5.99%,-7.85%,103.34M,1.87,26.50%,0.40%,5.24,1.71%,2.08B,2.33,5.57%,3.34%,3.75M,-7.22%,4.09,14.44,19.86%,10.58%,11.93 -20.25%,30.99%,0.66,21.04,- -,5.45%,6.05 57.19%,-27.40%,0.15 (1.53%),11.02,11.29% -,55.55%,3.85%,4.23%,-3.55%,0.14 (1.49%),2.36,-5.94%,8.97%,0.46,-,"Jul 07, 2025",0.79,-1.89%,4.97%,34.98,1.92,15.87% -,1.42,-54950.00%,-11.35%,0.76,11.30,42.68%,1.17,-,-8.62%,0.95,9.75,7395,0.82,Mar 20 BMO,-1.19%,715.12K,9.51,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","678,286",-2.46%,ZGN
