Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,507.33,0.09,81.68%,46.23M,3.07%,11.00B,15.80,2.89,-0.11%,43.95M,3.91%,10.16B,0.49,0.46,17.59%,5.11%,-31.43%,23.00M,4.26,34.41%,-3.11%,1.99,-46.29%,2.58B,2.25,31.28%,0.40%,2.24M,-33.01%,20.31,8.46,31.98%,0.47%,90.22 -49.33%,-32.59%,5.40,46.82,- -,0.46%,40.69 12.34%,14.82%,-,38.93,9.67% -5.01%,74.14%,5.67%,4.93%,-66.83%,-,3.93,119.94%,-1.24%,2.47,95.34%,-,3.13,15.52%,0.89%,45.83,2.06,- -,3.13,105.41%,2.51%,2.11,74.62,0.00%,0.09,18.05%,-15.46%,1.78,45.05,7068,0.02,Feb 10 AMC,-33.48%,1.13M,45.71,"Jul 20, 2011",Yes / Yes,-3.27% 0.54%,"

","2,008,742",1.47%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.15,12.74%,221.18M,-5.59%,4.20B,14.50,1.19,-0.04%,213.01M,12.48%,4.10B,0.50,0.11,76.28%,13.27%,-1.54%,-31.51M,3.22,29.40%,0.95%,3.22,-15.55%,1.30B,5.24,25.75%,-2.37%,28.26M,-15.38%,3.29,13.15,28.98%,-4.25%,24.90 -30.84%,24.24%,1.31,22.71,58.59% 17.79%,-3.11%,10.69 61.09%,74.82%,-,40.68,30.21% 28.80%,55.11%,3.87%,6.05%,-,-,3.14,63.53%,2.21%,1.01,-,-,1.60,29.72%,-2.42%,44.60,1.40,- -,1.60,-56.98%,-2.55%,1.26,29.08,-,0.27,25.41%,-8.61%,0.61,18.03,3300,0.26,Feb 24 AMC,-4.49%,8.77M,17.22,"Jun 10, 2021",Yes / Yes,21.21% 4.06%,"

","5,349,472",-4.49%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,38.28,1.11,5.89%,38.38M,4.03%,1.60B,6.04,7.01,0.00%,35.44M,40.31%,1.88B,3.10,1.00,117.10%,16.29%,16.12%,47.35M,1.10,-0.12%,-1.00%,5.83,10.69%,1.45B,0.93,5.84%,1.29%,5.77M,20.51%,45.69,2.63,1.95%,2.66%,50.55 -16.20%,3.85%,16.12,5.54,-5.27% -18.45%,1.90%,22.45 88.69%,-42.86%,-,4.51,1.42% 4.60%,70.01%,4.82%,7.17%,-58.34%,-,1.30,-22.24%,12.97%,2.77,-20.16%,"May 17, 2019",1.27,3.54%,3.26%,64.22,2.25,- -,1.27,-99.32%,16.95%,1.30,43.43,0.00%,0.51,-1.48%,18.25%,0.74,42.34,3900,0.42,Feb 23 AMC,21.52%,990.29K,42.36,"Jul 23, 1999",Yes / Yes,-5.13% -2.39%,"

","732,259",0.05%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,25.41,8.16,0.95%,49.59M,-2.88%,10.21B,10.40,19.96,0.22%,48.72M,-20.42%,12.78B,0.89,4.26,96.18%,4.15%,-21.78%,419.00M,1.88,13.19%,-3.63%,2.64,-34.83%,5.43B,2.87,11.34%,5.09%,2.02M,-14.54%,72.35,81.66,11.67%,11.68%,352.66 -41.16%,-26.57%,2.54,12.28,-2.43% -2.63%,6.86%,201.64 2.91%,-28.13%,-,12.48,-1.54% 4.06%,46.33%,3.14%,4.18%,-55.00%,-,2.35,-19.74%,15.44%,9.81,206.11%,-,0.58,9.36%,7.71%,35.58,1.75,- -,0.97,-55.92%,-7.15%,1.68,340.00,0.00%,0.75,12.28%,-13.38%,0.80,209.06,10700,0.70,Feb 12 BMO,-25.83%,766.83K,207.51,"Aug 15, 1991",Yes / Yes,0.01% 0.58%,"

","613,682",-0.74%,ZBRA
Zenas Biopharma Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-8.44,56.05%,54.49M,-9.12%,1.32B,-,-4.73,4.10%,25.21M,-13.97%,1.06B,-,-1.47,42.77%,31.83%,-29.33%,-377.74M,132.10,42.83%,12.64%,9.37,26.26%,10.00M,5.18,1.88%,-100.25%,8.02M,-36.57%,4.44,3.85,23.12%,-136.22%,44.60 -48.36%,191.52%,5.98,-,-39.47% -,-117.68%,6.11 276.92%,-,-,-,- -,99.44%,7.66%,6.85%,-,-,105.78,-116.54%,-2113.85%,1.85,-,-,5.61,100.00%,-3777.37%,40.25,1.25,- -,5.61,-310.86%,-9.09%,-1.41,42.00,-,0.33,-100.00%,1.86%,0.52,23.48,167,0.33,Mar 16 BMO,1.61%,856.74K,23.03,"Sep 13, 2024",Yes / Yes,-353.37% -100.00%,"

","441,681",-1.92%,ZBIO
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,25.12,3.55,0.15%,195.50M,-4.96%,17.43B,9.90,9.00,-1.23%,195.36M,-8.31%,24.60B,1.91,1.86,103.21%,3.94%,-3.62%,705.00M,2.12,2.42%,2.79%,3.52,-10.13%,8.23B,1.37,7.14%,3.17%,7.69M,-0.93%,64.95,29.45,5.18%,5.60%,114.44 -22.16%,-21.08%,3.03,14.87,47.75% -,3.56%,84.59 5.31%,-28.34%,0.92 (1.04%),10.18,5.85% 3.22%,60.94%,2.75%,2.62%,-42.21%,0.96 (1.08%),2.99,-20.10%,16.07%,2.69,-12.14%,"Mar 31, 2026",1.10,7.20%,8.56%,35.73,2.68,0.00% 0.00%,1.98,-41.28%,-7.05%,0.61,102.00,27.05%,0.61,10.90%,-3.57%,0.99,92.52,17000,0.56,Feb 10 BMO,-6.49%,2.18M,89.08,"Jul 25, 2001",Yes / Yes,0.92% 0.90%,"

","2,157,371",-3.72%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,513.54,0.09,29.80%,187.99M,3.05%,11.09B,16.05,2.88,-0.29%,168.43M,5.23%,10.25B,0.51,0.45,72.66%,6.99%,-32.33%,23.00M,4.29,33.86%,-3.17%,2.80,-47.75%,2.58B,2.28,31.32%,0.40%,11.77M,-32.18%,20.31,8.53,31.70%,0.47%,93.88 -50.71%,-33.51%,5.42,47.20,- -,0.46%,41.13 12.48%,13.97%,-,39.27,9.67% -5.01%,74.14%,6.12%,5.18%,-64.89%,-,3.97,119.94%,-1.24%,2.61,107.30%,-,3.13,15.52%,0.89%,46.89,2.09,- -,3.13,105.41%,3.57%,2.14,74.48,0.00%,0.09,18.05%,-15.09%,1.37,45.23,7068,0.02,Feb 10 AMC,-34.44%,4.20M,46.27,"Aug 03, 2015",Yes / Yes,-2.91% 0.55%,"

","5,742,580",2.30%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,21.11,2.50,3.95%,354.00M,-0.30%,18.63B,16.34,3.23,-1.18%,339.17M,-3.93%,20.31B,1.35,0.87,73.49%,1.61%,9.87%,929.00M,1.58,15.11%,-2.43%,3.48,18.48%,11.80B,3.47,11.51%,8.48%,5.45M,10.52%,15.19,13.46,12.11%,16.73%,58.39 -9.64%,-1.73%,3.92,21.88,34.03% 4.49%,12.81%,41.00 28.68%,-13.11%,1.07 (2.04%),10.41,7.23% 7.38%,17.35%,2.12%,2.23%,-12.87%,1.01 (1.91%),1.72,7.35%,12.71%,1.33,-,"Mar 04, 2026",0.85,4.37%,7.87%,47.79,1.37,25.99% 31.95%,1.05,28.84%,-1.76%,0.11,61.70,38.34%,0.44,8.79%,1.23%,0.97,54.00,290000,0.35,Feb 04 BMO,12.02%,1.56M,52.76,"Oct 17, 2016",Yes / Yes,30.72% 3.90%,"

","1,516,067",-2.30%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.66,5.55,0.16%,277.00M,1.60%,43.98B,21.30,7.47,-10.87%,275.98M,-1.30%,56.16B,1.84,1.37,87.93%,2.34%,3.43%,1.56B,5.35,10.26%,2.51%,3.29,7.49%,8.21B,-,11.96%,20.89%,6.46M,5.17%,-26.44,48.81,11.59%,-,169.39 -6.07%,1.14%,3.26,26.83,6.69% 13.51%,27.25%,137.33 15.85%,25.42%,3.04 (1.91%),20.47,6.28% 7.76%,46.17%,2.06%,2.03%,46.89%,2.88 (1.81%),6.84,5.99%,30.90%,3.59,182.55%,"Feb 20, 2026",1.35,8.80%,18.98%,47.21,2.30,7.60% 8.60%,1.35,27.83%,-1.74%,0.64,172.70,51.19%,-,6.44%,0.06%,0.87,163.69,49000,-,Feb 04 BMO,5.97%,1.97M,159.10,"Sep 12, 1997",Yes / Yes,-1.86% 2.62%,"

","1,712,914",-2.80%,YUM
York Space Systems Inc,Industrials,Aerospace & Defense,USA,NYSE,-,-,-,34.77%,126.94M,-14.07%,2.31B,-,-,1.74%,82.80M,-35.00%,2.49B,-,-0.19,-,3.66%,-,-,-,-,33.62%,1.70,-,-,2.97,-,-,3.03M,-45.85%,6.13,22.08,-,-,38.47 -52.69%,-,0.82,-,- -,-,18.66 -2.47%,-,-,-,- -,-,6.33%,7.84%,-,-,-,-,-,2.09,-,-,0.80,-,-,24.17,1.60,- -,0.95,-,-22.02%,-,38.00,-,0.26,-,-27.28%,0.71,18.68,-,0.26,Mar 19 AMC,-27.28%,1.78M,18.20,"Jan 29, 2026",Yes / Yes,- -,"

","1,256,763",-2.57%,YSS
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,-,-1.98,0.04%,393.26M,0.51%,15.53B,7.10,5.56,0.00%,393.12M,6.67%,25.71B,-,0.75,8.62%,1.65%,12.45%,-765.36M,0.84,277.78%,-3.64%,4.23,42.48%,18.53B,1.41,48.17%,-2.60%,6.50M,9.18%,27.93,13.00,-,-6.82%,40.38 -2.23%,16.84%,3.04,-,- 2.51%,-3.97%,22.82 73.01%,336.24%,-,4.90,-0.90% 14.65%,27.47%,4.08%,4.25%,807.59%,-,1.39,-132.96%,10.50%,1.61,126.90%,"Jul 09, 2019",0.66,-4.12%,-4.13%,60.80,1.60,- -,0.87,-96.02%,6.14%,1.46,50.30,0.00%,1.03,-5.33%,7.03%,1.40,38.11,-,0.79,Feb 27 BMO,17.93%,1.53M,39.48,"Jun 29, 1993",Yes / Yes,-348.51% 4.33%,"

","2,145,903",3.59%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,43.52,1.12,8.79%,97.99M,8.37%,6.51B,18.90,2.57,-15.56%,90.57M,50.00%,5.95B,0.61,0.32,95.26%,11.63%,25.42%,109.17M,7.23,29.76%,-2.26%,6.58,28.97%,900.78M,26.86,76.70%,8.60%,10.54M,38.97%,1.81,9.30,30.86%,58.05%,50.24 -3.39%,83.62%,5.22,18.98,- -,38.37%,22.90 111.96%,111.18%,0.70 (1.44%),26.92,27.22% 31.30%,60.58%,4.48%,5.75%,-,0.52 (1.08%),6.61,-36.34%,20.70%,2.18,-,"Mar 10, 2026",1.01,16.91%,12.12%,72.37,2.22,- -,1.01,-72.10%,10.01%,1.12,50.88,44.73%,0.63,16.72%,28.09%,0.89,48.10,3301,0.60,Feb 25 BMO,43.56%,1.60M,48.54,"Jun 30, 2021",Yes / Yes,5.08% 2.13%,"

","1,426,371",0.91%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,14.19,0.58,6.22%,931.89M,-10.62%,7.60B,9.97,0.82,0.00%,873.90M,-14.55%,5.33B,0.82,0.13,73.01%,2.12%,-26.95%,612.46M,4.37,0.64%,1.23%,2.21,-39.73%,1.74B,1.55,23.37%,10.21%,18.54M,-23.95%,5.27,3.09,12.17%,11.25%,14.07 -42.00%,-39.69%,2.64,-,118.73% -,10.69%,8.68 -5.99%,14.77%,0.30 (3.69%),9.71,20.22% 35.97%,63.57%,5.60%,3.35%,-,0.19 (2.35%),3.06,43.31%,32.73%,0.35,-,"Oct 10, 2025",6.26,11.30%,35.23%,23.21,1.73,- -,8.09,78.31%,-10.84%,0.24,12.41,39.99%,0.00,1.98%,-15.58%,1.68,8.73,7185,0.00,Mar 12 BMO,-29.26%,8.38M,8.16,"Jun 22, 2021",Yes / Yes,-2.52% 8.69%,"

","14,077,631",-6.53%,YMM
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,17.81,2.04,0.97%,74.99M,-3.69%,2.73B,11.14,3.26,-1.32%,74.54M,-24.35%,2.77B,0.87,0.18,117.40%,11.07%,-16.24%,165.39M,1.46,13.62%,-2.36%,5.32,2.14%,1.87B,4.19,15.66%,12.52%,8.25M,-17.77%,8.67,14.51,12.74%,23.79%,51.29 -29.19%,6.26%,2.50,12.89,25.37% 2.71%,19.26%,26.61 36.49%,-5.66%,0.22 (0.61%),10.36,5.41% 11.35%,57.41%,2.74%,4.36%,-50.25%,-,1.48,-0.40%,11.43%,1.78,-,-,1.11,2.11%,8.85%,25.35,2.00,- -,1.98,18.88%,-12.51%,1.79,50.60,0.00%,0.35,6.80%,-19.85%,0.81,37.52,1390,0.32,Feb 19 BMO,-5.32%,1.55M,36.32,"Oct 25, 2018",Yes / Yes,4.14% 0.30%,"

","1,256,692",-3.20%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,10.78,2.26,4.00%,59.95M,-1.54%,1.45B,9.50,2.56,-18.77%,57.14M,17.60%,1.15B,1.30,0.26,102.55%,13.14%,-20.63%,145.60M,0.99,-7.52%,-2.56%,5.36,-22.70%,1.46B,2.05,23.53%,14.99%,7.51M,-19.97%,11.86,4.46,7.29%,20.02%,41.22 -41.00%,-30.49%,5.45,4.48,65.31% -,19.99%,19.60 24.08%,-17.08%,-,4.58,7.07% 10.91%,86.85%,2.81%,3.73%,-42.48%,-,0.78,16.49%,12.97%,0.86,17.15%,-,2.99,3.75%,9.94%,53.07,2.92,- -,2.99,-1.87%,5.77%,0.52,25.50,0.00%,0.04,-0.54%,-3.75%,0.85,24.33,5168,0.02,Feb 12 AMC,-20.37%,1.40M,24.32,"Mar 02, 2012",Yes / Yes,13.64% 0.20%,"

","1,187,221",-0.04%,YELP
Exzeo Group Inc,Financial,Insurance - Diversified,USA,NYSE,-,-,-,86.30%,90.91M,-1.94%,1.38B,13.07,1.16,0.16%,12.46M,-0.59%,1.08B,-,0.21,8.67%,2.12%,-21.90%,-,-,-2.36%,14.29%,1.52,-,-,5.42,20.00%,-,0.26M,-37.48%,2.80,4.51,-,-,24.60 -38.37%,-,3.36,-,- -,-,12.91 17.38%,-,-,-,68.16% 59.02%,-,4.37%,6.45%,-,-,-,-,-,0.97,-,-,3.86,-,-,39.25,1.00,- -,3.86,490.77%,-3.57%,-,26.00,0.00%,0.03,92.89%,-16.40%,0.89,15.89,354,0.02,Feb 25 AMC,-18.56%,172.99K,15.16,"Nov 05, 2025",No / Yes,44.26% 15.75%,"

","153,298",-4.59%,XZO
Block Inc,Technology,Software - Infrastructure,USA,NYSE,S&P 500,27.48,2.10,12.47%,542.09M,-10.51%,34.65B,12.40,4.67,-0.16%,524.39M,13.84%,35.43B,0.36,0.68,72.22%,4.09%,-9.65%,1.31B,1.43,51.90%,-1.67%,2.57,-23.67%,24.19B,1.57,29.61%,3.42%,21.46M,-11.14%,36.88,4.25,34.84%,6.01%,82.50 -29.89%,-3.03%,13.61,14.29,- 36.61%,4.49%,44.27 30.65%,-21.82%,-,9.88,11.33% 20.56%,42.26%,4.95%,5.00%,-74.21%,-,1.46,-54.57%,13.29%,3.11,380.40%,-,2.19,0.30%,5.40%,44.08,1.53,- -,2.20,-93.82%,-3.38%,2.66,85.51,0.00%,0.40,3.65%,-4.98%,1.18,59.79,10205,0.31,Feb 26 AMC,-15.36%,8.34M,57.84,"Nov 19, 2015",Yes / Yes,-0.06% 0.61%,"

","9,809,832",-3.26%,XYZ
