Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,4.13%,1.89B,27376.34,0.00,-4.26%,70.08M,12.06%,1.68B,-,-0.30,96.46%,5.67%,-4.61%,-81.13M,17.85,204.41%,-4.53%,5.38,67.61%,105.97M,7.13,-99.92%,-20.04%,3.97M,-3.30%,3.57,8.27,-,-26.72%,28.49 -10.64%,129.37%,3.08,-,- 21.35%,-28.64%,9.03 181.95%,221.06%,-,-,-36.43% 22.16%,89.81%,6.90%,4.72%,-26.88%,-,15.86,33.39%,-87.34%,1.29,-,-,5.88,38.87%,-76.56%,61.84,1.00,- -,5.88,-73.76%,7.71%,1.27,39.69,-,0.07,-91.90%,6.96%,2.30,24.25,264,0.06,Mar 02 BMO,37.10%,738.28K,25.46,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","1,696,641",4.99%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,40.75,1.16,11.57%,166.98M,-5.97%,7.89B,25.95,1.82,-3.72%,147.50M,-10.42%,8.14B,2.67,0.36,90.59%,3.43%,0.90%,198.00M,4.65,9.17%,-3.66%,5.19,1.33%,1.70B,4.92,9.78%,7.22%,5.06M,1.70%,9.60,26.24,9.72%,12.06%,53.17 -11.08%,37.68%,1.80,24.91,46.13% -2.00%,9.25%,27.74 70.44%,121.87%,0.44 (0.93%),21.58,9.78% -2.36%,41.64%,3.26%,2.68%,88.55%,0.40 (0.85%),4.80,25.84%,17.01%,1.47,399.60%,"Feb 20, 2026",2.07,8.26%,11.68%,33.77,2.25,23.86% 3.50%,3.13,17.38%,-5.92%,1.08,55.33,32.87%,0.35,9.85%,-2.64%,0.80,47.29,2600,0.34,Feb 03 AMC,5.72%,974.91K,47.28,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","782,336",-0.02%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,20.01,6.02,0.20%,424.93M,-4.32%,50.86B,15.95,7.55,-2.31%,421.27M,-5.44%,57.85B,1.91,1.61,99.87%,3.88%,1.55%,2.67B,5.37,8.90%,-1.17%,3.24,-20.60%,9.47B,15.37,8.19%,18.00%,16.33M,-4.24%,7.84,22.00,8.35%,65.99%,177.00 -31.93%,-29.87%,5.48,22.28,10.25% 11.96%,21.26%,115.25 4.55%,-25.41%,2.18 (1.81%),14.16,5.42% 7.24%,70.49%,2.61%,3.06%,-20.25%,2.03 (1.68%),6.11,10.11%,38.00%,3.63,201.90%,"Apr 20, 2026",1.94,2.28%,28.23%,37.69,1.91,14.57% 19.02%,3.03,6.74%,-4.81%,0.96,149.73,33.71%,2.79,3.02%,-4.31%,0.57,122.36,14500,2.78,Feb 12 BMO,-14.12%,5.05M,120.49,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","2,892,438",-1.53%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.64,1.49,0.00%,591.63M,-0.13%,13.59B,12.62,1.85,-,582.69M,-3.15%,11.87B,1.33,0.45,10.55%,2.98%,7.61%,1.23B,2.06,5.86%,3.93%,8.01,23.77%,6.59B,2.05,12.17%,9.42%,17.34M,11.68%,11.39,3.82,9.48%,13.83%,25.52 -8.58%,16.59%,6.10,-,18.24% 8.45%,13.37%,16.34 42.78%,-8.18%,0.69 (2.95%),6.61,9.28% 13.97%,26.00%,2.46%,2.07%,-24.80%,0.65 (2.79%),1.80,3.12%,20.42%,0.61,-,"Sep 30, 2025",1.34,12.90%,18.61%,47.38,1.32,- -,1.38,7.47%,-3.82%,-0.15,25.08,45.76%,0.19,11.30%,1.62%,0.95,23.01,24471,0.01,Mar 17 AMC,16.40%,2.17M,23.33,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","2,058,631",1.39%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,1.25%,25.18B,34.29,4.57,-0.14%,103.41M,-6.41%,23.53B,1.80,1.01,54.19%,6.87%,-35.47%,-67.63M,8.39,22.04%,4.21%,2.93,-44.39%,3.00B,11.45,14.10%,-1.15%,7.11M,-30.37%,13.68,7.17,19.01%,-3.56%,336.99 -53.53%,-19.56%,21.85,28.84,54.06% 21.31%,-1.69%,140.56 11.42%,48.52%,-,1366.61,34.81% 44.03%,76.28%,4.69%,5.80%,-13.03%,-,7.84,-326.25%,-4.54%,9.79,-,-,1.82,23.91%,-2.25%,40.71,1.41,- -,1.82,-327.24%,-3.17%,1.10,231.29,-,0.85,25.91%,-17.70%,1.27,162.62,7923,0.82,Feb 26 AMC,-40.39%,2.43M,156.61,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","3,075,271",-3.70%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,12.30,6.21,9.99%,266.81M,3.92%,22.51B,12.41,6.15,-2.66%,265.23M,-17.16%,14.74B,3.74,1.42,70.05%,2.31%,-12.86%,1.90B,4.62,-0.74%,0.97%,1.59,-10.23%,4.87B,2.30,4.70%,16.56%,6.14M,-11.48%,33.19,2.88,3.32%,20.28%,97.58 -21.73%,3.96%,26.56,11.70,162.73% 22.38%,19.31%,64.41 18.58%,13.80%,-,11.73,3.49% 12.92%,77.02%,3.86%,4.67%,-77.27%,-,3.03,93.43%,23.08%,3.85,-,-,4.28,4.36%,39.03%,36.93,2.06,- -,4.28,91.72%,-8.74%,0.95,97.42,0.00%,0.01,5.31%,-11.23%,0.87,77.06,7438,0.00,Feb 25 AMC,-6.78%,3.85M,76.38,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","3,361,374",-0.88%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,9.82%,2.18B,-,-1.03,-11.60%,110.17M,8.11%,1.62B,-,-0.47,25.24%,3.06%,-0.21%,-176.02M,4.73,-3.34%,-9.48%,4.34,-37.89%,461.41M,3.01,37.45%,-14.93%,3.37M,10.32%,6.47,2.76,22.20%,-22.62%,44.34 -56.11%,-43.90%,7.05,-,29.68% 14.26%,-24.15%,15.96 21.93%,-40.45%,-,-,29.03% 56.57%,58.47%,4.03%,4.00%,-85.65%,-,3.50,38.17%,-49.86%,0.90,-,-,2.27,15.52%,-38.15%,54.10,1.27,- -,2.45,42.77%,0.32%,0.88,35.01,-,0.31,17.92%,5.02%,0.41,19.12,1784,0.02,Feb 26 BMO,-29.05%,776.99K,19.46,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","321,179",1.78%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.23,6.01,1.49%,147.65M,-3.87%,8.20B,8.42,6.58,-2.37%,145.68M,-15.12%,-,2.02,1.41,81.16%,3.17%,-0.05%,884.00M,1.66,3.70%,0.74%,2.52,-2.81%,4.94B,1.15,5.58%,1.00%,4.62M,-5.33%,48.18,-,4.17%,13.35%,66.18 -16.25%,17.37%,-,8.35,1.24% 14.71%,9.97%,39.32 40.95%,37.35%,1.82 (3.28%),-,14.19% 10.90%,-,3.12%,3.59%,-3.85%,1.78 (3.21%),-,21.18%,23.77%,2.14,129.58%,"Feb 12, 2026",-,-1.00%,17.88%,35.87,2.60,3.66% 5.29%,0.36,31.00%,-7.03%,0.82,66.81,29.30%,0.67,-0.08%,-7.75%,0.83,55.78,9195,0.23,Jan 20 AMC,0.05%,1.83M,55.42,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,528,849",-0.65%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,7.27,3.98,1.22%,120.47M,3.62%,3.48B,-,-4.11,0.00%,118.99M,39.85%,7.44B,-,-0.15,48.39%,12.75%,44.38%,479.20M,0.50,-166.63%,9.52%,3.58,116.14%,6.90B,0.87,-55.01%,4.28%,15.17M,36.22%,33.38,1.95,-,11.89%,29.97 -3.50%,40.25%,14.83,2.04,-53.07% -1.60%,5.56%,11.03 162.08%,53.63%,0.02 (0.08%),3.49,-18.09% 11.58%,16.76%,3.15%,3.45%,53.74%,4.28 (14.80%),1.08,-77.70%,12.28%,1.06,-,"Mar 20, 2026",1.15,-18.07%,6.94%,64.28,3.60,-46.24% -,1.23,-93.22%,6.11%,1.45,22.30,107.58%,1.43,-31.50%,20.09%,0.38,29.11,6785,1.14,Mar 09 BMO,60.41%,4.24M,28.92,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,608,466",-0.65%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,26.46,0.41,75.38%,254.09M,-2.72%,4.39B,23.35,0.46,0.00%,62.55M,3.18%,5.41B,1.19,-,24.37%,6.07%,0.75%,103.34M,2.11,24.89%,0.40%,5.38,18.85%,2.08B,2.62,5.57%,3.34%,3.80M,4.59%,4.09,16.28,19.58%,10.58%,11.93 -10.10%,41.99%,0.66,23.71,- -,5.45%,6.05 77.19%,-15.86%,0.15 (1.36%),12.13,11.29% -,55.55%,4.85%,4.31%,8.06%,0.14 (1.32%),2.60,-5.94%,8.97%,0.49,-,"Jul 07, 2025",0.79,-1.89%,4.97%,49.31,1.92,15.87% -,1.42,-54950.00%,-3.33%,0.74,11.45,42.68%,1.17,-,2.46%,0.67,10.41,7395,0.82,Sep 05 BMO,11.87%,705.83K,10.72,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","472,305",2.98%,ZGN
