Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5000.69B,4932.93B,159.61B,253.49B,8.07,3.33,0.65 (0.31%),0.28 (0.14%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",31.65,16.17,0.34,19.73,25.60,62.06,42.00,29.80,19.46,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.78,2.08,88.62%,42.00%,47.55%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,Aug 26 AMC,6.52% 3.43%,3.85%,-0.31%,69.27%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,1.37%,0.39%,6.93%,"

",24.22B,23.27B,1.39%,2.13,324.05M,236.54 -12.64%,164.07 25.95%,3.89%,3.74%,7.79,53.07,2.22,0.84,152.41M,"128,406,883",5.15%,6.06%,4.13%,8.11%,10.80%,18.95%,364.20%,942.85%,14610.09%,1.23,314.29,200.75,206.64,2.93%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4456.44B,4478.38B,128.93B,466.82B,7.36,4.25,1.08 (0.36%),1.05 (0.35%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",34.78,31.69,2.50,9.55,41.23,71.42,32.60,26.66,9.59,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.57,1.99,18.02%,8.74%,12.69%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.21%,66.05%,0.00%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,-6.32%,-1.97%,9.05%,"

",14.69B,14.67B,1.00%,2.58,146.55M,344.57 -11.94%,201.50 50.58%,2.50%,2.33%,9.83,40.34,1.09,1.32,56.84M,"75,051,951",-9.94%,-1.69%,8.31%,16.93%,11.61%,49.93%,58.72%,105.90%,1047.25%,1.98,328.01,308.91,303.42,-1.78%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4551.67B,4444.57B,244.12B,446.31B,50.90,19.84,0.80 (0.22%),0.85 (0.23%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",18.71,24.84,1.39,10.20,7.32,18.77,85.44,25.06,9.96,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.99,3.02,87.14%,-25.88%,17.82%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.03%,-0.01%,27.00%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,7.24%,4.49%,14.21%,"

",5.53B,5.13B,1.08%,2.50,55.65M,404.47 -7.91%,188.70 97.39%,3.57%,2.89%,12.68,61.44,1.23,1.22,22.26M,"27,165,415",14.06%,4.57%,-2.81%,10.03%,18.70%,96.09%,189.25%,173.31%,863.48%,1.31,428.55,356.65,372.47,4.44%,GOOG
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4571.04B,4463.94B,244.12B,446.31B,50.90,19.81,0.80 (0.21%),0.85 (0.23%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",18.76,24.89,1.39,10.24,7.34,18.85,85.80,25.17,10.00,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.01,3.02,87.21%,-25.85%,17.90%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.18%,-0.02%,38.47%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,7.21%,4.21%,14.25%,"

",5.87B,5.85B,1.35%,2.42,78.67M,408.61 -8.59%,187.82 98.87%,3.56%,2.87%,12.86,61.12,1.24,1.19,32.50M,"38,669,652",14.38%,3.78%,-3.16%,10.51%,19.33%,97.49%,190.78%,175.39%,835.04%,1.30,428.85,356.13,373.51,4.88%,GOOGL
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3621.07B,3673.04B,133.75B,331.84B,59.56,10.35,3.93 (0.81%),3.56 (0.73%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",27.17,20.80,1.16,10.91,8.19,47.12,54.06,18.49,11.07,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.44,4.72,13.83%,19.19%,17.88%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.56%,-0.03%,74.91%,-2.07%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,21.33%,21.69%,12.50%,"

",7.43B,7.31B,1.26%,2.30,92.37M,553.72 -11.93%,349.20 39.65%,3.80%,2.85%,16.79,78.27,1.10,1.66,40.18M,"66,762,074",25.33%,24.88%,17.66%,13.33%,0.83%,-6.96%,49.28%,69.84%,755.98%,1.24,560.70,464.72,487.65,4.93%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",3055.23B,3173.96B,135.28B,775.68B,51.16,11.46,-,-,-,- -,0.00%,1576000,"May 15, 1997",22.84,27.04,1.13,3.94,5.55,24.78,-,18.29,4.09,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.50,1.96,68.62%,-13.14%,23.94%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.00%,-0.03%,66.68%,0.00%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,15.53%,14.98%,20.68%,"

",10.78B,9.79B,1.09%,2.15,106.57M,278.56 1.96%,196.00 44.91%,3.31%,2.63%,9.95,72.23,1.45,1.84,49.47M,"90,830,221",22.75%,17.04%,5.87%,18.69%,23.05%,32.26%,120.32%,68.75%,652.73%,1.22,326.03,271.58,284.02,4.58%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2106.28B,2028.00B,71.86B,142.82B,35.53,21.29,4.12 (1.01%),3.50 (0.86%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",29.31,18.75,0.50,14.75,11.43,19.07,52.78,19.90,14.20,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.66,4.36,58.30%,30.42%,37.45%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.09%,-3.59%,15.14%,9.06%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,-1.63%,-4.54%,13.49%,"

",5.19B,5.18B,0.64%,2.33,33.35M,479.00 -15.22%,223.70 81.54%,4.27%,3.46%,18.28,46.93,1.39,0.89,14.30M,"12,676,982",1.76%,-6.46%,2.12%,22.86%,33.64%,72.66%,327.57%,242.97%,1342.15%,1.20,537.70,404.25,406.11,0.46%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1866.07B,1911.34B,29.32B,75.47B,18.43,4.13,2.62 (0.67%),2.54 (0.65%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",65.30,20.07,0.36,24.73,21.28,95.07,56.96,45.44,25.33,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.55,3.21,69.94%,68.65%,56.49%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.92%,-1.95%,78.73%,-0.64%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,1.71%,-0.65%,7.11%,"

",4.76B,4.67B,1.47%,2.65,68.64M,495.00 -20.76%,281.61 39.28%,4.28%,3.73%,16.67,52.68,1.47,0.67,25.86M,"17,315,081",2.35%,8.82%,-6.90%,18.39%,13.33%,35.89%,343.21%,705.75%,2290.04%,1.31,529.43,389.28,392.23,0.76%,AVGO
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1519.48B,1533.39B,-,-,2.64,1.79,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,43.37,64.00,-,-,-,1.11,1.22,0.74,0.69,Yes / Yes,-,-,-0.23,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,- -,95.13%,-0.00%,0.37%,69.93%,-,-,-,-,-,-,-9.47%,-20.61%,-20.61%,"

",7.38B,646.00M,25.55%,1.43,165.05M,225.64 -49.24%,107.01 7.03%,7.80%,6.46%,10.43,38.28,-,0.61,115.31M,"70,524,025",0.91%,-29.30%,-,-,-23.65%,-,-,-,-,1.74,228.18,108.37,114.53,5.68%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1503.42B,1524.77B,68.10B,228.25B,102.52,35.71,1.92 (0.33%),2.10 (0.36%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",22.23,17.29,0.91,6.59,5.76,16.53,36.69,13.90,6.68,2.23,2.23,0.43,0.42,Yes / Yes,26.55,34.14,6.76,35.68%,7.13%,19.03%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.64%,-0.06%,67.26%,-0.25%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,-4.85%,-1.94%,-6.89%,"

",2.21B,2.20B,1.72%,2.08,37.85M,796.25 -25.87%,520.26 13.45%,3.71%,3.67%,26.29,46.96,1.25,1.43,18.17M,"25,938,067",-0.61%,1.26%,-3.04%,-17.62%,-10.58%,-21.30%,88.46%,68.04%,381.79%,1.28,753.40,556.71,590.24,6.02%,META
Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,Mega,NASD,"NDX, S&P 500",1272.07B,1244.79B,3.81B,103.62B,21.99,11.15,-,-,-,- -,0.00%,134785,"Jun 29, 2010",299.25,143.53,6.12,12.28,14.64,28.90,220.77,110.66,12.01,1.55,1.94,0.19,0.16,Yes / Yes,1.08,2.24,0.46,1.89%,32.68%,23.45%,-33.28% 38.32%,5.19% 24.63%,-37.64%,11.75%,-5.50%,25.52%,Jul 22 AMC,-38.12% 6.86%,28.56%,-0.01%,41.34%,-0.88%,2.75%,4.64%,3.79%,18.85%,4.61%,3.67%,-10.30%,-17.17%,-21.65%,"

",3.95B,2.82B,2.50%,1.49,70.65M,498.83 -35.43%,297.38 8.31%,3.93%,3.98%,16.64,36.83,1.83,0.81,47.44M,"38,281,362",4.16%,-18.14%,-17.59%,-25.17%,-28.38%,6.43%,24.20%,36.14%,2039.69%,2.49,376.83,311.21,322.08,3.49%,TSLA
Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,Mega,NYSE,S&P 500,1056.03B,1094.12B,25.27B,72.25B,33.07,5.61,6.97 (0.62%),6.46 (0.58%),"Aug 14, 2026",15.24% 15.18%,26.14%,50000,"Jul 09, 1970",40.36,24.82,0.85,14.62,33.91,199.93,89.32,30.21,15.14,1.10,1.50,1.39,1.26,Yes / Yes,27.78,45.18,6.01,44.73%,28.93%,29.15%,49.25% 27.59%,31.69% 21.58%,130.02%,47.44%,169.45%,55.55%,Aug 05 BMO,22.64% 11.11%,9.88%,-0.02%,74.78%,-0.86%,24.54%,107.64%,35.82%,82.83%,47.30%,34.98%,-5.04%,-2.44%,9.26%,"

",943.50M,848.69M,1.21%,3.39,10.28M,1249.45 -10.25%,623.78 79.77%,2.95%,2.82%,37.55,41.13,0.51,0.97,3.03M,"2,934,325",-6.36%,-7.62%,16.40%,8.12%,4.34%,47.10%,149.66%,338.05%,1255.61%,1.61,1306.96,1148.84,1121.36,-2.39%,LLY
JPMorgan Chase & Co,Financial,Banks - Diversified,USA,Mega,NYSE,"DJIA, S&P 500",944.90B,-,63.63B,297.42B,133.01,-,6.39 (1.81%),6.00 (1.70%),"Jul 06, 2026",13.19% 10.01%,28.97%,318512,"Mar 05, 1969",15.11,14.05,1.31,3.18,2.65,-,6.37,-,-,-,1.37,3.30,1.23,Yes / Yes,23.34,25.10,5.84,24.01%,1.09%,10.69%,18.32% 17.66%,21.00% 17.27%,19.76%,8.17%,47.08%,18.09%,Jul 14 BMO,37.84% 13.06%,0.45%,-2.95%,75.08%,-0.53%,1.35%,17.71%,7.76%,-,28.36%,21.39%,2.23%,7.28%,12.99%,"

",2.68B,2.67B,1.11%,3.16,29.48M,359.30 -1.85%,279.10 26.35%,2.03%,2.09%,7.23,61.09,0.98,0.69,9.33M,"6,436,626",-1.00%,5.43%,12.86%,15.28%,9.44%,21.86%,125.55%,130.65%,445.38%,2.00,375.70,351.79,352.64,0.24%,JPM
Micron Technology Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",936.83B,917.16B,50.47B,90.27B,89.22,23.06,0.58 (0.07%),0.53 (0.06%),"Jul 06, 2026",2.27% -,6.06%,53000,"Jun 01, 1984",18.78,5.36,0.03,10.38,9.30,35.96,35.80,13.42,10.16,2.98,3.42,0.06,0.06,Yes / Yes,44.17,154.67,31.16,783.22%,111.24%,172.04%,-0.66% 26.19%,6.71% 11.76%,701.44%,166.98%,1372.09%,345.72%,Jun 24 AMC,20.36% 15.44%,0.43%,-5.83%,78.02%,-2.34%,47.50%,66.64%,47.38%,72.60%,65.75%,55.91%,-8.23%,-14.20%,59.12%,"

",1.13B,1.12B,3.22%,0.68,36.21M,1255.00 -33.90%,103.38 702.38%,11.18%,7.58%,88.83,44.07,2.19,0.80,53.47M,"42,607,140",-7.85%,-14.97%,52.99%,99.94%,190.63%,690.90%,1099.05%,925.85%,6039.90%,1.30,1554.51,823.03,829.50,0.79%,MU
Walmart Inc,Consumer Defensive,Discount Stores,USA,Mega,NASD,"DJIA, NDX, S&P 500",881.04B,951.13B,22.74B,725.30B,11.85,1.35,1.00 (0.90%),0.97 (0.87%),"Aug 21, 2026",7.82% 5.48%,34.44%,2100000,"Nov 20, 1972",39.00,33.80,2.95,1.21,9.34,82.12,70.19,21.21,1.31,0.23,0.77,0.79,0.61,Yes / Yes,2.84,3.28,0.74,9.78%,13.02%,11.45%,24.21% 11.53%,5.27% 4.99%,21.68%,5.87%,19.56%,7.33%,Aug 20 BMO,0.18% 1.66%,44.21%,-0.53%,36.33%,-0.50%,8.24%,25.53%,15.01%,24.98%,4.16%,3.13%,-1.28%,-3.92%,-6.20%,"

",7.96B,4.44B,1.68%,3.27,74.40M,135.15 -18.09%,95.42 16.02%,2.37%,2.09%,2.77,43.29,0.61,1.05,22.74M,"23,942,452",-0.92%,-1.01%,-15.87%,-7.08%,-0.63%,12.41%,108.55%,130.93%,355.35%,1.51,139.84,111.20,110.71,-0.44%,WMT
SK Hynix Inc ADR,Technology,Semiconductors,South Korea,Mega,NASD,-,1040.24B,1019.06B,109.59B,129.01B,15.14,4.87,0.43 (0.30%),-,-,- -,-,34549,"Jul 10, 2026",19.48,4.45,0.04,8.06,9.42,29.31,35.84,15.99,7.90,2.22,2.62,0.13,0.09,Yes / Yes,7.33,32.08,6.18,480.29%,38.06%,105.53%,159.13% 49.26%,25.56% 20.38%,420.13%,134.05%,1182.30%,232.92%,Jul 29 BMO,89.46% -1.71%,-,-,-,-38.09%,45.38%,64.12%,93.46%,48.18%,67.76%,84.95%,-8.27%,-8.27%,-8.27%,"

",7.29B,-,-,0.27,14.86M,194.80 -26.74%,124.80 14.36%,9.71%,-,18.67,43.75,-,0.54,54.81M,"29,619,616",-0.21%,-,-,-,-16.05%,-,-,-,-,1.23,226.89,143.73,142.72,-0.70%,SKHY
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",790.25B,781.77B,5.01B,37.45B,39.55,7.58,-,-,-,- -,0.00%,31000,"Oct 15, 1979",159.06,34.93,0.52,21.10,12.25,63.95,92.17,105.36,20.87,1.96,2.72,0.06,0.05,Yes / Yes,3.05,13.87,1.62,80.18%,84.64%,67.12%,46.65% 5.13%,13.64% 28.82%,123.87%,34.97%,92.25%,37.85%,Aug 04 AMC,6.24% 3.57%,0.48%,-7.67%,68.35%,-1.19%,6.52%,8.06%,7.43%,47.09%,11.75%,13.37%,-5.29%,-5.52%,54.76%,"

",1.63B,1.62B,2.45%,1.20,39.77M,584.73 -17.12%,149.22 224.78%,7.96%,6.62%,40.00,46.69,2.48,0.74,33.05M,"24,422,256",-2.08%,-6.41%,34.42%,104.72%,126.30%,182.26%,328.32%,330.56%,7592.70%,1.52,576.78,476.15,484.64,1.78%,AMD
Visa Inc,Financial,Credit Services,USA,Mega,NYSE,"DJIA, S&P 500",672.91B,681.39B,22.40B,44.49B,18.55,8.64,2.72 (0.74%),2.60 (0.71%),"Aug 11, 2026",16.31% 14.48%,23.37%,34100,"Mar 19, 2008",31.38,24.36,1.73,15.13,19.71,42.35,32.02,21.86,15.32,0.99,0.99,0.68,0.59,Yes / Yes,11.65,15.01,3.44,15.20%,13.60%,14.12%,13.82% 16.47%,10.92% 12.86%,14.71%,14.39%,10.41%,14.36%,Jul 28 AMC,2.68% 2.04%,9.10%,-0.11%,80.46%,-1.23%,23.02%,60.67%,39.97%,77.16%,67.04%,50.35%,2.11%,7.19%,10.68%,"

",1.70B,1.70B,1.39%,2.86,23.58M,373.97 -2.22%,293.89 24.42%,2.65%,2.16%,8.15,62.73,0.74,0.67,8.25M,"5,521,370",0.87%,0.98%,11.47%,13.62%,4.27%,7.76%,53.15%,54.23%,364.58%,1.33,418.36,366.13,365.67,-0.13%,V
ExxonMobil Holdings Corp,Energy,Oil & Gas Integrated,USA,Mega,NYSE,S&P 500,642.64B,681.15B,32.76B,364.89B,63.08,2.55,4.16 (2.68%),4.08 (2.63%),"Aug 17, 2026",4.06% 2.82%,59.70%,58000,"Jan 01, 1920",19.95,14.67,0.99,1.76,2.46,60.70,21.03,9.43,1.87,0.85,1.13,0.16,0.12,Yes / Yes,7.77,10.57,3.43,60.17%,-5.58%,14.82%,-20.34% -,-6.83% 12.70%,9.80%,11.04%,112.82%,45.04%,Jul 31 BMO,-1.00% 5.53%,0.23%,-63.54%,67.83%,-0.15%,7.18%,12.55%,11.23%,21.20%,11.67%,8.98%,3.82%,5.94%,11.26%,"

",4.14B,4.13B,1.03%,2.56,42.69M,176.41 -12.10%,105.53 46.94%,2.36%,2.06%,3.70,62.16,0.16,0.87,16.68M,"14,532,772",0.19%,13.11%,1.51%,9.66%,28.85%,41.43%,44.75%,166.43%,77.23%,2.38,167.05,155.44,155.06,-0.24%,XOM
ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,Mega,NASD,NDX,633.06B,626.66B,12.41B,41.20B,64.74,22.49,10.61 (0.65%),9.08 (0.55%),"Jul 28, 2026",13.12% 21.86%,26.75%,44209,"Mar 15, 1995",51.14,27.46,0.73,15.37,25.37,73.03,55.89,39.66,15.21,0.80,1.33,0.09,0.09,Yes / Yes,32.12,59.82,11.74,47.69%,37.12%,37.59%,23.38% 23.58%,18.33% 18.27%,23.14%,17.87%,31.87%,24.38%,Jul 15 BMO,9.60% 4.16%,0.04%,0.00%,18.76%,-19.59%,22.54%,54.37%,45.57%,52.73%,35.42%,30.11%,-5.01%,-6.30%,17.71%,"

",385.42M,385.25M,0.33%,0.65,1.28M,1999.96 -17.87%,683.48 140.32%,4.16%,3.78%,86.30,43.72,1.79,0.72,1.99M,"1,437,354",-0.77%,-7.17%,15.10%,15.43%,53.53%,138.11%,141.19%,110.71%,1414.54%,1.40,2396.00,1629.00,1642.52,0.83%,ASML
