Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Hut 8 Corp,Financial,Capital Markets,USA,NASD,RUT,-,-2.23,9.90%,110.09M,0.88%,5.61B,-,-1.33,-0.09%,99.91M,-8.54%,6.26B,-,-0.30,76.40%,16.66%,-3.60%,-225.44M,23.86,53.85%,9.31%,3.40,33.60%,235.12M,3.92,-33.90%,-9.70%,16.64M,10.10%,12.92,118.60,-13.52%,-18.80%,66.07 -23.44%,291.18%,0.43,-,24.47% -,-13.68%,10.04 403.78%,481.38%,-,360.72,26.65% 50.60%,10.82%,7.35%,7.49%,41.28%,-,26.62,-157.55%,-37.07%,4.47,-,-,1.09,44.79%,-95.88%,48.16,1.00,- -,1.09,-265.91%,-0.28%,4.16,75.59,0.00%,0.30,179.21%,-6.19%,1.02,55.62,248,0.16,Feb 25 BMO,28.75%,4.89M,50.58,"Mar 08, 2018",Yes / Yes,-3973.21% -5.95%,"

","4,981,401",-9.06%,HUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huron Consulting Group Inc,Industrials,Consulting Services,USA,NASD,RUT,20.83,5.85,2.09%,17.20M,-4.28%,2.06B,12.02,10.13,-8.31%,16.57M,-8.63%,2.59B,-,1.60,108.63%,4.86%,-31.64%,105.04M,1.21,12.36%,3.90%,2.77,-14.90%,1.70B,3.96,15.14%,7.32%,0.81M,-29.55%,30.74,84.10,-,19.27%,186.77 -34.78%,-14.53%,1.45,11.27,17.04% -,10.07%,116.12 4.90%,55.57%,-,11.19,13.60% 14.30%,29.94%,4.75%,4.58%,141.26%,-,1.52,-7.75%,11.73%,6.22,113.78%,-,1.17,11.65%,6.18%,32.93,1.00,- -,1.17,-6.46%,-8.88%,0.21,215.50,0.00%,1.04,10.68%,-17.23%,1.02,120.36,8610,0.97,Feb 24 AMC,-18.50%,291.11K,121.81,"Oct 13, 2004",Yes / Yes,11.31% -0.31%,"

","296,249",1.20%,HURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntsman Corp,Basic Materials,Chemicals,USA,NYSE,-,-,-1.59,6.26%,172.62M,9.04%,2.18B,496.24,0.03,0.27%,163.12M,1.13%,4.36B,-,-0.20,92.30%,15.42%,26.51%,-275.00M,0.38,35.82%,-7.11%,3.84,32.52%,5.68B,0.79,105.63%,-3.89%,25.16M,25.50%,15.93,5.09,-,-9.63%,16.38 -23.38%,-22.00%,2.47,18.83,- -,-5.80%,7.30 72.04%,-53.36%,0.38 (3.02%),17.59,-10.86% -1.14%,13.21%,8.84%,8.16%,-56.47%,0.68 (5.39%),0.77,-68.99%,-0.69%,0.92,-3.09%,"Mar 13, 2026",0.78,-5.85%,-4.84%,54.00,3.06,-0.39% 5.26%,1.30,30.56%,4.57%,0.65,12.80,-,0.87,-6.68%,2.46%,1.52,12.37,6000,0.72,Feb 17 AMC,18.90%,6.55M,12.55,"Feb 11, 2005",Yes / Yes,-10.98% 1.31%,"

","9,942,193",1.46%,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humana Inc,Healthcare,Healthcare Plans,USA,NYSE,S&P 500,17.86,9.81,0.24%,120.59M,5.22%,21.03B,11.59,15.12,0.28%,119.76M,-0.52%,-,0.75,10.00,101.24%,4.16%,-31.88%,1.19B,0.16,-46.22%,4.89%,2.51,-33.15%,129.66B,1.20,64.00%,2.50%,4.98M,-31.62%,146.42,-,15.44%,6.98%,315.35 -44.46%,-35.25%,-,56.07,-23.63% -17.23%,3.90%,163.11 7.38%,-65.14%,4.01 (2.29%),-,11.76% 10.94%,-,3.64%,3.58%,-58.65%,3.54 (2.02%),-,-1.58%,2.09%,6.66,-4.85%,"Mar 27, 2026",-,10.11%,0.92%,44.53,2.68,3.97% 7.20%,2.00,-14.97%,0.26%,0.44,206.21,36.00%,0.73,11.30%,-10.59%,0.60,174.24,67060,0.72,Feb 11 BMO,-28.42%,1.98M,175.14,"Jul 02, 1969",Yes / Yes,0.97% 1.47%,"

","1,196,044",0.52%,HUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HubSpot Inc,Technology,Software - Application,USA,NYSE,-,281.69,0.87,3.73%,52.55M,-6.58%,12.93B,16.05,15.27,-2.73%,50.77M,-0.26%,11.48B,0.66,2.47,91.77%,5.05%,-38.27%,45.91M,4.13,28.39%,-0.69%,1.54,-52.45%,3.13B,6.23,22.64%,1.20%,2.56M,-38.93%,39.32,7.59,24.14%,2.31%,682.57 -64.10%,-59.74%,32.31,18.27,- -,2.01%,207.20 18.28%,-38.08%,-,65.42,21.85% 28.81%,83.76%,6.21%,6.04%,-44.30%,-,3.67,881.78%,0.35%,16.73,445.45%,-,1.52,19.16%,1.47%,41.39,1.36,- -,1.52,975.60%,-7.59%,1.46,358.70,0.00%,0.13,20.36%,-8.32%,0.54,238.07,8882,0.11,Feb 11 AMC,-40.85%,1.66M,245.07,"Oct 09, 2014",Yes / Yes,3.42% 1.91%,"

","896,911",2.94%,HUBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hub Group, Inc",Industrials,Integrated Freight & Logistics,USA,NASD,RUT,20.78,1.74,3.59%,60.61M,4.64%,2.21B,14.10,2.56,-1.23%,58.96M,-12.27%,2.61B,0.91,0.37,106.24%,4.46%,-17.80%,104.97M,0.59,6.52%,2.02%,2.83,4.27%,3.73B,1.30,32.07%,3.66%,2.63M,-15.25%,27.83,15.07,15.53%,6.31%,53.26 -32.20%,-5.00%,2.40,36.81,-12.38% 1.24%,5.10%,30.75 17.43%,-11.27%,0.67 (1.85%),7.92,-2.31% 1.47%,7.91%,4.46%,4.49%,6.74%,0.50 (1.38%),0.70,-1.57%,3.81%,1.78,86.42%,"Mar 13, 2026",1.47,-5.79%,2.82%,39.08,2.47,- -,1.47,22.21%,-3.88%,1.15,44.44,29.38%,0.29,-5.31%,-14.33%,0.86,36.35,6500,0.21,Feb 05 AMC,-5.67%,927.70K,36.11,"Mar 13, 1996",Yes / Yes,-16.97% 0.67%,"

","801,680",-0.66%,HUBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubbell Inc,Industrials,Electrical Equipment & Parts,USA,NYSE,S&P 500,28.90,16.67,0.40%,53.25M,-2.23%,25.61B,22.41,21.50,-15.82%,52.95M,-8.76%,27.61B,2.71,3.86,99.18%,4.78%,5.65%,892.10M,4.38,8.25%,2.72%,4.49,11.71%,5.84B,6.67,9.06%,11.97%,2.53M,8.46%,72.26,51.43,8.27%,25.07%,533.80 -9.77%,38.96%,9.37,29.27,18.04% 20.85%,14.85%,299.42 60.87%,109.17%,5.76 (1.20%),19.16,5.71% 9.68%,35.62%,3.45%,3.56%,154.68%,5.48 (1.14%),4.72,15.88%,21.12%,18.38,377.09%,"Feb 27, 2026",1.00,3.84%,15.26%,46.68,2.18,8.01% 7.72%,1.72,14.90%,-0.74%,0.99,541.50,32.50%,0.65,11.87%,-2.73%,0.88,503.20,18000,0.56,Feb 03 BMO,7.45%,563.92K,481.67,"Jul 02, 1962",Yes / Yes,0.34% 0.27%,"

","493,459",-4.28%,HUBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hertz Global Holdings Inc,Industrials,Rental & Leasing Services,USA,NASD,RUT,-,-2.51,4.39%,311.73M,19.85%,1.49B,34.87,0.14,0.00%,298.65M,7.92%,19.52B,-,-0.73,111.62%,20.76%,-12.96%,-747.00M,0.18,64.80%,0.45%,10.82,-31.56%,8.50B,-,118.96%,-3.39%,61.99M,-7.20%,-1.47,1.28,-,-567.03%,9.39 -49.20%,38.26%,3.74,-,- 26.75%,-4.84%,3.27 45.87%,-69.46%,-,8.29,-0.70% 10.09%,12.17%,8.07%,6.65%,-,-,2.30,74.03%,1.06%,0.30,-,-,0.55,-6.02%,-8.78%,60.65,3.67,- -,0.55,60.15%,13.79%,2.10,4.33,-,-,-0.59%,0.37%,3.35,4.37,26000,-,Feb 26 BMO,-15.77%,5.73M,4.77,"Jul 01, 2021",Yes / Yes,-20.62% 1.38%,"

","19,165,328",9.15%,HTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O America,Utilities,Utilities - Regulated Water,USA,NASD,RUT,19.88,2.91,7.83%,41.82M,2.53%,2.42B,20.03,2.89,-0.06%,38.55M,4.95%,4.38B,2.57,0.53,88.65%,13.34%,17.11%,102.58M,3.03,-0.66%,13.73%,11.17,19.53%,800.59M,1.36,-0.36%,2.06%,5.14M,18.21%,42.66,117.07,7.79%,7.06%,59.00 -1.85%,11.49%,0.49,-,6.39% 6.39%,3.01%,43.75 32.37%,-23.80%,1.76 (3.04%),14.67,8.85% 7.24%,46.08%,2.78%,3.29%,-7.12%,1.70 (2.94%),5.47,1.99%,22.23%,1.66,62.31%,"Feb 09, 2026",0.70,6.97%,12.81%,59.09,1.40,5.27% 5.59%,0.70,-34.13%,1.61%,0.44,62.60,57.49%,1.28,-1.84%,5.74%,1.20,56.72,837,1.21,Feb 25 AMC,14.15%,460.44K,57.91,"Jun 01, 1972",Yes / Yes,-7.16% -10.68%,"

","553,612",2.10%,HTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H World Group Limited ADR,Consumer Cyclical,Lodging,China,NASD,-,22.61,2.23,0.26%,304.82M,-0.34%,15.35B,17.11,2.94,-3.84%,304.03M,-7.63%,18.33B,1.32,0.45,45.67%,5.09%,2.96%,706.98M,4.36,15.42%,-2.88%,9.32,25.99%,3.52B,9.26,13.45%,7.93%,15.47M,7.04%,5.44,6.95,12.99%,40.39%,56.63 -11.08%,32.84%,7.24,14.66,- -,12.35%,30.20 66.75%,7.00%,1.91 (3.80%),17.25,19.59% 18.97%,39.28%,3.39%,3.46%,-3.23%,1.78 (3.53%),5.20,73.30%,25.45%,1.77,483.71%,"May 04, 2026",0.91,6.11%,20.07%,45.91,1.23,- -,0.91,2293.58%,-2.16%,0.16,61.53,39.99%,2.82,9.84%,-1.84%,1.54,49.21,28502,2.12,Mar 18 BMO,19.38%,1.66M,50.36,"Mar 26, 2010",Yes / Yes,24.79% 1.65%,"

","2,549,780",2.34%,HTHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
