Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,3.33%,1.83B,81.53,0.30,-4.26%,70.08M,2.36%,1.62B,-,-0.30,96.44%,5.82%,-7.84%,-81.13M,17.31,209.81%,-4.67%,5.39,51.47%,105.97M,6.91,-74.47%,-20.04%,4.08M,-6.23%,3.57,8.02,-,-26.72%,28.49 -13.34%,99.92%,3.08,-,- 21.35%,-28.64%,9.03 173.42%,201.10%,-,-,-36.43% 22.16%,89.81%,3.49%,5.01%,-23.35%,-,15.32,33.39%,-87.34%,1.15,-,-,5.88,38.87%,-76.56%,55.57,1.00,- -,5.88,-73.76%,2.66%,1.23,40.08,-,0.07,-91.90%,5.03%,0.51,24.23,264,0.06,Mar 02 BMO,27.96%,756.37K,24.69,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","388,133",1.90%,ZYME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,38.62,1.16,11.57%,166.98M,1.75%,7.47B,24.60,1.82,-3.62%,147.50M,-11.50%,7.73B,2.53,0.36,90.08%,3.43%,-6.24%,198.00M,4.41,9.17%,-3.60%,5.04,-2.57%,1.70B,4.67,9.78%,7.22%,5.06M,-3.61%,9.60,24.87,9.72%,12.06%,53.17 -15.72%,31.95%,1.80,23.61,46.13% -2.00%,9.25%,27.74 61.54%,125.74%,0.44 (0.99%),20.48,9.78% -2.36%,41.64%,2.78%,2.84%,85.55%,0.40 (0.89%),4.56,25.84%,17.01%,1.37,350.61%,"Feb 20, 2026",2.07,8.26%,11.68%,36.50,2.25,23.86% 3.50%,3.13,17.38%,-4.23%,1.09,55.33,32.87%,0.35,9.85%,-7.08%,0.68,46.21,2600,0.34,Feb 03 AMC,-1.00%,1.00M,44.81,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","682,049",-3.03%,ZWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.37,6.02,0.20%,424.93M,0.55%,49.23B,15.46,7.55,-2.31%,421.27M,-9.55%,56.22B,1.84,1.62,99.78%,3.73%,-5.59%,2.67B,5.20,9.34%,-1.24%,3.47,-17.67%,9.47B,14.88,7.67%,18.00%,15.70M,-7.30%,7.84,21.29,8.38%,65.99%,172.23 -32.28%,-28.37%,5.48,21.56,10.25% 11.96%,21.26%,113.30 2.94%,-28.96%,2.19 (1.88%),13.77,5.42% 7.24%,70.49%,2.70%,2.73%,-25.31%,2.03 (1.74%),5.94,10.11%,38.00%,3.48,174.55%,"Apr 20, 2026",1.94,2.28%,28.23%,40.14,1.91,14.57% 19.02%,3.03,6.74%,-2.92%,0.98,149.73,33.71%,2.79,3.02%,-5.66%,0.60,116.71,14500,2.78,Feb 12 BMO,-15.06%,4.52M,116.63,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","2,725,126",-0.07%,ZTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.54,1.55,0.00%,557.07M,-4.95%,13.38B,11.16,2.15,-,557.07M,-2.95%,11.46B,0.83,0.45,11.03%,3.51%,11.98%,1.26B,1.96,18.89%,2.51%,9.03,26.89%,6.84B,2.11,11.79%,9.85%,19.55M,14.98%,11.39,3.64,13.46%,14.05%,26.20 -8.32%,20.82%,6.59,-,7.85% 14.68%,13.23%,16.34 47.00%,-14.65%,0.77 (3.23%),6.32,9.14% 13.33%,25.00%,2.71%,2.57%,-13.58%,0.65 (2.71%),1.68,4.25%,19.63%,0.77,-,"Apr 08, 2026",1.45,11.11%,18.50%,49.49,1.41,- -,1.49,13.14%,0.40%,-0.15,28.74,43.04%,0.17,13.88%,1.57%,0.55,24.32,24471,0.01,Mar 17 AMC,17.34%,2.16M,24.02,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","1,179,564",-1.23%,ZTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,-8.94%,22.75B,30.96,4.57,-0.09%,103.41M,-9.12%,21.10B,1.63,1.01,54.13%,7.57%,-38.30%,-67.63M,7.58,22.19%,4.18%,3.03,-50.25%,3.00B,10.35,14.03%,-1.15%,7.83M,-37.09%,13.68,6.48,19.03%,-3.56%,336.99 -58.01%,-33.11%,21.85,26.06,54.06% 21.31%,-1.69%,138.85 1.91%,26.42%,-,1225.52,34.81% 44.03%,76.28%,4.80%,4.91%,-16.66%,-,7.03,-326.25%,-4.54%,8.10,-,-,1.82,23.91%,-2.25%,33.61,1.39,- -,1.82,-327.24%,-7.38%,1.12,230.10,-,0.85,25.91%,-18.12%,0.75,139.44,7923,0.82,Feb 26 AMC,-44.53%,2.58M,141.50,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","1,932,411",1.48%,ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,12.77,6.21,9.99%,266.81M,3.36%,23.37B,12.89,6.15,-2.66%,265.23M,-7.15%,15.60B,3.88,1.42,69.96%,2.32%,-8.99%,1.90B,4.80,-0.74%,1.15%,1.54,-4.45%,4.87B,2.39,4.70%,16.56%,6.15M,-8.08%,33.19,2.99,3.32%,20.28%,97.58 -18.71%,1.98%,26.56,12.15,162.73% 22.38%,19.31%,64.41 23.15%,14.89%,-,12.42,3.49% 12.92%,77.02%,3.37%,3.75%,-75.21%,-,3.20,93.43%,23.08%,3.01,-,-,4.28,4.36%,39.03%,50.20,2.09,- -,4.28,91.72%,4.12%,0.91,97.42,0.00%,0.01,5.31%,-5.33%,1.06,78.11,7438,0.00,Feb 25 AMC,-2.91%,4.00M,79.32,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","4,249,912",1.55%,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,-5.91%,1.96B,-,-1.14,-12.30%,110.17M,-9.70%,1.40B,-,-0.47,19.01%,4.44%,0.17%,-176.02M,4.25,-7.32%,-9.42%,6.70,-46.11%,461.41M,2.71,33.41%,-14.93%,4.89M,-0.74%,6.47,2.49,20.89%,-22.62%,44.34 -60.51%,-48.36%,7.05,-,29.68% 14.26%,-24.15%,15.96 9.71%,-44.76%,-,-,29.03% 56.57%,58.47%,3.77%,3.87%,-86.37%,-,3.03,38.14%,-49.86%,0.78,-,-,2.27,15.59%,-38.15%,40.70,1.25,- -,2.45,42.77%,-6.07%,0.88,33.84,-,0.31,17.92%,-5.77%,1.27,18.29,1784,0.02,Feb 26 BMO,-34.03%,730.20K,17.51,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","926,291",-4.26%,ZLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.53,6.01,1.49%,147.65M,5.47%,8.47B,8.71,6.57,-2.37%,145.68M,-5.22%,-,2.09,1.31,81.12%,3.47%,-3.39%,884.00M,1.71,3.66%,0.76%,2.74,0.60%,4.94B,1.19,5.48%,1.00%,5.06M,-2.20%,48.18,-,4.17%,13.35%,66.18 -13.49%,13.01%,-,8.63,1.24% 14.71%,9.97%,39.32 45.60%,102.65%,1.82 (3.18%),-,14.19% 10.90%,-,2.72%,3.07%,2.51%,1.78 (3.11%),-,21.18%,23.77%,1.74,128.82%,"Feb 12, 2026",-,-1.00%,17.88%,52.47,2.62,3.66% 5.29%,0.36,31.00%,2.86%,0.81,66.36,29.30%,0.67,-0.08%,-2.84%,1.04,57.20,9195,0.23,Jan 20 AMC,2.57%,1.85M,57.25,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,922,612",0.09%,ZION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.60,3.98,1.22%,120.47M,-2.63%,3.16B,-,-3.78,0.00%,119.00M,-10.10%,7.12B,-,-0.15,48.34%,5.02%,24.82%,479.20M,0.46,-152.59%,9.34%,1.56,80.66%,6.90B,0.79,-80.67%,4.28%,5.97M,23.65%,33.38,1.77,-,11.89%,29.97 -12.41%,69.68%,14.83,1.85,-53.07% -1.60%,5.56%,11.03 137.88%,17.83%,0.02 (0.09%),3.34,-18.09% 11.58%,16.76%,2.08%,2.58%,9.32%,1.99 (7.58%),1.03,-77.70%,12.28%,0.86,-,"Mar 20, 2026",1.15,-18.07%,6.94%,47.25,3.60,-46.24% -,1.23,-93.22%,-4.57%,1.46,22.82,107.58%,1.43,-31.50%,3.87%,0.43,26.44,6785,1.14,Mar 09 BMO,41.16%,3.82M,26.25,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,635,576",-0.72%,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,23.20,0.43,75.38%,254.09M,7.14%,4.05B,16.30,0.61,0.00%,62.55M,-14.57%,4.93B,0.98,-,24.37%,5.14%,-6.24%,111.78M,1.87,5.23%,0.40%,4.34,4.32%,2.17B,2.20,31.80%,3.57%,3.21M,-3.32%,4.51,11.67,16.61%,10.35%,11.93 -16.90%,39.97%,0.85,13.79,23.45% -,5.34%,6.05 63.80%,-24.41%,0.15 (1.49%),10.69,11.30% -,55.64%,4.77%,4.24%,1.12%,0.14 (1.43%),2.28,29.96%,8.54%,0.47,-,"Jul 07, 2025",0.91,2.91%,5.16%,44.59,1.92,- -,1.59,-54950.00%,-3.59%,0.75,11.83,42.68%,0.95,-,-3.86%,0.84,10.23,7437,0.73,Mar 20 BMO,2.54%,741.40K,9.91,"Dec 20, 2021",Yes / Yes,44.63% -2.54%,"

","623,513",-3.13%,ZGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,466.59,0.09,81.68%,46.23M,-6.35%,10.12B,14.53,2.89,-0.11%,43.95M,-7.46%,9.28B,0.45,0.46,17.56%,5.89%,-38.33%,23.00M,3.92,34.40%,-3.05%,2.23,-45.04%,2.58B,2.07,31.30%,0.40%,2.59M,-38.38%,20.31,7.79,31.97%,0.47%,90.22 -53.40%,-40.01%,5.40,43.08,- -,0.46%,40.69 3.32%,-1.22%,-,35.56,9.67% -5.01%,74.14%,5.51%,5.00%,-68.17%,-,3.59,119.94%,-1.24%,2.44,74.15%,-,3.13,15.52%,0.89%,38.29,2.06,- -,3.13,105.41%,-5.10%,2.10,74.23,0.00%,0.09,18.05%,-18.00%,0.69,43.40,7068,0.02,Feb 10 AMC,-38.15%,1.16M,42.04,"Jul 20, 2011",Yes / Yes,-3.27% 0.54%,"

","805,596",-3.13%,ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.15,12.74%,221.18M,-6.67%,3.93B,13.54,1.19,-0.04%,213.01M,-9.92%,3.82B,0.47,0.11,73.75%,11.75%,-12.37%,-31.51M,3.01,29.40%,0.93%,2.81,-21.83%,1.30B,4.89,25.75%,-2.37%,25.03M,-20.98%,3.29,12.28,28.98%,-4.25%,24.90 -35.42%,6.42%,1.31,21.21,58.59% 17.79%,-3.11%,10.69 50.42%,56.88%,-,37.92,30.21% 28.80%,55.11%,5.61%,5.32%,-,-,2.93,63.53%,2.21%,0.98,-,-,1.60,29.72%,-2.42%,39.29,1.40,- -,1.60,-56.98%,-9.15%,1.28,29.08,-,0.27,25.41%,-10.64%,0.60,16.36,3300,0.26,Feb 24 AMC,-11.30%,8.91M,16.08,"Jun 10, 2021",Yes / Yes,21.21% 4.06%,"

","5,332,535",-1.71%,ZETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,39.15,1.11,5.89%,38.38M,2.31%,1.63B,6.18,7.01,0.00%,35.44M,61.44%,1.92B,3.17,1.00,117.00%,11.42%,24.80%,47.35M,1.12,-0.12%,-0.99%,3.88,18.97%,1.45B,0.95,5.84%,1.29%,4.05M,23.27%,45.69,2.69,1.95%,2.66%,50.55 -14.28%,3.83%,16.12,5.67,-5.27% -18.45%,1.90%,22.45 93.01%,-42.39%,-,4.60,1.42% 4.60%,70.01%,4.90%,6.00%,-58.24%,-,1.32,-22.24%,12.97%,2.50,-15.97%,"May 17, 2019",1.27,3.54%,3.26%,65.04,2.25,- -,1.27,-99.32%,6.91%,1.17,43.43,0.00%,0.51,-1.48%,17.94%,0.59,43.46,3900,0.42,Feb 23 AMC,23.20%,1.04M,43.33,"Jul 23, 1999",Yes / Yes,-5.13% -2.39%,"

","620,108",-0.30%,ZD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,25.04,8.16,0.95%,49.59M,-0.86%,10.06B,10.24,19.96,0.22%,48.72M,-14.47%,12.63B,0.88,4.26,96.14%,4.71%,-17.16%,419.00M,1.85,13.19%,-2.90%,2.99,-33.73%,5.43B,2.83,11.34%,5.09%,2.30M,-15.81%,72.35,80.45,11.67%,11.68%,352.66 -42.03%,-29.03%,2.54,12.10,-2.43% -2.63%,6.86%,200.44 1.99%,-29.20%,-,12.33,-1.54% 4.06%,46.33%,3.80%,3.75%,-57.14%,-,2.32,-19.74%,15.44%,9.13,199.78%,-,0.58,9.36%,7.71%,35.94,1.75,- -,0.97,-55.92%,-3.97%,1.67,340.00,0.00%,0.75,12.28%,-12.42%,0.54,208.45,10700,0.70,Feb 12 BMO,-26.25%,769.09K,204.42,"Aug 15, 1991",Yes / Yes,0.01% 0.58%,"

","415,164",-1.93%,ZBRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zenas Biopharma Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-8.44,56.05%,54.49M,-5.18%,1.27B,-,-4.73,3.83%,25.21M,-14.87%,1.01B,-,-1.47,42.76%,30.58%,-48.24%,-377.74M,127.11,42.83%,11.73%,8.64,9.27%,10.00M,4.99,1.88%,-100.25%,7.71M,-38.97%,4.44,3.70,23.12%,-136.22%,44.60 -50.31%,174.94%,5.98,-,-39.47% -,-117.68%,6.11 262.68%,-,-,-,- -,99.44%,10.26%,7.80%,-,-,100.79,-116.54%,-2113.85%,1.91,-,-,5.61,100.00%,-3777.37%,41.49,1.25,- -,5.61,-310.86%,-7.83%,-0.98,42.00,-,0.33,-100.00%,-4.20%,0.25,22.19,167,0.33,Mar 16 BMO,-3.71%,892.53K,22.16,"Sep 13, 2024",Yes / Yes,-353.37% -100.00%,"

","222,398",-0.14%,ZBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,25.14,3.55,0.15%,195.50M,-0.77%,17.44B,9.89,9.01,-1.23%,195.36M,-10.72%,24.61B,1.85,1.86,102.60%,4.10%,-0.31%,705.00M,2.12,2.43%,2.79%,3.69,-9.93%,8.23B,1.37,7.32%,3.17%,8.02M,-0.86%,64.95,29.47,5.36%,5.60%,114.44 -22.10%,-19.42%,3.03,14.88,47.75% -,3.56%,84.59 5.39%,-29.27%,0.91 (1.02%),10.18,5.85% 3.22%,60.94%,2.39%,2.74%,-43.04%,0.96 (1.08%),2.99,-20.10%,16.07%,2.48,-11.42%,"Mar 31, 2026",1.10,7.20%,8.56%,41.99,2.62,0.00% 0.00%,1.98,-41.28%,-3.48%,0.63,102.25,27.05%,0.61,10.90%,-2.95%,0.73,87.64,17000,0.56,Feb 10 BMO,-6.30%,2.17M,89.15,"Jul 25, 2001",Yes / Yes,0.92% 0.90%,"

","1,582,554",1.72%,ZBH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,464.59,0.09,29.80%,187.99M,-8.08%,10.03B,14.52,2.88,-0.30%,168.43M,-7.61%,9.19B,0.46,0.45,72.65%,8.16%,-39.10%,23.00M,3.88,33.85%,-3.08%,3.13,-47.01%,2.58B,2.06,31.34%,0.40%,13.75M,-38.64%,20.31,7.72,31.69%,0.47%,93.88 -55.41%,-41.47%,5.42,42.70,- -,0.46%,41.13 1.76%,-3.62%,-,35.22,9.67% -5.01%,74.14%,5.93%,5.32%,-67.10%,-,3.56,119.94%,-1.24%,2.57,85.80%,-,3.13,15.52%,0.89%,37.82,2.09,- -,3.13,105.41%,-5.84%,2.13,74.08,0.00%,0.09,18.05%,-18.85%,0.69,43.60,7068,0.02,Feb 10 AMC,-40.04%,4.39M,41.86,"Aug 03, 2015",Yes / Yes,-2.91% 0.55%,"

","3,040,080",-3.99%,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,19.99,2.50,3.95%,354.00M,-6.95%,17.64B,15.51,3.22,-1.18%,339.17M,-11.45%,19.33B,1.28,0.87,73.44%,1.55%,3.01%,929.00M,1.50,14.98%,-2.43%,3.20,15.97%,11.80B,3.29,11.44%,8.48%,5.26M,4.67%,15.19,12.75,12.11%,16.73%,58.39 -14.42%,-4.46%,3.92,20.72,34.03% 4.49%,12.81%,41.00 21.88%,-18.99%,1.08 (2.16%),9.90,7.23% 7.38%,17.35%,2.54%,2.34%,-15.90%,1.01 (2.02%),1.64,7.35%,12.71%,1.41,-,"Mar 04, 2026",0.85,4.37%,7.87%,37.14,1.37,25.99% 31.95%,1.05,28.84%,-5.11%,0.13,61.70,38.34%,0.44,8.79%,-4.97%,0.81,51.25,290000,0.35,Feb 04 BMO,5.53%,1.65M,49.97,"Oct 17, 2016",Yes / Yes,30.72% 3.90%,"

","1,325,091",-2.50%,YUMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.13,5.55,0.16%,277.00M,-0.07%,43.16B,20.91,7.47,-10.87%,275.98M,-5.50%,55.34B,1.80,1.37,87.84%,2.37%,1.04%,1.56B,5.26,10.28%,2.50%,3.35,4.48%,8.21B,-,11.93%,20.89%,6.54M,3.21%,-26.44,47.90,11.59%,-,169.39 -7.82%,-1.60%,3.26,26.33,6.69% 13.51%,27.25%,137.33 13.70%,22.15%,3.04 (1.95%),20.17,6.28% 7.76%,46.17%,1.90%,2.05%,44.49%,2.88 (1.84%),6.74,5.99%,30.90%,3.44,173.66%,"Feb 20, 2026",1.35,8.80%,18.98%,42.62,2.30,7.60% 8.60%,1.35,27.83%,-2.23%,0.65,172.70,51.19%,-,6.44%,-2.07%,1.04,159.16,49000,-,Feb 04 BMO,3.71%,1.95M,156.14,"Sep 12, 1997",Yes / Yes,-1.86% 2.62%,"

","2,033,985",-1.90%,YUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Space Systems Inc,Industrials,Aerospace & Defense,USA,NYSE,RUT,-,-,34.77%,126.94M,19.85%,2.69B,37.75,0.56,1.74%,82.80M,-19.92%,2.87B,-,-0.11,-,3.97%,-,-,-,92.27%,34.06%,1.70,-,-,3.46,916.06%,-,3.28M,-36.95%,6.13,25.70,-,-,38.47 -44.92%,-,0.82,-,- -,-,16.93 25.16%,-,-,-,- -,-,15.63%,9.15%,-,-,-,-,-,2.36,-,-,0.80,-,-,42.85,1.60,- -,0.95,-,-1.79%,-,36.60,-,0.26,-,-13.33%,0.51,22.49,-,0.26,Mar 19 AMC,-13.33%,1.94M,21.19,"Jan 29, 2026",Yes / Yes,-24.93% 2.58%,"

","984,573",-5.78%,YSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,-,-1.98,0.04%,393.26M,5.03%,17.18B,7.66,5.70,-7.48%,393.12M,17.07%,27.36B,-,1.10,8.62%,1.78%,21.64%,-765.36M,0.93,296.57%,-3.65%,3.84,57.52%,18.53B,1.56,37.51%,-2.60%,7.01M,20.80%,27.93,14.39,-,-6.82%,43.47 0.48%,17.26%,3.04,-,- 2.51%,-3.97%,22.82 91.41%,354.05%,-,5.22,-0.90% 14.65%,27.47%,4.53%,4.88%,960.19%,-,1.48,-132.96%,10.50%,1.79,142.53%,"Jul 09, 2019",0.66,-4.12%,-4.13%,71.49,1.73,- -,0.87,-96.02%,13.17%,1.37,49.95,0.00%,1.03,-5.33%,15.27%,2.18,43.18,-,0.79,Feb 27 BMO,29.53%,1.82M,43.68,"Jun 29, 1993",Yes / Yes,-348.51% 4.33%,"

","3,982,820",1.16%,YPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,47.88,1.12,8.79%,97.99M,9.45%,7.12B,20.79,2.57,-15.50%,90.57M,15.31%,6.56B,0.67,0.32,95.19%,12.07%,46.94%,109.17M,7.90,29.76%,-2.25%,6.59,45.94%,900.78M,29.55,76.70%,8.60%,10.93M,52.88%,1.81,10.17,30.86%,58.05%,56.30 -5.15%,98.27%,5.25,20.75,- -,38.37%,22.90 133.18%,142.80%,0.70 (1.31%),29.66,27.22% 31.30%,60.58%,5.88%,5.27%,-,0.52 (0.98%),7.28,-36.34%,20.70%,2.49,-,"Mar 10, 2026",1.01,16.91%,12.12%,74.54,2.22,- -,1.01,-72.10%,10.37%,1.05,52.25,44.73%,0.63,16.72%,33.92%,1.85,54.48,3301,0.60,Feb 25 BMO,54.35%,1.66M,53.40,"Jun 30, 2021",Yes / Yes,5.08% 2.13%,"

","3,073,459",-1.98%,YOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,14.15,0.58,6.22%,939.30M,-2.28%,7.65B,9.97,0.82,0.00%,880.85M,-15.12%,5.37B,0.80,0.13,72.03%,2.03%,-27.39%,612.46M,4.40,0.99%,1.25%,2.04,-38.10%,1.74B,1.54,23.37%,10.21%,17.85M,-24.14%,5.27,3.11,12.43%,11.24%,14.07 -42.15%,-37.14%,2.62,-,118.73% -,10.69%,8.10 0.49%,15.13%,0.30 (3.69%),9.79,20.22% 35.97%,63.57%,2.19%,3.45%,-,0.19 (2.36%),3.09,43.31%,32.73%,0.31,-,"Apr 08, 2026",6.26,11.30%,35.23%,29.26,1.73,- -,8.09,78.31%,-7.15%,0.27,12.43,39.99%,0.00,1.98%,-13.25%,0.72,8.35,7185,0.00,Mar 12 BMO,-28.72%,8.74M,8.14,"Jun 22, 2021",Yes / Yes,-2.52% 8.69%,"

","6,288,330",-2.51%,YMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,17.65,2.04,0.97%,74.99M,-1.18%,2.71B,11.05,3.26,-1.32%,74.54M,-19.54%,2.75B,0.87,0.18,117.40%,10.53%,-19.88%,165.39M,1.45,13.62%,-2.35%,5.25,3.51%,1.87B,4.15,15.66%,12.52%,7.85M,-18.50%,8.67,14.39,12.74%,23.79%,51.29 -29.81%,6.89%,2.50,12.78,25.37% 2.71%,19.26%,26.61 35.29%,-7.95%,0.22 (0.62%),10.27,5.41% 11.35%,57.41%,4.57%,3.96%,-50.30%,-,1.47,-0.40%,11.43%,1.70,-,-,1.11,2.11%,8.85%,32.10,2.00,- -,1.98,18.88%,-7.03%,1.80,50.60,0.00%,0.35,6.80%,-17.90%,0.75,37.04,1390,0.32,Feb 19 BMO,-6.52%,1.50M,36.00,"Oct 25, 2018",Yes / Yes,4.14% 0.30%,"

","1,126,092",-2.81%,YETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,10.97,2.26,4.00%,59.95M,1.39%,1.47B,9.67,2.56,-18.93%,57.14M,16.53%,1.17B,1.33,0.26,102.49%,11.74%,-18.72%,145.60M,1.01,-7.52%,-2.56%,4.69,-21.28%,1.46B,2.09,23.53%,14.99%,6.71M,-18.56%,11.86,4.54,7.29%,20.02%,41.22 -39.96%,-35.50%,5.45,4.56,65.31% -,19.99%,19.60 26.28%,-17.61%,-,4.69,7.07% 10.91%,86.85%,3.65%,3.38%,-35.96%,-,0.80,16.49%,12.97%,0.86,26.66%,-,2.99,3.75%,9.94%,55.69,2.92,- -,2.99,-1.87%,2.97%,0.50,25.50,0.00%,0.04,-0.54%,0.75%,0.62,24.21,5168,0.02,Feb 12 AMC,-17.94%,1.43M,24.75,"Mar 02, 2012",Yes / Yes,13.64% 0.20%,"

","893,070",2.23%,YELP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,7.31,0.84,-,133.34M,-1.77%,814.71M,6.64,0.92,-,131.47M,-13.70%,53.29M,-,-,16.17%,1.02%,-14.43%,149.83M,2.38,4.82%,3.05%,4.80,-19.39%,341.93M,1.23,5.75%,17.65%,1.35M,-11.96%,4.97,1.08,-,19.79%,9.29 -34.23%,11.29%,5.66,-,16.90% -,18.47%,4.60 32.83%,60.37%,-,-,4.04% 20.44%,67.27%,3.81%,3.53%,-70.82%,-,0.16,13.68%,35.74%,0.23,-,-,8.87,0.66%,43.82%,33.00,1.00,- -,9.02,11.98%,-7.42%,0.42,9.40,0.00%,0.00,-7.67%,-11.03%,1.86,6.47,815,0.00,Mar 09 AMC,-15.35%,280.70K,6.11,"Sep 30, 2020",Yes / Yes,- -1.56%,"

","522,806",-5.56%,YALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
