Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
ERock Inc,Industrials,Specialty Industrial Machinery,USA,Mid,NYSE,-,2.57B,2.18B,-,-,1.02,2.86,-,-,-,- -,-,-,"Jun 10, 2026",-,-,-,-,11.46,4.10,-,-,-,1.25,1.42,0.61,0.51,Yes / Yes,-,-,-0.00,-,-,-,- -,- -,-,-,-,-,Aug 11 AMC,74.94% 95.17%,86.89%,0.00%,15.64%,25.12%,-,-,-,-,-,-,-11.09%,-7.10%,-11.77%,"

",48.17M,28.77M,21.72%,2.38,6.25M,20.70 -43.43%,8.88 31.87%,7.29%,9.52%,1.25,44.29,-,0.72,2.62M,"1,880,574",-11.49%,9.13%,-,-,-41.74%,-,-,-,-,1.12,22.50,11.21,11.71,4.46%,EROC
McGraw Hill Inc,Consumer Defensive,Education & Training Services,USA,Mid,NYSE,RUT,2.53B,4.99B,92.68M,2.12B,4.12,1.01,-,-,-,- -,0.00%,4400,"Jul 24, 2025",27.29,6.37,4.36,1.20,3.21,13.07,7.53,6.37,2.36,0.55,0.71,3.37,3.33,Yes / Yes,0.48,2.08,0.72,-3.20%,5.16%,1.46%,- -,2.59% -,222.14%,0.14%,9980.00%,2.65%,Aug 13 BMO,23.59% 3.36%,87.26%,0.01%,14.75%,-3.25%,1.68%,17.30%,2.71%,64.76%,16.38%,4.38%,3.08%,17.45%,-0.36%,"

",191.28M,24.36M,8.46%,2.56,2.06M,18.00 -26.50%,8.94 47.90%,2.78%,4.67%,0.58,60.32,-0.81,0.53,805.18K,"426,171",-0.15%,13.37%,10.07%,-7.74%,-19.82%,-11.33%,-,-,-,1.23,17.92,12.85,13.23,2.96%,MH
Pharvaris NV,Healthcare,Biotechnology,Netherlands,Mid,NASD,-,2.49B,2.13B,-199.29M,0.00M,4.90,5.21,-,-,-,- -,-,129,"Feb 05, 2021",-,-,-,-,7.28,6.85,-,-,-,11.94,11.94,0.00,0.00,Yes / Yes,-3.05,-3.09,-0.84,5.93%,4.73%,30.56%,-11.96% -21.68%,- -,9.42%,-,13.30%,-,Aug 12 BMO,-8.70% -,52.70%,-0.97%,47.94%,10.60%,-64.08%,-71.14%,-57.86%,-,-,-,-0.17%,2.63%,20.96%,"

",70.20M,33.05M,5.37%,3.42,1.78M,38.13 -6.48%,20.65 72.69%,4.79%,5.03%,1.63,52.36,-2.48,0.69,518.41K,"357,063",-3.62%,6.70%,12.74%,38.00%,28.50%,62.76%,67.26%,87.59%,-,1.13,49.20,35.17,35.66,1.39%,PHVS
Sarepta Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,2.43B,2.69B,-266.10M,1.97B,14.46,7.46,-,-,-,- -,-,835,"Jun 04, 1997",-,30.73,-,1.23,1.59,3.08,37.48,-,1.36,2.62,4.42,0.68,0.68,Yes / Yes,-2.90,0.75,0.17,145.76%,-77.07%,-,3.92% -0.05%,33.06% 32.41%,-349.84%,-20.44%,-102.46%,-34.34%,Aug 05 AMC,-123.01% 9.51%,4.41%,-0.16%,105.94%,4.57%,-7.75%,-18.45%,-10.34%,56.58%,-3.15%,-13.48%,18.34%,27.15%,20.02%,"

",105.62M,100.96M,26.79%,8.12,27.05M,25.32 -9.20%,14.68 56.61%,6.86%,6.05%,1.25,71.98,0.35,0.83,3.33M,"2,768,345",6.48%,44.32%,38.00%,41.65%,6.83%,21.32%,-81.23%,-71.44%,-14.50%,2.73,22.26,23.21,22.99,-0.95%,SRPT
Goosehead Insurance Inc,Financial,Insurance Brokers,USA,Mid,NASD,RUT,2.38B,2.65B,35.29M,402.16M,-4.72,0.77,-,-,"Jan 21, 2025",- -,0.00%,1600,"Apr 27, 2018",48.88,25.00,1.12,5.92,-,86.70,35.80,24.94,6.59,1.54,1.54,-,-,Yes / Yes,1.37,2.68,0.53,15.32%,25.10%,22.36%,241.96% 15.53%,20.38% 25.57%,18.77%,17.74%,122.15%,20.59%,Jul 22 AMC,35.02% 9.77%,6.77%,-11.48%,112.54%,-3.14%,8.37%,-,14.22%,-,23.31%,8.78%,-1.82%,9.41%,20.59%,"

",23.80M,22.19M,7.96%,3.45,1.77M,85.53 -21.57%,33.68 99.17%,4.99%,4.36%,3.25,51.63,1.42,0.57,511.88K,"290,379",-4.78%,0.19%,87.27%,32.05%,-8.92%,-19.07%,1.25%,-52.61%,-,2.40,68.29,68.80,67.08,-2.50%,GSHD
Nuvation Bio Inc,Healthcare,Biotechnology,USA,Mid,NYSE,RUT,2.38B,2.14B,-149.83M,169.90M,0.73,1.88,-,-,-,- -,-,298,"Aug 26, 2020",-,-,-,14.03,9.33,3.61,-,-,12.59,8.14,8.37,1.64,1.56,Yes / Yes,-0.44,-0.19,-0.12,35.15%,50.62%,-,-7.61% -7.00%,- -,30.89%,1083.56%,-4.04%,555.64%,Aug 06 BMO,-27.03% 17.24%,28.68%,-0.59%,55.98%,5.57%,-21.53%,-47.81%,-23.07%,86.91%,-81.00%,-88.19%,0.86%,6.99%,13.88%,"

",348.82M,251.15M,21.19%,7.89,53.22M,9.75 -30.56%,2.99 126.42%,5.35%,5.67%,0.37,53.07,1.59,0.78,6.74M,"5,275,616",-3.15%,6.28%,30.95%,48.14%,-24.44%,114.92%,312.80%,-31.62%,-,1.17,13.10,6.93,6.77,-2.31%,NUVB
Penguin Solutions Inc,Technology,Information Technology Services,USA,Mid,NASD,RUT,2.49B,2.73B,75.77M,1.50B,8.57,9.33,-,-,-,- -,0.00%,2900,"May 24, 2017",34735.72,14.49,0.52,1.66,5.68,5.21,-,15.77,1.82,1.10,1.54,1.61,1.27,Yes / Yes,0.00,3.36,0.77,37.62%,28.33%,28.14%,-38.50% -,-0.65% 4.05%,626.62%,11.97%,-,47.64%,Jul 07 AMC,55.76% 17.48%,4.40%,-4.17%,121.93%,8.92%,4.40%,17.17%,8.83%,27.92%,8.13%,5.04%,-9.97%,-17.86%,33.43%,"

",51.24M,48.99M,12.94%,1.98,6.34M,89.86 -45.88%,16.04 203.18%,5.55%,6.32%,4.01,40.62,2.88,0.35,3.20M,"1,112,833",-7.28%,-12.72%,-31.66%,156.22%,148.62%,104.16%,86.89%,103.18%,-,1.50,74.29,47.59,48.63,2.19%,PENG
Trevi Therapeutics Inc,Healthcare,Biotechnology,USA,Mid,NASD,RUT,2.43B,2.11B,-51.11M,0.00M,2.26,2.24,-,-,-,- -,-,34,"May 07, 2019",-,-,-,-,7.56,7.62,-,-,-,37.28,37.28,0.00,0.00,Yes / Yes,-0.34,-0.61,-0.13,-50.33%,-27.80%,-,11.11% 29.44%,- -,18.54%,-,-20.34%,-,Aug 06 AMC,-0.46% -,32.38%,0.00%,78.78%,11.26%,-18.97%,-19.66%,-15.88%,-,-,-,-4.36%,-5.13%,21.86%,"

",142.42M,96.35M,13.14%,5.96,12.66M,20.22 -15.63%,6.93 146.18%,5.01%,4.60%,0.84,42.73,0.96,0.67,2.12M,"1,428,042",-5.01%,-8.53%,22.47%,30.43%,36.26%,138.60%,641.74%,966.25%,-,1.00,29.50,17.05,17.06,0.06%,TRVI
Ncino Inc,Technology,Software - Application,USA,Mid,NASD,RUT,2.50B,2.77B,33.60M,622.24M,8.84,0.79,-,-,-,- -,0.00%,1684,"Jul 14, 2020",78.32,15.05,0.78,4.02,2.67,29.95,18.90,28.98,4.45,0.79,0.79,0.36,0.35,Yes / Yes,0.30,1.57,0.33,22.28%,19.97%,19.39%,- -,13.36% 23.83%,205.03%,8.57%,136.40%,8.19%,Aug 25 AMC,18.13% 1.17%,7.24%,-3.15%,119.82%,-1.45%,2.11%,3.38%,2.68%,59.21%,8.77%,5.40%,12.27%,24.69%,23.53%,"

",105.13M,98.08M,18.64%,6.14,18.28M,31.92 -25.98%,13.80 71.23%,3.63%,4.31%,0.96,72.45,0.78,0.80,2.98M,"2,390,571",1.33%,22.88%,52.94%,40.49%,-7.84%,-22.83%,-28.39%,-68.34%,-,1.75,24.08,22.96,23.63,2.92%,NCNO
Medical Properties Trust Inc,Real Estate,REIT - Healthcare Facilities,USA,Mid,NYSE,-,2.41B,11.72B,-31.60M,1.02B,7.54,0.66,0.36 (8.91%),0.35 (8.66%),"Sep 10, 2026",-34.23% -21.11%,-,121,"Jul 08, 2005",-,48.05,-,2.37,0.54,6.08,10.64,13.67,11.50,0.78,0.78,2.16,1.87,Yes / Yes,-0.05,0.08,0.01,119.66%,-7.04%,-,- -,-14.27% -4.89%,97.81%,10.56%,96.95%,7.87%,Aug 10 BMO,-240.85% 4.86%,17.94%,0.00%,61.51%,4.06%,-0.21%,-0.68%,-0.24%,69.30%,57.35%,-3.10%,-1.77%,-8.98%,-18.58%,"

",596.79M,490.07M,29.49%,21.23,144.50M,6.47 -37.56%,3.89 3.85%,3.41%,3.53%,0.13,39.34,1.47,1.30,6.81M,"8,872,183",0.25%,-13.30%,-19.36%,-26.55%,-19.20%,-8.60%,-44.58%,-81.34%,-73.44%,2.67,4.94,4.06,4.04,-0.49%,MPT
