Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,Large,-,495.12,0.09,82.32%,46.23M,0.25%,10.21B,15.17,2.94,-0.12%,40.49M,7.78%,9.37B,0.46,0.46,18.41%,6.95%,-31.59%,23.00M,3.95,35.59%,-4.38%,2.34,-38.75%,2.58B,2.20,32.20%,0.40%,2.81M,-34.62%,20.31,7.86,32.83%,0.47%,90.22 -50.55%,-32.39%,5.68,43.45,- -,0.46%,39.14 13.98%,4.28%,-,35.90,9.67% -5.01%,74.14%,3.74%,4.41%,-66.55%,-,3.63,119.94%,-1.24%,2.02,78.30%,-,3.13,15.52%,0.89%,51.26,2.06,- -,3.13,105.41%,2.51%,2.05,73.23,0.00%,0.09,18.05%,1.91%,0.82,43.45,7068,0.02,May 06 AMC,-31.09%,1.21M,44.61,"Jul 20, 2011",Yes / Yes,-3.27% 0.54%,"

","993,900",2.67%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,Mid,RUT,-,-0.15,12.77%,221.18M,7.78%,4.50B,15.94,1.16,-0.04%,212.95M,15.70%,4.39B,0.55,0.19,73.62%,13.07%,-5.39%,-31.51M,3.45,26.49%,-1.57%,3.54,1.49%,1.30B,5.60,25.17%,-2.37%,27.83M,-9.48%,3.29,14.06,28.91%,-4.25%,24.90 -26.02%,41.04%,1.31,24.29,58.59% 17.79%,-3.11%,12.10 52.23%,89.70%,-,43.58,30.21% 28.80%,55.11%,4.66%,5.24%,-,-,3.37,63.53%,2.21%,0.94,-,-,1.60,29.72%,-2.42%,59.79,1.27,- -,1.60,-56.98%,8.87%,1.27,28.38,-,0.27,25.41%,7.94%,2.25,17.81,3300,0.26,Apr 30 AMC,0.10%,7.86M,18.42,"Jun 10, 2021",Yes / Yes,-2.62% 7.00%,"

","17,694,931",3.43%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,Small,RUT,41.35,1.11,10.43%,38.38M,-2.58%,1.73B,7.83,5.84,0.00%,33.89M,9.06%,2.02B,4.02,0.88,115.77%,12.01%,15.56%,47.35M,1.19,-13.78%,-1.38%,3.87,34.55%,1.45B,1.00,2.23%,1.29%,4.07M,30.18%,45.69,2.85,1.95%,2.66%,50.55 -9.48%,54.96%,16.04,6.01,-5.27% -18.45%,1.90%,22.45 103.83%,-37.44%,-,4.84,1.42% 4.60%,70.01%,3.81%,3.68%,-56.49%,-,1.39,-22.24%,12.97%,1.83,-17.12%,"May 17, 2019",1.27,3.54%,3.26%,54.45,2.25,- -,1.27,-99.32%,0.01%,1.17,43.43,0.00%,0.51,-1.48%,10.76%,0.62,46.76,3900,0.42,May 07 AMC,24.55%,1.05M,45.76,"Jul 23, 1999",Yes / Yes,-5.13% -2.39%,"

","650,102",-2.14%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,Large,S&P 500,27.71,8.16,1.08%,49.59M,-0.27%,10.94B,11.42,19.82,0.20%,47.84M,8.22%,13.51B,1.03,4.25,98.64%,4.62%,-4.92%,419.00M,2.01,12.51%,-4.50%,2.72,-17.52%,5.43B,3.13,11.21%,5.09%,2.21M,-6.82%,72.35,87.54,11.13%,11.68%,352.66 -35.84%,-9.61%,2.58,13.17,-2.43% -2.63%,6.86%,199.05 13.67%,-21.45%,-,13.20,-1.54% 4.06%,46.33%,3.68%,3.43%,-53.61%,-,2.49,-19.74%,15.44%,8.19,261.67%,-,0.58,9.36%,7.71%,53.31,1.81,- -,0.97,-55.92%,0.91%,1.61,327.36,0.00%,0.75,12.28%,2.77%,1.25,215.54,10700,0.70,May 12 BMO,-15.19%,814.08K,226.26,"Aug 15, 1991",Yes / Yes,0.01% 0.58%,"

","1,015,159",4.97%,ZBRA
Zenas Biopharma Inc,Healthcare,Biotechnology,USA,Small,RUT,-,-8.44,54.75%,54.49M,4.49%,1.11B,-,-4.61,1.77%,25.96M,-1.18%,844.99M,-,-1.47,43.55%,39.38%,-7.47%,-377.74M,110.82,42.83%,13.11%,13.32,-36.01%,10.00M,4.35,4.53%,-100.25%,10.22M,-46.79%,4.44,3.23,22.85%,-136.22%,44.60 -56.68%,66.84%,5.98,-,-39.47% -,-117.68%,8.51 127.03%,-,-,-,- -,99.44%,6.44%,6.67%,-,-,84.50,-116.54%,-2113.85%,1.46,-,-,5.61,100.00%,-3777.37%,44.19,1.25,- -,5.61,-310.86%,-5.14%,-0.88,42.00,-,0.33,-100.00%,-13.91%,0.89,17.55,167,0.33,Mar 16 BMO,-20.09%,767.51K,19.32,"Sep 13, 2024",Yes / Yes,-353.37% -100.00%,"

","686,289",10.09%,ZBIO
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,Large,S&P 500,21.38,3.86,0.19%,193.57M,-10.83%,15.96B,9.14,9.02,-0.98%,193.20M,-8.84%,23.01B,1.64,2.02,103.18%,5.22%,-4.17%,761.10M,1.90,3.41%,2.63%,4.38,-18.50%,8.41B,1.27,6.32%,3.39%,10.09M,-8.33%,64.95,37.61,5.59%,6.07%,108.29 -23.88%,-20.01%,2.19,13.12,47.75% -,4.01%,79.83 3.26%,-40.46%,0.91 (1.10%),9.18,5.85% 3.22%,61.54%,4.23%,2.73%,-52.04%,0.96 (1.16%),2.74,-14.66%,16.60%,2.94,-26.61%,"Mar 31, 2026",0.95,9.23%,9.05%,32.48,2.58,0.00% 0.00%,1.73,33.86%,-9.96%,0.48,97.33,27.05%,0.59,9.30%,-11.08%,1.81,80.07,17000,0.50,Apr 28 BMO,-13.19%,2.30M,82.43,"Jul 25, 2001",Yes / Yes,12.05% 0.78%,"

","4,169,918",2.95%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,Large,-,492.79,0.09,29.38%,187.99M,-0.22%,10.17B,15.15,2.93,-0.32%,161.77M,7.30%,9.33B,0.46,0.45,75.33%,8.05%,-32.89%,23.00M,3.94,35.10%,-4.36%,2.86,-41.36%,2.58B,2.19,32.28%,0.40%,13.02M,-34.92%,20.31,7.83,32.68%,0.47%,93.88 -52.71%,-34.06%,5.67,43.29,- -,0.46%,39.05 13.70%,1.98%,-,35.75,9.67% -5.01%,74.14%,3.62%,4.38%,-65.88%,-,3.61,119.94%,-1.24%,2.01,84.69%,-,3.13,15.52%,0.89%,50.64,2.09,- -,3.13,105.41%,2.26%,2.08,73.04,0.00%,0.09,18.05%,1.37%,0.47,43.41,7068,0.02,May 06 AMC,-33.08%,4.55M,44.40,"Aug 03, 2015",Yes / Yes,-2.91% 0.55%,"

","2,152,672",2.28%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,Large,-,18.64,2.60,4.02%,351.00M,0.85%,17.02B,15.02,3.22,-1.16%,337.09M,-0.68%,18.13B,1.24,0.67,73.82%,1.38%,-4.08%,946.00M,1.41,14.97%,-1.88%,2.68,11.07%,12.09B,3.13,11.52%,8.66%,4.66M,1.49%,15.48,11.91,12.12%,16.87%,58.39 -17.02%,11.87%,4.07,18.05,34.03% 4.49%,12.99%,41.69 16.21%,-20.81%,1.09 (2.25%),9.05,7.23% 7.38%,17.29%,2.58%,2.02%,-23.00%,1.01 (2.08%),1.50,8.73%,12.77%,1.15,-,"May 27, 2026",0.83,6.72%,7.83%,44.19,1.31,25.99% 31.95%,1.01,13.00%,-0.65%,0.13,61.03,38.34%,0.34,9.73%,-5.21%,0.86,48.69,290000,0.34,Apr 29 BMO,1.42%,1.74M,48.45,"Oct 17, 2016",Yes / Yes,1.91% 1.82%,"

","1,493,954",-0.49%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,Large,S&P 500,25.73,6.20,0.15%,276.00M,-0.67%,44.09B,21.28,7.50,-11.57%,275.75M,2.68%,55.36B,1.85,1.58,88.08%,2.44%,2.68%,1.74B,5.20,11.47%,2.06%,3.67,13.15%,8.48B,-,11.23%,23.38%,6.74M,5.53%,-26.39,63.99,11.49%,-,169.39 -5.75%,6.12%,2.49,26.77,6.69% 13.51%,59.32%,137.33 16.25%,13.57%,3.02 (1.89%),19.65,6.28% 7.76%,45.67%,2.22%,1.90%,33.58%,2.88 (1.80%),6.52,23.32%,30.60%,3.43,179.07%,"Feb 20, 2026",1.35,9.65%,20.48%,50.88,2.27,7.60% 8.60%,0.65,72.76%,-0.03%,0.61,175.09,51.19%,-,15.22%,-0.17%,1.02,159.84,49000,-,Apr 29 BMO,4.98%,1.84M,159.65,"Sep 12, 1997",Yes / Yes,8.65% 0.72%,"

","1,878,240",-0.12%,YUM
Yesway Inc,Consumer Defensive,Grocery Stores,USA,Small,-,-,-,-,28.90M,18.53%,1.56B,-,-,-,13.90M,-,1.56B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.15%,0.00,-,-,-,24.99 2.92%,-,0.00,-,- 70.61%,-,20.02 28.47%,-,-,-,- -,-,7.69%,-,-,-,-,-,-,1.83,-,-,-,-,-,-,-,- -,-,-100.22%,11.55%,-,-,-,-,-100.00%,11.55%,0.35,24.27,-,-,-,11.55%,2.09M,25.72,"Apr 22, 2026",No / Yes,- -,"

","735,718",5.97%,YSWY
York Space Systems Inc,Industrials,Aerospace & Defense,USA,Mid,RUT,-,-,34.49%,127.61M,-7.14%,4.21B,57.15,0.58,1.76%,83.16M,49.57%,4.37B,-,-0.11,0.68%,6.87%,-1.34%,-,-,92.79%,42.34%,2.84,-,-,4.88,1003.72%,-,5.72M,-1.34%,6.80,25.89,-,-,44.54 -25.55%,-,1.28,-,-57.67% -,-,16.93 95.87%,-,-,-,27.36% -,-,11.27%,14.05%,-,-,-,-,-,4.01,-,-,1.48,-,-,52.17,1.67,- -,1.57,-,-2.46%,-,36.33,-,0.17,-,21.71%,0.98,29.24,710,0.17,May 14 AMC,21.52%,2.01M,33.16,"Jan 29, 2026",Yes / Yes,-27.18% 2.58%,"

","1,972,444",13.41%,YSS
YPF ADR,Energy,Oil & Gas Integrated,Argentina,Large,-,-,-1.98,0.00%,393.26M,4.27%,17.76B,7.21,6.27,-,393.25M,-2.29%,27.94B,-,1.02,9.46%,1.59%,13.55%,-765.36M,0.96,362.63%,-1.04%,2.73,33.41%,18.53B,1.62,13.08%,-2.60%,6.25M,24.89%,27.93,14.87,-,-6.82%,48.96 -7.75%,51.54%,3.04,-,- 2.51%,-3.97%,22.82 97.90%,306.12%,-,5.33,-0.90% 14.65%,27.47%,2.73%,3.40%,1094.71%,-,1.51,-132.96%,10.50%,1.57,124.12%,"Jul 09, 2019",0.66,-4.12%,-4.13%,63.81,1.46,- -,0.87,-96.02%,4.80%,1.23,54.27,-,1.03,-5.33%,10.59%,0.86,44.81,-,0.79,Feb 27 BMO,29.29%,2.29M,45.16,"Jun 29, 1993",Yes / Yes,-348.51% 4.33%,"

","1,967,002",0.78%,YPF
Clear Secure Inc,Technology,Software - Application,USA,Mid,RUT,47.87,1.12,8.23%,97.99M,-0.67%,7.14B,22.23,2.40,-16.16%,92.66M,10.29%,6.57B,0.70,0.33,93.88%,11.04%,62.89%,109.17M,7.92,32.14%,-3.13%,5.61,66.63%,900.78M,29.54,62.30%,8.60%,10.23M,52.86%,1.81,10.19,31.61%,58.05%,59.51 -10.29%,117.27%,5.24,20.80,- -,38.37%,23.66 125.68%,135.73%,0.70 (1.31%),29.74,27.22% 31.30%,60.58%,3.11%,5.27%,-,0.52 (0.98%),7.30,-36.34%,20.70%,2.64,-,"Mar 10, 2026",1.01,16.91%,12.12%,54.73,2.12,- -,1.01,-72.10%,1.66%,1.10,55.00,44.73%,0.63,16.72%,9.46%,0.52,53.33,3301,0.60,May 06 BMO,42.04%,1.82M,53.39,"Jun 30, 2021",Yes / Yes,5.08% 2.13%,"

","951,233",0.11%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,Mid,-,15.04,0.58,6.09%,934.32M,1.76%,8.08B,10.51,0.82,0.00%,877.39M,4.22%,5.80B,0.86,0.13,72.83%,2.06%,-14.78%,612.46M,4.65,0.64%,2.05%,2.77,-33.87%,1.74B,1.57,23.26%,10.21%,18.09M,-19.38%,5.51,3.29,12.21%,11.24%,14.07 -38.52%,-23.86%,2.63,-,118.73% -,10.69%,8.04 7.59%,35.16%,0.29 (3.40%),10.02,20.22% 35.97%,62.99%,3.56%,2.92%,-,0.18 (2.08%),3.34,43.44%,32.73%,0.28,-,"Apr 08, 2026",8.09,11.30%,35.23%,51.34,1.64,- -,8.09,78.31%,1.51%,0.26,12.45,-,0.00,1.98%,-0.76%,0.92,8.32,8251,0.00,Mar 12 BMO,-21.17%,6.53M,8.65,"Jun 22, 2021",Yes / Yes,-2.52% 8.69%,"

","6,025,514",3.97%,YMM
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,Mid,-,19.35,2.04,1.28%,74.99M,-1.15%,2.99B,12.14,3.25,-1.00%,74.72M,7.84%,3.03B,0.95,0.18,121.36%,12.68%,-13.67%,165.39M,1.60,13.29%,-4.68%,6.57,10.10%,1.87B,4.55,15.64%,12.52%,9.47M,-10.66%,8.67,15.86,12.72%,23.79%,51.29 -23.06%,38.21%,2.49,14.08,25.37% 2.71%,19.26%,27.34 44.30%,0.03%,0.22 (0.57%),11.30,5.41% 11.35%,57.41%,2.66%,3.82%,-53.80%,-,1.62,-0.40%,11.43%,1.53,-,-,1.11,2.11%,8.85%,51.89,1.94,- -,1.98,18.88%,1.77%,1.69,50.00,0.00%,0.35,6.80%,0.15%,1.06,38.53,1390,0.32,May 14 BMO,0.29%,1.44M,39.46,"Oct 25, 2018",Yes / Yes,4.14% 0.30%,"

","1,534,268",2.41%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,Small,RUT,12.24,2.26,4.13%,59.95M,-2.54%,1.54B,10.79,2.56,-19.12%,53.53M,11.56%,1.24B,1.48,0.26,110.44%,16.18%,0.36%,145.60M,1.05,-7.52%,-1.91%,6.00,-15.05%,1.46B,2.33,23.53%,14.99%,8.66M,-9.18%,11.86,4.75,7.29%,20.02%,41.22 -33.04%,-21.32%,5.81,4.77,65.31% -,19.99%,19.60 40.82%,-7.75%,-,4.96,7.07% 10.91%,86.85%,4.63%,3.31%,-29.77%,-,0.85,16.49%,12.97%,0.98,31.43%,-,2.99,3.75%,9.94%,56.51,2.73,- -,2.99,-1.87%,1.72%,0.55,25.29,0.00%,0.04,-0.54%,10.53%,0.66,28.01,5168,0.02,May 07 AMC,-5.42%,1.44M,27.60,"Mar 02, 2012",Yes / Yes,13.64% 0.20%,"

","946,673",-1.46%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,Small,-,8.03,0.83,-,128.23M,1.21%,856.58M,7.63,0.88,-,-,7.22%,95.16M,-,-,16.56%,-,-6.05%,149.83M,2.51,4.22%,3.07%,4.93,-9.12%,341.93M,1.26,1.16%,17.64%,1.33M,-3.75%,5.30,1.14,-,19.79%,9.29 -28.09%,-12.91%,5.89,-,17.00% -,18.47%,5.88 13.61%,86.59%,-,-,4.04% 20.44%,67.27%,2.50%,2.86%,-69.36%,-,0.28,13.68%,35.74%,0.19,-,-,9.02,0.66%,43.82%,50.44,1.67,- -,9.02,9.63%,-0.28%,0.51,8.60,0.00%,0.00,-7.67%,0.08%,0.96,6.65,849,0.00,Mar 09 AMC,-7.09%,269.76K,6.68,"Sep 30, 2020",Yes / Yes,- -1.56%,"

","258,426",0.45%,YALA
