Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,Mid,RUT,-,-1.08,5.75%,74.64M,0.40%,2.05B,90.94,0.30,-4.21%,70.03M,9.98%,1.84B,-,-0.30,97.60%,6.64%,23.06%,-81.13M,19.31,209.81%,-5.48%,7.24,42.69%,105.97M,7.71,-74.47%,-20.04%,4.65M,4.60%,3.57,8.94,-,-26.72%,29.75 -7.43%,111.68%,3.08,-,- 21.35%,-28.64%,10.86 153.59%,227.86%,-,-,-36.43% 22.16%,89.81%,4.63%,4.04%,-15.31%,-,17.32,33.39%,-87.34%,1.13,-,-,5.88,38.87%,-76.56%,55.83,1.00,- -,5.88,-73.76%,0.89%,1.21,40.08,-,0.07,-91.90%,8.69%,0.73,27.83,264,0.06,May 07 AMC,31.27%,642.35K,27.54,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","471,866",-1.04%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,Mid,RUT,41.43,1.25,11.62%,167.03M,-1.52%,8.67B,27.03,1.92,-3.61%,147.49M,15.88%,8.95B,2.30,0.47,90.03%,3.60%,11.69%,213.30M,4.98,15.61%,-3.55%,4.67,12.88%,1.74B,5.40,9.37%,7.95%,5.31M,11.77%,9.62,31.70,11.77%,13.33%,53.76 -3.35%,53.00%,1.64,27.29,46.13% -2.00%,9.96%,33.55 54.87%,141.11%,0.44 (0.86%),22.75,9.78% -2.36%,42.01%,2.63%,2.93%,105.64%,0.40 (0.77%),5.14,28.13%,17.61%,1.57,370.98%,"Feb 20, 2026",2.11,10.03%,12.26%,62.49,2.18,23.86% 3.50%,3.24,37.09%,5.94%,1.12,56.22,32.87%,0.34,11.37%,8.31%,1.00,50.88,2600,0.33,Apr 21 AMC,11.35%,1.14M,51.96,"Mar 29, 2012",Yes / Yes,12.82% 3.36%,"

","1,144,755",2.12%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,Large,S&P 500,19.09,6.02,0.56%,424.93M,-0.94%,48.35B,15.16,7.58,-0.84%,418.14M,-2.74%,55.33B,1.74,1.60,99.52%,3.23%,-5.55%,2.67B,5.11,9.59%,3.94%,3.33,-20.93%,9.47B,14.67,7.96%,18.00%,13.50M,-8.62%,7.84,20.91,8.69%,65.99%,172.23 -33.25%,-26.49%,5.50,21.18,10.25% 11.96%,21.26%,112.97 1.77%,-34.59%,2.17 (1.89%),13.55,5.42% 7.24%,70.49%,2.02%,2.35%,-33.55%,2.06 (1.79%),5.84,10.11%,38.00%,3.00,144.46%,"Apr 20, 2026",1.94,2.28%,28.23%,42.05,1.83,14.57% 19.02%,3.03,6.74%,-2.92%,0.87,148.38,33.71%,2.79,3.02%,-4.28%,1.06,113.83,14500,2.78,May 07 BMO,-13.16%,4.05M,114.97,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","4,297,044",1.00%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,Large,-,16.55,1.55,0.00%,584.71M,0.31%,14.31B,11.80,2.17,-,559.09M,1.67%,12.39B,0.88,0.45,10.95%,2.77%,15.06%,1.26B,2.09,18.40%,1.70%,8.00,33.14%,6.84B,2.13,11.83%,9.85%,15.48M,22.50%,12.01,3.90,13.33%,14.05%,26.20 -2.33%,38.32%,6.57,-,7.84% 14.67%,13.23%,16.68 53.42%,-7.55%,0.78 (3.05%),6.83,9.14% 13.33%,25.00%,1.67%,1.88%,-18.59%,0.69 (2.70%),1.81,4.25%,19.63%,0.55,-,"Apr 08, 2026",1.45,11.11%,18.50%,58.37,1.41,- -,1.49,13.11%,1.63%,-0.20,29.19,43.05%,0.17,13.88%,3.98%,0.60,25.37,23399,0.01,May 19 AMC,19.92%,1.94M,25.59,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","1,165,432",0.87%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,Large,NDX,-,-0.43,35.39%,160.57M,-1.72%,21.01B,28.59,4.57,-0.07%,103.89M,-6.85%,19.36B,1.48,1.01,54.54%,10.12%,-34.87%,-67.63M,7.00,22.33%,4.43%,3.47,-60.28%,3.00B,9.56,13.92%,-1.15%,10.51M,-41.90%,13.68,5.98,19.27%,-3.56%,336.99 -61.22%,-42.22%,21.85,24.07,54.06% 21.31%,-1.69%,114.62 14.01%,45.04%,-,1124.49,34.81% 44.03%,76.28%,3.43%,5.01%,-30.36%,-,6.45,-326.25%,-4.54%,7.14,-,-,1.82,23.91%,-2.25%,42.39,1.47,- -,1.82,-327.24%,-1.92%,1.00,226.83,-,0.85,25.91%,-9.40%,0.78,134.73,7923,0.82,Feb 26 AMC,-44.26%,3.03M,130.68,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","2,367,977",-3.01%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,Large,-,15.64,6.21,10.00%,266.81M,7.93%,28.63B,15.79,6.15,-2.28%,265.19M,20.85%,20.86B,4.76,1.42,69.36%,2.46%,4.94%,1.90B,5.88,-0.74%,0.38%,1.49,14.44%,4.87B,2.93,4.70%,16.56%,6.53M,12.59%,33.19,3.66,3.32%,20.28%,97.58 -0.44%,25.29%,26.56,14.88,162.73% 22.38%,19.31%,69.15 40.49%,58.15%,-,16.60,3.49% 12.92%,77.02%,3.92%,4.17%,-69.60%,-,4.28,93.43%,23.08%,3.58,-,-,4.28,4.36%,39.03%,70.85,2.12,- -,4.28,91.72%,10.72%,0.99,97.42,0.00%,0.01,5.31%,18.14%,1.76,95.76,7438,0.00,Feb 25 AMC,17.32%,4.38M,97.15,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","7,732,671",1.45%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,Mid,-,-,-1.61,1.69%,112.67M,-1.10%,2.44B,-,-1.36,-14.07%,110.77M,15.05%,1.87B,-,-0.50,30.24%,4.96%,25.45%,-176.02M,5.28,-17.57%,-1.99%,7.23,-14.84%,461.41M,3.35,27.72%,-14.93%,5.50M,22.68%,6.47,3.09,21.26%,-22.62%,44.34 -51.20%,-31.71%,7.01,-,29.68% 14.26%,-24.15%,15.96 35.59%,-38.14%,-,-,29.03% 56.57%,58.47%,3.82%,3.94%,-86.98%,-,4.06,38.12%,-49.86%,1.04,-,-,2.27,15.59%,-38.15%,51.07,1.29,- -,2.45,42.77%,-2.21%,0.81,34.15,-,0.31,17.92%,7.26%,0.35,20.75,1784,0.02,May 07 BMO,-12.49%,760.83K,21.64,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","266,453",4.29%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,Mid,-,9.86,6.43,1.57%,147.08M,1.26%,9.33B,9.37,6.77,-2.16%,144.75M,10.07%,-,1.44,1.55,80.05%,3.13%,6.71%,949.00M,1.89,7.31%,-1.25%,2.49,21.40%,4.93B,1.29,4.93%,1.08%,4.53M,8.34%,49.16,-,6.52%,13.99%,66.18 -4.16%,41.03%,-,9.51,1.24% 14.71%,10.25%,43.64 45.33%,127.64%,1.83 (2.88%),-,14.19% 10.90%,-,2.32%,2.13%,13.66%,1.78 (2.81%),-,25.68%,24.96%,1.51,130.45%,"Feb 12, 2026",-,-1.12%,19.26%,63.26,2.57,3.66% 5.29%,0.13,37.68%,2.94%,0.81,67.95,29.30%,0.32,-1.33%,7.98%,0.76,62.58,9195,0.27,Apr 20 AMC,11.49%,1.82M,63.42,"Mar 17, 1980",Yes / Yes,9.57% -0.84%,"

","1,383,512",1.34%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,Mid,-,6.65,3.98,1.80%,120.47M,1.38%,3.19B,-,-3.66,0.00%,118.30M,0.34%,7.14B,-,-0.71,49.47%,2.63%,14.06%,479.20M,0.46,-154.09%,9.49%,1.09,78.29%,6.90B,0.79,-70.24%,4.28%,3.11M,24.54%,33.38,1.78,-,11.89%,29.97 -11.78%,72.25%,14.83,1.87,-53.07% -1.60%,5.56%,12.33 114.44%,61.03%,0.02 (0.07%),3.35,-18.09% 11.58%,16.76%,1.19%,1.63%,-23.44%,1.99 (7.53%),1.03,-77.70%,12.28%,0.49,-,"Mar 20, 2026",1.15,-18.07%,6.94%,51.18,3.60,-46.24% -,1.23,-93.22%,0.24%,1.19,22.77,107.58%,1.43,-31.50%,-2.53%,0.31,26.01,6785,1.14,Mar 09 BMO,33.60%,2.86M,26.44,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","879,603",1.65%,ZIM
Ermenegildo Zegna NV,Consumer Cyclical,Apparel Manufacturing,Italy,Mid,RUT,28.37,0.43,73.04%,268.31M,1.34%,5.13B,19.71,0.61,0.00%,72.33M,16.31%,6.01B,1.14,-,23.12%,4.81%,35.57%,111.78M,2.37,5.63%,0.06%,4.68,16.65%,2.17B,2.68,30.59%,3.57%,3.48M,18.24%,4.51,14.77,17.34%,10.35%,12.40 -2.26%,52.45%,0.82,17.45,23.45% -,5.34%,7.61 59.37%,-6.26%,0.15 (1.22%),13.03,11.30% -,55.64%,3.68%,3.64%,22.67%,0.14 (1.17%),2.77,29.96%,8.54%,0.45,-,"Jul 07, 2025",0.91,2.91%,5.16%,62.12,1.92,- -,1.59,-54950.00%,4.62%,0.78,12.06,-,0.95,-,10.90%,1.39,11.51,7437,0.73,Mar 20 BMO,21.60%,744.67K,12.12,"Dec 20, 2021",Yes / Yes,44.68% -0.65%,"

","1,035,231",5.30%,ZGN
