Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5094.58B,5026.83B,159.61B,253.49B,8.07,3.33,0.65 (0.31%),0.28 (0.13%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",32.24,16.59,0.35,20.10,26.09,63.23,42.78,30.37,19.83,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.69,2.08,88.42%,41.21%,47.60%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,May 20 AMC,6.52% 3.43%,3.85%,-0.33%,70.45%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,4.16%,0.45%,9.57%,"

",24.22B,23.27B,1.33%,1.96,310.13M,236.54 -11.00%,164.07 28.31%,4.10%,3.11%,7.38,55.20,2.22,0.64,158.11M,"78,156,623",3.14%,2.60%,7.13%,13.83%,12.88%,23.33%,363.00%,1009.97%,15878.75%,1.27,313.74,211.80,210.52,-0.60%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4808.79B,4824.99B,122.58B,451.44B,7.26,4.66,1.08 (0.33%),1.05 (0.32%),"May 11, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",39.61,33.91,2.65,10.65,45.10,70.19,37.23,30.16,10.69,1.02,1.07,0.80,0.70,Yes / Yes,8.27,9.66,1.89,17.44%,10.22%,12.79%,6.89% 17.91%,1.81% 8.71%,28.91%,12.76%,22.04%,16.60%,Jul 30 AMC,3.30% 1.58%,0.13%,-2.04%,67.20%,0.00%,34.91%,141.47%,67.76%,47.86%,32.64%,27.15%,8.44%,8.95%,19.74%,"

",14.69B,14.67B,0.96%,2.59,140.53M,323.45 1.22%,201.50 62.49%,2.11%,2.70%,8.31,68.73,1.09,0.88,54.30M,"36,722,191",4.47%,12.46%,26.50%,25.81%,20.43%,56.57%,71.70%,120.51%,1225.82%,2.08,318.76,314.86,327.41,3.99%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4522.31B,4490.17B,160.21B,423.17B,39.51,10.45,0.86 (0.23%),0.85 (0.23%),"Jun 08, 2026",- -,7.68%,190820,"Aug 19, 2004",28.41,25.19,1.51,10.69,9.43,35.65,70.19,27.11,10.61,1.92,1.92,0.20,0.19,Yes / Yes,13.11,14.79,2.87,31.97%,3.67%,16.72%,33.35% 29.82%,12.78% 17.18%,46.22%,17.77%,81.96%,22.34%,Jul 22 AMC,90.47% 3.04%,51.99%,-0.04%,39.37%,0.00%,27.17%,38.88%,28.04%,60.43%,33.63%,37.86%,4.11%,0.12%,16.18%,"

",12.15B,5.83B,1.47%,2.74,85.86M,408.61 -8.84%,180.48 106.38%,2.20%,2.83%,10.70,57.73,1.24,0.74,31.28M,"17,691,605",2.92%,3.56%,11.89%,12.24%,19.00%,104.66%,196.99%,193.28%,912.68%,1.39,436.23,359.51,372.48,3.61%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4535.85B,4503.71B,160.21B,423.17B,39.51,10.38,0.86 (0.23%),0.85 (0.23%),"Jun 08, 2026",- -,7.68%,190820,"Mar 27, 2014",28.33,25.11,1.50,10.72,9.40,35.76,70.40,27.20,10.64,1.92,1.92,0.20,0.19,Yes / Yes,13.11,14.79,2.87,31.93%,3.70%,16.69%,33.35% 29.82%,12.78% 17.18%,46.22%,17.77%,81.96%,22.34%,Jul 22 AMC,90.39% 3.06%,58.30%,-0.03%,27.65%,0.00%,27.17%,38.88%,28.04%,60.43%,33.63%,37.86%,4.39%,0.56%,16.07%,"

",5.46B,5.06B,1.15%,2.73,58.49M,404.47 -8.19%,181.50 104.59%,2.18%,2.72%,10.51,58.30,1.23,0.67,21.41M,"11,098,644",3.52%,3.68%,12.33%,11.60%,18.33%,102.80%,195.41%,182.88%,931.69%,1.39,436.05,357.33,371.33,3.92%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",2945.52B,2992.68B,125.22B,318.27B,55.78,10.54,3.68 (0.93%),3.56 (0.90%),"Aug 20, 2026",10.21% 10.23%,24.34%,228000,"Mar 13, 1986",23.62,20.39,1.09,9.25,7.11,37.63,40.40,15.54,9.40,1.27,1.28,0.30,0.26,Yes / Yes,16.79,19.44,4.24,23.16%,15.74%,18.66%,12.24% 18.80%,12.42% 14.52%,29.64%,17.87%,23.32%,18.30%,Jul 29 AMC,5.18% 1.77%,1.53%,-0.03%,75.95%,-1.95%,19.93%,34.01%,24.02%,68.31%,46.80%,39.34%,4.32%,-1.40%,-9.99%,"

",7.43B,7.31B,1.22%,2.24,89.06M,555.45 -28.61%,349.20 13.55%,2.36%,2.91%,11.99,53.94,1.13,0.73,39.83M,"22,207,843",3.44%,1.48%,0.87%,-16.90%,-18.01%,-21.61%,14.85%,41.10%,638.40%,1.23,557.09,384.93,396.52,3.01%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2744.03B,2824.91B,90.80B,742.78B,41.09,13.57,-,-,-,- -,0.00%,1576000,"May 15, 1997",30.49,25.32,1.15,3.69,6.21,18.80,-,17.59,3.80,1.01,1.18,0.51,0.47,Yes / Yes,8.37,10.07,1.81,23.01%,14.23%,22.06%,- 27.96%,11.73% 13.18%,35.55%,14.22%,75.33%,16.61%,Apr 29 AMC,70.22% 2.39%,8.95%,-0.03%,67.69%,0.00%,11.64%,24.28%,13.93%,50.60%,12.14%,12.22%,5.68%,0.78%,9.11%,"

",10.75B,9.79B,1.02%,2.03,100.35M,278.56 -8.43%,196.00 30.15%,2.51%,3.08%,7.48,60.24,1.47,0.74,49.34M,"27,900,519",4.71%,6.93%,2.44%,3.50%,10.51%,12.70%,89.40%,40.50%,593.71%,1.22,317.32,247.49,255.09,3.07%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2184.00B,2113.67B,62.40B,132.87B,35.53,20.41,3.90 (0.93%),3.50 (0.83%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",35.00,20.62,0.60,16.44,11.85,20.63,60.35,22.82,15.91,2.31,2.49,0.19,0.16,Yes / Yes,12.03,20.42,3.81,50.96%,28.92%,34.53%,17.37% 25.67%,17.20% 21.86%,54.80%,37.40%,64.60%,40.49%,Jul 16 BMO,6.09% 1.78%,0.09%,-3.79%,15.18%,9.63%,25.69%,38.79%,29.23%,60.72%,53.18%,46.96%,-4.28%,-1.03%,20.16%,"

",5.19B,5.18B,0.54%,1.97,27.73M,479.00 -12.09%,223.70 88.24%,3.03%,3.79%,19.06,45.92,1.38,1.03,14.10M,"11,190,115",-3.64%,-0.67%,10.85%,26.92%,38.57%,77.71%,300.51%,258.29%,1459.03%,1.26,488.83,420.39,421.09,0.17%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1878.58B,1923.86B,29.32B,75.47B,18.43,4.13,2.62 (0.66%),2.54 (0.64%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",65.73,20.29,0.36,24.89,21.42,95.71,57.34,45.74,25.49,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.46,3.21,69.68%,68.16%,56.27%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.94%,-1.93%,79.94%,-0.65%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,3.07%,-2.49%,8.71%,"

",4.76B,4.67B,1.50%,2.67,70.12M,495.00 -20.23%,273.00 44.64%,3.62%,3.43%,16.78,51.88,1.47,0.46,26.30M,"9,273,486",1.59%,3.35%,3.70%,12.11%,14.09%,40.55%,344.37%,727.21%,2350.11%,1.31,526.42,389.11,394.86,1.48%,AVGO
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1801.48B,1815.39B,-,-,2.64,1.79,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,51.41,75.88,-,-,-,1.11,1.22,0.74,0.69,Yes / Yes,-,-,-0.22,-,-,-,-3.29% -,34.08% -,-,-,-,-,Jun 03,- -,95.13%,-0.00%,0.03%,66.92%,-,-,-,-,-,-,-14.37%,-15.25%,-15.25%,"

",7.38B,646.00M,17.23%,0.77,111.30M,225.64 -39.82%,135.52 0.20%,4.97%,-,14.23,40.58,-,0.41,144.92M,"45,514,734",-8.44%,-15.64%,-,-,-9.48%,-,-,-,-,1.57,243.47,136.08,135.79,-0.22%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1718.58B,1723.82B,70.59B,214.96B,96.01,32.11,1.97 (0.29%),2.10 (0.31%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",24.61,19.36,0.99,7.99,7.05,21.08,35.62,15.77,8.02,2.35,2.35,0.36,0.35,Yes / Yes,27.51,34.98,7.18,40.09%,6.29%,19.63%,39.86% 18.41%,19.89% 18.51%,6.07%,26.18%,62.49%,33.08%,Jul 29 AMC,55.89% 1.36%,13.70%,-0.06%,68.45%,-0.18%,20.90%,32.93%,21.52%,81.94%,41.21%,32.84%,13.23%,12.36%,5.56%,"

",2.20B,2.19B,1.57%,1.93,34.49M,796.25 -14.97%,520.26 30.13%,4.38%,3.56%,25.68,66.16,1.24,0.95,17.90M,"13,061,830",12.25%,19.41%,2.19%,5.46%,2.57%,-4.70%,119.19%,96.55%,479.35%,1.26,821.60,661.04,677.03,2.42%,META
