Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,-4.98%,1.70B,63.59,0.36,-4.26%,70.08M,0.22%,1.49B,-,-0.30,96.46%,5.90%,-11.56%,-81.13M,16.04,209.81%,-4.68%,5.47,40.20%,105.97M,6.41,-69.66%,-20.04%,4.14M,-13.10%,3.57,7.43,-,-26.72%,28.49 -19.69%,82.31%,3.08,-,- 21.35%,-28.64%,9.03 153.38%,177.33%,-,-,-36.43% 22.16%,89.81%,7.24%,5.17%,-35.18%,-,14.06,33.39%,-87.34%,1.34,-,-,5.88,38.87%,-76.56%,44.02,1.00,- -,5.88,-73.76%,-3.72%,1.26,40.08,-,0.07,-91.90%,-3.16%,1.04,23.23,264,0.06,Mar 02 BMO,21.99%,756.36K,22.88,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","787,422",-1.51%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,39.41,1.16,11.57%,166.98M,-3.50%,7.63B,25.10,1.82,-3.63%,147.50M,-11.29%,7.88B,2.58,0.36,90.17%,3.48%,-2.41%,198.00M,4.50,9.17%,-3.61%,5.31,-3.26%,1.70B,4.76,9.78%,7.22%,5.14M,-1.63%,9.60,25.38,9.72%,12.06%,53.17 -13.99%,41.23%,1.80,24.09,46.13% -2.00%,9.25%,27.74 64.85%,117.04%,0.44 (0.97%),20.89,9.78% -2.36%,41.64%,3.08%,2.64%,76.66%,0.40 (0.87%),4.65,25.84%,17.01%,1.42,361.74%,"Feb 20, 2026",2.07,8.26%,11.68%,26.86,2.25,23.86% 3.50%,3.13,17.38%,-7.53%,1.09,55.33,32.87%,0.35,9.85%,-5.67%,0.94,45.86,2600,0.34,Feb 03 AMC,1.91%,967.44K,45.73,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","907,442",-0.28%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.20,6.02,0.20%,424.93M,-4.78%,48.81B,15.31,7.55,-2.31%,421.27M,-10.14%,55.79B,1.83,1.61,99.86%,4.11%,-2.08%,2.67B,5.16,8.90%,-0.87%,3.51,-23.23%,9.47B,14.75,8.19%,18.00%,17.30M,-8.11%,7.84,21.11,8.35%,65.99%,172.23 -32.87%,-27.76%,5.48,21.38,10.25% 11.96%,21.26%,115.23 0.34%,-29.25%,2.18 (1.88%),13.66,5.42% 7.24%,70.49%,2.97%,3.25%,-24.22%,2.03 (1.76%),5.89,10.11%,38.00%,3.62,176.14%,"Apr 20, 2026",1.94,2.28%,28.23%,30.48,1.91,14.57% 19.02%,3.03,6.74%,-7.50%,0.98,149.73,33.71%,2.79,3.02%,-7.77%,0.77,115.46,14500,2.78,Feb 12 BMO,-17.18%,4.93M,115.62,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","3,776,678",0.14%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.12,1.49,0.00%,591.63M,5.44%,13.83B,13.00,1.85,-,575.32M,-3.42%,12.10B,1.37,0.45,10.68%,3.60%,15.19%,1.23B,2.10,5.98%,2.54%,9.74,24.30%,6.59B,2.11,12.17%,9.42%,20.71M,15.08%,11.39,3.89,9.52%,13.83%,25.52 -5.80%,23.85%,6.18,-,18.24% 8.45%,13.37%,16.34 47.12%,-5.28%,0.69 (2.86%),6.74,9.28% 13.97%,26.00%,1.76%,2.04%,-24.99%,0.65 (2.70%),1.84,3.12%,20.42%,0.60,-,"Sep 30, 2025",1.34,12.90%,18.61%,55.29,1.32,- -,1.38,7.47%,-0.35%,-0.14,25.08,45.76%,0.19,11.30%,4.02%,0.83,23.49,24471,0.01,Mar 17 AMC,19.34%,2.13M,24.04,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","1,773,738",2.34%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,-6.28%,24.72B,33.66,4.57,-0.14%,103.41M,-10.08%,23.07B,1.77,1.01,54.22%,6.92%,-36.80%,-67.63M,8.24,22.04%,4.16%,2.89,-46.36%,3.00B,11.24,14.10%,-1.15%,7.16M,-31.64%,13.68,7.04,19.01%,-3.56%,336.99 -54.37%,-18.89%,21.85,28.32,54.06% 21.31%,-1.69%,140.56 9.39%,39.96%,-,1340.00,34.81% 44.03%,76.28%,4.73%,5.70%,-16.71%,-,7.69,-326.25%,-4.54%,9.22,-,-,1.82,23.91%,-2.25%,39.93,1.41,- -,1.82,-327.24%,-3.23%,1.10,231.29,-,0.85,25.91%,-17.23%,0.85,151.61,7923,0.82,Feb 26 AMC,-41.13%,2.48M,153.76,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","2,101,842",1.42%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,11.93,6.21,9.99%,266.81M,-4.39%,21.83B,12.04,6.15,-2.66%,265.23M,-19.59%,14.07B,3.63,1.42,70.07%,2.39%,-15.84%,1.90B,4.48,-0.74%,1.00%,1.63,-12.57%,4.87B,2.23,4.70%,16.56%,6.34M,-14.13%,33.19,2.79,3.32%,20.28%,97.58 -24.06%,2.59%,26.56,11.35,162.73% 22.38%,19.31%,64.41 15.04%,7.91%,-,11.19,3.49% 12.92%,77.02%,3.43%,4.41%,-78.61%,-,2.89,93.43%,23.08%,3.58,-,-,4.28,4.36%,39.03%,33.54,2.09,- -,4.28,91.72%,-8.50%,0.95,97.42,0.00%,0.01,5.31%,-13.16%,0.70,74.94,7438,0.00,Feb 25 AMC,-9.48%,3.89M,74.10,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","2,737,132",-1.12%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,-5.99%,2.06B,-,-1.03,-12.05%,110.17M,-3.47%,1.49B,-,-0.47,25.24%,3.45%,0.49%,-176.02M,4.46,-3.34%,-9.72%,4.99,-43.44%,461.41M,2.84,37.45%,-14.93%,3.80M,4.14%,6.47,2.61,22.20%,-22.62%,44.34 -58.57%,-49.17%,7.05,-,29.68% 14.26%,-24.15%,15.96 15.10%,-42.05%,-,-,29.03% 56.57%,58.47%,3.07%,3.71%,-87.22%,-,3.24,38.17%,-49.86%,0.85,-,-,2.27,15.52%,-38.15%,44.77,1.27,- -,2.45,42.77%,-5.04%,0.87,35.01,-,0.31,17.92%,-1.14%,0.56,18.87,1784,0.02,Feb 26 BMO,-32.55%,760.96K,18.37,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","429,212",-2.65%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,8.84,6.01,1.49%,147.65M,-4.74%,7.85B,8.08,6.57,-2.37%,145.68M,-15.59%,-,1.94,1.42,81.16%,3.23%,-9.76%,884.00M,1.59,3.66%,0.76%,2.59,-8.86%,4.94B,1.10,5.44%,1.00%,4.71M,-9.29%,48.18,-,4.17%,13.35%,66.18 -19.76%,12.98%,-,8.00,1.24% 14.71%,9.97%,39.32 35.05%,77.18%,1.82 (3.43%),-,14.19% 10.90%,-,3.26%,3.51%,-10.09%,1.78 (3.35%),-,21.18%,23.77%,2.04,113.00%,"Feb 12, 2026",-,-1.00%,17.88%,30.05,2.62,3.66% 5.29%,0.36,31.00%,-9.02%,0.83,66.59,29.30%,0.67,-0.08%,-11.17%,0.78,54.24,9195,0.23,Jan 20 AMC,-4.32%,1.82M,53.10,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,412,565",-2.10%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.79,3.98,1.22%,120.47M,-2.95%,3.25B,-,-4.11,0.00%,118.99M,27.67%,7.21B,-,-0.15,48.36%,5.35%,36.04%,479.20M,0.47,-166.63%,9.51%,1.51,99.34%,6.90B,0.81,-55.01%,4.28%,6.36M,27.13%,33.38,1.82,-,11.89%,29.97 -9.94%,50.19%,14.83,1.91,-53.07% -1.60%,5.56%,11.03 144.59%,34.51%,0.02 (0.09%),3.38,-18.09% 11.58%,16.76%,3.38%,3.33%,15.92%,4.28 (15.86%),1.04,-77.70%,12.28%,1.02,-,"Mar 20, 2026",1.15,-18.07%,6.94%,51.78,3.60,-46.24% -,1.23,-93.22%,-4.34%,1.46,22.30,107.58%,1.43,-31.50%,10.36%,0.41,27.20,6785,1.14,Mar 09 BMO,48.54%,4.21M,26.99,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,713,452",-0.77%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,23.94,0.41,75.38%,254.09M,-7.35%,3.97B,21.13,0.46,0.00%,62.55M,-10.27%,4.99B,1.06,-,24.37%,5.99%,-6.73%,103.34M,1.91,25.81%,0.40%,5.31,9.48%,2.08B,2.37,5.57%,3.34%,3.75M,-5.37%,4.09,14.73,19.88%,10.58%,11.93 -18.66%,35.10%,0.66,21.46,- -,5.45%,6.05 60.33%,-25.15%,0.15 (1.50%),11.19,11.29% -,55.55%,4.73%,4.46%,-2.22%,0.14 (1.46%),2.40,-5.94%,8.97%,0.48,-,"Jul 07, 2025",0.79,-1.89%,4.97%,35.72,1.92,15.87% -,1.42,-54950.00%,-11.63%,0.75,11.47,42.68%,1.17,-,-7.14%,1.02,10.05,7395,0.82,Mar 20 BMO,0.97%,705.51K,9.70,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","720,441",-3.48%,ZGN
