Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,Mega,NASD,"NDX, S&P 500",1293.52B,1266.24B,3.81B,103.62B,21.99,11.15,-,-,-,- -,0.00%,134785,"Jun 29, 2010",304.29,145.91,6.12,12.48,14.89,29.38,224.49,112.56,12.22,1.55,1.94,0.19,0.16,Yes / Yes,1.08,2.24,0.46,1.88%,32.72%,23.85%,-33.28% 38.32%,5.19% 24.63%,-37.64%,11.75%,-5.50%,25.52%,Jul 22 AMC,-38.12% 6.86%,28.56%,-0.01%,41.90%,-0.58%,2.75%,4.64%,3.79%,18.85%,4.61%,3.67%,-1.83%,-12.52%,-19.55%,"

",3.95B,2.82B,2.43%,1.55,68.50M,498.83 -34.34%,297.38 10.13%,2.75%,3.60%,13.52,41.42,1.83,0.65,44.11M,"28,698,879",1.85%,-17.33%,-24.44%,-22.98%,-27.17%,-3.91%,34.97%,36.04%,2077.50%,2.45,375.55,332.81,327.51,-1.59%,TSLA
Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,Mega,NYSE,S&P 500,1148.72B,1194.68B,26.71B,79.67B,35.98,9.51,6.83 (0.56%),6.46 (0.53%),"Aug 14, 2026",15.24% 15.18%,26.14%,50000,"Jul 09, 1970",41.47,26.10,0.87,14.42,33.91,128.35,63.15,28.65,15.00,1.00,1.35,1.62,1.41,Yes / Yes,29.43,46.76,9.76,51.07%,27.84%,30.15%,49.25% 27.59%,31.69% 21.58%,95.08%,49.58%,26.20%,47.67%,Aug 05 BMO,30.92% 10.33%,9.88%,-0.03%,75.28%,-1.02%,21.96%,102.43%,32.68%,83.40%,49.72%,33.53%,3.42%,4.78%,17.39%,"

",941.50M,848.31M,1.07%,3.02,9.12M,1249.45 -2.33%,629.40 93.88%,3.46%,3.22%,41.19,58.08,0.51,0.64,3.02M,"1,941,689",4.31%,5.88%,23.28%,19.05%,13.55%,90.84%,130.99%,363.16%,1421.17%,1.61,1335.38,1215.02,1220.28,0.43%,LLY
Micron Technology Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1029.20B,1009.53B,50.47B,90.27B,89.22,23.06,0.58 (0.06%),0.53 (0.06%),"Jul 06, 2026",2.27% -,6.06%,53000,"Jun 01, 1984",20.63,5.90,0.03,11.40,10.21,39.51,39.32,14.77,11.18,2.98,3.42,0.06,0.06,Yes / Yes,44.17,154.52,31.15,783.11%,111.06%,172.75%,-0.66% 26.19%,6.71% 11.76%,701.44%,166.98%,1372.09%,345.72%,Jun 24 AMC,20.36% 15.44%,0.43%,-5.50%,77.59%,-2.63%,47.50%,66.64%,47.38%,72.60%,65.75%,55.91%,3.66%,-5.58%,67.15%,"

",1.13B,1.12B,2.66%,0.58,29.89M,1255.00 -27.39%,113.46 703.18%,6.02%,7.86%,76.05,51.07,2.20,0.72,51.13M,"36,804,916",2.03%,-7.31%,18.88%,144.15%,219.29%,613.34%,1315.71%,1197.21%,6003.75%,1.30,1549.19,868.52,911.29,4.92%,MU
JPMorgan Chase & Co,Financial,Banks - Diversified,USA,Mega,NYSE,"DJIA, S&P 500",970.72B,-,63.63B,297.51B,133.01,-,6.39 (1.75%),6.00 (1.64%),"Jul 06, 2026",13.19% 10.01%,28.97%,318512,"Mar 05, 1969",15.64,14.55,1.36,3.26,2.75,-,6.31,-,-,-,1.15,3.41,1.33,Yes / Yes,23.34,25.10,5.84,24.01%,1.09%,10.69%,18.32% 17.66%,21.00% 17.27%,19.76%,8.20%,47.08%,18.21%,Jul 14 BMO,37.84% 13.06%,0.46%,-2.93%,75.66%,-0.89%,1.35%,17.71%,7.41%,-,28.36%,21.39%,3.59%,8.40%,16.21%,"

",2.66B,2.65B,1.07%,3.11,28.24M,363.12 0.57%,279.10 30.84%,1.47%,1.89%,6.60,68.78,0.98,0.48,9.09M,"4,366,785",1.65%,6.50%,19.78%,14.74%,13.33%,24.70%,136.44%,125.71%,459.06%,2.03,375.70,362.04,365.18,0.87%,JPM
Walmart Inc,Consumer Defensive,Discount Stores,USA,Mega,NASD,"DJIA, NDX, S&P 500",923.22B,993.31B,22.74B,725.30B,11.85,1.35,1.00 (0.86%),0.97 (0.83%),"Aug 21, 2026",7.82% 5.48%,34.44%,2100000,"Nov 20, 1972",40.87,35.43,3.10,1.27,9.79,86.05,73.55,22.15,1.37,0.23,0.77,0.79,0.61,Yes / Yes,2.84,3.27,0.74,9.72%,13.04%,11.44%,24.21% 11.53%,5.27% 4.99%,21.68%,5.87%,19.56%,7.33%,Aug 20 BMO,0.18% 1.66%,44.22%,-0.54%,36.59%,-0.51%,8.24%,25.53%,15.01%,24.98%,4.16%,3.13%,3.54%,1.35%,-1.87%,"

",7.96B,4.44B,1.62%,3.05,72.04M,135.15 -14.17%,95.42 21.58%,2.18%,2.18%,2.64,59.28,0.60,0.93,23.64M,"22,054,703",3.27%,2.03%,-11.00%,-8.44%,4.13%,11.96%,115.90%,133.48%,371.01%,1.56,139.84,113.26,116.01,2.43%,WMT
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",788.37B,779.53B,6.43B,41.30B,41.19,8.04,-,-,-,- -,0.00%,31000,"Oct 15, 1979",123.94,31.64,0.43,19.09,11.72,60.08,93.82,81.92,18.87,1.91,2.61,0.06,0.05,Yes / Yes,3.90,15.26,1.92,82.00%,101.11%,73.80%,46.65% 5.13%,13.64% 28.82%,125.82%,39.54%,158.80%,50.11%,Aug 04 AMC,2.71% 2.00%,0.48%,-7.66%,68.70%,-1.14%,8.12%,10.20%,9.11%,50.37%,15.71%,15.58%,-2.28%,-5.63%,50.02%,"

",1.63B,1.62B,2.32%,1.24,37.75M,584.73 -17.41%,149.22 223.64%,3.72%,6.30%,33.59,47.39,2.47,0.61,30.42M,"18,628,269",0.18%,-11.89%,7.73%,126.12%,125.50%,176.04%,348.94%,353.46%,7075.78%,1.53,607.07,474.32,482.93,1.82%,AMD
SK Hynix Inc ADR,Technology,Semiconductors,South Korea,Mega,NASD,-,1125.44B,1104.26B,109.59B,129.01B,15.14,4.87,0.43 (0.28%),-,-,- -,-,34549,"Jul 10, 2026",21.08,4.74,0.04,8.72,10.20,31.71,38.78,17.33,8.56,2.22,2.62,0.13,0.09,Yes / Yes,7.33,32.56,6.09,509.05%,33.53%,106.80%,159.13% 49.26%,25.56% 20.38%,420.13%,134.05%,1182.30%,232.92%,Jul 29 BMO,89.46% -1.71%,-,-,0.00%,-97.43%,45.38%,64.12%,93.46%,48.18%,67.76%,84.95%,3.90%,1.17%,1.17%,"

",7.29B,-,-,0.49,22.52M,194.80 -20.73%,124.80 23.73%,5.30%,8.33%,14.96,49.39,-,0.56,45.75M,"25,793,207",2.24%,-20.37%,-,-,-9.17%,-,-,-,-,1.21,230.63,141.65,154.41,9.01%,SKHY
ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,Mega,NASD,NDX,697.64B,691.24B,12.41B,41.20B,64.74,22.49,10.70 (0.59%),9.08 (0.50%),"Jul 28, 2026",13.12% 21.86%,26.75%,44209,"Mar 15, 1995",56.35,30.09,0.80,16.93,27.96,80.48,61.59,43.75,16.78,0.80,1.33,0.09,0.09,Yes / Yes,32.12,60.15,11.74,47.69%,37.88%,37.60%,23.38% 23.58%,18.33% 18.27%,23.14%,17.87%,31.87%,24.38%,Jul 15 BMO,9.60% 4.16%,0.04%,0.00%,18.87%,-20.14%,22.54%,54.37%,45.57%,52.73%,35.42%,30.11%,5.47%,2.24%,27.43%,"

",385.42M,385.28M,0.28%,0.55,1.07M,1999.96 -9.49%,716.20 152.73%,2.83%,3.72%,77.02,57.15,1.79,0.72,1.93M,"1,388,753",7.86%,1.94%,19.01%,28.05%,69.19%,144.01%,173.52%,131.74%,1541.49%,1.39,2373.23,1799.38,1810.07,0.59%,ASML
Visa Inc,Financial,Credit Services,USA,Mega,NYSE,"DJIA, S&P 500",671.05B,679.54B,22.40B,44.49B,18.55,8.51,2.72 (0.76%),2.68 (0.75%),"Aug 11, 2026",16.31% 14.48%,23.37%,34100,"Mar 19, 2008",30.85,23.94,1.69,15.08,19.37,42.23,31.94,21.80,15.27,0.99,0.99,0.68,0.59,Yes / Yes,11.65,15.02,3.44,15.23%,13.61%,14.14%,13.82% 16.47%,10.92% 12.86%,14.71%,14.39%,10.41%,14.36%,Jul 28 AMC,2.68% 2.04%,9.12%,-0.08%,80.63%,-1.33%,23.02%,60.67%,39.97%,77.16%,67.04%,50.35%,-0.87%,3.74%,8.54%,"

",1.70B,1.70B,1.23%,2.56,20.79M,373.97 -3.89%,293.89 22.30%,1.63%,2.01%,7.45,51.23,0.75,0.47,8.11M,"3,794,236",-2.47%,0.96%,10.11%,9.52%,2.48%,6.74%,49.73%,55.06%,349.16%,1.33,420.14,362.82,359.42,-0.94%,V
ExxonMobil Holdings Corp,Energy,Oil & Gas Integrated,USA,Mega,NYSE,S&P 500,656.88B,695.39B,32.76B,363.39B,63.08,2.57,4.16 (2.60%),4.08 (2.55%),"Aug 17, 2026",4.06% 2.82%,59.70%,58000,"Jan 01, 1920",20.56,14.92,1.03,1.81,2.53,62.04,21.50,9.83,1.91,0.85,1.13,0.16,0.12,Yes / Yes,7.77,10.71,3.49,64.52%,-6.91%,14.51%,-20.34% -,-6.83% 12.70%,9.80%,10.58%,112.81%,43.14%,Jul 31 BMO,-1.00% 5.53%,0.23%,-63.71%,66.98%,-0.75%,7.18%,12.55%,11.23%,20.88%,11.30%,9.01%,3.52%,8.50%,13.39%,"

",4.11B,4.10B,1.03%,2.58,42.35M,176.41 -9.44%,105.67 51.18%,2.09%,2.15%,3.83,64.96,0.17,0.80,16.45M,"13,219,472",5.36%,10.10%,6.05%,5.38%,32.75%,50.52%,42.85%,178.55%,81.84%,2.31,168.82,159.80,159.75,-0.03%,XOM
Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,Mega,NYSE,"DJIA, S&P 500",628.65B,656.92B,21.04B,97.94B,35.28,8.61,5.38 (2.06%),5.24 (2.01%),"Aug 25, 2026",4.92% 5.25%,46.59%,140800,"Sep 25, 1944",30.23,20.46,2.11,6.42,7.39,30.28,28.26,19.22,6.71,0.81,1.09,0.58,0.44,Yes / Yes,8.63,12.75,2.90,7.37%,10.04%,9.72%,17.88% 14.90%,5.56% 2.67%,-7.21%,8.07%,-0.92%,6.64%,Jul 15 BMO,1.59% 0.99%,0.15%,-8.54%,76.19%,0.27%,10.67%,25.74%,17.20%,68.03%,26.99%,21.48%,1.17%,4.43%,13.88%,"

",2.41B,2.41B,1.06%,3.06,25.41M,274.90 -5.11%,171.81 51.83%,2.08%,2.31%,5.96,56.56,0.23,0.56,8.29M,"4,629,330",1.27%,2.76%,16.32%,9.44%,26.05%,50.98%,50.05%,48.89%,111.70%,1.81,277.81,259.80,260.86,0.41%,JNJ
Intel Corp,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",509.19B,545.43B,-11.29B,57.03B,17.36,5.93,0.04 (0.04%),-,"Aug 07, 2024",- -,-,85100,"May 03, 1973",-,49.43,0.53,8.93,5.82,17.03,1480.21,32.17,9.56,1.25,1.60,0.58,0.55,Yes / Yes,-2.12,2.04,0.39,256.69%,36.34%,93.21%,- -,-5.71% -7.46%,55.56%,7.47%,-223.64%,25.42%,Jul 23 AMC,93.28% 11.73%,14.72%,-0.01%,60.28%,1.65%,-5.72%,-12.18%,-8.30%,39.05%,8.03%,-19.79%,5.08%,-7.95%,45.26%,"

",5.04B,4.30B,2.91%,1.02,125.10M,142.35 -29.08%,20.76 386.27%,4.79%,6.79%,7.39,49.98,2.24,1.32,122.80M,"162,446,693",-0.11%,-6.32%,-16.30%,114.19%,173.58%,362.86%,189.34%,88.55%,192.02%,2.42,121.24,97.71,100.95,3.32%,INTC
Mastercard Incorporated,Financial,Credit Services,USA,Mega,NYSE,S&P 500,490.33B,502.87B,16.26B,35.13B,6.39,13.81,3.55 (0.63%),3.37 (0.60%),"Jul 09, 2026",15.58% 13.94%,19.07%,39800,"May 25, 2006",30.79,24.24,1.47,13.96,87.59,40.53,29.73,22.87,14.31,1.06,1.06,4.39,3.95,Yes / Yes,18.18,23.09,5.15,17.22%,15.79%,16.48%,17.34% 20.99%,13.90% 16.50%,22.59%,16.15%,22.05%,13.79%,Jul 30 BMO,5.69% 2.22%,7.89%,-0.13%,82.62%,-1.55%,29.80%,241.49%,58.49%,96.60%,59.19%,46.27%,0.43%,6.51%,6.01%,"

",871.00M,806.86M,1.11%,2.52,8.96M,601.77 -6.99%,464.52 20.50%,1.56%,1.87%,11.33,56.77,0.73,0.87,3.56M,"3,095,324",-1.88%,4.04%,11.99%,3.58%,-1.95%,-2.52%,41.71%,54.63%,482.32%,1.30,668.57,561.44,559.73,-0.30%,MA
Cisco Systems Inc,Technology,Communication Equipment,USA,Mega,NASD,"DJIA, NDX, S&P 500",488.26B,504.63B,12.23B,60.75B,12.40,4.22,1.70 (1.37%),1.66 (1.34%),"Jul 06, 2026",2.60% 2.67%,63.62%,86200,"Feb 16, 1990",40.39,23.48,2.81,8.04,9.99,29.34,41.42,29.54,8.31,0.81,0.92,0.68,0.42,Yes / Yes,3.07,5.28,1.16,11.45%,9.34%,8.36%,-3.32% -0.69%,3.19% 2.82%,25.97%,9.21%,36.10%,11.96%,Aug 12 AMC,4.52% 2.47%,0.24%,-1.27%,79.97%,0.35%,9.97%,25.80%,17.59%,63.53%,23.94%,20.13%,6.61%,4.98%,35.31%,"

",3.94B,3.93B,1.68%,2.64,66.19M,130.37 -4.97%,65.75 88.41%,2.17%,2.84%,3.56,62.98,1.00,1.45,25.06M,"36,223,013",1.96%,5.80%,24.77%,43.56%,60.82%,73.55%,130.30%,119.68%,301.30%,1.83,135.48,120.43,123.88,2.86%,CSCO
Bank Of America Corp,Financial,Banks - Diversified,USA,Mega,NYSE,S&P 500,453.20B,-,32.26B,195.14B,39.34,-,1.19 (1.84%),1.12 (1.73%),"Sep 04, 2026",7.89% 8.45%,28.33%,213000,"Jun 05, 1979",14.92,12.32,0.79,2.32,1.65,-,5.52,-,-,-,1.03,2.47,1.10,Yes / Yes,4.35,5.26,1.19,21.92%,13.28%,15.61%,6.17% 15.28%,18.12% 15.40%,27.92%,-1.71%,35.31%,0.28%,Jul 14 BMO,7.19% 2.54%,0.30%,-2.96%,78.42%,-2.87%,0.97%,11.25%,5.34%,-,21.32%,16.53%,4.00%,9.55%,19.91%,"

",7.02B,6.97B,1.44%,2.84,100.51M,64.27 0.84%,46.12 40.54%,1.50%,1.64%,1.05,73.57,1.17,0.78,35.44M,"27,541,565",2.47%,6.91%,27.63%,17.01%,17.84%,36.44%,107.13%,53.76%,334.67%,1.52,68.23,64.00,64.81,1.27%,BAC
