Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5422.98B,5355.22B,159.61B,253.49B,8.07,3.33,0.65 (0.29%),0.28 (0.12%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",34.32,17.60,0.37,21.39,27.77,67.31,45.54,32.36,21.13,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.73,2.08,88.68%,41.48%,47.62%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,Aug 26 AMC,6.52% 3.43%,3.85%,-0.30%,69.71%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,7.54%,8.64%,15.18%,"

",24.22B,23.27B,1.26%,1.95,292.67M,236.54 -5.26%,164.07 36.58%,2.66%,3.35%,7.51,62.43,2.21,0.73,149.82M,"108,783,636",2.22%,5.80%,1.50%,18.86%,20.16%,22.35%,448.50%,1025.80%,14118.91%,1.23,314.29,217.50,224.09,3.03%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4411.09B,4433.04B,128.93B,466.82B,7.36,4.28,1.08 (0.36%),1.06 (0.35%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",34.65,31.74,2.57,9.45,41.07,70.69,32.27,26.39,9.50,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.52,1.98,18.22%,7.98%,12.35%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.13%,-2.05%,66.78%,0.00%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,-5.91%,-2.33%,7.91%,"

",14.61B,14.58B,0.97%,2.50,141.61M,344.57 -12.28%,223.78 35.07%,1.77%,2.29%,8.55,40.22,1.08,0.74,56.54M,"41,657,768",-2.81%,-4.00%,2.53%,10.44%,11.18%,31.61%,70.00%,103.00%,1017.58%,2.09,330.45,304.91,302.25,-0.87%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4192.54B,4085.43B,244.12B,446.31B,50.90,19.80,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",17.20,22.81,1.27,9.39,6.73,17.29,78.70,23.03,9.15,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.01,3.02,89.08%,-26.56%,17.99%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.03%,-0.01%,26.94%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-1.07%,-2.97%,3.84%,"

",5.53B,5.13B,0.91%,2.10,46.94M,404.47 -15.35%,197.46 73.39%,1.93%,3.07%,11.55,45.58,1.21,0.70,22.40M,"15,608,821",-4.93%,-4.19%,-10.80%,7.45%,9.10%,67.70%,163.02%,147.40%,774.26%,1.30,428.09,343.00,342.37,-0.18%,GOOG
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4197.08B,4089.97B,244.12B,446.31B,50.90,19.85,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.26,22.87,1.27,9.40,6.75,17.31,78.78,23.06,9.16,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.02,3.02,89.12%,-26.52%,18.07%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.21%,-0.01%,38.52%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.96%,-3.08%,3.93%,"

",5.87B,5.84B,1.21%,2.14,70.49M,408.61 -15.92%,196.60 74.75%,2.08%,3.14%,11.93,45.74,1.22,0.76,32.92M,"25,011,987",-5.21%,-4.44%,-11.31%,7.83%,9.76%,68.95%,165.16%,150.40%,751.35%,1.29,428.39,343.80,343.54,-0.08%,GOOGL
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3656.56B,3708.53B,133.75B,331.84B,59.56,10.35,3.92 (0.80%),3.56 (0.72%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",27.44,20.98,1.14,11.02,8.27,47.58,54.59,18.67,11.18,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.47,4.71,13.96%,19.19%,18.35%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.57%,-0.04%,74.93%,-2.24%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,11.82%,20.02%,13.78%,"

",7.43B,7.31B,1.11%,1.98,81.31M,553.72 -11.07%,349.20 41.02%,1.89%,2.88%,14.82,70.78,1.11,0.71,40.99M,"29,001,478",1.02%,27.93%,20.76%,19.15%,1.82%,-6.96%,53.40%,69.91%,749.90%,1.23,562.69,503.81,492.43,-2.26%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2882.97B,3001.69B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",21.50,25.24,1.02,3.72,5.22,23.39,-,17.29,3.87,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.59,1.96,75.12%,-15.64%,24.72%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.01%,-0.15%,66.96%,0.00%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,4.82%,7.89%,12.62%,"

",10.78B,9.81B,1.00%,1.96,98.43M,287.20 -6.94%,196.00 36.37%,2.24%,2.65%,8.83,57.06,1.45,0.60,50.15M,"29,941,093",-1.97%,8.00%,0.55%,29.15%,15.80%,20.68%,93.11%,61.82%,591.93%,1.21,329.40,272.27,267.28,-1.83%,AMZN
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1979.39B,2024.67B,29.32B,75.47B,18.43,4.13,2.62 (0.63%),2.54 (0.61%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",69.26,21.24,0.37,26.23,22.57,100.85,60.42,48.13,26.83,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.58,3.21,69.94%,68.97%,56.90%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Sep 02 AMC,1.82% 0.26%,1.92%,-1.95%,78.82%,-0.67%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,5.01%,5.74%,12.83%,"

",4.76B,4.67B,1.31%,2.38,61.20M,495.00 -15.95%,281.87 47.60%,3.11%,3.68%,15.81,58.31,1.47,0.62,25.67M,"15,859,206",-0.53%,6.92%,-0.78%,22.21%,20.21%,33.00%,401.41%,759.15%,2312.30%,1.33,529.43,416.08,416.05,-0.01%,AVGO
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2225.78B,2147.50B,71.86B,142.82B,35.53,21.29,4.11 (0.96%),3.50 (0.81%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",30.97,19.74,0.52,15.58,12.08,20.15,55.78,21.07,15.04,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.74,4.38,58.68%,30.58%,37.80%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.10%,-3.54%,15.13%,9.76%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,4.75%,0.81%,18.49%,"

",5.19B,5.18B,0.64%,2.37,33.19M,479.00 -10.41%,223.70 91.84%,2.40%,3.27%,15.53,56.10,1.39,0.68,14.02M,"9,534,291",3.66%,2.08%,8.02%,18.58%,41.22%,75.67%,366.52%,270.92%,1367.68%,1.20,545.45,422.06,429.15,1.68%,TSM
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1926.52B,1866.01B,-,-,9.66,7.60,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,15.14,19.22,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.13,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,88.04%,-0.00%,1.97%,76.65%,-,-,-,-,-,-,20.56%,3.19%,3.19%,"

",7.61B,1.58B,13.18%,1.66,207.78M,225.64 -35.23%,104.83 39.42%,10.51%,7.99%,11.69,58.25,-,1.34,124.87M,"167,236,422",34.99%,7.40%,-,-,-2.57%,-,-,-,-,1.70,226.26,133.29,146.15,9.65%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1474.62B,1495.98B,68.10B,228.25B,102.52,35.71,1.92 (0.33%),2.10 (0.36%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",21.80,17.04,0.91,6.46,5.65,16.21,35.99,13.64,6.55,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.97,6.75,35.01%,7.12%,18.73%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.69%,-0.06%,67.18%,-0.32%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,-3.68%,-3.18%,-8.00%,"

",2.21B,2.20B,1.43%,1.74,31.46M,796.25 -27.30%,520.26 11.26%,2.86%,3.25%,22.73,43.87,1.25,0.90,18.07M,"16,186,915",-1.68%,-12.43%,-4.00%,-13.70%,-12.31%,-26.73%,91.90%,59.62%,363.52%,1.28,745.98,599.12,578.85,-3.38%,META
