Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,500.44,0.09,81.68%,46.23M,0.09%,10.84B,15.58,2.89,-0.11%,43.95M,5.33%,10.00B,0.49,0.46,17.56%,5.11%,-33.66%,23.00M,4.20,34.41%,-3.05%,1.94,-42.33%,2.58B,2.22,31.28%,0.40%,2.24M,-33.91%,20.31,8.34,31.98%,0.47%,90.22 -50.02%,-37.63%,5.41,46.13,- -,0.46%,40.69 10.81%,5.94%,-,38.30,9.67% -5.01%,74.14%,4.07%,4.81%,-66.15%,-,3.87,119.94%,-1.24%,2.31,86.79%,-,3.13,15.52%,0.89%,45.61,2.06,- -,3.13,105.41%,1.05%,2.08,74.62,0.00%,0.09,18.05%,-13.71%,1.01,44.71,7068,0.02,Feb 10 AMC,-33.92%,1.16M,45.09,"Jul 20, 2011",Yes / Yes,-3.27% 0.54%,"

","1,168,085",0.85%,ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.15,12.74%,221.18M,-10.43%,3.94B,13.60,1.19,-0.04%,213.01M,7.81%,3.84B,0.47,0.11,73.75%,13.27%,-10.23%,-31.51M,3.02,29.40%,0.93%,3.18,-26.86%,1.30B,4.91,25.75%,-2.37%,28.26M,-20.64%,3.29,12.33,28.98%,-4.25%,24.90 -35.14%,3.13%,1.31,21.30,58.59% 17.79%,-3.11%,10.69 51.08%,57.56%,-,38.09,30.21% 28.80%,55.11%,5.05%,5.89%,-,-,2.94,63.53%,2.21%,0.99,-,-,1.60,29.72%,-2.42%,39.16,1.40,- -,1.60,-56.98%,-9.64%,1.24,29.08,-,0.27,25.41%,-11.75%,1.11,17.66,3300,0.26,Feb 24 AMC,-10.79%,8.88M,16.15,"Jun 10, 2021",Yes / Yes,21.21% 4.06%,"

","9,895,396",-8.55%,ZETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,39.59,1.11,5.89%,38.38M,3.47%,1.65B,6.25,7.01,0.00%,35.44M,48.26%,1.93B,3.21,1.00,117.01%,16.29%,23.10%,47.35M,1.14,-0.12%,-0.99%,5.56,16.39%,1.45B,0.96,5.84%,1.29%,5.77M,24.64%,45.69,2.72,1.95%,2.66%,50.55 -13.33%,3.11%,16.12,5.73,-5.27% -18.45%,1.90%,22.45 95.14%,-41.75%,-,4.64,1.42% 4.60%,70.01%,4.00%,6.81%,-56.16%,-,1.33,-22.24%,12.97%,2.53,-15.03%,"May 17, 2019",1.27,3.54%,3.26%,67.22,2.25,- -,1.27,-99.32%,12.58%,1.16,43.43,0.00%,0.51,-1.48%,20.12%,0.89,43.34,3900,0.42,Feb 23 AMC,24.92%,1.04M,43.81,"Jul 23, 1999",Yes / Yes,-5.13% -2.39%,"

","923,105",1.08%,ZD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,25.41,8.16,0.95%,49.59M,-0.75%,10.21B,10.39,19.96,0.22%,48.72M,-10.30%,12.78B,0.89,4.26,96.14%,4.15%,-17.55%,419.00M,1.88,13.19%,-2.90%,2.61,-34.22%,5.43B,2.87,11.34%,5.09%,2.02M,-14.55%,72.35,81.65,11.67%,11.68%,352.66 -41.16%,-30.23%,2.54,12.28,-2.43% -2.63%,6.86%,200.44 3.52%,-28.14%,-,12.48,-1.54% 4.06%,46.33%,3.20%,3.62%,-55.26%,-,2.35,-19.74%,15.44%,9.10,204.28%,-,0.58,9.36%,7.71%,37.72,1.75,- -,0.97,-55.92%,-3.91%,1.67,340.00,0.00%,0.75,12.28%,-11.96%,0.55,205.87,10700,0.70,Feb 12 BMO,-25.39%,773.46K,207.49,"Aug 15, 1991",Yes / Yes,0.01% 0.58%,"

","425,167",0.79%,ZBRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zenas Biopharma Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-8.44,56.05%,54.49M,-10.31%,1.21B,-,-4.73,3.83%,25.21M,-19.43%,944.80M,-,-1.47,42.76%,31.83%,-41.74%,-377.74M,120.80,42.83%,11.73%,8.98,11.13%,10.00M,4.74,1.88%,-100.25%,8.02M,-42.00%,4.44,3.52,23.12%,-136.22%,44.60 -52.78%,126.21%,5.98,-,-39.47% -,-117.68%,6.11 244.68%,-,-,-,- -,99.44%,10.49%,7.76%,-,-,94.48,-116.54%,-2113.85%,2.00,-,-,5.61,100.00%,-3777.37%,34.40,1.25,- -,5.61,-310.86%,-13.84%,-0.78,42.00,-,0.33,-100.00%,-8.72%,0.57,20.63,167,0.33,Mar 16 BMO,-8.07%,893.30K,21.06,"Sep 13, 2024",Yes / Yes,-353.37% -100.00%,"

","508,716",2.08%,ZBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,24.34,3.55,0.15%,195.50M,-6.70%,16.89B,9.58,9.01,-1.23%,195.36M,-13.21%,24.06B,1.78,1.86,102.60%,3.94%,-3.15%,705.00M,2.05,2.41%,2.79%,3.56,-15.16%,8.23B,1.33,7.31%,3.17%,7.69M,-4.00%,64.95,28.53,5.39%,5.60%,114.44 -24.57%,-22.40%,3.03,14.41,47.75% -,3.56%,84.59 2.05%,-31.51%,0.92 (1.07%),9.95,5.85% 3.22%,60.94%,2.52%,2.69%,-43.49%,0.96 (1.11%),2.92,-20.10%,16.07%,2.53,-14.23%,"Mar 31, 2026",1.10,7.20%,8.56%,31.25,2.73,0.00% 0.00%,1.98,-41.28%,-7.74%,0.63,101.62,27.05%,0.61,10.90%,-6.10%,0.73,87.80,17000,0.56,Feb 10 BMO,-9.32%,2.16M,86.32,"Jul 25, 2001",Yes / Yes,0.92% 0.90%,"

","1,572,182",-1.69%,ZBH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,502.89,0.09,29.80%,187.99M,0.18%,10.87B,15.72,2.88,-0.29%,168.43M,5.79%,10.02B,0.50,0.45,72.65%,6.99%,-34.30%,23.00M,4.21,33.86%,-3.08%,2.72,-44.09%,2.58B,2.23,31.32%,0.40%,11.77M,-33.58%,20.31,8.36,31.70%,0.47%,93.88 -51.74%,-38.48%,5.42,46.24,- -,0.46%,41.13 10.15%,4.33%,-,38.40,9.67% -5.01%,74.14%,4.53%,5.09%,-64.42%,-,3.88,119.94%,-1.24%,2.44,101.11%,-,3.13,15.52%,0.89%,45.67,2.09,- -,3.13,105.41%,1.19%,2.11,74.48,0.00%,0.09,18.05%,-13.88%,1.32,44.82,7068,0.02,Feb 10 AMC,-35.35%,4.32M,45.31,"Aug 03, 2015",Yes / Yes,-2.91% 0.55%,"

","5,719,838",1.09%,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,20.74,2.50,3.95%,354.00M,-4.02%,18.30B,16.08,3.22,-1.18%,339.17M,-6.09%,19.98B,1.33,0.87,73.44%,1.61%,7.06%,929.00M,1.55,14.98%,-2.43%,3.32,20.26%,11.80B,3.41,11.45%,8.48%,5.45M,8.57%,15.19,13.22,12.11%,16.73%,58.39 -11.23%,0.04%,3.92,21.49,34.03% 4.49%,12.81%,41.00 26.41%,-15.97%,1.08 (2.08%),10.24,7.23% 7.38%,17.35%,2.67%,2.23%,-14.03%,1.01 (1.95%),1.69,7.35%,12.71%,1.36,-,"Mar 04, 2026",0.85,4.37%,7.87%,44.37,1.37,25.99% 31.95%,1.05,28.84%,-2.57%,0.13,61.70,38.34%,0.44,8.79%,-1.27%,0.80,51.99,290000,0.35,Feb 04 BMO,9.62%,1.64M,51.83,"Oct 17, 2016",Yes / Yes,30.72% 3.90%,"

","1,313,486",-0.31%,YUMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.72,5.55,0.16%,277.00M,-2.60%,44.07B,21.35,7.47,-10.87%,275.98M,-4.22%,56.25B,1.84,1.37,87.84%,2.34%,3.69%,1.56B,5.37,10.26%,2.50%,3.31,6.81%,8.21B,-,11.96%,20.89%,6.46M,5.39%,-26.44,48.91,11.59%,-,169.39 -5.88%,2.32%,3.26,26.89,6.69% 13.51%,27.25%,137.33 16.09%,24.72%,3.04 (1.91%),20.50,6.28% 7.76%,46.17%,1.82%,2.06%,48.89%,2.88 (1.81%),6.85,5.99%,30.90%,3.43,179.42%,"Feb 20, 2026",1.35,8.80%,18.98%,49.32,2.30,7.60% 8.60%,1.35,27.83%,-0.66%,0.65,172.70,51.19%,-,6.44%,0.02%,0.68,158.54,49000,-,Feb 04 BMO,6.00%,1.95M,159.43,"Sep 12, 1997",Yes / Yes,-1.86% 2.62%,"

","1,320,237",0.56%,YUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Space Systems Inc,Industrials,Aerospace & Defense,USA,NYSE,RUT,-,-,34.77%,126.94M,14.51%,2.72B,38.11,0.56,1.74%,82.80M,-21.36%,2.90B,-,-0.11,-,3.66%,-,-,-,92.27%,34.06%,1.55,-,-,3.49,916.06%,-,3.03M,-36.36%,6.13,25.94,-,-,38.47 -44.40%,-,0.82,-,- -,-,16.93 26.34%,-,-,-,- -,-,13.70%,8.98%,-,-,-,-,-,2.38,-,-,0.80,-,-,42.67,1.60,- -,0.95,-,-2.88%,-,36.60,-,0.26,-,-13.00%,0.77,23.20,-,0.26,Mar 19 AMC,-13.00%,1.96M,21.39,"Jan 29, 2026",Yes / Yes,-24.93% 2.58%,"

","1,516,175",-7.80%,YSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,-,-1.98,0.04%,393.26M,11.68%,16.74B,7.46,5.70,-7.48%,393.12M,13.43%,26.92B,-,1.10,8.62%,1.65%,19.75%,-765.36M,0.90,296.57%,-3.65%,3.64,58.10%,18.53B,1.52,37.51%,-2.60%,6.50M,17.70%,27.93,14.02,-,-6.82%,43.40 -1.94%,17.67%,3.04,-,- 2.51%,-3.97%,22.82 86.50%,342.41%,-,5.13,-0.90% 14.65%,27.47%,5.38%,4.66%,938.05%,-,1.45,-132.96%,10.50%,1.78,136.31%,"Jul 09, 2019",0.66,-4.12%,-4.13%,68.47,1.73,- -,0.87,-96.02%,12.20%,1.39,49.95,0.00%,1.03,-5.33%,13.40%,1.02,41.21,-,0.79,Feb 27 BMO,26.57%,1.79M,42.56,"Jun 29, 1993",Yes / Yes,-348.51% 4.33%,"

","1,824,734",3.28%,YPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,48.00,1.12,8.79%,97.99M,11.29%,7.14B,20.85,2.57,-15.50%,90.57M,64.26%,6.58B,0.68,0.32,95.19%,11.63%,45.38%,109.17M,7.92,29.76%,-2.25%,6.56,41.37%,900.78M,29.62,76.70%,8.60%,10.54M,53.26%,1.81,10.19,30.86%,58.05%,53.50 0.06%,102.88%,5.25,20.80,- -,38.37%,22.90 133.75%,143.40%,0.70 (1.31%),29.74,27.22% 31.30%,60.58%,5.14%,6.07%,-,0.52 (0.98%),7.30,-36.34%,20.70%,2.43,-,"Mar 10, 2026",1.01,16.91%,12.12%,78.66,2.22,- -,1.01,-72.10%,12.34%,1.06,50.88,44.73%,0.63,16.72%,36.93%,2.37,53.46,3301,0.60,Feb 25 BMO,55.98%,1.61M,53.53,"Jun 30, 2021",Yes / Yes,5.08% 2.13%,"

","3,806,603",0.13%,YOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,14.27,0.58,6.22%,931.89M,-5.96%,7.65B,10.02,0.82,0.00%,873.90M,-13.12%,5.37B,0.81,0.13,72.60%,2.12%,-26.04%,612.46M,4.40,1.07%,1.25%,2.11,-39.14%,1.74B,1.56,23.37%,10.21%,18.54M,-23.49%,5.27,3.11,12.33%,11.24%,14.07 -41.65%,-38.46%,2.64,-,118.73% -,10.69%,8.10 1.36%,16.12%,0.30 (3.68%),9.80,20.22% 35.97%,63.57%,3.43%,3.45%,-,0.19 (2.34%),3.09,43.31%,32.73%,0.31,-,"Apr 08, 2026",6.26,11.30%,35.23%,27.36,1.73,- -,8.09,78.31%,-7.73%,0.28,12.43,39.99%,0.00,1.98%,-13.23%,0.52,8.30,7185,0.00,Mar 12 BMO,-28.36%,8.77M,8.21,"Jun 22, 2021",Yes / Yes,-2.52% 8.69%,"

","4,564,310",-1.08%,YMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,18.11,2.04,0.97%,74.99M,-1.55%,2.78B,11.33,3.26,-1.32%,74.54M,-18.29%,2.82B,0.89,0.18,117.40%,11.07%,-17.12%,165.39M,1.49,13.62%,-2.35%,5.49,5.91%,1.87B,4.26,15.66%,12.52%,8.25M,-16.37%,8.67,14.76,12.74%,23.79%,51.29 -27.98%,7.35%,2.50,13.11,25.37% 2.71%,19.26%,26.61 38.82%,-5.55%,0.22 (0.60%),10.53,5.41% 11.35%,57.41%,4.14%,3.83%,-44.53%,-,1.51,-0.40%,11.43%,1.74,-,-,1.11,2.11%,8.85%,34.72,2.00,- -,1.98,18.88%,-6.64%,1.79,50.60,0.00%,0.35,6.80%,-16.74%,0.67,37.54,1390,0.32,Feb 19 BMO,-3.97%,1.50M,36.94,"Oct 25, 2018",Yes / Yes,4.14% 0.30%,"

","1,001,096",-1.60%,YETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
