Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,-1.83%,1.75B,77.93,0.30,-4.26%,70.08M,2.65%,1.54B,-,-0.30,96.44%,5.90%,-13.33%,-81.13M,16.55,209.81%,-4.67%,5.47,42.77%,105.97M,6.61,-74.47%,-20.04%,4.14M,-10.37%,3.57,7.66,-,-26.72%,28.49 -17.16%,80.84%,3.08,-,- 21.35%,-28.64%,9.03 161.35%,187.80%,-,-,-36.43% 22.16%,89.81%,3.25%,4.99%,-25.53%,-,14.56,33.39%,-87.34%,1.16,-,-,5.88,38.87%,-76.56%,48.91,1.00,- -,5.88,-73.76%,-1.67%,1.23,40.08,-,0.07,-91.90%,0.55%,0.64,24.02,264,0.06,Mar 02 BMO,23.07%,756.02K,23.60,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","480,432",-1.75%,ZYME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,39.19,1.16,11.57%,166.98M,0.53%,7.58B,24.96,1.82,-3.62%,147.50M,-8.93%,7.84B,2.57,0.36,90.08%,3.48%,-4.27%,198.00M,4.47,9.17%,-3.60%,5.13,-3.15%,1.70B,4.74,9.78%,7.22%,5.14M,-2.19%,9.60,25.24,9.72%,12.06%,53.17 -14.48%,32.37%,1.80,23.96,46.13% -2.00%,9.25%,27.74 63.91%,129.07%,0.44 (0.97%),20.78,9.78% -2.36%,41.64%,2.76%,2.82%,95.28%,0.40 (0.88%),4.62,25.84%,17.01%,1.40,357.25%,"Feb 20, 2026",2.07,8.26%,11.68%,37.70,2.25,23.86% 3.50%,3.13,17.38%,-3.91%,1.10,55.33,32.87%,0.35,9.85%,-5.77%,0.82,45.16,2600,0.34,Feb 03 AMC,0.66%,1.00M,45.47,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","820,529",0.69%,ZWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.25,6.02,0.20%,424.93M,-4.73%,48.94B,15.36,7.55,-2.31%,421.27M,-7.84%,55.92B,1.83,1.62,99.76%,4.11%,-5.16%,2.67B,5.17,9.34%,-1.24%,3.84,-19.85%,9.47B,14.79,7.67%,18.00%,17.30M,-7.86%,7.84,21.17,8.38%,65.99%,172.23 -32.69%,-28.95%,5.48,21.44,10.25% 11.96%,21.26%,114.36 1.37%,-29.39%,2.19 (1.89%),13.69,5.42% 7.24%,70.49%,2.73%,2.76%,-25.41%,2.03 (1.75%),5.91,10.11%,38.00%,3.54,172.90%,"Apr 20, 2026",1.94,2.28%,28.23%,38.14,1.91,14.57% 19.02%,3.03,6.74%,-4.51%,0.99,149.73,33.71%,2.79,3.02%,-6.47%,1.01,115.23,14500,2.78,Feb 12 BMO,-15.88%,4.51M,115.93,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","4,557,902",0.61%,ZTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.35,1.55,0.00%,557.07M,6.49%,14.08B,11.81,2.14,-,557.07M,0.04%,12.16B,0.90,0.45,11.03%,3.72%,18.81%,1.26B,2.06,18.11%,2.51%,9.72,34.63%,6.84B,2.22,11.56%,9.85%,20.71M,20.97%,11.39,3.83,13.10%,14.05%,26.20 -3.55%,26.48%,6.59,-,7.85% 14.68%,13.23%,16.34 54.65%,-10.21%,0.76 (3.00%),6.71,9.14% 13.33%,25.00%,4.02%,2.57%,-5.77%,0.65 (2.57%),1.78,4.25%,19.63%,0.78,-,"Apr 08, 2026",1.45,11.11%,18.50%,60.94,1.38,- -,1.49,13.14%,5.50%,-0.16,28.59,43.04%,0.17,13.88%,7.27%,0.99,24.93,24471,0.01,Mar 17 AMC,23.85%,2.13M,25.27,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","2,119,755",1.36%,ZTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,-10.63%,22.42B,30.50,4.57,-0.09%,103.41M,-2.70%,20.77B,1.60,1.01,54.13%,6.92%,-40.05%,-67.63M,7.47,22.19%,4.18%,2.83,-52.19%,3.00B,10.19,14.03%,-1.15%,7.16M,-38.02%,13.68,6.38,19.03%,-3.56%,336.99 -58.63%,-33.57%,21.85,25.67,54.06% 21.31%,-1.69%,140.56 -0.82%,24.55%,-,1206.01,34.81% 44.03%,76.28%,4.58%,5.03%,-20.38%,-,6.92,-326.25%,-4.54%,8.32,-,-,1.82,23.91%,-2.25%,30.90,1.41,- -,1.82,-327.24%,-9.99%,1.08,231.29,-,0.85,25.91%,-20.73%,1.35,151.80,7923,0.82,Feb 26 AMC,-45.69%,2.53M,139.41,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","3,400,498",-8.16%,ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,12.23,6.21,9.99%,266.81M,-0.01%,22.39B,12.35,6.15,-2.66%,265.23M,-11.71%,14.62B,3.72,1.42,69.96%,2.39%,-15.41%,1.90B,4.60,-0.74%,1.15%,1.60,-9.04%,4.87B,2.29,4.70%,16.56%,6.34M,-11.95%,33.19,2.86,3.32%,20.28%,97.58 -22.14%,-2.84%,26.56,11.64,162.73% 22.38%,19.31%,64.41 17.96%,10.05%,-,11.64,3.49% 12.92%,77.02%,2.90%,3.83%,-75.88%,-,3.00,93.43%,23.08%,3.04,-,-,4.28,4.36%,39.03%,40.59,2.09,- -,4.28,91.72%,-0.50%,0.91,97.42,0.00%,0.01,5.31%,-9.59%,0.95,77.95,7438,0.00,Feb 25 AMC,-7.01%,3.96M,75.98,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","3,778,438",-2.53%,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,-8.15%,1.96B,-,-1.14,-12.30%,110.17M,-11.41%,1.39B,-,-0.47,19.01%,3.45%,-3.16%,-176.02M,4.24,-7.32%,-9.42%,5.19,-47.30%,461.41M,2.70,33.41%,-14.93%,3.80M,-0.96%,6.47,2.48,20.89%,-22.62%,44.34 -60.60%,-51.02%,7.05,-,29.68% 14.26%,-24.15%,15.96 9.46%,-44.89%,-,-,29.03% 56.57%,58.47%,3.54%,3.83%,-86.16%,-,3.02,38.17%,-49.86%,0.76,-,-,2.27,15.52%,-38.15%,37.79,1.25,- -,2.45,42.77%,-7.11%,0.89,33.84,-,0.31,17.92%,-6.12%,0.83,17.61,1784,0.02,Feb 26 BMO,-34.68%,732.68K,17.47,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","606,258",-0.80%,ZLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.36,6.01,1.49%,147.65M,4.07%,8.31B,8.56,6.57,-2.37%,145.68M,-5.19%,-,2.05,1.42,81.12%,3.23%,-6.21%,884.00M,1.68,3.66%,0.76%,2.58,-1.52%,4.94B,1.17,5.48%,1.00%,4.71M,-3.96%,48.18,-,4.17%,13.35%,66.18 -15.04%,10.63%,-,8.48,1.24% 14.71%,9.97%,39.32 42.98%,99.01%,1.82 (3.24%),-,14.19% 10.90%,-,3.03%,3.07%,6.06%,1.78 (3.17%),-,21.18%,23.77%,1.84,124.70%,"Feb 12, 2026",-,-1.00%,17.88%,47.99,2.62,3.66% 5.29%,0.36,31.00%,0.33%,0.82,66.36,29.30%,0.67,-0.08%,-4.70%,0.80,55.05,9195,0.23,Jan 20 AMC,0.86%,1.82M,56.22,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,466,404",2.13%,ZION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.65,3.98,1.22%,120.47M,-3.47%,3.19B,-,-3.78,0.00%,119.00M,-7.68%,7.14B,-,-0.15,48.34%,5.35%,37.53%,479.20M,0.46,-152.59%,9.34%,1.64,80.61%,6.90B,0.79,-80.67%,4.28%,6.36M,24.63%,33.38,1.78,-,11.89%,29.97 -11.71%,69.40%,14.83,1.87,-53.07% -1.60%,5.56%,11.03 139.78%,18.78%,0.02 (0.09%),3.35,-18.09% 11.58%,16.76%,2.36%,2.54%,21.02%,1.99 (7.52%),1.03,-77.70%,12.28%,0.92,-,"Mar 20, 2026",1.15,-18.07%,6.94%,48.70,3.60,-46.24% -,1.23,-93.22%,-4.74%,1.47,22.82,107.58%,1.43,-31.50%,5.36%,0.46,25.92,6785,1.14,Mar 09 BMO,42.97%,3.87M,26.46,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,798,607",2.08%,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,23.95,0.43,75.38%,254.09M,4.92%,4.18B,16.84,0.61,0.00%,62.55M,-7.67%,5.07B,1.03,-,24.37%,5.99%,-3.67%,111.78M,1.93,4.23%,0.40%,5.10,8.37%,2.17B,2.27,32.05%,3.57%,3.75M,-0.20%,4.51,12.05,16.32%,10.35%,11.93 -14.21%,39.95%,0.85,14.23,23.45% -,5.34%,6.05 69.09%,-21.97%,0.15 (1.45%),10.98,11.30% -,55.64%,4.58%,4.28%,4.82%,0.14 (1.39%),2.34,29.96%,8.54%,0.49,-,"Jul 07, 2025",0.91,2.91%,5.16%,49.20,1.92,- -,1.59,-54950.00%,-1.93%,0.76,11.78,42.68%,0.95,-,-1.01%,1.17,10.01,7437,0.73,Mar 20 BMO,6.02%,733.99K,10.23,"Dec 20, 2021",Yes / Yes,44.63% -2.54%,"

","860,489",2.20%,ZGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
