Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,6.42%,2.07B,91.96,0.30,-4.26%,70.08M,16.55%,1.86B,-,-0.30,97.53%,6.37%,18.66%,-81.13M,19.53,209.81%,-4.69%,6.85,50.13%,105.97M,7.80,-74.47%,-20.04%,4.46M,5.77%,3.57,9.04,-,-26.72%,28.49 -2.25%,141.54%,3.08,-,- 21.35%,-28.64%,10.86 156.45%,183.32%,-,-,-36.43% 22.16%,89.81%,2.84%,3.72%,5.09%,-,17.54,33.39%,-87.34%,1.02,-,-,5.88,38.87%,-76.56%,65.14,1.00,- -,5.88,-73.76%,7.60%,1.21,40.08,-,0.07,-91.90%,13.65%,0.46,27.80,264,0.06,May 07 AMC,36.60%,651.08K,27.85,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","301,349",0.18%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,41.18,1.16,11.57%,166.98M,-3.69%,8.01B,26.20,1.82,-3.61%,148.16M,8.49%,8.26B,2.70,0.36,89.63%,3.42%,1.08%,198.00M,4.72,9.17%,-3.61%,4.86,4.05%,1.70B,4.98,9.90%,7.22%,5.06M,2.77%,9.60,26.64,9.72%,12.06%,53.17 -10.14%,58.95%,1.79,25.28,46.13% -2.00%,9.25%,29.39 62.57%,130.04%,0.44 (0.93%),21.89,9.78% -2.36%,41.64%,3.00%,2.70%,94.07%,0.40 (0.84%),4.87,25.84%,17.01%,1.42,333.29%,"Feb 20, 2026",2.07,8.26%,11.68%,54.11,2.18,23.86% 3.50%,3.13,17.38%,3.07%,1.07,53.78,32.87%,0.35,9.85%,-0.41%,1.14,47.75,2600,0.34,Apr 21 AMC,3.66%,1.04M,47.78,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","1,183,810",0.06%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,20.38,6.02,0.20%,424.93M,2.20%,51.80B,16.18,7.58,-2.31%,421.27M,5.80%,58.79B,1.87,1.62,99.40%,3.59%,-1.55%,2.67B,5.47,9.63%,-1.48%,3.62,-14.34%,9.47B,15.66,7.91%,18.00%,15.12M,-2.46%,7.84,22.41,8.66%,65.99%,172.23 -28.75%,-17.45%,5.48,22.69,10.25% 11.96%,21.26%,113.29 8.32%,-29.63%,2.17 (1.77%),14.39,5.42% 7.24%,70.49%,2.40%,2.45%,-27.27%,2.06 (1.68%),6.21,10.11%,38.00%,3.11,153.19%,"Apr 20, 2026",1.94,2.28%,28.23%,57.30,1.83,14.57% 19.02%,3.03,6.74%,3.72%,0.92,149.06,33.71%,2.79,3.02%,0.72%,0.90,122.38,14500,2.78,May 07 BMO,-8.42%,4.18M,122.72,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","3,747,582",0.28%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.36,1.55,0.00%,584.71M,0.76%,14.14B,11.66,2.17,-,559.09M,0.08%,12.22B,0.88,0.45,10.97%,2.75%,13.31%,1.26B,2.07,18.19%,1.63%,7.67,33.25%,6.84B,2.11,11.83%,9.85%,15.37M,21.06%,12.01,3.85,13.26%,14.05%,26.20 -3.47%,34.45%,6.57,-,7.84% 14.67%,13.23%,16.68 51.62%,-12.88%,0.78 (3.08%),6.74,9.14% 13.33%,25.00%,1.77%,2.25%,-14.26%,0.69 (2.73%),1.79,4.25%,19.63%,0.62,-,"Apr 08, 2026",1.45,11.11%,18.50%,58.25,1.41,- -,1.49,13.11%,1.94%,-0.21,29.20,43.05%,0.17,13.88%,3.36%,0.32,25.10,23399,0.01,Mar 17 AMC,20.14%,2.01M,25.29,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","637,565",0.76%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,9.93%,21.67B,29.48,4.57,-0.07%,103.41M,-13.26%,20.03B,1.53,1.01,54.20%,7.92%,-37.00%,-67.63M,7.22,22.33%,4.16%,2.74,-54.95%,3.00B,9.86,13.98%,-1.15%,8.19M,-40.07%,13.68,6.17,19.27%,-3.56%,336.99 -60.00%,-32.97%,21.85,24.82,54.06% 21.31%,-1.69%,114.62 17.60%,34.14%,-,1162.96,34.81% 44.03%,76.28%,4.56%,5.28%,-27.56%,-,6.67,-326.25%,-4.54%,7.71,-,-,1.82,23.91%,-2.25%,44.84,1.44,- -,1.82,-327.24%,-0.07%,1.01,225.25,-,0.85,25.91%,-10.16%,0.65,134.68,7923,0.82,Feb 26 AMC,-44.10%,2.99M,134.80,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","1,939,951",0.09%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,14.58,6.21,9.99%,266.81M,9.37%,26.69B,14.72,6.15,-2.72%,265.23M,18.01%,18.92B,4.43,1.42,69.68%,2.13%,11.86%,1.90B,5.48,-0.74%,0.73%,1.28,13.44%,4.87B,2.73,4.70%,16.56%,5.65M,4.95%,33.19,3.41,3.32%,20.28%,97.58 -7.19%,26.68%,26.56,13.87,162.73% 22.38%,19.31%,69.15 30.96%,37.84%,-,15.05,3.49% 12.92%,77.02%,4.38%,3.85%,-71.86%,-,3.89,93.43%,23.08%,3.38,-,-,4.28,4.36%,39.03%,65.47,2.12,- -,4.28,91.72%,10.18%,0.92,97.42,0.00%,0.01,5.31%,10.14%,0.78,88.02,7438,0.00,Feb 25 AMC,10.24%,4.43M,90.56,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","3,474,097",2.89%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,112.67M,18.32%,2.84B,-,-1.34,-14.00%,110.75M,35.68%,2.28B,-,-0.48,29.98%,4.82%,35.90%,-176.02M,6.17,-16.30%,-10.32%,7.17,-12.45%,461.41M,3.90,28.07%,-14.93%,5.33M,43.14%,6.47,3.60,19.87%,-22.62%,44.34 -43.05%,-12.45%,7.01,-,29.68% 14.26%,-24.15%,15.96 58.21%,-30.15%,-,-,29.03% 56.57%,58.47%,3.90%,3.85%,-83.25%,-,4.94,38.12%,-49.86%,0.91,-,-,2.27,15.59%,-38.15%,79.90,1.29,- -,2.45,42.77%,23.14%,0.94,33.75,-,0.31,17.92%,28.25%,1.39,24.19,1784,0.02,Feb 26 BMO,0.08%,743.74K,25.25,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","1,033,929",4.38%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.50,6.01,1.49%,147.65M,2.47%,9.32B,9.47,6.66,-2.37%,145.68M,16.16%,-,1.67,1.55,79.27%,3.43%,5.75%,884.00M,1.89,4.50%,0.76%,2.63,34.35%,4.94B,1.31,5.98%,1.00%,4.99M,7.70%,48.18,-,5.68%,13.35%,66.18 -4.72%,42.39%,-,9.50,1.24% 14.71%,9.97%,39.42 59.94%,102.60%,1.82 (2.89%),-,14.19% 10.90%,-,1.97%,2.28%,20.44%,1.78 (2.82%),-,21.18%,23.77%,1.53,134.30%,"Feb 12, 2026",-,-1.00%,17.88%,69.52,2.57,3.66% 5.29%,0.36,31.00%,6.41%,0.82,65.60,29.30%,0.67,-0.08%,7.25%,1.16,62.73,9195,0.23,Apr 20 AMC,11.37%,1.90M,63.05,"Mar 17, 1980",Yes / Yes,9.57% -0.84%,"

","2,207,227",0.51%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.68,3.98,1.22%,120.47M,0.11%,3.20B,-,-3.98,0.00%,119.00M,-1.48%,7.16B,-,-0.15,48.36%,3.20%,24.34%,479.20M,0.46,-152.45%,9.09%,1.22,99.40%,6.90B,0.80,-90.46%,4.28%,3.81M,25.11%,33.38,1.79,-,11.89%,29.97 -11.38%,92.60%,14.83,1.88,-53.07% -1.60%,5.56%,12.33 115.41%,35.29%,0.02 (0.07%),3.35,-18.09% 11.58%,16.76%,1.42%,1.81%,0.26%,1.99 (7.49%),1.04,-77.70%,12.28%,0.57,-,"Mar 20, 2026",1.15,-18.07%,6.94%,50.39,3.60,-46.24% -,1.23,-93.22%,0.66%,1.22,22.90,107.58%,1.43,-31.50%,-0.23%,0.35,27.01,6785,1.14,Mar 09 BMO,37.04%,3.13M,26.56,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,108,415",-1.67%,ZIM
Ermenegildo Zegna NV,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,28.91,0.43,75.38%,268.31M,7.77%,5.23B,19.91,0.62,0.00%,66.05M,33.51%,6.11B,1.17,-,23.09%,5.59%,29.18%,111.78M,2.41,5.86%,0.39%,4.94,23.50%,2.17B,2.74,30.80%,3.57%,3.69M,20.49%,4.51,15.05,17.00%,10.35%,12.19 1.35%,78.47%,0.82,17.78,23.45% -,5.34%,6.82 81.09%,-3.67%,0.15 (1.18%),13.24,11.30% -,55.64%,2.21%,3.92%,25.38%,0.14 (1.15%),2.82,29.96%,8.54%,0.45,-,"Jul 07, 2025",0.91,2.91%,5.16%,70.83,1.92,- -,1.59,-54950.00%,13.52%,0.82,12.06,-,0.95,-,14.64%,0.80,12.15,7437,0.73,Mar 20 BMO,25.40%,746.73K,12.35,"Dec 20, 2021",Yes / Yes,44.68% -0.61%,"

","594,343",1.65%,ZGN
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,526.53,0.09,82.26%,46.23M,16.76%,10.84B,16.27,2.92,-0.12%,40.64M,5.68%,10.00B,0.51,0.45,18.41%,7.08%,-29.88%,23.00M,4.20,34.73%,-3.14%,2.44,-32.81%,2.58B,2.34,31.98%,0.40%,2.88M,-30.47%,20.31,8.34,32.11%,0.47%,90.22 -47.42%,-22.85%,5.69,46.13,- -,0.46%,39.14 21.21%,7.72%,-,38.30,9.67% -5.01%,74.14%,4.51%,4.70%,-63.97%,-,3.87,119.94%,-1.24%,2.18,95.87%,-,3.13,15.52%,0.89%,62.98,2.06,- -,3.13,105.41%,11.96%,2.11,73.73,0.00%,0.09,18.05%,7.25%,0.58,47.01,7068,0.02,Feb 10 AMC,-27.96%,1.18M,47.44,"Jul 20, 2011",Yes / Yes,-3.27% 0.54%,"

","688,061",0.91%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.15,12.74%,221.18M,16.12%,4.43B,15.28,1.19,-0.04%,213.01M,5.34%,4.33B,0.53,0.11,72.99%,11.91%,-10.41%,-31.51M,3.40,29.41%,0.77%,3.09,-0.44%,1.30B,5.52,25.76%,-2.37%,25.36M,-10.81%,3.29,13.86,28.98%,-4.25%,24.90 -27.11%,58.38%,1.31,23.94,58.59% 17.79%,-3.11%,10.69 69.78%,78.29%,-,42.93,30.21% 28.80%,55.11%,4.60%,5.88%,-,-,3.32,63.53%,2.21%,0.98,-,-,1.60,29.72%,-2.42%,61.53,1.40,- -,1.60,-56.98%,12.39%,1.28,28.92,-,0.27,25.41%,8.14%,0.63,17.98,3300,0.26,Apr 30 AMC,-0.70%,8.20M,18.15,"Jun 10, 2021",Yes / Yes,21.21% 4.06%,"

","5,206,588",0.95%,ZETA
