Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5051.99B,4984.23B,159.61B,253.49B,8.07,3.33,0.65 (0.31%),0.28 (0.13%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",31.97,16.37,0.35,19.93,25.87,62.70,42.43,30.11,19.66,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.75,2.08,88.70%,41.68%,47.26%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,May 20 AMC,6.52% 3.43%,3.85%,-0.33%,69.28%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,2.95%,-0.34%,8.28%,"

",24.22B,23.27B,1.33%,1.98,310.13M,236.54 -11.74%,164.07 27.24%,3.27%,3.41%,7.27,52.92,2.22,0.71,156.70M,"110,505,328",0.66%,4.36%,3.09%,13.88%,11.94%,22.24%,371.15%,967.39%,15174.19%,1.23,314.29,212.06,208.76,-1.56%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4724.34B,4740.54B,122.58B,451.44B,7.26,4.66,1.08 (0.34%),1.05 (0.33%),"May 11, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",38.91,33.25,2.57,10.46,44.30,68.96,36.57,29.63,10.50,1.02,1.07,0.80,0.70,Yes / Yes,8.27,9.67,1.89,17.43%,10.43%,12.96%,6.89% 17.91%,1.81% 8.71%,28.91%,12.76%,22.04%,16.60%,Jul 30 AMC,3.30% 1.58%,0.12%,-2.21%,66.05%,0.00%,34.91%,141.47%,67.76%,47.86%,32.64%,27.15%,3.26%,5.30%,16.71%,"

",14.69B,14.67B,0.96%,2.56,140.53M,334.99 -3.98%,201.50 59.63%,2.04%,2.72%,7.92,58.11,1.08,0.74,54.88M,"40,840,778",-3.48%,9.30%,17.75%,29.88%,18.32%,50.20%,67.58%,116.52%,1204.12%,2.04,321.85,325.89,321.66,-1.30%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",3876.70B,3765.00B,244.12B,446.31B,50.90,19.91,0.80 (0.25%),0.85 (0.27%),"Jun 08, 2026",- -,7.68%,190820,"Mar 27, 2014",15.99,21.30,1.22,8.69,6.25,15.99,72.77,21.27,8.44,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.94,3.03,77.07%,-21.93%,17.50%,33.35% 29.82%,12.78% 17.18%,112.79%,20.23%,294.12%,23.98%,Jul 22 BMO,216.66% 2.34%,58.15%,-0.03%,27.15%,0.00%,34.30%,48.68%,32.42%,60.94%,33.96%,54.70%,-9.43%,-12.46%,-1.39%,"

",5.53B,5.09B,1.15%,2.67,58.49M,404.47 -21.29%,188.70 68.70%,2.29%,2.78%,12.07,32.26,1.24,2.13,21.90M,"46,751,948",-10.03%,-8.02%,-5.74%,-3.06%,1.45%,66.23%,164.60%,130.99%,757.20%,1.34,432.95,341.91,318.34,-6.89%,GOOG
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",3866.75B,3755.05B,244.12B,446.31B,50.90,19.92,0.80 (0.25%),0.85 (0.27%),"Jun 08, 2026",- -,7.68%,190820,"Aug 19, 2004",15.96,21.24,1.21,8.66,6.24,15.95,72.58,21.22,8.41,2.64,2.72,0.18,0.18,Yes / Yes,19.91,14.96,3.04,77.31%,-21.97%,17.59%,33.35% 29.82%,12.78% 17.18%,112.79%,20.23%,294.12%,23.98%,Jul 22 BMO,216.61% 2.33%,52.09%,-0.04%,38.68%,0.00%,34.30%,48.68%,32.42%,60.94%,33.96%,54.70%,-10.10%,-13.21%,-1.81%,"

",5.87B,5.83B,1.47%,2.67,85.86M,408.61 -22.25%,187.82 69.15%,2.28%,2.90%,12.22,31.02,1.24,2.16,32.15M,"69,419,700",-10.37%,-8.22%,-6.37%,-3.26%,1.50%,67.00%,164.70%,138.84%,736.82%,1.33,433.18,342.09,317.69,-7.13%,GOOGL
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",2834.54B,2881.70B,125.22B,318.27B,55.78,10.54,3.68 (0.97%),3.56 (0.93%),"Aug 20, 2026",10.21% 10.23%,24.34%,228000,"Mar 13, 1986",22.73,19.61,1.05,8.91,6.84,36.21,38.87,14.96,9.05,1.27,1.28,0.30,0.26,Yes / Yes,16.79,19.46,4.24,24.71%,14.39%,18.62%,12.24% 18.80%,12.42% 14.52%,29.64%,17.87%,23.32%,18.30%,Jul 29 AMC,5.18% 1.77%,1.54%,-0.03%,74.82%,-1.37%,19.93%,34.01%,24.02%,68.31%,46.80%,39.34%,-1.00%,-4.53%,-12.65%,"

",7.43B,7.31B,1.22%,2.27,89.06M,555.45 -31.30%,349.20 9.27%,2.90%,3.08%,12.10,44.67,1.12,0.77,39.22M,"30,351,752",-4.87%,2.04%,-11.86%,-14.08%,-21.10%,-24.57%,11.00%,31.73%,574.53%,1.23,555.30,390.34,381.58,-2.24%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2513.51B,2594.39B,90.80B,742.78B,41.09,13.57,-,-,-,- -,0.00%,1576000,"May 15, 1997",27.92,23.21,1.05,3.38,5.69,17.22,-,16.15,3.49,1.01,1.18,0.51,0.47,Yes / Yes,8.37,10.07,1.81,23.25%,13.90%,22.18%,- 27.96%,11.73% 13.18%,35.55%,14.22%,75.33%,16.61%,Jul 30 AMC,70.22% 2.39%,8.95%,-0.03%,66.68%,0.00%,11.64%,24.28%,13.93%,50.60%,12.14%,12.22%,-4.07%,-6.50%,-0.37%,"

",10.75B,9.79B,1.02%,2.05,100.35M,278.56 -16.12%,196.00 19.21%,2.22%,2.90%,7.50,38.62,1.46,0.97,48.91M,"47,465,337",-6.49%,-0.19%,-8.50%,1.02%,1.23%,2.35%,79.74%,27.80%,527.39%,1.21,316.99,244.85,233.66,-4.57%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2155.40B,2077.12B,71.86B,142.82B,35.53,21.29,4.09 (0.98%),3.50 (0.84%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",29.99,19.36,0.52,15.09,11.70,19.52,54.02,20.38,14.54,2.25,2.46,0.15,0.13,Yes / Yes,13.86,21.47,4.34,57.56%,29.86%,37.14%,17.37% 25.67%,17.20% 21.86%,54.80%,34.60%,73.33%,32.92%,Jul 16 BMO,10.78% -1.20%,0.09%,-3.61%,15.19%,9.73%,26.90%,40.06%,31.58%,63.38%,55.84%,50.31%,-3.40%,-2.43%,17.29%,"

",5.19B,5.18B,0.54%,1.96,27.73M,479.00 -13.24%,223.70 85.78%,2.98%,3.79%,17.72,46.34,1.39,0.78,14.18M,"11,048,878",1.43%,-4.77%,7.26%,27.43%,36.75%,72.92%,327.33%,255.84%,1398.13%,1.21,526.12,421.21,415.58,-1.34%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1867.21B,1912.49B,29.32B,75.47B,18.43,4.13,2.62 (0.67%),2.54 (0.65%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",65.34,20.12,0.36,24.74,21.29,95.13,56.99,45.47,25.34,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.50,3.21,69.94%,68.26%,56.48%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Jun 03 AMC,1.82% 0.26%,1.91%,-1.96%,78.82%,-0.09%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,2.94%,-1.91%,7.62%,"

",4.76B,4.67B,1.50%,2.69,70.12M,495.00 -20.71%,273.00 43.76%,3.63%,3.48%,16.41,51.85,1.46,0.63,26.07M,"16,348,682",4.81%,3.24%,-7.14%,19.36%,13.40%,38.34%,337.66%,712.32%,2358.01%,1.32,528.60,396.81,392.47,-1.09%,AVGO
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1538.54B,1543.79B,70.59B,214.96B,96.01,32.11,1.96 (0.32%),2.10 (0.35%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",22.03,17.23,0.86,7.16,6.31,18.87,31.88,14.12,7.18,2.35,2.35,0.36,0.35,Yes / Yes,27.51,35.18,7.19,40.24%,6.78%,20.15%,39.86% 18.41%,19.89% 18.51%,6.07%,26.18%,62.49%,33.08%,Jul 29 AMC,55.89% 1.36%,13.70%,-0.06%,67.44%,0.52%,20.90%,32.93%,21.52%,81.94%,41.21%,32.84%,-1.98%,-0.02%,-5.10%,"

",2.20B,2.19B,1.57%,1.90,34.49M,796.25 -23.88%,520.26 16.50%,3.16%,3.66%,25.15,46.30,1.24,0.85,18.16M,"15,494,842",-8.79%,7.81%,-10.17%,-1.12%,-8.18%,-15.06%,105.97%,63.90%,400.91%,1.28,822.72,627.17,606.10,-3.36%,META
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1568.71B,1582.62B,-,-,2.64,1.79,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,44.77,66.07,-,-,-,1.11,1.22,0.74,0.69,Yes / Yes,-,-,-0.22,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,- -,95.13%,-0.00%,0.27%,66.05%,-,-,-,-,-,-,-17.28%,-22.22%,-22.22%,"

",7.38B,646.00M,17.23%,0.87,111.30M,225.64 -47.60%,115.19 2.65%,6.99%,6.51%,12.10,35.91,-,0.58,128.65M,"75,246,453",-9.82%,-24.26%,-,-,-21.17%,-,-,-,-,1.65,236.72,115.26,118.24,2.59%,SPCX
