Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,3.39%,1.79B,-,-0.05,-4.26%,70.08M,4.20%,1.58B,-,-0.30,96.45%,5.67%,-8.16%,-81.13M,16.88,199.70%,-4.53%,5.49,71.02%,105.97M,6.74,-104.45%,-20.04%,3.97M,-8.55%,3.57,7.82,-,-26.72%,28.49 -15.48%,98.52%,3.08,-,- 21.35%,-28.64%,9.03 166.67%,202.89%,-,-,-36.43% 22.16%,89.81%,5.91%,4.37%,-26.90%,-,14.90,33.39%,-87.34%,1.10,-,-,5.88,38.87%,-76.56%,53.19,1.00,- -,5.88,-73.76%,2.84%,1.27,39.69,-,0.07,-91.90%,0.82%,1.70,24.80,264,0.06,Mar 02 BMO,30.56%,723.32K,24.08,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","1,233,014",-2.90%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,40.84,1.16,11.57%,166.98M,-7.04%,7.90B,26.01,1.82,-3.72%,147.50M,-8.46%,8.16B,2.68,0.36,90.59%,3.43%,-0.13%,198.00M,4.66,9.17%,-3.66%,5.23,3.13%,1.70B,4.94,9.78%,7.22%,5.06M,1.94%,9.60,26.30,9.72%,12.06%,53.17 -10.87%,37.04%,1.80,24.97,46.13% -2.00%,9.25%,27.74 70.84%,110.06%,0.44 (0.93%),21.63,9.78% -2.36%,41.64%,3.00%,2.57%,96.28%,0.40 (0.84%),4.81,25.84%,17.01%,1.41,389.00%,"Feb 20, 2026",2.07,8.26%,11.68%,34.28,2.25,23.86% 3.50%,3.13,17.38%,-6.70%,1.07,55.33,32.87%,0.35,9.85%,-2.46%,0.86,48.44,2600,0.34,Feb 03 AMC,6.22%,967.51K,47.39,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","828,266",-2.17%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,20.17,6.02,0.20%,424.93M,-7.38%,51.26B,16.08,7.55,-2.31%,421.27M,-4.16%,58.24B,1.93,1.61,99.86%,3.88%,-0.93%,2.67B,5.41,8.90%,-1.17%,3.22,-20.74%,9.47B,15.49,8.19%,18.00%,16.33M,-3.49%,7.84,22.17,8.35%,65.99%,177.00 -31.40%,-27.40%,5.48,22.45,10.25% 11.96%,21.26%,115.25 5.36%,-28.43%,2.18 (1.79%),14.26,5.42% 7.24%,70.49%,2.40%,2.97%,-16.65%,2.03 (1.67%),6.15,10.11%,38.00%,3.69,197.62%,"Apr 20, 2026",1.94,2.28%,28.23%,38.54,1.91,14.57% 19.02%,3.03,6.74%,-4.51%,0.96,149.73,33.71%,2.79,3.02%,-3.65%,0.84,122.23,14500,2.78,Feb 12 BMO,-13.71%,5.07M,121.43,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","4,270,846",-0.65%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.28,1.49,0.00%,591.63M,-6.48%,13.29B,12.33,1.85,-,582.69M,0.04%,11.56B,1.28,0.45,10.55%,2.98%,10.41%,1.23B,2.02,6.35%,3.93%,7.94,25.34%,6.59B,2.00,12.17%,9.42%,17.34M,9.14%,11.39,3.74,9.65%,13.83%,25.52 -10.66%,11.22%,6.10,-,18.24% 8.45%,13.37%,16.34 39.53%,-9.32%,0.69 (3.01%),6.44,9.28% 13.97%,26.00%,2.29%,2.06%,-32.71%,0.65 (2.85%),1.75,3.12%,20.42%,0.62,-,"Sep 30, 2025",1.34,12.90%,18.61%,40.81,1.32,- -,1.38,7.47%,-6.37%,-0.15,25.24,45.76%,0.19,11.30%,-0.38%,0.50,22.41,24471,0.01,Mar 17 AMC,14.09%,2.18M,22.80,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","1,091,233",1.74%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,11.61%,26.38B,35.90,4.57,-0.14%,103.41M,-11.70%,24.73B,1.89,1.01,54.19%,6.87%,-32.67%,-67.63M,8.79,21.91%,4.21%,2.95,-38.84%,3.00B,12.00,14.27%,-1.15%,7.11M,-27.06%,13.68,7.51,19.03%,-3.56%,336.99 -51.32%,-18.85%,21.85,30.21,54.06% 21.31%,-1.69%,140.56 16.72%,36.93%,-,1436.18,34.81% 44.03%,76.28%,5.38%,6.15%,-6.45%,-,8.24,-326.25%,-4.54%,10.12,-,-,1.82,23.91%,-2.25%,44.93,1.42,- -,1.82,-327.24%,0.86%,1.11,234.28,-,0.85,25.91%,-15.03%,1.05,161.96,7923,0.82,Feb 26 AMC,-37.77%,2.41M,164.06,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","2,529,540",1.30%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,12.48,6.21,10.00%,266.81M,4.81%,22.84B,12.59,6.16,-2.67%,265.23M,-14.68%,15.07B,3.79,1.42,70.04%,2.31%,-9.50%,1.90B,4.69,-0.72%,0.97%,1.61,-6.39%,4.87B,2.34,4.76%,16.56%,6.14M,-10.19%,33.19,2.92,3.32%,20.28%,97.58 -20.58%,2.68%,26.56,11.87,162.73% 22.38%,19.31%,64.41 20.32%,8.65%,-,11.99,3.49% 12.92%,77.02%,4.28%,4.82%,-77.03%,-,3.10,93.43%,23.08%,4.04,-,-,4.28,4.36%,39.03%,38.50,2.06,- -,4.28,91.72%,-9.26%,0.96,97.24,0.00%,0.01,5.31%,-10.37%,1.11,77.33,7438,0.00,Feb 25 AMC,-5.49%,3.81M,77.50,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","4,219,145",0.22%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,1.66%,2.19B,-,-0.96,-7.30%,110.17M,14.94%,1.62B,-,-0.47,25.24%,3.06%,-1.06%,-176.02M,4.75,0.00%,-9.48%,4.30,-34.87%,461.41M,3.02,39.92%,-14.93%,3.37M,10.77%,6.47,2.77,27.57%,-22.62%,44.34 -55.93%,-44.79%,7.05,-,29.68% 14.26%,-24.15%,15.96 22.43%,-50.98%,-,-,29.03% 56.57%,58.47%,5.02%,4.33%,-85.76%,-,3.52,38.17%,-49.86%,0.93,-,-,2.27,15.52%,-38.15%,55.12,1.27,- -,2.45,42.77%,1.30%,0.88,35.29,-,0.31,17.92%,5.74%,0.92,19.30,1784,0.02,Feb 26 BMO,-29.10%,784.13K,19.54,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","720,786",1.24%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.28,6.01,1.49%,147.65M,-2.69%,8.24B,8.47,6.58,-2.37%,145.68M,-12.65%,-,2.03,1.41,81.17%,3.17%,1.68%,884.00M,1.67,3.70%,0.74%,2.54,-4.08%,4.94B,1.16,5.58%,1.00%,4.62M,-4.78%,48.18,-,4.17%,13.35%,66.18 -15.77%,10.75%,-,8.40,1.24% 14.71%,9.97%,39.32 41.76%,14.32%,1.82 (3.27%),-,14.19% 10.90%,-,3.25%,3.43%,-0.09%,1.78 (3.19%),-,21.18%,23.77%,2.13,129.01%,"Feb 12, 2026",-,-1.00%,17.88%,36.63,2.60,3.66% 5.29%,0.36,31.00%,-7.98%,0.82,66.81,29.30%,0.67,-0.08%,-7.45%,0.89,57.48,9195,0.23,Jan 20 AMC,0.77%,1.82M,55.74,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,621,762",-3.03%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,3.34,8.32,1.22%,120.46M,-3.54%,3.35B,-,-2.33,0.00%,118.99M,29.17%,7.06B,-,-0.43,48.39%,12.75%,39.96%,1.00B,0.44,-81.96%,9.52%,3.54,108.63%,7.59B,0.83,-172.37%,9.16%,15.17M,30.99%,33.34,1.72,-,25.25%,29.97 -7.21%,40.67%,16.19,1.38,-23.79% -,11.79%,11.03 152.02%,34.10%,1.24 (4.47%),2.55,-7.73% 20.63%,23.74%,2.60%,3.39%,56.26%,4.28 (15.39%),0.93,-30.30%,19.63%,1.04,-,"Dec 01, 2025",1.22,1.63%,13.21%,60.25,3.50,16.67% -,1.30,-89.07%,5.15%,1.45,21.84,22.25%,1.41,-35.73%,17.03%,0.43,28.44,6700,1.12,Mar 09 BMO,55.16%,4.28M,27.81,"Jan 28, 2021",Yes / Yes,33.09% 2.34%,"

","1,837,966",-2.22%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,25.85,0.41,75.38%,254.09M,-7.10%,4.28B,22.12,0.47,0.00%,62.55M,7.83%,5.31B,1.03,-,24.37%,6.07%,-3.94%,103.34M,2.06,29.39%,0.40%,5.40,20.07%,2.08B,2.56,5.80%,3.34%,3.80M,2.15%,4.09,15.90,21.44%,10.58%,11.93 -12.20%,30.55%,0.66,23.16,- -,5.45%,6.05 73.06%,-22.27%,0.15 (1.41%),11.90,11.29% -,55.55%,4.74%,4.23%,4.28%,0.14 (1.36%),2.55,-5.94%,8.97%,0.47,-,"Jul 07, 2025",0.79,-1.89%,4.97%,44.66,1.92,15.87% -,1.42,-54950.00%,-5.48%,0.73,11.26,42.68%,1.17,-,0.09%,1.04,10.66,7395,0.82,Sep 05 BMO,9.49%,703.82K,10.47,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","729,172",-1.78%,ZGN
